jurisdiction_level,position_name,district_type,primary_party,seats,full_name,first_name,last_name,is_incumbent,candidate_status,politician_id,source_url
state,Utah State House District 23,STATE_LOWER,Democratic,1,Hoang Nguyen,Hoang,Nguyen,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 24,STATE_LOWER,Republican,1,Braeden J. Oswald,Braeden,Oswald,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 24,STATE_LOWER,Democratic,1,Grant Amjad Miller,Grant Amjad,Miller,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 25,STATE_LOWER,Republican,1,Richard T. Nowak,Richard,Nowak,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 25,STATE_LOWER,Democratic,1,Angela Romero,Angela,Romero,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 26,STATE_LOWER,Republican,1,Matt MacPherson,Matt,MacPherson,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 26,STATE_LOWER,Democratic,1,Michael E. Finch,Michael,Finch,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 27,STATE_LOWER,Republican,1,Anthony Loubet,Anthony,Loubet,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 27,STATE_LOWER,Democratic,1,Liz Oates,Liz,Oates,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 28,STATE_LOWER,Republican,1,Nicholeen Peck,Nicholeen,Peck,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 28,STATE_LOWER,Democratic,1,Anita Dalrymple,Anita,Dalrymple,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 29,STATE_LOWER,Republican,1,Alexis Wheeler,Alexis,Wheeler,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 29,STATE_LOWER,Republican,1,Sheldon Birch,Sheldon,Birch,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 29,STATE_LOWER,Democratic,1,Sara Snow,Sara,Snow,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 30,STATE_LOWER,Republican,1,Dave Parke,Dave,Parke,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 30,STATE_LOWER,Democratic,1,Jake Fitisemanu,Jake,Fitisemanu,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 31,STATE_LOWER,Republican,1,Melody Jones,Melody,Jones,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 31,STATE_LOWER,Democratic,1,Verona Mauga,Verona,Mauga,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 32,STATE_LOWER,Republican,1,Aileen Hampton,Aileen,Hampton,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 32,STATE_LOWER,Democratic,1,Sahara Hayes,Sahara,Hayes,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 33,STATE_LOWER,Republican,1,Anna Reeves,Anna,Reeves,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 33,STATE_LOWER,Democratic,1,Doug Owens,Doug,Owens,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 34,STATE_LOWER,Democratic,1,Julie Jackson,Julie,Jackson,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 34,STATE_LOWER,Democratic,1,Erin Jemison,Erin,Jemison,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 35,STATE_LOWER,Republican,1,Monique I. Ketcham,Monique,Ketcham,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 35,STATE_LOWER,Democratic,1,Rosalba Dominguez,Rosalba,Dominguez,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 36,STATE_LOWER,Republican,1,James A. Dunnigan,James,Dunnigan,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 37,STATE_LOWER,Republican,1,Casey Saxton,Casey,Saxton,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 37,STATE_LOWER,Democratic,1,Ashlee Matthews,Ashlee,Matthews,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 38,STATE_LOWER,Republican,1,Chris McConnehey,Chris,McConnehey,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 38,STATE_LOWER,Republican,1,Gloria Vindas,Gloria,Vindas,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 39,STATE_LOWER,Republican,1,Ken Ivory,Ken,Ivory,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 39,STATE_LOWER,Democratic,1,Drew Howells,Drew,Howells,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 40,STATE_LOWER,Democratic,1,Wendy Davis,Wendy,Davis,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 40,STATE_LOWER,Democratic,1,Andrew Stoddard,Andrew,Stoddard,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 41,STATE_LOWER,Republican,1,Darren Croft,Darren,Croft,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 41,STATE_LOWER,Republican,1,Eryn A. Russo,Eryn,Russo,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 41,STATE_LOWER,Democratic,1,John Arthur,John,Arthur,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 42,STATE_LOWER,Republican,1,Clint Okerlund,Clint,Okerlund,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 42,STATE_LOWER,Democratic,1,Iva Williams,Iva,Williams,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 43,STATE_LOWER,Republican,1,Steve Eliason,Steve,Eliason,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 43,STATE_LOWER,Democratic,1,Ofa Matagi,Ofa,Matagi,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 44,STATE_LOWER,Republican,1,Jordan Teuscher,Jordan,Teuscher,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 44,STATE_LOWER,Republican,1,Scott Stephenson,Scott,Stephenson,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 44,STATE_LOWER,Democratic,1,Jess Birtcher,Jess,Birtcher,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 45,STATE_LOWER,Republican,1,Tracy Miller,Tracy,Miller,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 45,STATE_LOWER,Democratic,1,Rod Moser,Rod,Moser,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 46,STATE_LOWER,Republican,1,Cal Roberts,Cal,Roberts,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 46,STATE_LOWER,Democratic,1,Braxten Rutherford,Braxten,Rutherford,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 47,STATE_LOWER,Republican,1,Mark A. Strong,Mark,Strong,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 48,STATE_LOWER,Republican,1,Nik Anderson,Nik,Anderson,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 48,STATE_LOWER,Republican,1,Jake Hunsaker,Jake,Hunsaker,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 48,STATE_LOWER,Democratic,1,Benyde Walker,Benyde,Walker,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 49,STATE_LOWER,Republican,1,Candice B. Pierucci,Candice,Pierucci,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 49,STATE_LOWER,Democratic,1,Lillian Bowles,Lillian,Bowles,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 50,STATE_LOWER,Republican,1,Stephanie Gricius,Stephanie,Gricius,true,active,7ebd1d5d-f51f-49fd-98df-3e5223e49208,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 50,STATE_LOWER,Democratic,1,Kristin Meyer,Kristin,Meyer,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 51,STATE_LOWER,Republican,1,Leah Hansen,Leah,Hansen,true,active,ef01b369-5092-4548-bfc3-e3fd611b1039,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 51,STATE_LOWER,Democratic,1,Brett Nielsen,Brett,Nielsen,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 52,STATE_LOWER,Republican,1,Cory Maloy,Cory,Maloy,true,active,a42272fb-f41b-4a64-86d5-a0a0eeec5b82,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 52,STATE_LOWER,Democratic,1,Nicole Melling,Nicole,Melling,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 53,STATE_LOWER,Republican,1,Kay J. Christofferson,Kay,Christofferson,true,active,2fa5347c-fb56-443d-8f1d-c1bff270bf9e,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 53,STATE_LOWER,Democratic,1,Kevin R. Slater,Kevin,Slater,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 54,STATE_LOWER,Republican,1,Kristen S. Chevrier,Kristen,Chevrier,true,active,596c0496-20ba-41f6-8b9a-f511bc7c2de8,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 54,STATE_LOWER,Democratic,1,Kristina Robinson,Kristina,Robinson,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 55,STATE_LOWER,Republican,1,Jon Hawkins,Jon,Hawkins,true,active,8928852d-0688-431b-aad2-bf55275583fb,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 55,STATE_LOWER,Democratic,1,Travis Hysell,Travis,Hysell,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 56,STATE_LOWER,Republican,1,Val L. Peterson,Val,Peterson,true,active,61816aa4-4de0-4e1a-a249-cea5e2a8d169,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 56,STATE_LOWER,Democratic,1,Natassja Grossman,Natassja,Grossman,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 57,STATE_LOWER,Republican,1,Nelson T. Abbott,Nelson,Abbott,true,active,ec7d4cce-d016-48ba-82d1-4f246d44542e,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 58,STATE_LOWER,Republican,1,David Shallenberger,David,Shallenberger,true,active,f214eee8-0e54-450a-8a2b-1ca8ce8e9182,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 58,STATE_LOWER,Democratic,1,Karli Black,Karli,Black,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 60,STATE_LOWER,Republican,1,Grant Pace,Grant,Pace,true,active,e5c70a0f-1b0a-4ea2-b159-a4d421223929,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 61,STATE_LOWER,Republican,1,Lisa Shepherd,Lisa,Shepherd,true,active,63901c61-d007-4cbd-b3bc-c50a4eaa73f3,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 61,STATE_LOWER,Democratic,1,Alan Jimenez,Alan,Jimenez,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 62,STATE_LOWER,Republican,1,Norman K. Thurston,Norman,Thurston,true,active,0b36a14c-3d2d-4e05-88ab-47a738d1283b,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 62,STATE_LOWER,Democratic,1,David Chappell,David,Chappell,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 63,STATE_LOWER,Republican,1,Stephen L. Whyte,Stephen,Whyte,true,active,bca7a17c-82d9-4cbc-8858-7763d4c5fe87,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 63,STATE_LOWER,Democratic,1,Mark Youngquist,Mark,Youngquist,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 64,STATE_LOWER,Republican,1,Jackie Larson,Jackie,Larson,true,active,b86c57b4-9835-4fa3-8924-c52e52f19a66,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 64,STATE_LOWER,Republican,1,Jeff Burton,Jeff,Burton,false,filed,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 65,STATE_LOWER,Republican,1,Doug Welton,Doug,Welton,true,active,2477ac16-810e-4d5c-a71e-a4f3b8f29d1e,https://vote.utah.gov/2026-candidate-filings/
state,Salt Lake County Sheriff,COUNTY,Republican,1,Shane Manwaring,Shane,Manwaring,false,active,,https://slco.org/clerk/elections/
state,Salt Lake County Sheriff,COUNTY,Republican,1,Nicholas Roberts,Nicholas,Roberts,false,active,,https://slco.org/clerk/elections/
state,Salt Lake County Sheriff,COUNTY,Democratic,1,Rosie Rivera,Rosie,Rivera,false,active,,https://slco.org/clerk/elections/
state,Salt Lake County District Attorney,COUNTY,Democratic,1,Sim Gill,Sim,Gill,true,active,,https://slco.org/clerk/elections/
state,Salt Lake County District Attorney,COUNTY,Democratic,1,Shawn Robinson,Shawn,Robinson,false,active,,https://slco.org/clerk/elections/
state,Salt Lake County District Attorney,COUNTY,Republican,1,Kent Davis,Kent,Davis,false,active,,https://slco.org/clerk/elections/
state,Salt Lake County Council District 1,COUNTY,Democratic,1,Jiro Johnson,Jiro,Johnson,true,active,d1bd8ce5-1323-4476-8663-be3295998e36,https://slco.org/clerk/elections/
state,Salt Lake County Council District 3,COUNTY,Democratic,1,Luke Maynes,Luke,Maynes,false,active,,https://slco.org/clerk/elections/
state,Salt Lake County Council District 3,COUNTY,Republican,1,Mike Bird,Mike,Bird,false,active,,https://utahpolicy.com/news-release/76234-mike-bird-announces-candidacy-for-salt-lake-county-council-district-three
state,Salt Lake County Council District 5,COUNTY,Republican,1,Chris Null,Chris,Null,false,active,,https://slco.org/clerk/elections/
state,Salt Lake County Council District 5,COUNTY,Republican,1,Traci Crockett,Traci,Crockett,false,active,,https://slco.org/clerk/elections/
state,Salt Lake County Council District 5,COUNTY,Democratic,1,Sara Cimmers,Sara,Cimmers,false,active,,https://slco.org/clerk/elections/
state,Salt Lake County Council At-Large A,COUNTY,Republican,1,Kathleen Anderson,Kathleen,Anderson,false,active,,https://slco.org/clerk/elections/
state,Salt Lake County Council At-Large A,COUNTY,Democratic,1,Zach Robinson,Zach,Robinson,false,active,,https://slco.org/clerk/elections/
state,Salt Lake County Surveyor,COUNTY,Republican,1,Bradley Park,Bradley,Park,false,active,,https://slco.org/clerk/elections/
state,Salt Lake County Surveyor,COUNTY,Republican,1,Kent Setterberg,Kent,Setterberg,false,active,,https://slco.org/clerk/elections/
state,Salt Lake County Auditor,COUNTY,Republican,1,Chris Harding,Chris,Harding,false,active,,https://slco.org/clerk/elections/
state,Salt Lake County Auditor,COUNTY,Democratic,1,Ali Cloward,Ali,Cloward,false,active,,https://slco.org/clerk/elections/
state,Salt Lake County Assessor,COUNTY,Republican,1,Chris Stavros,Chris,Stavros,false,active,,https://slco.org/clerk/elections/
state,Salt Lake County Assessor,COUNTY,Democratic,1,Joel Frost,Joel,Frost,false,active,,https://slco.org/clerk/elections/
state,Salt Lake County Clerk,COUNTY,Democratic,1,Lannie Chapman,Lannie,Chapman,false,active,,https://slco.org/clerk/elections/
state,Salt Lake County Recorder,COUNTY,Democratic,1,Rashelle Hobbs,Rashelle,Hobbs,false,active,,https://slco.org/clerk/elections/
state,Utah County Commission Seat A,COUNTY,Republican,1,Brent Bowles,Brent,Bowles,false,active,,https://utahcounty.gov/election/
state,Utah County Commission Seat A,COUNTY,Republican,1,Michelle Kaufusi,Michelle,Kaufusi,false,active,,https://utahcounty.gov/election/
state,Utah County Commission Seat A,COUNTY,Democratic,1,Jeanne Marie Bowen,Jeanne Marie,Bowen,false,active,,https://utahcounty.gov/election/
state,Utah County Commission Seat B,COUNTY,Republican,1,David Spencer,David,Spencer,false,active,,https://utahcounty.gov/election/
state,Utah County Commission Seat B,COUNTY,Republican,1,Carolina Herrin,Carolina,Herrin,false,active,,https://utahcounty.gov/election/
state,Utah County Commission Seat B,COUNTY,Republican,1,Isaac Paxman,Isaac,Paxman,false,active,,https://utahcounty.gov/election/
state,Utah County Commission Seat B,COUNTY,Democratic,1,J. Allen,J.,Allen,false,active,,https://www.heraldextra.com/news/2026/jan/14/whos-running-for-utah-county-commissions-two-open-seats-in-2026/
state,Utah County Clerk,COUNTY,Republican,1,Aaron Davidson,Aaron,Davidson,true,active,,https://utahcounty.gov/election/
state,Utah County Clerk,COUNTY,Republican,1,Corey Astill,Corey,Astill,false,active,,https://utahcounty.gov/election/
state,Utah County Auditor,COUNTY,Republican,1,Gina Tanner,Gina,Tanner,false,active,,https://www.heraldextra.com/news/2026/apr/19/utah-county-republican-party-2026-convention-results/
state,Utah County Auditor,COUNTY,Republican,1,Travis Hoban,Travis,Hoban,false,active,,https://www.heraldextra.com/news/2026/apr/19/utah-county-republican-party-2026-convention-results/
state,Utah County Sheriff,COUNTY,Republican,1,Mike Smith,Mike,Smith,false,active,,https://utahcounty.gov/election/
state,Utah County Attorney,COUNTY,Republican,1,Jeff Gray,Jeff,Gray,false,active,,https://utahcounty.gov/election/
# ---- NEW: U.S. House District 1 D primary (4-way — no R primary, Riley Owen won convention outright)
state,U.S. House District 1,NATIONAL_LOWER,Democratic,1,Liban Mohamed,Liban,Mohamed,false,active,,https://news.ballotpedia.org/2026/04/24/nate-blouin-d-ben-mcadams-d-and-four-other-candidates-are-running-in-the-democratic-primary-for-utahs-1st-congressional-district-on-june-23-2026/
state,U.S. House District 1,NATIONAL_LOWER,Democratic,1,Ben McAdams,Ben,McAdams,false,active,,https://news.ballotpedia.org/2026/04/24/nate-blouin-d-ben-mcadams-d-and-four-other-candidates-are-running-in-the-democratic-primary-for-utahs-1st-congressional-district-on-june-23-2026/
state,U.S. House District 1,NATIONAL_LOWER,Democratic,1,Nate Blouin,Nate,Blouin,false,active,,https://news.ballotpedia.org/2026/04/24/nate-blouin-d-ben-mcadams-d-and-four-other-candidates-are-running-in-the-democratic-primary-for-utahs-1st-congressional-district-on-june-23-2026/
state,U.S. House District 1,NATIONAL_LOWER,Democratic,1,Michael Farrell,Michael,Farrell,false,active,,https://news.ballotpedia.org/2026/04/24/nate-blouin-d-ben-mcadams-d-and-four-other-candidates-are-running-in-the-democratic-primary-for-utahs-1st-congressional-district-on-june-23-2026/
# ---- NEW: Utah State Senate District 21 (covers Highland/Alpine/Cedar Hills/Lehi/American Fork/Pleasant Grove)
# office_id = 6d0dadea-3e19-4a7d-a700-429e7dc99631 (Brady Brammer's office — geofence key for Part A address matching)
state,Utah State Senate District 21,STATE_UPPER,Republican,1,Brady Brammer,Brady,Brammer,true,active,,"6d0dadea-3e19-4a7d-a700-429e7dc99631",https://ballotpedia.org/Brady_Brammer
state,Utah State Senate District 21,STATE_UPPER,Republican,1,Kelly Smith,Kelly,Smith,false,active,,"6d0dadea-3e19-4a7d-a700-429e7dc99631",https://kellyforutah.com/
state,Utah State Senate District 21,STATE_UPPER,Democratic,1,Kandee Myers,Kandee,Myers,false,active,,"6d0dadea-3e19-4a7d-a700-429e7dc99631",https://en.wikipedia.org/wiki/2026_Utah_Senate_election
# ---- NEW: Utah State Senate District 23 (covers Provo/Lindon/Pleasant Grove/Vineyard — geofence covers Orem test address)
# office_id = 16336c50-9fa9-4ef8-b8d9-061c0b898454 (Keith Grover's office)
state,Utah State Senate District 23,STATE_UPPER,Republican,1,Keith Grover,Keith,Grover,true,active,,"16336c50-9fa9-4ef8-b8d9-061c0b898454",https://ballotpedia.org/Keith_Grover
state,Utah State Senate District 23,STATE_UPPER,Democratic,1,Tucker Smith,Tucker,Smith,false,active,,"16336c50-9fa9-4ef8-b8d9-061c0b898454",https://www.tuckersmithforutah.com/
state,Utah State Board of Education District 5,SCHOOL,Republican,1,J. Michael Clara,J. Michael,Clara,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State Board of Education District 5,SCHOOL,Democratic,1,Sara Reale,Sara,Reale,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State Board of Education District 7,SCHOOL,Republican,1,Erin Longacre,Erin,Longacre,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State Board of Education District 7,SCHOOL,Democratic,1,James Martin,James,Martin,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State Board of Education District 8,SCHOOL,Republican,1,Nicole McDermott,Nicole,McDermott,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State Board of Education District 8,SCHOOL,Republican,1,Trina Christensen,Trina,Christensen,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State Board of Education District 8,SCHOOL,Democratic,1,Araueni Olivares,Araueni,Olivares,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State Board of Education District 11,SCHOOL,Republican,1,Terry Hutchinson,Terry,Hutchinson,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State Board of Education District 11,SCHOOL,Republican,1,Tracy Nuttall,Tracy,Nuttall,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State Board of Education District 11,SCHOOL,Democratic,1,Lacey Peterson,Lacey,Peterson,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State Board of Education District 14,SCHOOL,Republican,1,Linda Hanks,Linda,Hanks,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State Board of Education District 14,SCHOOL,Republican,1,Nichole Isom,Nichole,Isom,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State Board of Education District 14,SCHOOL,Republican,1,Courtnee Justice,Courtnee,Justice,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State Board of Education District 14,SCHOOL,Republican,1,Will Pierce,Will,Pierce,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State Board of Education District 14,SCHOOL,Democratic,1,Danielle Stratton,Danielle,Stratton,false,active,,https://vote.utah.gov/2026-candidate-filings/
