politician_id,full_name,bioguide_id,topic_key,role,bill,introduced,title
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,gun-policy,cosponsor,SCONRES. 25,2026-01-08,"A concurrent resolution recognizing the 15th anniversary of the January 8, 2011, Tucson, Arizona, shooting and honoring the survivors and victims, including former Congresswoman Gabby Giffords, a gun violence survivor and one of the most influential voices of courage in the United States in the fight to end gun violence."
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,2020-election,cosponsor,SRES. 574,2026-01-06,"A resolution observing the fifth anniversary of the attack on the United States Capitol on January 6, 2021, and recognizing the essential work of United States Capitol personnel, including the United States Capitol Police."
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,2020-election,cosponsor,S. 3582,2026-01-06,No Rewards for January 6 Rioters Act
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,2020-election,cosponsor,S. 3581,2026-01-06,No Settlements for January 6 Law Enforcement Assaulters Act
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,gun-policy,cosponsor,S. 3544,2025-12-17,Federal Firearm Licensing Act
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,gun-policy,cosponsor,S. 3458,2025-12-11,Background Check Completion Act of 2025
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,military-intervention,cosponsor,SJRES. 98,2025-12-03,A joint resolution to direct the removal of United States Armed Forces from hostilities within or against Venezuela that have not been authorized by Congress.
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,gun-policy,cosponsor,S. 3214,2025-11-19,Background Check Expansion Act
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,military-intervention,cosponsor,SJRES. 90,2025-10-16,A joint resolution to direct the removal of United States Armed Forces from hostilities within or against Venezuela that have not been authorized by Congress.
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,gun-policy,cosponsor,S. 2155,2025-09-16,Keeping Gun Dealers Honest Act of 2025
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,gun-policy,cosponsor,S. 2514,2025-07-29,Gun Violence Prevention Research Act of 2025
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,gun-policy,cosponsor,S. 2192,2025-06-26,Clean Hands Firearm Procurement Act
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,gun-policy,cosponsor,S. 2158,2025-06-24,Stopping the Fraudulent Sale of Firearms Act
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,gun-policy,cosponsor,S. 1955,2025-06-04,Equal Access to Justice for Victims of Gun Violence Act
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,military-intervention,cosponsor,S. 696,2025-04-10,Protecting Our Guests During Hostilities in Ukraine Act
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,minimum-wage,cosponsor,S. 1332,2025-04-08,Raise the Wage Act of 2025
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,gun-policy,cosponsor,S. 595,2025-02-13,Office of Gun Violence Prevention Act of 2025
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,gun-policy,cosponsor,S. 468,2025-02-06,SECURE Firearm Storage Act
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,gun-policy,cosponsor,HRES. 1432,2024-09-10,"Expressing support for the designation of September 10, 2024, as ""National Firearm Suicide Prevention Day"" to educate about the growing firearm suicide crisis in the United States and promote the importance of storing firearms safely and securely as an essential component of suicide prevention."
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,border-security,cosponsor,HR. 9640,2024-09-18,Border Water Quality Restoration and Protection Act
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,2020-election,cosponsor,HRES. 1409,2024-08-06,Standing in solidarity with the Venezuelan people and condemning Nicolás Maduro's attempt to steal the Venezuelan Presidential election.
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,gun-policy,cosponsor,HR. 8842,2024-06-26,Preventing Pretrial Gun Purchases Act
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,israel-military-aid,cosponsor,HRES. 966,2024-01-16,Condemning rape and sexual violence committed by Hamas in its war against Israel.
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,israel-military-aid,cosponsor,HR. 6553,2023-12-01,To require the waiver of costs of activities relating to the evacuation of United States citizens endangered by acts of terrorism or war in Israel instigated by Hamas and other Islamist militant groups.
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,gun-policy,cosponsor,HR. 4202,2023-10-18,Multiple Firearm Sales Reporting Modernization Act of 2023
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,israel-military-aid,cosponsor,HRES. 778,2023-10-17,Demanding Senator Tommy Tuberville stop threatening United States and Israel security.
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,israel-military-aid,cosponsor,HRES. 793,2023-10-17,Calling on Hamas to immediately release hostages taken during October 2023 attack on Israel.
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,israel-military-aid,cosponsor,HRES. 771,2023-10-11,Standing with Israel as it defends itself against the barbaric war launched by Hamas and other terrorists.
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,israel-military-aid,cosponsor,HRES. 768,2023-10-10,Standing with Israel as it defends itself against the barbaric war launched by Hamas and other terrorists.
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,israel-military-aid,cosponsor,HCONRES. 61,2023-09-20,Supporting Israeli democracy.
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,2020-election,cosponsor,HRES. 644,2023-08-04,"Calling on the Judicial Conference of the United States to authorize that the trial of former President Donald J. Trump for his alleged crimes related to his efforts to overturn the 2020 election and his role in the January 6, 2021, insurrection be broadcast to the American public."
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,israel-military-aid,cosponsor,HR. 3907,2023-07-28,United States-Israel International Development Cooperation Act of 2023
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,gun-policy,cosponsor,HR. 5010,2023-07-27,Recognizing Gun Violence as a Public Health Emergency Act
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,minimum-wage,cosponsor,HR. 4889,2023-07-25,Raise the Wage Act of 2023
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,gun-policy,cosponsor,HR. 4780,2023-07-20,Language Access to Gun Violence Prevention Strategies Act of 2023
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,gun-policy,cosponsor,HR. 1478,2023-06-14,Federal Firearm Licensee Act
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,israel-military-aid,cosponsor,HR. 4076,2023-06-13,United States-Israel Health Technologies Cooperation Act
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,gun-policy,cosponsor,HR. 3962,2023-06-09,Resources for Victims of Gun Violence Act of 2023
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,israel-military-aid,cosponsor,HR. 3792,2023-06-07,U.S.-Israel Partnership and Abraham Accords Enhancement Act of 2023
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,gun-policy,cosponsor,HRES. 459,2023-05-31,"Expressing support for the designation of June 2, 2023, as ""National Gun Violence Awareness Day"" and June 2023 as ""National Gun Violence Awareness Month""."
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,israel-military-aid,cosponsor,HR. 1777,2023-05-10,United States-Israel Future of Warfare Act of 2023
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,military-intervention,cosponsor,HR. 2501,2023-05-02,Sunset for the 2001 Authorization for Use of Military Force Act
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,border-security,cosponsor,HR. 2760,2023-04-26,Dignity for Detained Immigrants Act
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,gun-policy,cosponsor,HR. 2753,2023-04-20,Firearms Retailer Code of Conduct Act of 2023
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,gun-policy,cosponsor,HR. 2403,2023-03-30,Enhanced Background Checks Act of 2023
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,gun-policy,cosponsor,HR. 715,2023-02-01,Bipartisan Background Checks Act of 2023
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,gun-policy,cosponsor,HR. 698,2023-02-01,Assault Weapons Ban of 2023
abbe5ec0-94fb-4230-bc7c-4b890e4e6387,Alan Armstrong,A000383,,,,,
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,2020-election,sponsor,SRES. 574,2026-01-06,"A resolution observing the fifth anniversary of the attack on the United States Capitol on January 6, 2021, and recognizing the essential work of United States Capitol personnel, including the United States Capitol Police."
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,2020-election,sponsor,S. 3582,2026-01-06,No Rewards for January 6 Rioters Act
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,border-security,sponsor,S. 2260,2025-07-10,Border Water Quality Restoration and Protection Act
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,gun-policy,sponsor,S. 2192,2025-06-26,Clean Hands Firearm Procurement Act
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,gun-policy,sponsor,S. 2158,2025-06-24,Stopping the Fraudulent Sale of Firearms Act
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,gun-policy,sponsor,S. 5209,2024-09-25,Clean Hands Firearm Procurement Act
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,border-security,sponsor,S. 5075,2024-09-17,Border Water Quality Restoration and Protection Act
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,border-security,sponsor,S. 1343,2023-04-27,Fair Adjudications for Immigrants Act
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,defense-spending,cosponsor,S. 5189,2026-08-04,"A bill to amend title 10, United States Code, and the National Defense Authorization Act for Fiscal Year 1994, to codify and clarify gender neutral standards for members of certain Armed Forces, and for other purposes."
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,cannabis-policy,cosponsor,S. 5022,2026-07-16,Cannabis Administration and Opportunity Act
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,border-security,cosponsor,SRES. 796,2026-06-24,"A resolution recognizing the upcoming 250th anniversary of the United States of America and reaffirming the commitment of the Senate to the Nation's founding ideals of liberty, equality, and opportunity for all immigrant communities in the United States."
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,gun-policy,cosponsor,S. 4926,2026-06-24,State Firearms Dealer Licensing Enhancement Act
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,gun-policy,cosponsor,S. 4776,2026-06-11,Gun Records Restoration and Preservation Act
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,gun-policy,cosponsor,SRES. 756,2026-06-08,"A resolution expressing support for the designation of June 5, 2026, as ""National Gun Violence Awareness Day"" and June 2026 as ""National Gun Violence Awareness Month""."
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,gun-policy,cosponsor,SCONRES. 34,2026-06-01,"A concurrent resolution recognizing the importance of saving lives, reducing gun violence, and strengthening public safety as the United States celebrates its 250th anniversary."
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,gun-policy,cosponsor,S. 4454,2026-04-30,Firearm Safety Act of 2026
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,military-intervention,cosponsor,SJRES. 124,2026-04-28,A joint resolution to direct the removal of United States Armed Forces from hostilities within or against the Republic of Cuba that have not been authorized by Congress.
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,military-intervention,cosponsor,SJRES. 116,2026-03-20,A joint resolution to direct the removal of United States Armed Forces from hostilities within or against the Islamic Republic of Iran that have not been authorized by Congress.
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,military-intervention,cosponsor,SJRES. 104,2026-02-26,A joint resolution to direct the removal of United States Armed Forces from hostilities within or against the Islamic Republic of Iran that have not been authorized by Congress.
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,gun-policy,cosponsor,S. 3875,2026-02-12,Responsible Firearms Marketing Act
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,border-security,cosponsor,S. 3702,2026-01-27,Dignity for Detained Immigrants Act
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,gun-policy,cosponsor,SCONRES. 25,2026-01-14,"A concurrent resolution recognizing the 15th anniversary of the January 8, 2011, Tucson, Arizona, shooting and honoring the survivors and victims, including former Congresswoman Gabby Giffords, a gun violence survivor and one of the most influential voices of courage in the United States in the fight to end gun violence."
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,military-intervention,cosponsor,SJRES. 98,2026-01-08,A joint resolution to direct the removal of United States Armed Forces from hostilities within or against Venezuela that have not been authorized by Congress.
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,2020-election,cosponsor,S. 3581,2026-01-06,No Settlements for January 6 Law Enforcement Assaulters Act
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,gun-policy,cosponsor,S. 3544,2025-12-17,Federal Firearm Licensing Act
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,gun-policy,cosponsor,S. 3458,2025-12-11,Background Check Completion Act of 2025
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,gun-policy,cosponsor,S. 3214,2025-11-19,Background Check Expansion Act
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,military-intervention,cosponsor,SJRES. 90,2025-11-05,A joint resolution to direct the removal of United States Armed Forces from hostilities within or against Venezuela that have not been authorized by Congress.
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,military-intervention,cosponsor,SJRES. 83,2025-10-08,A joint resolution to direct the removal of United States Armed Forces from hostilities that have not been authorized by Congress.
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,gun-policy,cosponsor,S. 2514,2025-07-29,Gun Violence Prevention Research Act of 2025
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,gun-policy,cosponsor,S. 2186,2025-06-26,Preventing Pretrial Gun Purchases Act
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,gun-policy,cosponsor,S. 2165,2025-06-25,3D Printed Gun Safety Act of 2025
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,gun-policy,cosponsor,S. 2154,2025-06-24,Protecting Kids from Gun Marketing Act
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,gun-policy,cosponsor,S. 2155,2025-06-24,Keeping Gun Dealers Honest Act of 2025
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,border-security,cosponsor,S. 2149,2025-06-24,Health Equity and Access under the Law for Immigrant Families Act of 2025
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,border-security,cosponsor,S. 1965,2025-06-05,Protect Vulnerable Immigrant Youth Act
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,gun-policy,cosponsor,S. 1955,2025-06-04,Equal Access to Justice for Victims of Gun Violence Act
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,gun-policy,cosponsor,S. 1531,2025-04-30,Assault Weapons Ban of 2025
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,gun-policy,cosponsor,S. 1466,2025-04-10,Resources for Victims of Gun Violence Act of 2025
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,minimum-wage,cosponsor,S. 1332,2025-04-08,Raise the Wage Act of 2025
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,gun-policy,cosponsor,S. 1294,2025-04-03,Federal Firearm Licensee Act
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,military-intervention,cosponsor,S. 696,2025-02-25,Protecting Our Guests During Hostilities in Ukraine Act
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,border-security,cosponsor,S. 548,2025-02-12,Caribbean Border Counternarcotics Strategy Act
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,gun-policy,cosponsor,S. 4706,2024-07-31,Federal Firearm Licensee Act
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,gun-policy,cosponsor,S. 4612,2024-07-09,Preventing Pretrial Gun Purchases Act
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,cannabis-policy,cosponsor,S. 4226,2024-05-01,Cannabis Administration and Opportunity Act
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,minimum-wage,cosponsor,S. 2488,2023-07-25,Raise the Wage Act of 2023
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,gun-policy,cosponsor,S. 2048,2023-06-20,Equal Access to Justice for Victims of Gun Violence Act
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,gun-policy,cosponsor,S. 1819,2023-06-06,3D Printed Gun Safety Act of 2023
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,border-security,cosponsor,S. 1885,2023-06-21,Protect Vulnerable Immigrant Youth Act
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,border-security,cosponsor,SRES. 243,2023-06-08,"A resolution recognizing the month of June 2023 as ""Immigrant Heritage Month"", a celebration of the accomplishments and contributions of immigrants and their children in making the United States a healthier, safer, more diverse, prosperous country, and acknowledging the importance of immigrants and their children to the future successes of the United States."
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,gun-policy,cosponsor,S. 494,2023-02-16,Background Check Expansion Act
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,gun-policy,cosponsor,S. 25,2023-01-23,Assault Weapons Ban of 2023
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,israel-military-aid,cosponsor,S. 1143,2023-03-30,United States-Israel PTSD Collaborative Research Act
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,border-security,cosponsor,S. 1600,2023-05-15,"Border Management, Security, and Assistance Act of 2023"
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,cannabis-policy,cosponsor,S. 1204,2023-04-19,Veterans Medical Marijuana Safe Harbor Act.
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,gun-policy,cosponsor,S. 1116,2023-03-30,Background Check Completion Act of 2023
2717ff94-f7e8-4b39-b6ec-fc3e30f3d46f,Alex Padilla,P000145,gun-policy,cosponsor,S. 867,2023-03-16,State Firearms Dealer Licensing Enhancement Act
