# AL split state. Severe (withheld) geo_ids per 163-al-correspondence-audit.md: 0102 (AL-2 only). Late-primary (PROVISIONAL) districts: AL-1/2/6/7 (Aug-11 special primary, cull >= 2026-08-12). Withheld election date 2026-06-02 (SCOTUS stay), validated invisible (>30d past) at execution 2026-07-05. SCOTUS stay confirmed operative by 163-01 audit re-verification (2026-07-05).
cd,geo_id,full_name,party_from_field,decision,assign_external_id,is_incumbent,primary_timing,severity,election,source
4,0104,"Robert Aderholt",R,REUSE,-1004,true,DECIDED,NOT-SEVERE,"AL 2026 Statewide General","160-field-table-p163.csv (AL rows), sourced from Wikipedia 2026 US House elections in Alabama; AL-1/2/6/7 provisional pre-primary field (Aug-11 SCOTUS-ordered special primary), cull >= 2026-08-12; AL-3/4/5 decided general field"
4,0104,"Amanda Pusczek",D,NEW,-10401,false,DECIDED,NOT-SEVERE,"AL 2026 Statewide General","160-field-table-p163.csv (AL rows), sourced from Wikipedia 2026 US House elections in Alabama; AL-1/2/6/7 provisional pre-primary field (Aug-11 SCOTUS-ordered special primary), cull >= 2026-08-12; AL-3/4/5 decided general field"
5,0105,"Dale Strong",R,REUSE,-1005,true,DECIDED,NOT-SEVERE,"AL 2026 Statewide General","160-field-table-p163.csv (AL rows), sourced from Wikipedia 2026 US House elections in Alabama; AL-1/2/6/7 provisional pre-primary field (Aug-11 SCOTUS-ordered special primary), cull >= 2026-08-12; AL-3/4/5 decided general field"
5,0105,"Andrew Sneed",D,NEW,-10501,false,DECIDED,NOT-SEVERE,"AL 2026 Statewide General","160-field-table-p163.csv (AL rows), sourced from Wikipedia 2026 US House elections in Alabama; AL-1/2/6/7 provisional pre-primary field (Aug-11 SCOTUS-ordered special primary), cull >= 2026-08-12; AL-3/4/5 decided general field"
6,0106,"Gary Palmer",R,REUSE,-1006,true,LATE-PRIMARY,NOT-SEVERE,"AL 2026 Statewide General","160-field-table-p163.csv (AL rows), sourced from Wikipedia 2026 US House elections in Alabama; AL-1/2/6/7 provisional pre-primary field (Aug-11 SCOTUS-ordered special primary), cull >= 2026-08-12; AL-3/4/5 decided general field"
6,0106,"Case Dixon",R,NEW,-10601,false,LATE-PRIMARY,NOT-SEVERE,"AL 2026 Statewide General","160-field-table-p163.csv (AL rows), sourced from Wikipedia 2026 US House elections in Alabama; AL-1/2/6/7 provisional pre-primary field (Aug-11 SCOTUS-ordered special primary), cull >= 2026-08-12; AL-3/4/5 decided general field"
6,0106,"Jacob Bouma-Sims",D,NEW,-10602,false,LATE-PRIMARY,NOT-SEVERE,"AL 2026 Statewide General","160-field-table-p163.csv (AL rows), sourced from Wikipedia 2026 US House elections in Alabama; AL-1/2/6/7 provisional pre-primary field (Aug-11 SCOTUS-ordered special primary), cull >= 2026-08-12; AL-3/4/5 decided general field"
6,0106,"Ashtyn Kennedy",D,NEW,-10603,false,LATE-PRIMARY,NOT-SEVERE,"AL 2026 Statewide General","160-field-table-p163.csv (AL rows), sourced from Wikipedia 2026 US House elections in Alabama; AL-1/2/6/7 provisional pre-primary field (Aug-11 SCOTUS-ordered special primary), cull >= 2026-08-12; AL-3/4/5 decided general field"
6,0106,"Maurice Mercer",D,NEW,-10604,false,LATE-PRIMARY,NOT-SEVERE,"AL 2026 Statewide General","160-field-table-p163.csv (AL rows), sourced from Wikipedia 2026 US House elections in Alabama; AL-1/2/6/7 provisional pre-primary field (Aug-11 SCOTUS-ordered special primary), cull >= 2026-08-12; AL-3/4/5 decided general field"
6,0106,"Keith Pilkington",D,NEW,-10605,false,LATE-PRIMARY,NOT-SEVERE,"AL 2026 Statewide General","160-field-table-p163.csv (AL rows), sourced from Wikipedia 2026 US House elections in Alabama; AL-1/2/6/7 provisional pre-primary field (Aug-11 SCOTUS-ordered special primary), cull >= 2026-08-12; AL-3/4/5 decided general field"
7,0107,"Terri Sewell",D,REUSE,-1007,true,LATE-PRIMARY,NOT-SEVERE,"AL 2026 Statewide General","160-field-table-p163.csv (AL rows), sourced from Wikipedia 2026 US House elections in Alabama; AL-1/2/6/7 provisional pre-primary field (Aug-11 SCOTUS-ordered special primary), cull >= 2026-08-12; AL-3/4/5 decided general field"
7,0107,"Ammie Akin",R,NEW,-10701,false,LATE-PRIMARY,NOT-SEVERE,"AL 2026 Statewide General","160-field-table-p163.csv (AL rows), sourced from Wikipedia 2026 US House elections in Alabama; AL-1/2/6/7 provisional pre-primary field (Aug-11 SCOTUS-ordered special primary), cull >= 2026-08-12; AL-3/4/5 decided general field"
7,0107,"David Perry",R,NEW,-10702,false,LATE-PRIMARY,NOT-SEVERE,"AL 2026 Statewide General","160-field-table-p163.csv (AL rows), sourced from Wikipedia 2026 US House elections in Alabama; AL-1/2/6/7 provisional pre-primary field (Aug-11 SCOTUS-ordered special primary), cull >= 2026-08-12; AL-3/4/5 decided general field"
