politician_name,office_title,committee_name,committee_id,cmt_type,decision,reason
"Fiona Ma","Treasurer","Marisa Alcaraz for City Council 2023","1457146","C","confirm","lastName ""Ma"" in committee name, cmt_type=C (Candidate)"
"Fiona Ma","Treasurer","Manuel for City Council 2022","1445187","C","confirm","lastName ""Ma"" in committee name, cmt_type=C (Candidate)"
"Fiona Ma","Treasurer","Hellman for City Council 2022","1437338","C","confirm","lastName ""Ma"" in committee name, cmt_type=C (Candidate)"
"Fiona Ma","Treasurer","Matt Szabo for City Council 2013","1348750","C","confirm","lastName ""Ma"" in committee name, cmt_type=C (Candidate)"
"Fiona Ma","Treasurer","Emile Mack for City Council 2013","1346350","C","confirm","lastName ""Ma"" in committee name, cmt_type=C (Candidate)"
"Fiona Ma","Treasurer","John Mavar for City Council 2011","1340357","C","confirm","lastName ""Ma"" in committee name, cmt_type=C (Candidate)"
"Fiona Ma","Treasurer","Jabari S. Jumaane for City Council 2011","1333054","C","confirm","lastName ""Ma"" in committee name, cmt_type=C (Candidate)"
"Fiona Ma","Treasurer","Manley 4 Councilman Campaign","1292748","C","confirm","lastName ""Ma"" in committee name, cmt_type=C (Candidate)"
"Fiona Ma","Treasurer","Marisa Alcaraz for City Council 2023 General","1459819","C","confirm","lastName ""Ma"" in committee name, cmt_type=C (Candidate)"
"Fiona Ma","Treasurer","Clean Water Clean Government to Support Marisa Alcaraz for City Council 2023","1459184","P","ambiguous","lastName ""Ma"" in committee name but cmt_type=""P"" (not C)"
"Francis B. Bennett II","","Californians to Preserve and Protect Local Jobs and Essential Community Services, sponsored by Hawaiian Gardens Casino","1465492","G","ambiguous","lastName ""II"" in committee name but cmt_type=""G"" (not C)"
"Francis De","Council Member","GRANDE FOR CITY COUNCIL 2026","1483817","C","confirm","lastName ""De"" in committee name, cmt_type=C (Candidate)"
"Francis De","Council Member","De Vera for City Council","1281290","C","confirm","lastName ""De"" in committee name, cmt_type=C (Candidate)"
"Francis De","Council Member","Ana Grande for City Council 2013","1349181","C","confirm","lastName ""De"" in committee name, cmt_type=C (Candidate)"
"Francis De","Council Member","Committee to Elect Frederick Sutton to City Council 2013","1353001","C","confirm","lastName ""De"" in committee name, cmt_type=C (Candidate)"
"Francis De","Council Member","Richard Valdez for Council 2013","1355801","C","confirm","lastName ""De"" in committee name, cmt_type=C (Candidate)"
"Francis De","Council Member","Delpit for City Council 2015","1362709","C","confirm","lastName ""De"" in committee name, cmt_type=C (Candidate)"
"Francis De","Council Member","American Federation of Teachers Solidarity Committee","1413452","G","ambiguous","lastName ""De"" in committee name but cmt_type=""G"" (not C)"
"Francis De","Council Member","Kevin de Leon for City Council 2020","1415916","C","confirm","lastName ""De"" in committee name, cmt_type=C (Candidate)"
"Francis De","Council Member","Kevin de Leon for City Council 2024","1463138","C","confirm","lastName ""De"" in committee name, cmt_type=C (Candidate)"
"Francis De","Council Member","The Mexican & Asian American Leadership PAC To Support De Leon for City Council 2024","1474094","P","ambiguous","lastName ""De"" in committee name but cmt_type=""P"" (not C)"
"Francis Flores","Council Member","Fred Flores for City Council 2017","1393251","C","confirm","lastName ""Flores"" in committee name, cmt_type=C (Candidate)"
"Gail Ruderman Feuer","","Mike Feuer for City Attorney 2013","1341335","C","confirm","lastName ""Feuer"" in committee name, cmt_type=C (Candidate)"
"Gale Reyes","Board Member","Eddie Reyes for City Council","1272919","C","confirm","lastName ""Reyes"" in committee name, cmt_type=C (Candidate)"
"Gary D. Roberts","","David Roberts for LA City Council 2013","1348434","C","confirm","lastName ""Roberts"" in committee name, cmt_type=C (Candidate)"
"Gary L Miller","Superior Court Judge","Miller for Mayor","1262901","C","confirm","lastName ""Miller"" in committee name, cmt_type=C (Candidate)"
"George Lewis","Council Member","Lewis for City Council District 9 2013","1344652","C","confirm","lastName ""Lewis"" in committee name, cmt_type=C (Candidate)"
"Gil Cisneros","Representative","Eduardo Cisneros for LAUSD 2019","1413741","C","confirm","lastName ""Cisneros"" in committee name, cmt_type=C (Candidate)"
"Greg Day","Sheriff","Daymond Johnson 4 Board of Education","1363384","C","confirm","lastName ""Day"" in committee name, cmt_type=C (Candidate)"
"H. Clay Jacke II","","Californians to Preserve and Protect Local Jobs and Essential Community Services, sponsored by Hawaiian Gardens Casino","1465492","G","ambiguous","lastName ""II"" in committee name but cmt_type=""G"" (not C)"
"Heather Hutt","Council Member","Heather Hutt for City Council 2024","1458184","C","confirm","lastName ""Hutt"" in committee name, cmt_type=C (Candidate)"
"Hector M. Guzman","","Christian L. Guzman for City Council 2022","1438114","C","confirm","lastName ""Guzman"" in committee name, cmt_type=C (Candidate)"
"Isaac G. Bryan","Assembly Member","Bryant Odega for LA City Council 2022","1435067","C","confirm","lastName ""Bryan"" in committee name, cmt_type=C (Candidate)"
"Jacqueline H. Lewis","","Lewis for City Council District 9 2013","1344652","C","confirm","lastName ""Lewis"" in committee name, cmt_type=C (Candidate)"
"Jacqui Irwin","Assembly Member","Irwin for L.A City Council 2022","1435063","C","confirm","lastName ""Irwin"" in committee name, cmt_type=C (Candidate)"
"Jaime Flores","Council Member","Fred Flores for City Council 2017","1393251","C","confirm","lastName ""Flores"" in committee name, cmt_type=C (Candidate)"
"James Moore","Board Member","Committee to Elect Walter Moore","1297003","C","confirm","lastName ""Moore"" in committee name, cmt_type=C (Candidate)"
"Jason Lyon","Councilmember","Lyons for City Council 2022","1437547","C","confirm","lastName ""Lyon"" in committee name, cmt_type=C (Candidate)"
"Jason Turner","Board Member","Citizens to Elect Gordon Turner","1313965","C","confirm","lastName ""Turner"" in committee name, cmt_type=C (Candidate)"
"Jean M. Ayala","Council Member","Friends of Olga Ayala for City Council 2017","1388584","C","confirm","lastName ""Ayala"" in committee name, cmt_type=C (Candidate)"
"Jeffrey Hall","Coroner","ISADORE HALL FOR CITY CONTROLLER 2026","1483798","C","confirm","lastName ""Hall"" in committee name, cmt_type=C (Candidate)"
"Jesse Brown","/Marion City/County Council - District 13","Chris Brown for City Council 2011","1333406","C","confirm","lastName ""Brown"" in committee name, cmt_type=C (Candidate)"
"Jesus Rivera","Council Member","Rivera for Council  2005","1271138","C","confirm","lastName ""Rivera"" in committee name, cmt_type=C (Candidate)"
"Joan C Hall","Monroe County: Salt Creek Township Trustee","ISADORE HALL FOR CITY CONTROLLER 2026","1483798","C","confirm","lastName ""Hall"" in committee name, cmt_type=C (Candidate)"
"Joanna Robinson","Board Member","Robinson for School Board 2013","1352444","C","confirm","lastName ""Robinson"" in committee name, cmt_type=C (Candidate)"
"Joe Ramos","Board Member","RICHARD RAMOS FOR LA Board of Education 2024","1462085","C","confirm","lastName ""Ramos"" in committee name, cmt_type=C (Candidate)"
"John C. Lawson II","","Californians to Preserve and Protect Local Jobs and Essential Community Services, sponsored by Hawaiian Gardens Casino","1465492","G","ambiguous","lastName ""II"" in committee name but cmt_type=""G"" (not C)"
"John David Lord","","Lord for City Council District 12 2011","1332490","C","confirm","lastName ""Lord"" in committee name, cmt_type=C (Candidate)"
"John Lewis","Mayor","Lewis for City Council District 9 2013","1344652","C","confirm","lastName ""Lewis"" in committee name, cmt_type=C (Candidate)"
"John M. Mora","Council Member","Raquel Zamora for Los Angeles City Council District 14-2020","1419525","C","confirm","lastName ""Mora"" in committee name, cmt_type=C (Candidate)"
"Jordan Dant","Council - District 1","Abundant Housing LA PAC","1442154","G","ambiguous","lastName ""Dant"" in committee name but cmt_type=""G"" (not C)"
"Joseph Crawford","Board Member","Scott Crawford for City Council 2013","1343097","C","confirm","lastName ""Crawford"" in committee name, cmt_type=C (Candidate)"
"Josh Greene","Sheriff","Go Greene Los Angeles City Council 15 2011","1340303","C","confirm","lastName ""Greene"" in committee name, cmt_type=C (Candidate)"
"Juan Benitez","Board Member","Ricardo Benitez for City Council 2013","1350794","C","confirm","lastName ""Benitez"" in committee name, cmt_type=C (Candidate)"
"Juan Carrillo","Assembly Member","Wendy Carrillo for City Council 2024","1460058","C","confirm","lastName ""Carrillo"" in committee name, cmt_type=C (Candidate)"
"Judith A Sharp","Assessor","Sharp for Mayor 2017","1386452","C","confirm","lastName ""Sharp"" in committee name, cmt_type=C (Candidate)"
"Karen Douglas","Public Utilities Commissioner","Douglas Sierra for City Council 6 Special 2023","1456540","C","confirm","lastName ""Douglas"" in committee name, cmt_type=C (Candidate)"
"Karen S Abrams","Council - At Large","Scott Abrams for City Council 2019","1414946","C","confirm","lastName ""Abrams"" in committee name, cmt_type=C (Candidate)"
"Kate S Bell","Circuit Court Clerk","John Sandy Campbell for LAUSD Board 2020","1422851","C","confirm","lastName ""Bell"" in committee name, cmt_type=C (Candidate)"
"Katie Jenner","Secretary of Education","Phil Jennerjahn for Mayor","1313447","C","confirm","lastName ""Jenner"" in committee name, cmt_type=C (Candidate)"
"Keith Eich","Council Member","Adeena Bleich for City Council 2009","1306902","C","confirm","lastName ""Eich"" in committee name, cmt_type=C (Candidate)"
"Kelli M. Evans","","William Morrison My Time for City Council","Pending","C","reject","lastName ""Evans"" not found in committee name"
"Kelli M. Evans","","Evans 2009 Community People","1307513","C","confirm","lastName ""Evans"" in committee name, cmt_type=C (Candidate)"
"Kenny L Bryant","Monroe County: Washington Township Board","Bryant Odega for LA City Council 2022","1435067","C","confirm","lastName ""Bryant"" in committee name, cmt_type=C (Candidate)"
"Kerry L. White","","Dr. White for School Board 2022","1435619","C","confirm","lastName ""White"" in committee name, cmt_type=C (Candidate)"
"Konstantine Anthony","Council Member","Anthony Santich for Los Angeles City Council 2022","1443678","C","confirm","lastName ""Anthony"" in committee name, cmt_type=C (Candidate)"
"Lana Negrete","Council Member","Robert Negrete 4 City Council 2013","1351169","C","confirm","lastName ""Negrete"" in committee name, cmt_type=C (Candidate)"
"Laquita Moore","Board Member","Committee to Elect Walter Moore","1297003","C","confirm","lastName ""Moore"" in committee name, cmt_type=C (Candidate)"
"Laura McCorkindale and Adam","Council Member","Adam Summer for City Council 2020","1421748","C","confirm","lastName ""Adam"" in committee name, cmt_type=C (Candidate)"
"Laurence D. Moor","","Committee to Elect Walter Moore","1297003","C","confirm","lastName ""Moor"" in committee name, cmt_type=C (Candidate)"
"Lee W. Tsao","","Nick Patsaouras '09","1313452","C","confirm","lastName ""Tsao"" in committee name, cmt_type=C (Candidate)"
"Linda E Brown","Superior Court Judge","Chris Brown for City Council 2011","1333406","C","confirm","lastName ""Brown"" in committee name, cmt_type=C (Candidate)"
"Linda Journey","Marion County: Center Township Board - District 3","United Association of Journeymen & Apprentices of the Plumbing & Pipefitting Industry Local Union Number 345 Political Action Committee, a committee for Measure RR","890464","P","ambiguous","lastName ""Journey"" in committee name but cmt_type=""P"" (not C)"
"Linda Miller","Board Member","Miller for Mayor","1262901","C","confirm","lastName ""Miller"" in committee name, cmt_type=C (Candidate)"
"Lorene Reed","Board Member","Creed for Council 2017","1385588","C","confirm","lastName ""Reed"" in committee name, cmt_type=C (Candidate)"
"Lori Woods","Council Member","Woods for City Council 2020","1415912","C","confirm","lastName ""Woods"" in committee name, cmt_type=C (Candidate)"
"Lorraine Avila Moore","Council Member","Committee to Elect Walter Moore","1297003","C","confirm","lastName ""Moore"" in committee name, cmt_type=C (Candidate)"
"Lowrie J. Mendoza","","Mendoza for City Council 2007","1293085","C","confirm","lastName ""Mendoza"" in committee name, cmt_type=C (Candidate)"
"Lowynn Y. Young","","Katy Young Yaroslavsky for City Council 2022","1431870","C","confirm","lastName ""Young"" in committee name, cmt_type=C (Candidate)"
"Manuel Acosta","Council Member","Acosta for Mayor 2026","1485314","C","confirm","lastName ""Acosta"" in committee name, cmt_type=C (Candidate)"
"Mari H Miller","Assessor","Miller for Mayor","1262901","C","confirm","lastName ""Miller"" in committee name, cmt_type=C (Candidate)"
"Maria Avalos","Board Member","Avalos for City Council 2022","1438306","C","confirm","lastName ""Avalos"" in committee name, cmt_type=C (Candidate)"
"Maria del Pilar Avalos","Council Member","Avalos for City Council 2022","1438306","C","confirm","lastName ""Avalos"" in committee name, cmt_type=C (Candidate)"
"Mark A. Young","","Katy Young Yaroslavsky for City Council 2022","1431870","C","confirm","lastName ""Young"" in committee name, cmt_type=C (Candidate)"
"Mark Brown","Board Member","Chris Brown for City Council 2011","1333406","C","confirm","lastName ""Brown"" in committee name, cmt_type=C (Candidate)"
"Mark H. Epstein","","Scott Epstein for LA City Council 2022","1434365","C","confirm","lastName ""Epstein"" in committee name, cmt_type=C (Candidate)"
"Mark Henderson","Council Member","HENDERSON FOR LAUSD BOARD 2020","1416375","C","confirm","lastName ""Henderson"" in committee name, cmt_type=C (Candidate)"
"Mark S. Arnold","","Caney Arnold for City Council 2017","1393423","C","confirm","lastName ""Arnold"" in committee name, cmt_type=C (Candidate)"
"Martha A Turner","Auditor","Citizens to Elect Gordon Turner","1313965","C","confirm","lastName ""Turner"" in committee name, cmt_type=C (Candidate)"
"Mary Ann Pacheco","Council Member","Pacheco for City Council","1277206","C","confirm","lastName ""Pacheco"" in committee name, cmt_type=C (Candidate)"
"Mary Mendoza","Mayor","Mendoza for City Council 2007","1293085","C","confirm","lastName ""Mendoza"" in committee name, cmt_type=C (Candidate)"
"Megan Ngo","Board Member","Lovingood for City Council 2020","1419269","C","confirm","lastName ""Ngo"" in committee name, cmt_type=C (Candidate)"
"Melissa C. Lyons","","Lyons for City Council 2022","1437547","C","confirm","lastName ""Lyons"" in committee name, cmt_type=C (Candidate)"
"Melissa Linton","Board Member","Daniel Klinton Barnett for Los Angeles City Council 2011","1327361","C","confirm","lastName ""Linton"" in committee name, cmt_type=C (Candidate)"
"Michael R Moore","Coroner","Committee to Elect Walter Moore","1297003","C","confirm","lastName ""Moore"" in committee name, cmt_type=C (Candidate)"
"Michael R. Amerian","","Michael Amerian for City Attorney 2009","1304945","C","confirm","lastName ""Amerian"" in committee name, cmt_type=C (Candidate)"
"Michael R. Powell","","Powell for Los Angeles Unified School Board District 1 2020","1422678","C","confirm","lastName ""Powell"" in committee name, cmt_type=C (Candidate)"
"Michael Rock","Board Member","Re-elect Rocky","1256046","C","confirm","lastName ""Rock"" in committee name, cmt_type=C (Candidate)"
"Michelle Bright","Monroe County: Benton Township Trustee","CD 12 Residents for a Brighter Future in Support of Stella Maloyan for City Council 2019","1418672","P","ambiguous","lastName ""Bright"" in committee name but cmt_type=""P"" (not C)"
"Monica Ayala","Board Member","Friends of Olga Ayala for City Council 2017","1388584","C","confirm","lastName ""Ayala"" in committee name, cmt_type=C (Candidate)"
"Nadia Mendoza","Council Member","Mendoza for City Council 2007","1293085","C","confirm","lastName ""Mendoza"" in committee name, cmt_type=C (Candidate)"
"Natasha Henderson","Board Member","HENDERSON FOR LAUSD BOARD 2020","1416375","C","confirm","lastName ""Henderson"" in committee name, cmt_type=C (Candidate)"
"Nathan L Abrams","Commission - District 2","Scott Abrams for City Council 2019","1414946","C","confirm","lastName ""Abrams"" in committee name, cmt_type=C (Candidate)"
"Paris G. Lewis","","Lewis for City Council District 9 2013","1344652","C","confirm","lastName ""Lewis"" in committee name, cmt_type=C (Candidate)"
"Patricia A. Young","","Katy Young Yaroslavsky for City Council 2022","1431870","C","confirm","lastName ""Young"" in committee name, cmt_type=C (Candidate)"
"Patricia Avalos","Board Member","Avalos for City Council 2022","1438306","C","confirm","lastName ""Avalos"" in committee name, cmt_type=C (Candidate)"
"Patricia Cortez","Council Member","Madeline Cortez Le for City Controller 2022","1429316","C","confirm","lastName ""Cortez"" in committee name, cmt_type=C (Candidate)"
"Patricia Guerrero","","Genny Guerrero for City Council District 14, 2024","1460698","C","confirm","lastName ""Guerrero"" in committee name, cmt_type=C (Candidate)"
"Patsy Ayala","Councilmember","Friends of Olga Ayala for City Council 2017","1388584","C","confirm","lastName ""Ayala"" in committee name, cmt_type=C (Candidate)"
"Patty Pacheco","Board Member","Pacheco for City Council","1277206","C","confirm","lastName ""Pacheco"" in committee name, cmt_type=C (Candidate)"
"Polly Low","Council Member","Winslow City Council 2015","1362997","C","confirm","lastName ""Low"" in committee name, cmt_type=C (Candidate)"
"R. B Turner","Council - At Large","Citizens to Elect Gordon Turner","1313965","C","confirm","lastName ""Turner"" in committee name, cmt_type=C (Candidate)"
"Ramiro P. Cisneros","","Eduardo Cisneros for LAUSD 2019","1413741","C","confirm","lastName ""Cisneros"" in committee name, cmt_type=C (Candidate)"
"Randall L Brown","Council - District 1","Chris Brown for City Council 2011","1333406","C","confirm","lastName ""Brown"" in committee name, cmt_type=C (Candidate)"
"Randell Herr","Board Member","SHERRI ONICA VALLE COLE FOR CITY ATTORNEY 2022","1437848","C","confirm","lastName ""Herr"" in committee name, cmt_type=C (Candidate)"
"Randolph Love","Board Member","Roye Love for LAUSD School Board","1334694","C","confirm","lastName ""Love"" in committee name, cmt_type=C (Candidate)"
"Randy Gonzales","Board Member","Friends of Paul Gonzales","1277567","C","confirm","lastName ""Gonzales"" in committee name, cmt_type=C (Candidate)"
"Ricardo R. Ocampo","","Alex De Ocampo for LA City Council 2013","1347880","C","confirm","lastName ""Ocampo"" in committee name, cmt_type=C (Candidate)"
"Richard M. Goul","","Noel Gould for City Council 2017","1393652","C","confirm","lastName ""Goul"" in committee name, cmt_type=C (Candidate)"
"Robert Gin","Board Member","Johnny Higginson for City Council 2017","1384070","C","confirm","lastName ""Gin"" in committee name, cmt_type=C (Candidate)"
"Robert Gonzales","Mayor","Friends of Paul Gonzales","1277567","C","confirm","lastName ""Gonzales"" in committee name, cmt_type=C (Candidate)"
"Robert Luna","Sheriff","Sylvia Luna for 1st District Council","1268665","C","confirm","lastName ""Luna"" in committee name, cmt_type=C (Candidate)"
"Roger T. Ito","","Committee to Elect Benito Benny Bernal for City Council 2020","1421141","C","confirm","lastName ""Ito"" in committee name, cmt_type=C (Candidate)"
"Ron Gibson","/Marion City/County Council - District 8","Friends of Gibson for Council District 7 in 2017","1391288","C","confirm","lastName ""Gibson"" in committee name, cmt_type=C (Candidate)"
"Rosario Guzman","Board Member","Christian L. Guzman for City Council 2022","1438114","C","confirm","lastName ""Guzman"" in committee name, cmt_type=C (Candidate)"
"Rosemary Cortez","Board Member","Madeline Cortez Le for City Controller 2022","1429316","C","confirm","lastName ""Cortez"" in committee name, cmt_type=C (Candidate)"
"Ross J. Maza","Council Member","Mazariegos for City Council 2026","1479131","C","confirm","lastName ""Maza"" in committee name, cmt_type=C (Candidate)"
"Ruben D Marte","Sheriff","Lisa Martellaro-Palmer, Candidate for CD6, 2007","1289067","C","confirm","lastName ""Marte"" in committee name, cmt_type=C (Candidate)"
"Ruth M. Low","Council Member","Winslow City Council 2015","1362997","C","confirm","lastName ""Low"" in committee name, cmt_type=C (Candidate)"
"Ryan White","Sheriff","Dr. White for School Board 2022","1435619","C","confirm","lastName ""White"" in committee name, cmt_type=C (Candidate)"
"Scott Turner","Secretary of Housing and Urban Development","Citizens to Elect Gordon Turner","1313965","C","confirm","lastName ""Turner"" in committee name, cmt_type=C (Candidate)"
"Sean P Hall","Monroe County: Salt Creek Township Board","ISADORE HALL FOR CITY CONTROLLER 2026","1483798","C","confirm","lastName ""Hall"" in committee name, cmt_type=C (Candidate)"
"Sergio C. Tapia II","","Californians to Preserve and Protect Local Jobs and Essential Community Services, sponsored by Hawaiian Gardens Casino","1465492","G","ambiguous","lastName ""II"" in committee name but cmt_type=""G"" (not C)"
"Sherry Powell","","Powell for Los Angeles Unified School Board District 1 2020","1422678","C","confirm","lastName ""Powell"" in committee name, cmt_type=C (Candidate)"
"Sho Tay","Board Member","Martayan for Los Angeles Unified School Board 2017","1391482","C","confirm","lastName ""Tay"" in committee name, cmt_type=C (Candidate)"
"Sonia Campos","Board Member","Edgar Campos For School Board 2020","1418323","C","confirm","lastName ""Campos"" in committee name, cmt_type=C (Candidate)"
"Susan Ser","","Serrano for City Council District 10","1278506","C","confirm","lastName ""Ser"" in committee name, cmt_type=C (Candidate)"
"Susan Ser","","Serena Oberstein for L.A. City Council 2024","1463856","C","confirm","lastName ""Ser"" in committee name, cmt_type=C (Candidate)"
"Susan Ser","","Serrano for City Council","1293077","C","confirm","lastName ""Ser"" in committee name, cmt_type=C (Candidate)"
"Suzy Moore","Board Member","Committee to Elect Walter Moore","1297003","C","confirm","lastName ""Moore"" in committee name, cmt_type=C (Candidate)"
"Tamara E. Hall","","ISADORE HALL FOR CITY CONTROLLER 2026","1483798","C","confirm","lastName ""Hall"" in committee name, cmt_type=C (Candidate)"
