politician_name,office_title,committee_name,external_id,decision,reason
"Cecilia Coble","Indiana Elected Official","Cecilia Coble For Indiana","7456","confirm","lastName ""Coble"" in committee name with signal word"
"Cesar Morales","Indiana Elected Official","Diego for Indiana","7469","reject","lastName ""Morales"" not found in committee name"
"Chad Harmon","Indiana Elected Official","Harmon For Indiana","7502","confirm","lastName ""Harmon"" in committee name with signal word"
"Chad Harris","Indiana Elected Official","Harris for District 18","7317","confirm","lastName ""Harris"" in committee name with signal word"
"Chad Meinders","State Representative","CHAD MEINDERS FOR STATE REPRESENTATIVE","7939","confirm","lastName ""Meinders"" in committee name with signal word"
"Chad Wierzbinski","Indiana Elected Official","Chad for Indiana","7818","reject","lastName ""Wierzbinski"" not found in committee name"
"Charles Goodrich","Indiana Elected Official","Friends of Chuck Goodrich","7050","ambiguous","lastName ""Goodrich"" in committee name but no signal word found"
"Charles Kallas","Indiana Elected Official","Committee to Elect Charles Kallas","7747","confirm","lastName ""Kallas"" in committee name with signal word"
"Charles Meeks","Indiana Elected Official","Bud Meeks for State Senante","4246","confirm","lastName ""Meeks"" in committee name with signal word"
"Charles Moseley","Indiana Elected Official","Citizens for Chuck Committee","5575","reject","lastName ""Moseley"" not found in committee name"
"Charles Mumaw","Indiana Elected Official","Citizens for Mumaw","7406","confirm","lastName ""Mumaw"" in committee name with signal word"
"Cherrish Pryor","Indiana Elected Official","Committee to Elect Cherrish Pryor","5729","confirm","lastName ""Pryor"" in committee name with signal word"
"Cheryl Batteiger-smith","Indiana Elected Official","FRIENDS OF CHERYL BATTEIGER-SMITH","7743","ambiguous","lastName ""Batteiger-smith"" in committee name but no signal word found"
"Cheryl Musgrave","Indiana Elected Official","Friends of Musgrave","5904","ambiguous","lastName ""Musgrave"" in committee name but no signal word found"
"Chloe Andis","State Senator","Chloe Andis for Indiana State Senate District 15","8072","confirm","lastName ""Andis"" in committee name with signal word"
"Chris Cleveland","Indiana Elected Official","Cleveland for Indiana","8058","confirm","lastName ""Cleveland"" in committee name with signal word"
"Christella Washington","Indiana Elected Official","Committee to Elect C. Yvonne Washington","7735","confirm","lastName ""Washington"" in committee name with signal word"
"Christian Beaver","Indiana Elected Official","Committee to Elect Christian Beaver","7497","confirm","lastName ""Beaver"" in committee name with signal word"
"Christine Campbell","Indiana Elected Official","Committee to Elect Campbell","7182","confirm","lastName ""Campbell"" in committee name with signal word"
"Christopher Chyung","Indiana Elected Official","Chris Chyung for Change","6980","confirm","lastName ""Chyung"" in committee name with signal word"
"Christopher Coyle","Indiana Elected Official","Hoosiers for Coyle","6622","confirm","lastName ""Coyle"" in committee name with signal word"
"Christopher Elliott","Indiana Elected Official","Elliott for Indiana","7693","confirm","lastName ""Elliott"" in committee name with signal word"
"Christopher Garten","Indiana Elected Official","Friends of Chris Garten","6972","ambiguous","lastName ""Garten"" in committee name but no signal word found"
"Christopher Hartig","Indiana Elected Official","Chris Hartig for Indiana","7912","confirm","lastName ""Hartig"" in committee name with signal word"
"Christopher Jeter","Indiana Elected Official","Jeter for Indiana","7315","confirm","lastName ""Jeter"" in committee name with signal word"
"Christopher Judy","State Representative","Christopher Judy for State Representative","6601","confirm","lastName ""Judy"" in committee name with signal word"
"Christopher May","Indiana Elected Official","Chris May for Indiana","6806","confirm","lastName ""May"" in committee name with signal word"
"Christy Stutzman","Indiana Elected Official","Citizens for Christy","7065","reject","lastName ""Stutzman"" not found in committee name"
"Chrystal Sisson","State Representative","Chrystal Sisson for State Representative","7687","confirm","lastName ""Sisson"" in committee name with signal word"
"Cindi Clayton","Indiana Elected Official","Friends of Cindi Clayton","8056","ambiguous","lastName ""Clayton"" in committee name but no signal word found"
"Cindy Hajicek","Indiana Elected Official","Friends of Cindi Hajicek","7821","ambiguous","lastName ""Hajicek"" in committee name but no signal word found"
"Cindy Ledbetter","State Representative","Ledbetter For State Representative","7349","confirm","lastName ""Ledbetter"" in committee name with signal word"
"Cindy Ziemke","State Representative","Cindy Meyer Ziemke for State Rep.","6211","confirm","lastName ""Ziemke"" in committee name with signal word"
"Claude Reahard","Indiana Elected Official","Reahard for Indiana House","7140","confirm","lastName ""Reahard"" in committee name with signal word"
"Clifford Marsiglio","Indiana Elected Official","Clif Marsiglio for Indiana","7390","confirm","lastName ""Marsiglio"" in committee name with signal word"
"Clyde Allen Perfect","Indiana Elected Official","Vote Chip Perfect","6548","ambiguous","lastName ""Perfect"" in committee name but no signal word found"
"Clyde Hager","Secretary of State","Paul Hager for Secretary of State","7619","confirm","lastName ""Hager"" in committee name with signal word"
"Cody Alsman","State Representative","Cody Alsman for District 45 state representative","7723","confirm","lastName ""Alsman"" in committee name with signal word"
"Connie Lawson","Indiana Elected Official","Friends of Connie Lawson","4026","ambiguous","lastName ""Lawson"" in committee name but no signal word found"
"Cory Criswell","Indiana Elected Official","Hoosiers for Criswell","7652","confirm","lastName ""Criswell"" in committee name with signal word"
"Coumba Kebe","Indiana Elected Official","Kebe For Indiana","8120","confirm","lastName ""Kebe"" in committee name with signal word"
"Craig Haggard","Indiana Elected Official","Hoosiers for Haggard","7558","confirm","lastName ""Haggard"" in committee name with signal word"
"Craig Hirsty","Indiana Elected Official","Hirsty for Hoosiers","7539","confirm","lastName ""Hirsty"" in committee name with signal word"
"Craig Snow","State Representative","Snow Indiana State Representative","7342","ambiguous","lastName ""Snow"" in committee name but no signal word found"
"Crystal Henry","Indiana Elected Official","Committee to Elect Crystal Henry","7414","confirm","lastName ""Henry"" in committee name with signal word"
"Curtis Hammitt","Indiana Elected Official","Friends of Curt Hammitt","7952","ambiguous","lastName ""Hammitt"" in committee name but no signal word found"
"Curtis Nisly","State Representative","Curt Nisly for State Representative","6577","confirm","lastName ""Nisly"" in committee name with signal word"
"Curtis Theophilus Hill","Indiana Elected Official","Curtis Hill for Indiana","6742","confirm","lastName ""Hill"" in committee name with signal word"
"Curtis Ward","State Representative","Ward for State Representative","7630","confirm","lastName ""Ward"" in committee name with signal word"
"Cyndi Carrasco","State Senator","Cyndi for Senate","7828","reject","lastName ""Carrasco"" not found in committee name"
"Cynthia Kirchhofer","Indiana Elected Official","Cindy for State House Committee","5981","reject","lastName ""Kirchhofer"" not found in committee name"
"Cynthia Reinert","Indiana Elected Official","Cindy4Indiana 58","7097","reject","lastName ""Reinert"" not found in committee name"
"Cynthia Wirth","Indiana Elected Official","Committee to Elect Cinde","7268","reject","lastName ""Wirth"" not found in committee name"
"Dale Basham","Indiana Elected Official","Basham34","7334","ambiguous","lastName ""Basham"" in committee name but no signal word found"
"Dale Devon","State Representative","Dale DeVon for State Rep","6213","confirm","lastName ""Devon"" in committee name with signal word"
"Dale Mallory","Indiana Elected Official","Win with dale","7867","reject","lastName ""Mallory"" not found in committee name"
"Dale Nowlin","State Representative","Committee to Elect Dale Nowlin for State Rep.","7023","confirm","lastName ""Nowlin"" in committee name with signal word"
"Dan Forestal","State Representative","Forestal for State Representative","6253","confirm","lastName ""Forestal"" in committee name with signal word"
"Daniel Bragg","Indiana Elected Official","DANIEL BRAGG FOR INDIANA","7311","confirm","lastName ""Bragg"" in committee name with signal word"
"Daniel Dernulc","Indiana Elected Official","COMMITTEE TO ELECT DAN DERNULC","7618","confirm","lastName ""Dernulc"" in committee name with signal word"
"Daniel Elliott","Treasurer","Friends of Daniel Elliott","7511","ambiguous","lastName ""Elliott"" in committee name but no signal word found"
"Daniel Leonard","Indiana Elected Official","Committee to Elect Dan Leonard","4753","confirm","lastName ""Leonard"" in committee name with signal word"
"Daniel Lopez","Indiana Elected Official","Lopez For Indiana","7827","confirm","lastName ""Lopez"" in committee name with signal word"
"Daniel Sikes","Indiana Elected Official","Citizens for Dan","7910","reject","lastName ""Sikes"" not found in committee name"
"Darren Vogt","State Senator","Friends of Darren Vote for State Senate","8064","reject","lastName ""Vogt"" not found in committee name"
"Daryl Schmitt","Indiana Elected Official","Daryl Schmitt for Indiana","8002","confirm","lastName ""Schmitt"" in committee name with signal word"
"Dave Heine","Indiana Elected Official","Citizens For Dave Heine","6771","confirm","lastName ""Heine"" in committee name with signal word"
"David Abbott","Indiana Elected Official","Committee to Elect Dave Abbott","7109","confirm","lastName ""Abbott"" in committee name with signal word"
"David Hall","Indiana Elected Official","FRIENDS OF DAVE HALL","7559","ambiguous","lastName ""Hall"" in committee name but no signal word found"
"David Hewitt","State Representative","David Hewitt for State Representative","7589","confirm","lastName ""Hewitt"" in committee name with signal word"
"David Long","State Senator","David Long For State Senate","3956","confirm","lastName ""Long"" in committee name with signal word"
"David Mervar","State Representative","David Mervar For State Representative","7602","confirm","lastName ""Mervar"" in committee name with signal word"
"David Niezgodski","State Senator","David Niezgodski for Senate District 10","6815","confirm","lastName ""Niezgodski"" in committee name with signal word"
"David Ring","Indiana Elected Official","Citizens For Dave Ring","7082","confirm","lastName ""Ring"" in committee name with signal word"
"David Sanders","Indiana Elected Official","DAVID SANDERS FOR INDIANA","7664","confirm","lastName ""Sanders"" in committee name with signal word"
"David Shelton","Indiana Elected Official","COMMITTEE TO ELECT DAVID SHELTON","7699","confirm","lastName ""Shelton"" in committee name with signal word"
"David Vinzant","Indiana Elected Official","Committee To Elect Dave Vinzant","7871","confirm","lastName ""Vinzant"" in committee name with signal word"
"David Waters","State Representative","Committee to Elect David W Waters State Representative District 90","7640","confirm","lastName ""Waters"" in committee name with signal word"
"David Welsh","State Representative","Committee to elect Dr Dave Welsh for State Representative","7616","confirm","lastName ""Welsh"" in committee name with signal word"
"David Wetterer","Secretary of State","Committee to Elect David Wetterer as Secretary of State","7709","confirm","lastName ""Wetterer"" in committee name with signal word"
"Davyd Jones","Indiana Elected Official","Friends of Davyd Jones","7656","ambiguous","lastName ""Jones"" in committee name but no signal word found"
"Debora Porter","Indiana Elected Official","Committee to Elect Deb Porter","7305","confirm","lastName ""Porter"" in committee name with signal word"
"Deborah Chubb","Indiana Elected Official","Deb For Indiana","7595","reject","lastName ""Chubb"" not found in committee name"
"Dee Moore","State Representative","Dee M Moore for State Representative","7660","confirm","lastName ""Moore"" in committee name with signal word"
"Dennis Kruse","Indiana Elected Official","CITIZENS FOR KRUSE","3366","confirm","lastName ""Kruse"" in committee name with signal word"
"Dennis Zent","Indiana Elected Official","Committee to Elect Denny Zent","6214","confirm","lastName ""Zent"" in committee name with signal word"
"Denny Worman","State Senator","WORMAN FOR STATE SENATE","7639","confirm","lastName ""Worman"" in committee name with signal word"
"Derek Molter","Indiana Elected Official","COMMITTEE TO RETAIN DEREK R MOLTER","8007","confirm","lastName ""Molter"" in committee name with signal word"
"Destiny Wells","Indiana Elected Official","Wells for Indiana","7604","confirm","lastName ""Wells"" in committee name with signal word"
"Dion Bergeron","Indiana Elected Official","Dion Bergeron For Indiana","7440","confirm","lastName ""Bergeron"" in committee name with signal word"
"Dollyne Sherman","State Representative","Sherman for State Representative","7241","confirm","lastName ""Sherman"" in committee name with signal word"
"Don Bates","Indiana Elected Official","Bates For Indiana","6551","confirm","lastName ""Bates"" in committee name with signal word"
"Donald Lehe","Indiana Elected Official","Friends of Don Lehe","4501","ambiguous","lastName ""Lehe"" in committee name but no signal word found"
"Donald Rainwater","Indiana Elected Official","Rainwater For Indiana","7355","confirm","lastName ""Rainwater"" in committee name with signal word"
"Donald Westerhausen","Indiana Elected Official","Committee to Elect Westerhausen","6993","confirm","lastName ""Westerhausen"" in committee name with signal word"
"Donna Griffin","Indiana Elected Official","Citizens for Donna Griffin","7635","confirm","lastName ""Griffin"" in committee name with signal word"
"Donna Schaibley","State Representative","Donna Schaibley for State Representative","6672","confirm","lastName ""Schaibley"" in committee name with signal word"
"Douglas Gutwein","Indiana Elected Official","Friends of Douglas Gutwein","5692","ambiguous","lastName ""Gutwein"" in committee name but no signal word found"
"Douglas Miller","State Representative","Miller for State Representative","6549","confirm","lastName ""Miller"" in committee name with signal word"
"Douglas Rapp","Indiana Elected Official","Citizens for Doug Rapp","7690","confirm","lastName ""Rapp"" in committee name with signal word"
"Dylan Mchenry","Indiana Elected Official","Friends of Dylan","7367","reject","lastName ""Mchenry"" not found in committee name"
"Earl Lynn Harris","Indiana Elected Official","Committee to Elect Earl L. Harris Jr.","6768","confirm","lastName ""Harris"" in committee name with signal word"
"Eddie Melton","Indiana Elected Official","Friends of Eddie Melton","6764","ambiguous","lastName ""Melton"" in committee name but no signal word found"
"Edmond Soliday","Indiana Elected Official","Friends of Ed Soliday Committee","5479","confirm","lastName ""Soliday"" in committee name with signal word"
"Edward Brickley","Indiana Elected Official","Friends of Ed Brickley","8080","ambiguous","lastName ""Brickley"" in committee name but no signal word found"
"Edward Charbonneau","State Senator","Charbonneau for Senate","5538","confirm","lastName ""Charbonneau"" in committee name with signal word"
"Edward Clere","State Representative","Ed Clere for State Representative","5653","confirm","lastName ""Clere"" in committee name with signal word"
"Edward Comstock","Indiana Elected Official","Friends of Edward Comstock","7322","ambiguous","lastName ""Comstock"" in committee name but no signal word found"
"Edward Delaney","Indiana Elected Official","Ed DeLaney For Our House","5647","confirm","lastName ""Delaney"" in committee name with signal word"
"Edward Joseph Moyer","State Representative","Ed Moyer for District 13 State Representative","7890","confirm","lastName ""Moyer"" in committee name with signal word"
"Elise Nieshalla","Indiana Elected Official","Friends for Elise Nieshalla","7567","confirm","lastName ""Nieshalla"" in committee name with signal word"
"Elizabeth Brown","Indiana Elected Official","Friends of Liz Brown","6529","ambiguous","lastName ""Brown"" in committee name but no signal word found"
"Elizabeth Rowray","Indiana Elected Official","Elizabeth Rowray for Indiana","7402","confirm","lastName ""Rowray"" in committee name with signal word"
"Elizabeth White","Indiana Elected Official","Beth White for Indiana","7872","confirm","lastName ""White"" in committee name with signal word"
"Elizabeth Williams","Indiana Elected Official","Friends of Elizabeth Williams","7875","ambiguous","lastName ""Williams"" in committee name but no signal word found"
"Emma Steele","Indiana Elected Official","Citizens for Steele","7433","confirm","lastName ""Steele"" in committee name with signal word"
"Eric Bassler","Indiana Elected Official","Bassler Campaign Committee","6504","confirm","lastName ""Bassler"" in committee name with signal word"
"Eric Doden","Indiana Elected Official","Doden for Indiana","7507","confirm","lastName ""Doden"" in committee name with signal word"
"Eric Holcomb","Indiana Elected Official","Hoosiers for Holcomb","4492","confirm","lastName ""Holcomb"" in committee name with signal word"
"Eric Koch","State Senator","Eric Koch for State Senate","4735","confirm","lastName ""Koch"" in committee name with signal word"
"Eric Orr","Indiana Elected Official","Eric Orr Committee","6976","confirm","lastName ""Orr"" in committee name with signal word"
"Eric Shotwell","Indiana Elected Official","Committee to Elect Eric Shotwell","7435","confirm","lastName ""Shotwell"" in committee name with signal word"
"Erica Lawrence","Indiana Elected Official","Elect Erica for Indiana","7394","reject","lastName ""Lawrence"" not found in committee name"
"Erika Robinson-watkins","Indiana Elected Official","Erika for Indiana","7918","reject","lastName ""Robinson-watkins"" not found in committee name"
"Erin Houchin","U.S. House of Representatives - Indiana 9th Congressional District","Friends of Erin Houchin","6586","ambiguous","lastName ""Houchin"" in committee name but no signal word found"
"Ethan Lawson","Indiana Elected Official","ETHAN LAWSON FOR INDIANA","7860","confirm","lastName ""Lawson"" in committee name with signal word"
"Ethan Manning","Indiana Elected Official","Elect Ethan","7058","reject","lastName ""Manning"" not found in committee name"
"Ethan Sweetland-may","Indiana Elected Official","Friends of Ethan Sweetland-May","8062","ambiguous","lastName ""Sweetland-may"" in committee name but no signal word found"
"Eugene Dooley","Indiana Elected Official","Citizens for Eugene P Dooley","4351","confirm","lastName ""Dooley"" in committee name with signal word"
"Eugene Rinehart","Indiana Elected Official","Committee to Elect Dave Rinehart","7385","confirm","lastName ""Rinehart"" in committee name with signal word"
"Evan Mcmullen","Indiana Elected Official","Evan for Indiana","7676","reject","lastName ""Mcmullen"" not found in committee name"
"Evan Shearin","Indiana Elected Official","Evan Shearin for Indiana","7677","confirm","lastName ""Shearin"" in committee name with signal word"
"Everlla Brooks","Indiana Elected Official","Friends of ZeNai","7724","reject","lastName ""Brooks"" not found in committee name"
"Fady Qaddoura","Indiana Elected Official","Fady 4 Hoosier Families","7258","reject","lastName ""Qaddoura"" not found in committee name"
"Felipe Rios","Indiana Elected Official","Rios Committee","7340","confirm","lastName ""Rios"" in committee name with signal word"
"Frank Mrvan","State Senator","MRVAN FOR SENATOR COMMITTEE","661","confirm","lastName ""Mrvan"" in committee name with signal word"
"Fred Duttlinger","Indiana Elected Official","Fred for Indiana","7742","reject","lastName ""Duttlinger"" not found in committee name"
"Fred Glynn","Indiana Elected Official","Friends of Glynn","7650","ambiguous","lastName ""Glynn"" in committee name but no signal word found"
"Frederic Mills","Indiana Elected Official","FRED MILLS FOR INDIANA","4467","confirm","lastName ""Mills"" in committee name with signal word"
"Gabrianna Gratzol","Indiana Elected Official","Friends of Gabrianna Gratzol","8069","ambiguous","lastName ""Gratzol"" in committee name but no signal word found"
"Gabriel Whitley","Indiana Elected Official","Friends of Honest Gabe","7509","reject","lastName ""Whitley"" not found in committee name"
"Garrett Bascom","Indiana Elected Official","Bascom for Indiana","7858","confirm","lastName ""Bascom"" in committee name with signal word"
"Garrett Blad","Indiana Elected Official","Blad for Indiana","7382","confirm","lastName ""Blad"" in committee name with signal word"
"Gary Byrne","State Senator","GARY BYRNE FOR STATE SENATE","7654","confirm","lastName ""Byrne"" in committee name with signal word"
"Gary Davis","State Senator","The Davis for State Senate Committee","7441","confirm","lastName ""Davis"" in committee name with signal word"
"Gayla Taylor","Indiana Elected Official","Friends of Gayla Taylor","7620","ambiguous","lastName ""Taylor"" in committee name but no signal word found"
"Gerald Torr","State Representative","TORR FOR REPRESENTATIVE COMMITTEE","4045","confirm","lastName ""Torr"" in committee name with signal word"
"Greg Knott","Indiana Elected Official","Hoosiers For Knott","7272","confirm","lastName ""Knott"" in committee name with signal word"
"Greg Peete","Indiana Elected Official","Friends of Greg Peete","7442","ambiguous","lastName ""Peete"" in committee name but no signal word found"
"Greg Walker","Indiana Elected Official","Taxpayers for Greg Walker","5340","confirm","lastName ""Walker"" in committee name with signal word"
"Greg Woods","Indiana Elected Official","committee to elect Greg A. Woods 2020","7366","confirm","lastName ""Woods"" in committee name with signal word"
"Gregory Goode","Indiana Elected Official","Committee to Elect Greg Goode","7829","confirm","lastName ""Goode"" in committee name with signal word"
"Gregory Lemaster","Indiana Elected Official","Gregory W. LeMaster for House District 33 Candidates Committtee","7870","confirm","lastName ""Lemaster"" in committee name with signal word"
