candidate_name,office,district,party,date_filed,row_index,match_status,politician_id,recommended_action
Kate Wiltz,COUNTY COUNCIL MEMBER,"Monroe County Council, District 2",Democratic,2026-01-20,453,matched_existing_no_source,73855d5c-f1f3-4701-90af-997d26fbe0df,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Jennifer Crossley,COUNTY COUNCIL MEMBER,"Monroe County Council, District 4",Democratic,2026-01-30,454,matched_existing_no_source,30753c4d-e145-417f-8448-c2192e010a14,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Michelle Bright,TOWNSHIP TRUSTEE,"Benton Township Trustee, Monroe County",Democratic,2026-01-12,526,matched_existing_no_source,c096fd15-2656-4e1c-bf86-beb506d472d7,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Efrat Rosser,TOWNSHIP TRUSTEE,"Bloomington Township Trustee, Monroe County",Democratic,2026-01-13,529,matched_existing_no_source,c7dee89b-1ee2-4858-a11e-b3775a4b4bfd,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Susan Luther,TOWNSHIP TRUSTEE,"Clear Creek Township Trustee, Monroe County",Democratic,2026-02-03,551,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
"Susan ""Gus"" Hingle",TOWNSHIP TRUSTEE,"Indian Creek Township Trustee, Monroe County",Democratic,2026-02-06,591,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Levi Combs,TOWNSHIP TRUSTEE,"Perry Township Trustee, Monroe County",Democratic,2026-01-28,656,matched_ambiguous,,Multiple politicians match this normalized name — manually disambiguate before linking
Leon Gordon,TOWNSHIP TRUSTEE,"Perry Township Trustee, Monroe County",Democratic,2026-01-12,657,matched_ambiguous,,Multiple politicians match this normalized name — manually disambiguate before linking
Joan C. Hall,TOWNSHIP TRUSTEE,"Salt Creek Township Trustee, Monroe County",Democratic,2026-01-14,681,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Joe Husk,TOWNSHIP BOARD MEMBER,"Benton Township Board Member, Monroe County",Democratic,2026-02-06,772,matched_existing_no_source,04d2e529-5456-44bb-a20f-b1ec676c2c22,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Dorothy Granger,TOWNSHIP BOARD MEMBER,"Bloomington Township Board Member, Monroe County",Democratic,2026-01-08,782,matched_existing_no_source,06464416-e8f4-4df1-af4c-2d785863721e,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Barbara E. McKinney,TOWNSHIP BOARD MEMBER,"Bloomington Township Board Member, Monroe County",Democratic,2026-01-07,783,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Elizabeth Sensenstein,TOWNSHIP BOARD MEMBER,"Bloomington Township Board Member, Monroe County",Democratic,2026-02-02,784,matched_existing_no_source,15c278e1-20d8-4a2c-9575-2e130a0ec37f,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Joann R. Calabrese,TOWNSHIP BOARD MEMBER,"Clear Creek Township Board Member, Monroe County",Democratic,2026-01-12,869,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Rachael Himsel,TOWNSHIP BOARD MEMBER,"Clear Creek Township Board Member, Monroe County",Democratic,2026-02-05,870,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Kat Reynolds,TOWNSHIP BOARD MEMBER,"Clear Creek Township Board Member, Monroe County",Democratic,2026-01-30,871,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Jack Davis,TOWNSHIP BOARD MEMBER,"Perry Township Board Member, Monroe County",Democratic,2026-01-07,1196,matched_existing_no_source,ec9aa60a-c57b-4bd9-b169-22c05b628f96,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Jeremy Goodrich,TOWNSHIP BOARD MEMBER,"Perry Township Board Member, Monroe County",Democratic,2026-02-05,1197,matched_ambiguous,,Multiple politicians match this normalized name — manually disambiguate before linking
Susie Hamilton,TOWNSHIP BOARD MEMBER,"Perry Township Board Member, Monroe County",Democratic,2026-01-15,1198,matched_existing_no_source,09ae2145-53d0-4def-a32b-0d18d020aed5,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Jenny Olmes-Stevens,TOWNSHIP BOARD MEMBER,"Perry Township Board Member, Monroe County",Democratic,2026-02-06,1199,matched_ambiguous,,Multiple politicians match this normalized name — manually disambiguate before linking
Barbara Sturbaum,TOWNSHIP BOARD MEMBER,"Perry Township Board Member, Monroe County",Democratic,2026-01-07,1200,matched_existing_no_source,0af9a347-846e-441e-b575-a187d8c0528f,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Sharon A. Green,TOWNSHIP BOARD MEMBER,"Salt Creek Township Board Member, Monroe County",Democratic,2026-01-21,1258,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Sean P. Hall,TOWNSHIP BOARD MEMBER,"Salt Creek Township Board Member, Monroe County",Democratic,2026-01-14,1259,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Joseph Hickman,TOWNSHIP BOARD MEMBER,"Salt Creek Township Board Member, Monroe County",Democratic,2026-01-13,1260,matched_existing_no_source,3bf35f73-452e-4879-bff4-1bba4e515d8e,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
"William (Will) E. Smith, III",TOWNSHIP BOARD MEMBER,"Van Buren Township Board Member, Monroe County",Democratic,2026-01-12,1333,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
DWIGHT A (TWIN) WILLIAMS,CONVENTION DELEGATE,"Lake County Democratic Convention Delegate, District 40",Democratic,2026-01-16,2433,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
MACKENZIE HIGGINS,CONVENTION DELEGATE,"Marion County Democratic Convention Delegate, District 40",Democratic,2026-02-06,2774,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
LAMAR HOLLIDAY,CONVENTION DELEGATE,"Marion County Democratic Convention Delegate, District 40",Democratic,2026-01-13,2775,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
SABAE MARTIN,CONVENTION DELEGATE,"Marion County Democratic Convention Delegate, District 40",Democratic,2026-01-13,2776,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
OLIVER WELLS (O.G.),CONVENTION DELEGATE,"Marion County Democratic Convention Delegate, District 40",Democratic,2026-02-06,2778,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Spencer B. Allen,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 1",Democratic,2026-02-06,2910,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Robert H. Bernacki,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 1",Democratic,2026-01-30,2911,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Lydia Bielski,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 1",Democratic,2026-02-06,2912,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Tanner Dale Branham,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 1",Democratic,2026-01-20,2913,matched_existing_no_source,88c1b0f1-470e-4d96-8518-306c92d12021,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Isaac Braddock Scott Chapman-Whitehead,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 1",Democratic,2026-01-23,2914,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Douglas Wayne Davis,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 1",Democratic,2026-01-28,2915,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Susan J. Davis,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 1",Democratic,2026-01-28,2916,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Richard W. Denning,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 1",Democratic,2026-01-15,2917,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Donn Hall,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 1",Democratic,2026-02-05,2918,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Alice C. Hawkins,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 1",Democratic,2026-02-03,2919,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Michelle Higgs,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 1",Democratic,2026-02-02,2920,matched_existing_no_source,2eaf01b5-2ee1-4257-b4b6-8df4b29d7f98,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Simon Higgs,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 1",Democratic,2026-02-02,2921,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Rachael Himsel,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 1",Democratic,2026-02-05,2922,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Jill M. Jolliff,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 1",Democratic,2026-01-09,2923,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Lisa T. Kroll,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 1",Democratic,2026-01-27,2924,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Brad A. Meyer,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 1",Democratic,2026-01-07,2925,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Victoria Mumma,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 1",Democratic,2026-02-06,2926,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Kathy Norris,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 1",Democratic,2026-02-06,2927,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Halsey Roberts,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 1",Democratic,2026-02-02,2928,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Michael Satterfield,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 1",Democratic,2026-01-08,2929,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Donald Sattler,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 1",Democratic,2026-01-07,2930,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
H. Patty Sattler,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 1",Democratic,2026-01-07,2931,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Eric Schmitz,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 1",Democratic,2026-01-27,2932,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Inge Van Der Cruysse,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 1",Democratic,2026-01-20,2933,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Kelly Walsh,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 1",Democratic,2026-01-14,2934,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Damian Jorge Arambula,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-02-06,2936,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Sarah Bauerle,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-02-02,2937,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Amy Berndtson,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-01-14,2938,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Donna Bernens-Kinkead,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-01-08,2939,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Jennifer Bohn,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-02-04,2940,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Timothy Kent Brinson,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-02-05,2941,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Carolyn Jean Craig,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-01-27,2942,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Kevin KC Craig,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-01-27,2943,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Martha Crossen,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-01-09,2944,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Joanna E. Davis,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-02-06,2945,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Joe Davis,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-02-06,2946,matched_existing_no_source,c0c45428-53c9-473e-ba4b-dc956d1868f2,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Erica L. Dooley-Dorocke,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-02-06,2947,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Peter Ermey,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-02-06,2948,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Isabella Marie Frieze,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-01-30,2949,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Penny B. Githens,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-01-21,2950,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Jeremy Goodrich,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-02-02,2951,matched_ambiguous,,Multiple politicians match this normalized name — manually disambiguate before linking
Amartyadeb Goswami,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-01-30,2952,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Nancy Goswami,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-01-08,2953,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Julie Gray,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-01-14,2954,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Zoe Gray,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-01-28,2955,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Jeremy Hackerd,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-02-02,2956,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Jimena Holguin,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-02-04,2957,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Chris Lindsey Holmes,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-01-08,2958,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Nancy Hutchens,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-01-20,2959,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Allison Knight,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-02-06,2960,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Jon Lawrence,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-01-14,2961,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Kitty Liell,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-01-08,2962,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Jody L. Madeira,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-01-13,2963,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Kevin Marzahl,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-02-06,2964,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Josh Montagne,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-01-30,2965,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Regina Moore,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-01-30,2966,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Jenny Olmes-Steven,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-02-06,2967,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Jeff Richardson,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-01-07,2968,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Scott Aaron Rogers,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-01-13,2969,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Dinorah Sapp,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-01-20,2970,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Wayne Shepherd,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-01-07,2971,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Daniel Sherman,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-01-09,2972,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Amalia Shifriss,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-01-30,2973,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Lynne Foster Shifriss,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-01-13,2974,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Vi Simpson,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-01-14,2975,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Jan Sorby,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-01-14,2976,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Kristine Sullivan,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-01-28,2977,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Gretchen A. Weber,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-01-20,2978,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Susan Baker Yeley,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-02-03,2979,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Shelli Yoder,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 2",Democratic,2026-02-06,2980,matched_existing_no_source,5aa536e1-faaa-485c-b6d8-0e4d99d16361,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Pamela J. Davidson,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 3",Democratic,2026-01-13,2981,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Lawrence J. (Larry) Demoss,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 3",Democratic,2026-02-02,2982,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Susan DeMoss,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 3",Democratic,2026-02-02,2983,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Kyle M. East,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 3",Democratic,2026-02-03,2984,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Liz Feitl,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 3",Democratic,2026-01-12,2985,matched_existing_no_source,b3830ff1-3b9b-463a-bb7d-311bf1bf0168,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
David G. Henry,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 3",Democratic,2026-01-07,2986,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Lisa Jacobs,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 3",Democratic,2026-01-21,2987,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Ashlie Kehrberg,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 3",Democratic,2026-01-23,2988,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Jack McNeil,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 3",Democratic,2026-01-08,2989,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Angela O'Malley,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 3",Democratic,2026-01-16,2990,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Dee Owens,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 3",Democratic,2026-01-30,2991,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Ashley Pirani,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 3",Democratic,2026-02-02,2992,matched_existing_no_source,556a7d23-3acb-4068-a7bc-cecf5194296c,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
