politician_name,office_title,committee_name,external_id,decision,reason
"Connie Lawson","Indiana Elected Official","Friends of Connie Lawson","4026","ambiguous","lastName ""Lawson"" in committee name but no signal word found"
"Craig Snow","State Representative","Snow Indiana State Representative","7342","ambiguous","lastName ""Snow"" in committee name but no signal word found"
"Curtis Hammitt","Indiana Elected Official","Friends of Curt Hammitt","7952","ambiguous","lastName ""Hammitt"" in committee name but no signal word found"
"Dale Basham","Indiana Elected Official","Basham34","7334","ambiguous","lastName ""Basham"" in committee name but no signal word found"
"Daniel Elliott","Treasurer","Friends of Daniel Elliott","7511","ambiguous","lastName ""Elliott"" in committee name but no signal word found"
"David Hall","Indiana Elected Official","FRIENDS OF DAVE HALL","7559","ambiguous","lastName ""Hall"" in committee name but no signal word found"
"Davyd Jones","Indiana Elected Official","Friends of Davyd Jones","7656","ambiguous","lastName ""Jones"" in committee name but no signal word found"
"Donald Lehe","Indiana Elected Official","Friends of Don Lehe","4501","ambiguous","lastName ""Lehe"" in committee name but no signal word found"
"Douglas Gutwein","Indiana Elected Official","Friends of Douglas Gutwein","5692","ambiguous","lastName ""Gutwein"" in committee name but no signal word found"
"Eddie Melton","Indiana Elected Official","Friends of Eddie Melton","6764","ambiguous","lastName ""Melton"" in committee name but no signal word found"
"Edward Brickley","Indiana Elected Official","Friends of Ed Brickley","8080","ambiguous","lastName ""Brickley"" in committee name but no signal word found"
"Edward Comstock","Indiana Elected Official","Friends of Edward Comstock","7322","ambiguous","lastName ""Comstock"" in committee name but no signal word found"
"Elizabeth Brown","Indiana Elected Official","Friends of Liz Brown","6529","ambiguous","lastName ""Brown"" in committee name but no signal word found"
"Elizabeth Williams","Indiana Elected Official","Friends of Elizabeth Williams","7875","ambiguous","lastName ""Williams"" in committee name but no signal word found"
"Erin Houchin","U.S. House of Representatives - Indiana 9th Congressional District","Friends of Erin Houchin","6586","ambiguous","lastName ""Houchin"" in committee name but no signal word found"
"Ethan Sweetland-may","Indiana Elected Official","Friends of Ethan Sweetland-May","8062","ambiguous","lastName ""Sweetland-may"" in committee name but no signal word found"
"Fred Glynn","Indiana Elected Official","Friends of Glynn","7650","ambiguous","lastName ""Glynn"" in committee name but no signal word found"
"Gabrianna Gratzol","Indiana Elected Official","Friends of Gabrianna Gratzol","8069","ambiguous","lastName ""Gratzol"" in committee name but no signal word found"
"Gayla Taylor","Indiana Elected Official","Friends of Gayla Taylor","7620","ambiguous","lastName ""Taylor"" in committee name but no signal word found"
"Greg Peete","Indiana Elected Official","Friends of Greg Peete","7442","ambiguous","lastName ""Peete"" in committee name but no signal word found"
"Hunter Collins","Indiana Elected Official","Friends of Hunter Collins","8040","ambiguous","lastName ""Collins"" in committee name but no signal word found"
"Ian Gamroth","Indiana Elected Official","Friends of Ian Gamroth","7329","ambiguous","lastName ""Gamroth"" in committee name but no signal word found"
"Jack Jordan","Indiana Elected Official","Friends of Jack Jordan","6715","ambiguous","lastName ""Jordan"" in committee name but no signal word found"
"Jada Burton","Indiana Elected Official","Friends of Jada Burton","7695","ambiguous","lastName ""Burton"" in committee name but no signal word found"
"James Baker","Indiana Elected Official","Friends of Jim Baker","7873","ambiguous","lastName ""Baker"" in committee name but no signal word found"
"James Lucas","Indiana Elected Official","Friends of Jim Lucas","5914","ambiguous","lastName ""Lucas"" in committee name but no signal word found"
"James Pressel","Indiana Elected Official","Friends of Jim Pressel","6752","ambiguous","lastName ""Pressel"" in committee name but no signal word found"
"Jaxon Chance","Indiana Elected Official","Friends of Jack Chance","8050","ambiguous","lastName ""Chance"" in committee name but no signal word found"
"Jeffrey Ellington","Indiana Elected Official","Friends of Jeff Ellington","6767","ambiguous","lastName ""Ellington"" in committee name but no signal word found"
"Jessica Mcclellan","Indiana Elected Official","Friends of Jessica McClellan","7719","ambiguous","lastName ""Mcclellan"" in committee name but no signal word found"
"Jessica Renslow","Indiana Elected Official","Friends of Jessica Renslow","7024","ambiguous","lastName ""Renslow"" in committee name but no signal word found"
"Jocelyn Vare","Indiana Elected Official","FRIENDS OF JOCELYN VARE","7569","ambiguous","lastName ""Vare"" in committee name but no signal word found"
"Joel Florek","Indiana Elected Official","Friends of Joel Florek","7972","ambiguous","lastName ""Florek"" in committee name but no signal word found"
"John Fernandez","Mayor","Friends of Mayor Fernandez","4669","ambiguous","lastName ""Fernandez"" in committee name but no signal word found"
"John Gaylor","Indiana Elected Official","Friends 4 JR Gaylor","7357","ambiguous","lastName ""Gaylor"" in committee name but no signal word found"
"John Hurley","Indiana Elected Official","Hoosiers 4 Hurley","7000","ambiguous","lastName ""Hurley"" in committee name but no signal word found"
"John Moton","Indiana Elected Official","Friends of John Moton","7613","ambiguous","lastName ""Moton"" in committee name but no signal word found"
"John Schmitz","Indiana Elected Official","SchmitzHouse97","7399","ambiguous","lastName ""Schmitz"" in committee name but no signal word found"
"John Stoffel","Indiana Elected Official","Friends of John Stoffel","7325","ambiguous","lastName ""Stoffel"" in committee name but no signal word found"
"John Westercamp","Indiana Elected Official","Friends of John Westercamp, LLC","7220","ambiguous","lastName ""Westercamp"" in committee name but no signal word found"
"Johnny Nugent","Indiana Elected Official","JOHNNY NUGENT VICTORY TEAM","668","ambiguous","lastName ""Nugent"" in committee name but no signal word found"
"Justin Busch","Indiana Elected Official","Friends of Justin Busch","7253","ambiguous","lastName ""Busch"" in committee name but no signal word found"
"Justin Oakley","Indiana Elected Official","Justin Oakley 2012","6230","ambiguous","lastName ""Oakley"" in committee name but no signal word found"
"Kenneth Lave","Indiana Elected Official","Sending Jasen Lave To The Indiana State House 2020","7227","ambiguous","lastName ""Lave"" in committee name but no signal word found"
"Kent Abernathy","Indiana Elected Official","Friends of Kent Abernathy","7588","ambiguous","lastName ""Abernathy"" in committee name but no signal word found"
"Kerry Thomson","City Mayor","","","ambiguous","no committee name in notes"
"Kristi Risk","Indiana Elected Official","Friends of Kristi Risk","8117","ambiguous","lastName ""Risk"" in committee name but no signal word found"
"Kyle Miller","Indiana Elected Official","Friends of Kyle Miller","7030","ambiguous","lastName ""Miller"" in committee name but no signal word found"
"Lana Keesling","Indiana Elected Official","Friends of Lana  Keesling","7548","ambiguous","lastName ""Keesling"" in committee name but no signal word found"
"Laura Davis","Indiana Elected Official","Friends of Michelle Davis","7341","ambiguous","lastName ""Davis"" in committee name but no signal word found"
"Leah Mcgrath","Indiana Elected Official","Friends of Leah McGrath","7301","ambiguous","lastName ""Mcgrath"" in committee name but no signal word found"
"Lori Goss-reaves","Indiana Elected Official","Friends of Lori Goss-Reaves","7797","ambiguous","lastName ""Goss-reaves"" in committee name but no signal word found"
"Lorissa Sweet","Indiana Elected Official","Friends of Lorissa Sweet","7578","ambiguous","lastName ""Sweet"" in committee name but no signal word found"
"Mark Genda","Indiana Elected Official","Friends of Mark Genda","7648","ambiguous","lastName ""Genda"" in committee name but no signal word found"
"Mark Hinton","Indiana Elected Official","Friends of Mark Hinton","7022","ambiguous","lastName ""Hinton"" in committee name but no signal word found"
"Mark Messmer","U.S. House of Representatives - Indiana 8th Congressional District","Markmessmer.com","5545","ambiguous","lastName ""Messmer"" in committee name but no signal word found"
"Martin Carbaugh","Indiana Elected Official","VoteCarbaugh.com","6271","ambiguous","lastName ""Carbaugh"" in committee name but no signal word found"
"Matthew Hostettler","Indiana Elected Official","Friends of Matt Hostettler","7032","ambiguous","lastName ""Hostettler"" in committee name but no signal word found"
"Matthew Whetstone","Indiana Elected Official","Friends of Matt Whetstone","7679","ambiguous","lastName ""Whetstone"" in committee name but no signal word found"
"Melissa Rinehart","Indiana Elected Official","Friends of Melissa Rinehart","7541","ambiguous","lastName ""Rinehart"" in committee name but no signal word found"
"Michael Bienz","Indiana Elected Official","Friends of Michael Bienz","7352","ambiguous","lastName ""Bienz"" in committee name but no signal word found"
"Michael Griffin","State Senator","CTE Michael W. Griffin to the INDIANA STATE SENATE District 1","7634","ambiguous","lastName ""Griffin"" in committee name but no signal word found"
"Michael Potter","Indiana Elected Official","Friends of Michael Potter","7928","ambiguous","lastName ""Potter"" in committee name but no signal word found"
"Michelle Higgs","Indiana Elected Official","Friends of Michelle Higgs","7909","ambiguous","lastName ""Higgs"" in committee name but no signal word found"
"Nansi Custer","Indiana Elected Official","Friends of Nansi Custer","7655","ambiguous","lastName ""Custer"" in committee name but no signal word found"
"Nathan Ranke","Indiana Elected Official","nathanranke4hoosiers","7839","ambiguous","lastName ""Ranke"" in committee name but no signal word found"
"Pamela Fish","Indiana Elected Official","Friends of Pam Fish","6769","ambiguous","lastName ""Fish"" in committee name but no signal word found"
"Philip Gift","Indiana Elected Official","Friends of Phil Gift","7789","ambiguous","lastName ""Gift"" in committee name but no signal word found"
"R Griffin","Indiana Elected Official","Friends of Mike Griffin","7375","ambiguous","lastName ""Griffin"" in committee name but no signal word found"
"R Young","Indiana Elected Official","Richard Young","1907","ambiguous","lastName ""Young"" in committee name but no signal word found"
"Randall Frye","Indiana Elected Official","Friends of Randy Frye","5942","ambiguous","lastName ""Frye"" in committee name but no signal word found"
"Rebecca Cash","Indiana Elected Official","Friends of Becky Cash","7531","ambiguous","lastName ""Cash"" in committee name but no signal word found"
"Rob Miller","Indiana Elected Official","Friends of Rob Miller","7852","ambiguous","lastName ""Miller"" in committee name but no signal word found"
"Robert Greene","Indiana Elected Official","RobbGreene.com","7638","ambiguous","lastName ""Greene"" in committee name but no signal word found"
"Ronald Bacon","Indiana Elected Official","Friends of Ron Bacon","5888","ambiguous","lastName ""Bacon"" in committee name but no signal word found"
"Ronald Itnyre","Indiana Elected Official","Friends of Ron Itnyre","7658","ambiguous","lastName ""Itnyre"" in committee name but no signal word found"
"Ronald Turpin","Indiana Elected Official","Friends of Ron Turpin","7515","ambiguous","lastName ""Turpin"" in committee name but no signal word found"
"Ryan Hatfield","Indiana Elected Official","Friends of Ryan Hatfield","6753","ambiguous","lastName ""Hatfield"" in committee name but no signal word found"
"Ryan Lauer","Indiana Elected Official","Friends of Ryan Lauer","6574","ambiguous","lastName ""Lauer"" in committee name but no signal word found"
"Ryan Royer","Indiana Elected Official","Friends of Ryan Royer","7309","ambiguous","lastName ""Royer"" in committee name but no signal word found"
"Sara Blohm","Indiana Elected Official","Sara Blohm 2020","7369","ambiguous","lastName ""Blohm"" in committee name but no signal word found"
"Scott Baldwin","Indiana Elected Official","Vote Baldwin","7332","ambiguous","lastName ""Baldwin"" in committee name but no signal word found"
"Scott Strother","Indiana Elected Official","Strother 47","7629","ambiguous","lastName ""Strother"" in committee name but no signal word found"
"Scott Wise","State Senator","Wise 4 Senate 16","7904","ambiguous","lastName ""Wise"" in committee name but no signal word found"
"Sean Selby","Indiana Elected Official","Friends of Sean Selby","7681","ambiguous","lastName ""Selby"" in committee name but no signal word found"
"Shane Lindauer","Indiana Elected Official","shanelindauer.com","7006","ambiguous","lastName ""Lindauer"" in committee name but no signal word found"
"Sharon Wight","Indiana Elected Official","Friends of Sharon Wight","8096","ambiguous","lastName ""Wight"" in committee name but no signal word found"
"Shelli Yoder","Indiana State Senate - District 40","Friends of Shelli Yoder","7337","ambiguous","lastName ""Yoder"" in committee name but no signal word found"
"Stephen Bartels","Indiana Elected Official","Friends of Stephen Bartels","7043","ambiguous","lastName ""Bartels"" in committee name but no signal word found"
"Steven Davisson","Indiana Elected Official","www.stevedavisson.com","5617","ambiguous","lastName ""Davisson"" in committee name but no signal word found"
"Stuart Barnes-israel","Indiana Elected Official","Friends of Stu Barnes-Israel","7617","ambiguous","lastName ""Barnes-israel"" in committee name but no signal word found"
"Sue Errington","Indiana Elected Official","Friends of Sue Errington","4008","ambiguous","lastName ""Errington"" in committee name but no signal word found"
"Susan Dillon","Indiana Elected Official","Friends of Susan Dillon","7549","ambiguous","lastName ""Dillon"" in committee name but no signal word found"
"Suzanne Crouch","Indiana Elected Official","Friends of Suzanne Crouch","5295","ambiguous","lastName ""Crouch"" in committee name but no signal word found"
"Tamla Tatum","Indiana Elected Official","CTE: Tamie Dixon Tatum","7683","ambiguous","lastName ""Tatum"" in committee name but no signal word found"
"Tanner Bouchie","Indiana Elected Official","Friends of Tanner Bouchie","8057","ambiguous","lastName ""Bouchie"" in committee name but no signal word found"
"Tera Klutz","Indiana Elected Official","Friends of Tera Klutz","6981","ambiguous","lastName ""Klutz"" in committee name but no signal word found"
"Theresa Bruno","Indiana Elected Official","Friends of Theresa Bruno","7297","ambiguous","lastName ""Bruno"" in committee name but no signal word found"
"Thomas Horrocks","Indiana Elected Official","Friends of Thomas Horrocks","7816","ambiguous","lastName ""Horrocks"" in committee name but no signal word found"
"Tiffany Stoner","Indiana Elected Official","Friends of Tiffany Stoner","7869","ambiguous","lastName ""Stoner"" in committee name but no signal word found"
"Timothy Barr","Indiana Elected Official","Friends of Tim Barr","7240","ambiguous","lastName ""Barr"" in committee name but no signal word found"
"Timothy O'brien","Indiana Elected Official","Friends of Tim O'Brien","7503","ambiguous","lastName ""O'brien"" in committee name but no signal word found"
"Tom Rhoades","Indiana Elected Official","Friends of Tom Rhoades","7206","ambiguous","lastName ""Rhoades"" in committee name but no signal word found"
"Tom Wallace","Indiana Elected Official","Tom Wallace","7353","ambiguous","lastName ""Wallace"" in committee name but no signal word found"
"Tyler Johnson","Indiana Elected Official","Vote Dr Johnson","7542","ambiguous","lastName ""Johnson"" in committee name but no signal word found"
"Wendy Chesser","Indiana Elected Official","Friends of Wendy Dant Chesser","7970","ambiguous","lastName ""Chesser"" in committee name but no signal word found"
"Wesley Bennett","Indiana Elected Official","Friends of Wes Bennett","8104","ambiguous","lastName ""Bennett"" in committee name but no signal word found"
"William Colteryahn","Indiana Elected Official","Colteryahn4Indiana","8109","ambiguous","lastName ""Colteryahn"" in committee name but no signal word found"
"William Levin","Indiana Elected Official","Levin 2020","7251","ambiguous","lastName ""Levin"" in committee name but no signal word found"
"William Nash","Indiana Elected Official","Friends of Bill Nash","7684","ambiguous","lastName ""Nash"" in committee name but no signal word found"
"Zach Heimach","Indiana Elected Official","Supporters of Zach Heimach","7659","ambiguous","lastName ""Heimach"" in committee name but no signal word found"
"Zachary Payne","Indiana Elected Official","Friends of Zach Payne","7361","ambiguous","lastName ""Payne"" in committee name but no signal word found"
"Zackery Davis","Indiana Elected Official","Friends of Zack Davis","7734","ambiguous","lastName ""Davis"" in committee name but no signal word found"
