date,phase,politician_id,full_name,district,party,topic_key,value,source_urls
2026-06-10,113,cc499c9a-d165-4cd7-831d-51611339ac29,Bobby Scott,VA-03,D,same-sex-marriage,2,https://www.ontheissues.org/VA/Bobby_Scott.htm
2026-06-10,113,cc499c9a-d165-4cd7-831d-51611339ac29,Bobby Scott,VA-03,D,school-vouchers,1,https://www.ontheissues.org/VA/Bobby_Scott.htm
2026-06-10,113,cc499c9a-d165-4cd7-831d-51611339ac29,Bobby Scott,VA-03,D,social-security,1,https://www.ontheissues.org/VA/Bobby_Scott.htm
2026-06-10,113,cc499c9a-d165-4cd7-831d-51611339ac29,Bobby Scott,VA-03,D,tariffs,3,https://www.ontheissues.org/VA/Bobby_Scott.htm
2026-06-10,113,cc499c9a-d165-4cd7-831d-51611339ac29,Bobby Scott,VA-03,D,taxes,1,https://www.ontheissues.org/VA/Bobby_Scott.htm
2026-06-10,113,cc499c9a-d165-4cd7-831d-51611339ac29,Bobby Scott,VA-03,D,voting-rights,1,https://www.ontheissues.org/VA/Bobby_Scott.htm
2026-06-10,113,3e7c0e88-5e35-4d71-8022-98731af6461b,Jennifer McClellan,VA-04,D,abortion,2,https://en.wikipedia.org/wiki/Jennifer_McClellan|https://www.ontheissues.org/VA/Jennifer_McClellan.htm
2026-06-10,113,3e7c0e88-5e35-4d71-8022-98731af6461b,Jennifer McClellan,VA-04,D,civil-rights,1,https://en.wikipedia.org/wiki/Jennifer_McClellan|https://www.ontheissues.org/VA/Jennifer_McClellan.htm
2026-06-10,113,3e7c0e88-5e35-4d71-8022-98731af6461b,Jennifer McClellan,VA-04,D,climate-change,2,https://en.wikipedia.org/wiki/Jennifer_McClellan|https://www.ontheissues.org/VA/Jennifer_McClellan.htm
2026-06-10,113,3e7c0e88-5e35-4d71-8022-98731af6461b,Jennifer McClellan,VA-04,D,deportation,1,https://www.ontheissues.org/VA/Jennifer_McClellan.htm
2026-06-10,113,3e7c0e88-5e35-4d71-8022-98731af6461b,Jennifer McClellan,VA-04,D,fossil-fuels,2,https://en.wikipedia.org/wiki/Jennifer_McClellan|https://www.ontheissues.org/VA/Jennifer_McClellan.htm
2026-06-10,113,3e7c0e88-5e35-4d71-8022-98731af6461b,Jennifer McClellan,VA-04,D,healthcare,2,https://www.ontheissues.org/VA/Jennifer_McClellan.htm
2026-06-10,113,3e7c0e88-5e35-4d71-8022-98731af6461b,Jennifer McClellan,VA-04,D,immigration,1,https://www.ontheissues.org/VA/Jennifer_McClellan.htm
2026-06-10,113,3e7c0e88-5e35-4d71-8022-98731af6461b,Jennifer McClellan,VA-04,D,medicare/aid,2,https://www.ontheissues.org/VA/Jennifer_McClellan.htm
2026-06-10,113,3e7c0e88-5e35-4d71-8022-98731af6461b,Jennifer McClellan,VA-04,D,same-sex-marriage,2,https://en.wikipedia.org/wiki/Jennifer_McClellan|https://www.ontheissues.org/VA/Jennifer_McClellan.htm
2026-06-10,113,3e7c0e88-5e35-4d71-8022-98731af6461b,Jennifer McClellan,VA-04,D,school-vouchers,1,https://www.ontheissues.org/VA/Jennifer_McClellan.htm
2026-06-10,113,3e7c0e88-5e35-4d71-8022-98731af6461b,Jennifer McClellan,VA-04,D,taxes,2,https://www.ontheissues.org/VA/Jennifer_McClellan.htm
2026-06-10,113,3e7c0e88-5e35-4d71-8022-98731af6461b,Jennifer McClellan,VA-04,D,voting-rights,1,https://en.wikipedia.org/wiki/Jennifer_McClellan|https://www.ontheissues.org/VA/Jennifer_McClellan.htm
2026-06-10,113,e4deeac3-b172-473d-9696-a07d874f4795,Ben Cline,VA-05,R,abortion,5,https://en.wikipedia.org/wiki/Ben_Cline|https://www.ontheissues.org/VA/Ben_Cline.htm
2026-06-10,113,e4deeac3-b172-473d-9696-a07d874f4795,Ben Cline,VA-05,R,civil-rights,4,https://en.wikipedia.org/wiki/Ben_Cline|https://www.ontheissues.org/VA/Ben_Cline.htm
2026-06-10,113,e4deeac3-b172-473d-9696-a07d874f4795,Ben Cline,VA-05,R,climate-change,5,https://www.ontheissues.org/VA/Ben_Cline.htm
2026-06-10,113,e4deeac3-b172-473d-9696-a07d874f4795,Ben Cline,VA-05,R,deportation,4,https://www.ontheissues.org/VA/Ben_Cline.htm
2026-06-10,113,e4deeac3-b172-473d-9696-a07d874f4795,Ben Cline,VA-05,R,fossil-fuels,4,https://www.ontheissues.org/VA/Ben_Cline.htm
2026-06-10,113,e4deeac3-b172-473d-9696-a07d874f4795,Ben Cline,VA-05,R,healthcare,5,https://www.ontheissues.org/VA/Ben_Cline.htm
2026-06-10,113,e4deeac3-b172-473d-9696-a07d874f4795,Ben Cline,VA-05,R,immigration,4,https://www.ontheissues.org/VA/Ben_Cline.htm
2026-06-10,113,e4deeac3-b172-473d-9696-a07d874f4795,Ben Cline,VA-05,R,medicare/aid,4,https://www.ontheissues.org/VA/Ben_Cline.htm
2026-06-10,113,e4deeac3-b172-473d-9696-a07d874f4795,Ben Cline,VA-05,R,religious-freedom,5,https://www.ontheissues.org/VA/Ben_Cline.htm
2026-06-10,113,e4deeac3-b172-473d-9696-a07d874f4795,Ben Cline,VA-05,R,same-sex-marriage,5,https://www.ontheissues.org/VA/Ben_Cline.htm
2026-06-10,113,e4deeac3-b172-473d-9696-a07d874f4795,Ben Cline,VA-05,R,school-vouchers,4,https://www.ontheissues.org/VA/Ben_Cline.htm
2026-06-10,113,e4deeac3-b172-473d-9696-a07d874f4795,Ben Cline,VA-05,R,social-security,4,https://www.ontheissues.org/VA/Ben_Cline.htm
2026-06-10,113,e4deeac3-b172-473d-9696-a07d874f4795,Ben Cline,VA-05,R,tariffs,4,https://www.ontheissues.org/VA/Ben_Cline.htm
2026-06-10,113,e4deeac3-b172-473d-9696-a07d874f4795,Ben Cline,VA-05,R,taxes,5,https://www.ontheissues.org/VA/Ben_Cline.htm
2026-06-10,113,e4deeac3-b172-473d-9696-a07d874f4795,Ben Cline,VA-05,R,voting-rights,4,https://www.ontheissues.org/VA/Ben_Cline.htm|https://en.wikipedia.org/wiki/Ben_Cline
2026-06-10,113,12eef223-444e-4bed-8081-f1fd26c43e42,Morgan Griffith,VA-06,R,abortion,3,https://en.wikipedia.org/wiki/Morgan_Griffith|https://www.ontheissues.org/VA/Morgan_Griffith.htm
2026-06-10,113,12eef223-444e-4bed-8081-f1fd26c43e42,Morgan Griffith,VA-06,R,civil-rights,4,https://en.wikipedia.org/wiki/Morgan_Griffith|https://www.ontheissues.org/VA/Morgan_Griffith.htm
2026-06-10,113,12eef223-444e-4bed-8081-f1fd26c43e42,Morgan Griffith,VA-06,R,climate-change,5,https://en.wikipedia.org/wiki/Morgan_Griffith|https://www.ontheissues.org/VA/Morgan_Griffith.htm
2026-06-10,113,12eef223-444e-4bed-8081-f1fd26c43e42,Morgan Griffith,VA-06,R,deportation,4,https://www.ontheissues.org/VA/Morgan_Griffith.htm
2026-06-10,113,12eef223-444e-4bed-8081-f1fd26c43e42,Morgan Griffith,VA-06,R,fossil-fuels,5,https://en.wikipedia.org/wiki/Morgan_Griffith|https://www.ontheissues.org/VA/Morgan_Griffith.htm
2026-06-10,113,12eef223-444e-4bed-8081-f1fd26c43e42,Morgan Griffith,VA-06,R,healthcare,4,https://en.wikipedia.org/wiki/Morgan_Griffith|https://www.ontheissues.org/VA/Morgan_Griffith.htm
2026-06-10,113,12eef223-444e-4bed-8081-f1fd26c43e42,Morgan Griffith,VA-06,R,immigration,4,https://en.wikipedia.org/wiki/Morgan_Griffith|https://www.ontheissues.org/VA/Morgan_Griffith.htm
2026-06-10,113,12eef223-444e-4bed-8081-f1fd26c43e42,Morgan Griffith,VA-06,R,medicare/aid,4,https://www.ontheissues.org/VA/Morgan_Griffith.htm
2026-06-10,113,12eef223-444e-4bed-8081-f1fd26c43e42,Morgan Griffith,VA-06,R,religious-freedom,4,https://en.wikipedia.org/wiki/Morgan_Griffith|https://www.ontheissues.org/VA/Morgan_Griffith.htm
2026-06-10,113,12eef223-444e-4bed-8081-f1fd26c43e42,Morgan Griffith,VA-06,R,same-sex-marriage,5,https://en.wikipedia.org/wiki/Morgan_Griffith|https://www.ontheissues.org/VA/Morgan_Griffith.htm
2026-06-10,113,12eef223-444e-4bed-8081-f1fd26c43e42,Morgan Griffith,VA-06,R,school-vouchers,3,https://www.ontheissues.org/VA/Morgan_Griffith.htm
2026-06-10,113,12eef223-444e-4bed-8081-f1fd26c43e42,Morgan Griffith,VA-06,R,social-security,4,https://en.wikipedia.org/wiki/Morgan_Griffith|https://www.ontheissues.org/VA/Morgan_Griffith.htm
2026-06-10,113,12eef223-444e-4bed-8081-f1fd26c43e42,Morgan Griffith,VA-06,R,tariffs,4,https://www.ontheissues.org/VA/Morgan_Griffith.htm
2026-06-10,113,12eef223-444e-4bed-8081-f1fd26c43e42,Morgan Griffith,VA-06,R,taxes,4,https://en.wikipedia.org/wiki/Morgan_Griffith|https://www.ontheissues.org/VA/Morgan_Griffith.htm
2026-06-10,113,12eef223-444e-4bed-8081-f1fd26c43e42,Morgan Griffith,VA-06,R,voting-rights,4,https://www.ontheissues.org/VA/Morgan_Griffith.htm|https://en.wikipedia.org/wiki/Morgan_Griffith
2026-06-10,113,9a9d6b64-60b3-40c9-b213-4088d9a51e68,Eugene Vindman,VA-07,D,ukraine-support,1,https://en.wikipedia.org/wiki/Eugene_Vindman
2026-06-10,113,0c1eef2f-19be-440f-b3d9-bd99d44ec056,Don Beyer,VA-08,D,abortion,2,https://www.ontheissues.org/VA/Don_Beyer.htm
2026-06-10,113,0c1eef2f-19be-440f-b3d9-bd99d44ec056,Don Beyer,VA-08,D,campaign-finance,2,https://www.ontheissues.org/VA/Don_Beyer.htm
2026-06-10,113,0c1eef2f-19be-440f-b3d9-bd99d44ec056,Don Beyer,VA-08,D,civil-rights,2,https://www.ontheissues.org/VA/Don_Beyer.htm|https://en.wikipedia.org/wiki/Don_Beyer
2026-06-10,113,0c1eef2f-19be-440f-b3d9-bd99d44ec056,Don Beyer,VA-08,D,climate-change,2,https://www.ontheissues.org/VA/Don_Beyer.htm
2026-06-10,113,0c1eef2f-19be-440f-b3d9-bd99d44ec056,Don Beyer,VA-08,D,deportation,1,https://www.ontheissues.org/VA/Don_Beyer.htm
2026-06-10,113,0c1eef2f-19be-440f-b3d9-bd99d44ec056,Don Beyer,VA-08,D,fossil-fuels,2,https://www.ontheissues.org/VA/Don_Beyer.htm
2026-06-10,113,0c1eef2f-19be-440f-b3d9-bd99d44ec056,Don Beyer,VA-08,D,healthcare,2,https://www.ontheissues.org/VA/Don_Beyer.htm
2026-06-10,113,0c1eef2f-19be-440f-b3d9-bd99d44ec056,Don Beyer,VA-08,D,immigration,1,https://www.ontheissues.org/VA/Don_Beyer.htm
2026-06-10,113,0c1eef2f-19be-440f-b3d9-bd99d44ec056,Don Beyer,VA-08,D,same-sex-marriage,2,https://www.ontheissues.org/VA/Don_Beyer.htm
2026-06-10,113,0c1eef2f-19be-440f-b3d9-bd99d44ec056,Don Beyer,VA-08,D,school-vouchers,1,https://www.ontheissues.org/VA/Don_Beyer.htm
2026-06-10,113,0c1eef2f-19be-440f-b3d9-bd99d44ec056,Don Beyer,VA-08,D,social-security,1,https://www.ontheissues.org/VA/Don_Beyer.htm
2026-06-10,113,0c1eef2f-19be-440f-b3d9-bd99d44ec056,Don Beyer,VA-08,D,taxes,2,https://www.ontheissues.org/VA/Don_Beyer.htm
2026-06-10,113,0c1eef2f-19be-440f-b3d9-bd99d44ec056,Don Beyer,VA-08,D,voting-rights,1,https://www.ontheissues.org/VA/Don_Beyer.htm
2026-06-10,113,e603fa67-7992-409e-a1e2-1385c32dc217,John McGuire,VA-09,R,civil-rights,4,https://en.wikipedia.org/wiki/John_McGuire_(Virginia_politician)
2026-06-10,113,e603fa67-7992-409e-a1e2-1385c32dc217,John McGuire,VA-09,R,voting-rights,4,https://en.wikipedia.org/wiki/John_McGuire_(Virginia_politician)
2026-06-10,113,98b05c70-2a30-48ea-81f3-b3216ffb0ca0,Suhas Subramanyam,VA-10,D,same-sex-marriage,2,https://en.wikipedia.org/wiki/Suhas_Subramanyam
2026-06-10,113,32ea954f-8bfa-4d28-9f9e-12d1929cb853,James Walkinshaw,VA-11,D,abortion,2,https://en.wikipedia.org/wiki/James_Walkinshaw
2026-06-10,113,32ea954f-8bfa-4d28-9f9e-12d1929cb853,James Walkinshaw,VA-11,D,deportation,2,https://en.wikipedia.org/wiki/James_Walkinshaw
2026-06-10,113,32ea954f-8bfa-4d28-9f9e-12d1929cb853,James Walkinshaw,VA-11,D,healthcare,2,https://en.wikipedia.org/wiki/James_Walkinshaw
2026-06-10,113,32ea954f-8bfa-4d28-9f9e-12d1929cb853,James Walkinshaw,VA-11,D,immigration,2,https://en.wikipedia.org/wiki/James_Walkinshaw
2026-06-10,113,32ea954f-8bfa-4d28-9f9e-12d1929cb853,James Walkinshaw,VA-11,D,school-vouchers,1,https://en.wikipedia.org/wiki/James_Walkinshaw
2026-06-10,113,32ea954f-8bfa-4d28-9f9e-12d1929cb853,James Walkinshaw,VA-11,D,tariffs,3,https://en.wikipedia.org/wiki/James_Walkinshaw
2026-06-10,113,32ea954f-8bfa-4d28-9f9e-12d1929cb853,James Walkinshaw,VA-11,D,ukraine-support,2,https://en.wikipedia.org/wiki/James_Walkinshaw
