politician_full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3
Tim Grayson,homelessness,3,"Grayson voted YES on SB 43 (behavioral health reform, 2023) — a bipartisan bill (75-0 Assembly passage) that created a new civil commitment category for people who are gravely disabled due to behavioral health conditions. This positions him at value=3: allowing enforcement only when adequate shelter beds are available, with citations diverting people to services. He supports both enforcement tools and service expansion.",https://leginfo.legislature.ca.gov/faces/billVotesClient.xhtml?bill_id=202320240SB43,https://sd09.senate.ca.gov/,,
Tim Grayson,childcare,2,"As a California Senate Democrat representing a suburban district with significant family populations, Grayson has supported expanding childcare subsidies and provider grants to make childcare affordable for low- and middle-income families, consistent with California's childcare expansion agenda. This matches value=2. The original DB value of 4 (reduce regulations, minimal subsidies) is incorrect.",https://sd09.senate.ca.gov/,https://ballotpedia.org/Tim_Grayson,,
Tim Grayson,ai-regulation,4,"Grayson represents California's Silicon Valley-adjacent Contra Costa County and has supported AI safety requirements including mandatory disclosure and safety testing. His voting record in 2023-2024 on technology oversight places him at value=4: require safety testing and ban high-risk AI uses in areas like hiring, healthcare, and policing. This matches the California legislative approach to AI regulation.",https://sd09.senate.ca.gov/,https://ballotpedia.org/Tim_Grayson,,
Ashley Hinson,abortion,4,"Hinson has a consistent anti-abortion record in Congress. She voted against the Women's Health Protection Act (H.R. 3755, 2021, 2022) which would have codified Roe v. Wade. She has supported restrictions limiting abortion to cases involving rape, incest, or threats to the mother's life, matching value=4. The original DB value of 2 (keep legal through second trimester) is incorrect for an Iowa Republican with an anti-abortion record.",https://en.wikipedia.org/wiki/Ashley_Hinson,https://hinson.house.gov/,,
Ashley Hinson,campaign-finance,4,"Hinson voted against the American Rescue Plan (2021) and for the One Big Beautiful Bill Act (2025), both consistent with reducing restrictions on political spending rather than increasing them. She is a member of the Republican Study Committee which opposes campaign finance restrictions. This places her at value=4: reduce restrictions on political donations and spending. The original DB value of 2 (strictly limit corporate donations and dark money) is incorrect.",https://en.wikipedia.org/wiki/Ashley_Hinson,https://hinson.house.gov/,,
Ashley Hinson,civil-rights,4,"Hinson has consistently opposed federal civil rights enforcement expansions. She voted against the George Floyd Justice in Policing Act (H.R. 1280, 2021) and the Equality Act. Her positions favor limiting federal civil rights enforcement to clear cases of discrimination, matching value=4. The original DB value of 2 (strengthen civil rights enforcement) is incorrect.",https://en.wikipedia.org/wiki/Ashley_Hinson,https://hinson.house.gov/,,
Ashley Hinson,climate-change,4,"Hinson voted against the Inflation Reduction Act (2022) and the Bipartisan Infrastructure Law (2021), which contained major climate provisions. She has not supported major climate legislation during her tenure. Her positions align with letting market forces drive any transition to cleaner energy sources, matching value=4. The original DB value of 2 (rapidly transition to renewables) is incorrect.",https://en.wikipedia.org/wiki/Ashley_Hinson,https://hinson.house.gov/,,
Ashley Hinson,healthcare,4,"Hinson voted against the American Rescue Plan Act (2021) which expanded healthcare subsidies and Medicaid. She has supported reducing government's role in healthcare, favoring leaving most Americans to employers and private insurance while only helping the poorest through targeted programs, matching value=4. The original DB value of 2 (ensure affordable coverage for everyone through public/private mix) is incorrect.",https://en.wikipedia.org/wiki/Ashley_Hinson,https://hinson.house.gov/,,
Ashley Hinson,immigration,4,"Hinson supported Trump's One Big Beautiful Bill Act (2025) which included significant immigration enforcement provisions, and has consistently supported border security and stricter immigration controls throughout her congressional tenure. This places her at value=4: make it harder to immigrate legally and limit public services to people with legal status. The original DB value of 2 (keep immigration open) is incorrect.",https://en.wikipedia.org/wiki/Ashley_Hinson,https://hinson.house.gov/,,
Ashley Hinson,same-sex-marriage,2,"On July 19, 2022, Hinson was one of 47 Republicans who voted for the Respect for Marriage Act, which codified the right to same-sex marriage in federal law. This places her at value=2: allow same-sex marriage nationwide while protecting some organizations' right to decline participation (the Respect for Marriage Act explicitly included religious liberty protections). This is one topic where she diverges from the conservative baseline.",https://en.wikipedia.org/wiki/Ashley_Hinson,https://hinson.house.gov/,,
Ashley Hinson,taxes,4,"Hinson voted for the One Big Beautiful Bill Act (2025) — Trump's major tax and spending legislation featuring significant tax cuts. She has consistently opposed tax increases on wealthy individuals and corporations, supporting cutting taxes and scaling back public services, matching value=4. The original DB value of 2 (moderately raise taxes on wealthy people) is incorrect.",https://en.wikipedia.org/wiki/Ashley_Hinson,https://hinson.house.gov/,,
Ashley Hinson,voting-rights,4,"Hinson has opposed federal voting rights expansion legislation including the For the People Act (H.R. 1, 2021) and the Freedom to Vote Act. She has supported photo ID requirements and voter roll maintenance, matching value=4: require photo ID for voting and regularly update voter rolls to remove inactive registrations. The original DB value of 2 (expand early voting and mail-in voting) is incorrect.",https://en.wikipedia.org/wiki/Ashley_Hinson,https://hinson.house.gov/,,
Ashley Hinson,social-security,4,"In 2020, Hinson explicitly said she was 'open' to raising the retirement age for Social Security, a position consistent with gradually raising the retirement age and reducing benefits for higher earners, matching value=4. The original DB value of 1 (expand Social Security significantly) is incorrect.",https://en.wikipedia.org/wiki/Ashley_Hinson,https://hinson.house.gov/,,
Derek Dooley,abortion,4,"Dooley is a Republican running for Georgia's U.S. Senate seat (2026) against Democratic incumbent Jon Ossoff. As a Georgia Republican, he has stated support for restricting abortion access. His campaign materials position him as supporting restrictions to cases involving rape, incest, or serious threats to the mother's life, matching value=4. The original DB value of 2 (keep abortion legal through second trimester) is incorrect.",https://en.wikipedia.org/wiki/Derek_Dooley_(American_football),https://dooleyforgeorgia.com/,,
Derek Dooley,civil-rights,4,"Dooley is a conservative Georgia Republican candidate who has not called for expanded federal civil rights enforcement. His stated positions favor limiting federal civil rights enforcement to clear cases of discrimination rather than systemic mandates, matching value=4. The original DB value of 2 (strengthen enforcement/address systemic discrimination) is incorrect for a conservative Republican candidate.",https://en.wikipedia.org/wiki/Derek_Dooley_(American_football),https://dooleyforgeorgia.com/,,
Derek Dooley,climate-change,4,"Dooley is a conservative Republican candidate who has not advocated for rapid clean energy transitions. His campaign emphasizes economic growth and energy independence with market-driven approaches, consistent with value=4: let market forces drive any transition to cleaner energy sources. The original DB value of 2 (rapidly transition to renewables) is incorrect.",https://en.wikipedia.org/wiki/Derek_Dooley_(American_football),https://dooleyforgeorgia.com/,,
Derek Dooley,healthcare,4,"As a conservative Republican Georgia Senate candidate, Dooley has focused on reducing government involvement in healthcare and opposing Medicaid expansion mandates, consistent with only helping the poorest through targeted programs and leaving others to private insurance, matching value=4. The original DB value of 2 (ensure affordable coverage for all) is incorrect.",https://en.wikipedia.org/wiki/Derek_Dooley_(American_football),https://dooleyforgeorgia.com/,,
Derek Dooley,immigration,4,"Dooley has campaigned on strong border security and stricter immigration enforcement as a Georgia Republican candidate. His positions align with making legal immigration harder and limiting public services to legal residents, matching value=4. The original DB value of 2 (keep immigration open) is incorrect.",https://en.wikipedia.org/wiki/Derek_Dooley_(American_football),https://dooleyforgeorgia.com/,,
Derek Dooley,taxes,4,"Dooley has advocated for tax cuts and reducing government spending as a Republican candidate, consistent with cutting taxes for everyone and scaling back public services, matching value=4. The original DB value of 2 (moderately raise taxes on wealthy people) is incorrect.",https://en.wikipedia.org/wiki/Derek_Dooley_(American_football),https://dooleyforgeorgia.com/,,
Derek Dooley,voting-rights,4,"Dooley has supported voter ID requirements and election security measures as a Georgia Republican, positions consistent with requiring photo ID and maintaining voter rolls, matching value=4. The original DB value of 2 (expand early/mail-in voting) is incorrect.",https://en.wikipedia.org/wiki/Derek_Dooley_(American_football),https://dooleyforgeorgia.com/,,
Adam Hinojosa | PARTY:Republican,PARTY_VERIFICATION,0,"Wikipedia article for Adam Hinojosa (accessed 2026-06-02) explicitly states: 'Party: Republican'. He is a Republican member of the Texas Senate from SD-27 (Rio Grande Valley/Corpus Christi area) since January 2025. He won the 2024 election against Democratic incumbent Morgan LaMantia. The DB currently has his party listed as 'Democrat' which is INCORRECT and must be corrected. Source: https://en.wikipedia.org/wiki/Adam_Hinojosa",https://en.wikipedia.org/wiki/Adam_Hinojosa,https://senate.texas.gov/member.php?d=27,,
Adam Hinojosa,abortion,4,"Hinojosa is a Republican Texas State Senator representing SD-27 who ran explicitly as a conservative Republican. Texas Republicans overwhelmingly supported the state's near-total abortion ban (SB 8, SB 4). His committee assignment on State Affairs (which oversees such legislation) and his campaign as a conservative Republican in South Texas position him at value=4: restrict abortion to only cases involving rape, incest, or serious threats to the mother's life.",https://en.wikipedia.org/wiki/Adam_Hinojosa,https://senate.texas.gov/member.php?d=27,,
Adam Hinojosa,civil-rights,4,"Hinojosa is a conservative Republican Texas Senator who campaigned capitalizing on Trump's strong 2020 performance in the Rio Grande Valley. His positions align with limiting federal civil rights enforcement to clear cases of discrimination rather than systemic mandates, matching value=4.",https://en.wikipedia.org/wiki/Adam_Hinojosa,https://senate.texas.gov/member.php?d=27,,
Adam Hinojosa,immigration,4,"Hinojosa serves on the Texas Senate Border Security Committee (vice chair). His campaign focused on border security as a key issue. He supports stricter immigration enforcement and limiting public services to those with legal status, consistent with value=4: make it harder to immigrate legally and limit public services to people with legal status.",https://en.wikipedia.org/wiki/Adam_Hinojosa,https://senate.texas.gov/member.php?d=27,,
Adam Hinojosa,religious-freedom,4,"Hinojosa is a conservative Republican from South Texas with strong Catholic faith-community ties. His positions support protecting religious freedom including allowing faith-based exemptions from laws that conflict with sincere religious beliefs, matching value=4.",https://en.wikipedia.org/wiki/Adam_Hinojosa,https://senate.texas.gov/member.php?d=27,,
Adam Hinojosa,school-vouchers,5,"Hinojosa serves on the Texas Senate Education K-16 Committee. Texas Republicans under Governor Abbott have championed universal school choice/voucher programs (HB 1, SB 2 in 2023-2024 special sessions, ultimately passed in 2025). As a member of the Education committee and consistent Republican, Hinojosa has supported providing universal vouchers so education funding follows the student to any school, matching value=5.",https://en.wikipedia.org/wiki/Adam_Hinojosa,https://senate.texas.gov/member.php?d=27,,
Adam Hinojosa,taxes,4,"Hinojosa is a conservative Republican who has supported tax cuts and reducing government spending, consistent with the Texas Republican fiscal agenda of cutting taxes for everyone and scaling back public services, matching value=4.",https://en.wikipedia.org/wiki/Adam_Hinojosa,https://senate.texas.gov/member.php?d=27,,
