full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
L. Louise Lucas,redistricting,5,"Lucas led the Virginia Senate Democrats in drawing a partisan congressional map in 2024 that was designed to favor Democrats and flip Republican-held seats — prompting complaints from Sen. Ted Cruz and others. Rather than supporting an independent commission process, she championed the legislature using its majority to draw maps advantageous to the controlling party. This directly reflects the stance that the party controlling the legislature should draw maps without outside interference.",https://en.wikipedia.org/wiki/Louise_Lucas,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S19,,,
L. Louise Lucas,voting-rights,2,"Lucas voted consistently with the 21-19 Democratic Senate majority on voter access legislation in 2024 including SB196 (protecting voter registration lists from unreliable data sources and transferring challenge authority to courts) and SB300 (strengthening voter list maintenance standards and public records requirements) — both vetoed by the Republican governor. As Senate President pro tempore, she led the chamber's pro-voter-access agenda, consistent with expanding early voting and mail-in access without restrictive ID mandates.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+sum+SB196,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+sum+SB300,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S19,,
Christie New Craig,abortion,4,"Craig voted NO on SB 15 (2024), which would have prohibited Virginia from extraditing individuals for receiving or providing reproductive health care services that are legal in Virginia. She also voted NO on SB 16 (2024), protecting menstrual health data from government search warrants. Both votes align with opposing legal protections for abortion access, placing her closer to restricting abortion to cases of rape, incest, or serious maternal health risk rather than supporting broader access.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0339SB0015,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0340SB0016,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S118,,
Christie New Craig,taxes,4,"Craig authored SB 61 (2025) creating income tax subtractions for firefighter benefits and SB 126 (2025) increasing the vehicle personal property tax relief threshold from $20,000 to $30,000. She also voted NO on HB 1 (2024), which would have raised Virginia's minimum wage to $15.00/hour. Her campaign website describes tax reform to help working families retain more income as her 'TOP priority,' consistent with cutting taxes across income levels.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?251+mbr+S118C,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0582HB0001,https://christienewcraig.com/issues/,,
Christie New Craig,climate-change,4,"Craig voted NO on SB 234 (2024), establishing the Parking Lot Solar Development Pilot Grant Program to fund solar installations in two Virginia localities. She joined only 9 other Republican senators in opposing this bipartisan bill that passed 30-10. No clean energy or climate legislation appears in her authored bills. This aligns with letting market forces drive any energy transition rather than government-funded clean energy programs.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0308SB0234,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S118,,
Christie New Craig,fossil-fuels,4,"Craig voted NO on the Parking Lot Solar Development Program (SB 234, 2024), the clearest available signal on energy policy. No fossil fuel restriction bills appear in her authored record. Her alignment with the most conservative Republican bloc on energy votes (she was one of only 10 senators opposing the solar grant program) indicates support for expanding rather than restricting fossil fuel use, though no direct drill-permit votes were found in the 2024 session.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0308SB0234,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S118,,,
Christie New Craig,civil-rights,4,"Craig voted NO on SB 393 (2024), which required companies seeking MEI project approval to disclose the gender and racial diversity of their boards of directors. She was one of 19 Republicans voting against the diversity disclosure requirement. This pattern of opposing government-mandated diversity measures aligns with limiting federal and state civil rights enforcement to clear cases of discrimination rather than proactively requiring equity reporting.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0134SB0393,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S118,,,
Christie New Craig,voting-rights,4,"Craig voted NO on SB 364 (2024), which established enhanced protections for election officials including address privacy for poll workers and new felony penalties for coercing election employees. She was among all 19 Republicans who opposed the bill. This consistent pattern of voting against Democratic voting access and election administration bills aligns with supporting photo ID requirements and stricter voter roll maintenance rather than expanding access.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0408SB0364,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S118,,,
Christie New Craig,immigration,4,"Craig voted NO on SB 69 (2024), which would have allowed DACA recipients to serve as law enforcement officers including police officers and deputy sheriffs. She joined all 18 other Republican senators in opposing the bill. Her opposition to extending professional credentials to immigrants without full legal status reflects a stance of limiting public services and credentials to those with legal status, consistent with making it harder to immigrate and limiting services for those without legal status.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0435SB0069,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S118,,,
Christie New Craig,trans-athletes,4,"Craig voted NO on the committee motion to pass SB 37 (2024) by indefinitely — meaning she voted to keep 'Sage's Law' alive. SB 37 required schools to notify parents when students expressed gender incongruence and prohibited gender affirmation plans without parental consent. She was one of six committee members (all Republicans) voting to advance the bill, signaling strong support for restricting transgender recognition in public institutions and aligning with requiring athletes to compete based on biological sex assigned at birth.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+S04V0110+SB0037,https://legacylis.virginia.gov/cgi-bin/legp604.exe?ses=241&typ=bil&val=SB37,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S118,,
Christie New Craig,healthcare,3,"Craig served as a named Senate conferee on SB 488 (2024), a bipartisan Medicaid waiver bill that expanded home and community-based services for families with multiple children on waivers — passing 40-0 in the Senate. Her willingness to work on expanding Medicaid waiver access in a bipartisan context, combined with her lack of authored healthcare privatization bills, places her closer to supporting existing programs while controlling costs rather than pushing for significant privatization or significant expansion.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?ses=241&typ=bil&val=SB488,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S118,,,
Christie New Craig,childcare,4,"Craig authored SB 170 (2025), which created a licensing exemption for out-of-school time programs (after-school, summer) that obtain Board of Education certification instead — reducing government oversight of childcare providers. While she was also a Senate conferee on HB 419 (2024), a bipartisan childcare funding reporting bill, her primary legislative action on childcare was deregulatory. This aligns with reducing regulations on childcare providers to increase supply and lower costs, with limited subsidies for the lowest-income families.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?ses=241&typ=bil&val=SB170,https://legacylis.virginia.gov/cgi-bin/legp604.exe?ses=241&typ=bil&val=HB419,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S118,,
Bill DeSteph,school-vouchers,5,"DeSteph was chief patron of SB 558 (2024), establishing renewable education savings accounts funded at a percentage of state per-pupil funds, redeemable at private schools, nonpublic online programs, or higher education — with eligibility expanding by 2028-29 to any Virginia student entering kindergarten or previously in public school. This is the broadest possible education funding-follows-the-student model. The bill was killed 9-6 in committee.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+bil+SB0558,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S96,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+mbr+S96C,,
Bill DeSteph,abortion,4,"DeSteph voted NO on SB 15 (2024), which would have prohibited Virginia from extraditing people who received or assisted with reproductive health care legal in Virginia (vote 21-19). He also voted NO on SB 16 (2024), protecting menstrual health data from government search warrants (vote 22-18). Both votes are consistent with opposing legal protections for abortion access, aligning with restricting abortion to cases of rape, incest, or serious maternal health risk.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0339SB0015,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0340SB0016,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S96,,
Bill DeSteph,taxes,4,"DeSteph voted NO on SB 1 (2024, minimum wage to $13.50-$15.00, vote 21-19) and NO on HB 1 (2024, same wage increase, vote 21-18). He authored SB 260 (Virginia procurement preference for domestic bidders) and SB 302 (Virginia First Manufacturing Incentive Program), both business-friendly/pro-growth measures. His legislative pattern consistently opposes government-mandated wage floors and favors cutting costs for businesses and individuals.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0582HB0001,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+bil+SB0302,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+mbr+S96C,,
Bill DeSteph,immigration,4,"DeSteph voted NO on SB 69 (2024), which would have allowed DACA recipients to serve as law enforcement officers (vote 21-18). He also voted NO on SB 720's committee advancement — a bill to ban sanctuary city policies and require mandatory ICE detainer compliance. His legislative record reflects consistently restrictive immigration policy: opposing expanded credentials for DACA recipients and supporting mandatory federal immigration enforcement cooperation.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0435SB0069,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+bil+SB0720,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S96,,
Bill DeSteph,civil-rights,4,"DeSteph voted NO on SB 393 (2024), requiring companies to disclose the gender and racial composition of their boards of directors to receive MEI project approvals — opposing government-mandated diversity reporting. He did co-sponsor SB 7 (2024), adding ethnic origin to hate crime and employment discrimination protections (passed unanimously). This combination supports baseline civil rights enforcement for clear cases of discrimination while opposing mandatory equity programs.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0134SB0393,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+bil+SB0007,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+mbr+S96C,,
Bill DeSteph,climate-change,4,"DeSteph voted NO on SB 234 (2024), the Parking Lot Solar Development Pilot Grant Program — one of only 10 senators (in a 30-9 vote) to oppose this bipartisan bill creating solar grants for two Virginia localities. He has no authored clean energy bills. His opposition to government-funded renewable energy incentives aligns with letting market forces drive any transition rather than government-sponsored clean energy programs.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0308SB0234,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S96,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+mbr+S96C,,
Bill DeSteph,fossil-fuels,4,"DeSteph voted NO on SB 234 (2024 Parking Lot Solar grant program) and has no authored clean energy or fossil fuel restriction bills. His opposition to even modest solar incentive programs signals preference for expanding fossil fuel use over government-supported renewables, consistent with supporting expanded fossil fuel drilling permits rather than maintaining strict environmental controls.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0308SB0234,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S96,,
Bill DeSteph,voting-rights,4,"DeSteph voted NO on SB 364 (2024), establishing enhanced protections for election officials including address privacy for poll workers and new felony penalties for coercing election employees (vote 21-19). He voted NO on SB 300 (2024, voter list maintenance and cancellation notice requirements). His consistent pattern of opposing Democratic voting access legislation aligns with requiring photo ID and regularly updating voter rolls rather than expanding access.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0408SB0364,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S96,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+mbr+S96C,,
Bill DeSteph,tariffs,3,"DeSteph authored SB 260 (2024, passed 97-0), establishing Virginia public procurement preferences for Virginia-resident bidders and U.S.-made goods, with price-matching rights within 10% of the lowest bid — a form of selective domestic protection. He also authored SB 302, the Virginia First Manufacturing Incentive Program focused on reshoring manufacturing to Virginia. Both bills use targeted protectionist mechanisms to support American industry without imposing broad tariffs.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+bil+SB0260,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+bil+SB0302,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+mbr+S96C,,
Angelia Williams Graves,abortion,2,"Williams Graves voted YES on SB 15 (2024), which prohibited Virginia from extraditing individuals who received or provided reproductive health care services legal in Virginia (vote 21-19). She also authored SB 525 (2024, Stillbirth Support Grant Program) supporting access to pregnancy care services. Her voting record on reproductive health is fully aligned with the Democratic caucus in protecting legal abortion access, placing her at full legal access through the second trimester rather than publicly funded access at all stages.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0339SB0015,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+bil+SB525D,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+mbr+S130C,,
Angelia Williams Graves,healthcare,2,"Williams Graves voted YES on SB 274 (2024), establishing the Prescription Drug Affordability Board to set upper payment limits for drugs in state health plans — a government body to regulate healthcare costs. She also voted YES on SB 376 (2024), requiring health insurers to cap prescription drug cost-sharing at $100-$150 per 30-day supply. Both votes support government regulation to ensure affordable coverage through a mix of public programs and regulated private insurance.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0405SB0274,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+bil+SB376D,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+mbr+S130C,,
Angelia Williams Graves,housing,3,"Williams Graves authored SB 555 (2024), creating a tax credit for sellers who sell their primary residence to first-time homebuyers (2% of sales price, capped at $5,000, for tax years 2024-2028). This targeted subsidy to facilitate private market access for first-time buyers reflects a government role focused on helping buyers enter the market rather than building public housing, mandating affordability requirements in new construction, or capping rents.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+bil+SB555D,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+mbr+S130C,,,
Angelia Williams Graves,taxes,2,"Williams Graves voted YES on SB 1 (2024), raising Virginia's minimum wage to $13.50 then $15.00/hour (vote 21-19, vetoed by governor). She voted YES on SB 373 (2024), establishing a paid family and medical leave insurance program funded by employer and employee premium contributions (vote 21-19, vetoed). Both votes support mandating higher compensation floors and new employer contributions — consistent with modestly raising taxes on businesses and higher earners to fund existing and expanded services.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0426SB0373,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+mbr+S130C,,,
Angelia Williams Graves,civil-rights,2,"Williams Graves authored SB 517 (2024), eliminating Virginia's tax exemptions for Confederate heritage organizations including the United Daughters of the Confederacy and the Stonewall Jackson Memorial (passed Senate 23-16, vetoed by governor). She also authored SB 696 (2024), creating automatic resentencing hearings for people convicted of marijuana felonies before Virginia's 2021 legalization — targeting racially disparate incarceration patterns. Both bills go beyond maintaining current law to actively address systemic inequality.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+bil+SB517D,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+bil+SB696D,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+mbr+S130C,,
Angelia Williams Graves,climate-change,3,"Williams Graves voted YES on SB 234 (2024), the Parking Lot Solar Development Pilot Grant Program creating state grants for solar installations in two localities (vote 30-10 including some bipartisan support). No authored clean energy bills or fossil fuel restriction bills were found in her 2024-2025 record. The solar grant support indicates willingness to invest in clean energy without evidence of advocating for a rapid phase-out of fossil fuels.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0304SB0234,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+mbr+S130C,,,
Angelia Williams Graves,fossil-fuels,3,"Williams Graves voted YES on SB 234 (2024), a solar grants pilot program, and the broader party-line pattern of her votes shows support for clean energy investment. However, no bills authoring new fossil fuel restrictions or drilling permit limitations appear in her record, and Virginia's offshore energy policy was not a subject of her authored legislation. Her position matches maintaining current production levels while investing in renewables.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0304SB0234,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+mbr+S130C,,,
Angelia Williams Graves,immigration,2,"Williams Graves voted YES on SB 69 (2024), allowing DACA recipients to qualify for law enforcement positions including police officer and deputy sheriff (vote 21-18, vetoed by governor). This reflects a stance of keeping legal immigration pathways open and allowing immigrants — including those with deferred action status — to fully participate in public institutions and services regardless of citizenship status.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0435SB0069,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+mbr+S130C,,,
Angelia Williams Graves,voting-rights,2,"Williams Graves voted consistently with all 21 Senate Democrats on voting access legislation in 2024. She voted YES on SB 15 (reproductive health extradition protections, 21-19), demonstrating alignment with the Democratic bloc that also backed SB 196 and SB 300 on voter roll protection and SJ 2 (constitutional amendment for automatic voting rights restoration for people released from incarceration). Her authored legislation does not include voter suppression measures.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0339SB0015,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+bil+SJ2D,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+mbr+S130C,,
Angelia Williams Graves,school-vouchers,1,"Williams Graves authored SB 518 (2024/2025), requiring every public high school to employ at least one college and career specialist — explicitly as an addition to, not replacement for, existing counseling staff. This public school investment bill reflects fully funding public schools and strengthening their services, with no authored school choice or voucher legislation in her Senate or House record.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?251+bil+SB518D,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+mbr+S130C,,,
Aaron R. Rouse,abortion,2,"Rouse voted YES on SB 15 (2024), prohibiting Virginia from extraditing individuals for receiving or providing reproductive health care services legal in Virginia (vote 21-19, vetoed by governor). He also voted YES on SB 16 (2024), protecting menstrual health data from government search warrants (vote 22-17), and YES on HB 819 (2024), requiring health insurance coverage for contraceptive drugs and devices (vote 23-16). This pattern supports keeping abortion legal and accessible through the second trimester without evidence of advocating for publicly funded access at all stages.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0339,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0560,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0592,,
Aaron R. Rouse,same-sex-marriage,1,"Rouse voted YES on HB 174 (2024), which requires Virginia to issue marriage licenses regardless of the sex, gender, or race of the parties and mandates statewide recognition of such marriages. The bill passed the Senate 22-17 and was signed into law by Governor Youngkin on March 8, 2024. Voting to enshrine marriage equality in state statute, making it effective regardless of federal law changes, aligns with requiring all states to recognize same-sex marriages and provide full protections.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB174,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0451,,,
Aaron R. Rouse,voting-rights,2,"Rouse was the primary patron of SB 300 (2024), establishing data quality standards for voter list maintenance and requiring advance notice before canceling voter registrations — protecting voters from improper removal. He voted with the full 21-senator Democratic caucus on all party-line voting access legislation including SB 196 (voter list maintenance protections) and SB 364 (election official protections). His record reflects expanding voter access protections and making mail-in and early voting broadly available without restrictive ID mandates.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+sum+SB300,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0343,,,
Aaron R. Rouse,civil-rights,2,"Rouse voted YES on SB 491 (2024), establishing civil liability standards for firearm industry members to prevent negligent distribution to prohibited buyers (vote 21-19), and YES on SB 588 (2024), requiring affordable housing landlords to develop criminal record screening policies reducing barriers to housing for people with prior convictions (vote 21-19). Both bills go beyond maintaining current law to actively address systemic discrimination and predatory practices, consistent with strengthening civil rights enforcement.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0361,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0369,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+sum+SB491,,
Aaron R. Rouse,climate-change,3,"Rouse voted YES on SB 729 (2024), establishing the Virginia Clean Energy Innovation Bank to finance clean energy and greenhouse gas reduction projects with grants and loans (vote 29-9, vetoed by governor). He also voted YES on SB 565 (2024, energy efficiency programs, vote 20-19), SB 255 (2024, shared solar programs, vote 21-16), and SB 697 (2024, solar facility local regulation, vote 21-18). However, he also crossed party lines to vote YES on SB 454 (2024, nuclear small modular reactor cost recovery for Dominion Energy, vote 20-19), suggesting a pragmatic invest-in-clean-energy approach rather than an aggressive fossil fuel phase-out.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0430,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0413,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0410,,
Aaron R. Rouse,fossil-fuels,3,"Rouse voted YES on SB 729 (2024, Virginia Clean Energy Innovation Bank), SB 255 (shared solar), SB 697 (solar local regulation), and SB 565 (energy efficiency) — all supporting clean energy investment. He also voted YES on SB 454 (2024), authorizing Dominion Energy to recover development costs for a nuclear small modular reactor from ratepayers, crossing party lines (vote 20-19). No authored or voted bills banning new fossil fuel permits or drilling appear in his record. His stance aligns with maintaining current production levels with existing environmental regulations while investing in clean energy rather than halting new permits.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0410,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0430,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+sum+SB454,,
Aaron R. Rouse,healthcare,2,"Rouse voted YES on SB 274 (2024), establishing the Prescription Drug Affordability Board to conduct cost reviews and set upper payment limits for drugs in state health plans (vote 23-17, vetoed by governor). He also voted YES on HB 819 (2024), requiring health insurers to cover contraceptive drugs and devices with no cost-sharing (vote 23-16). Both votes support government regulation to ensure affordable coverage through a mix of public programs and regulated private insurance rather than market-only solutions.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0405,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0592,,,
Aaron R. Rouse,housing,2,"Rouse voted YES on SB 597 (2024), authorizing localities to use zoning authority to facilitate affordable housing development in comprehensive plans (vote 21-19). He also voted YES on SB 588 (2024), requiring affordable housing landlords to adopt criminal record screening policies reducing denials (vote 21-19), and YES on HB 817 (2024), strengthening tenant protections in the Virginia Residential Landlord and Tenant Act (vote 23-17). This pattern of supporting government mandates to expand affordable housing access aligns with using rent and zoning tools alongside publicly funded housing programs.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0370,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0369,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0647,,
Aaron R. Rouse,immigration,2,"Rouse voted YES on SB 69 (2024), allowing individuals granted Deferred Action for Childhood Arrivals (DACA) to qualify as law enforcement officers including police officers and deputy sheriffs (vote 21-18, vetoed by governor). This reflects a stance of keeping legal immigration open and allowing most residents — including those with deferred immigration status — to fully use public institutions and services regardless of full legal citizenship status.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+sum+SB69,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+vot+SV0435,,,
