# LA jungle/open-primary model: 1 race per district, primary_party=NULL, all parties + incumbent on it. No per-party races; NO Dec-2026 runoff (deferred to Phase 167). Severe (withheld) geo_ids per 163-la-correspondence-audit.md: 2202 (LA-2), 2206 (LA-6). All 6 late-primary (qualifying closes 2026-08-07 -> declared-so-far, Phase-167 re-pull). Withheld election date 2026-05-29 (SB121/Act 2 signing), validated invisible (>30d past). SB121 confirmed operative by 163-01 audit re-verify (2026-07-05).
cd,geo_id,full_name,party_from_field,decision,assign_external_id,is_incumbent,primary_timing,severity,election,source
4,2204,"Mike Nichols",R,NEW,-220402,false,LATE-PRIMARY,NOT-SEVERE,"LA 2026 Statewide General","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
4,2204,"Conrad Cable",D,NEW,-220403,false,LATE-PRIMARY,NOT-SEVERE,"LA 2026 Statewide General","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
4,2204,"Matt Gromlich",D,NEW,-220404,false,LATE-PRIMARY,NOT-SEVERE,"LA 2026 Statewide General","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
5,2205,"Julia Letlow",R,REUSE-NO-ROW,-22005,true,LATE-PRIMARY,NOT-SEVERE,"LA 2026 Statewide General","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
5,2205,"Misti Cordell",R,NEW,-220501,false,LATE-PRIMARY,NOT-SEVERE,"LA 2026 Statewide General","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
5,2205,"Michael Echols",R,NEW,-220502,false,LATE-PRIMARY,NOT-SEVERE,"LA 2026 Statewide General","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
5,2205,"Rick Edmonds",R,NEW,-220503,false,LATE-PRIMARY,NOT-SEVERE,"LA 2026 Statewide General","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
5,2205,"Austin Magee",R,NEW,-220504,false,LATE-PRIMARY,NOT-SEVERE,"LA 2026 Statewide General","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
5,2205,"Michael Mebruer",R,NEW,-220505,false,LATE-PRIMARY,NOT-SEVERE,"LA 2026 Statewide General","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
5,2205,"Blake Miguez",R,NEW,-220506,false,LATE-PRIMARY,NOT-SEVERE,"LA 2026 Statewide General","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
5,2205,"Sammy Wyatt",R,NEW,-220507,false,LATE-PRIMARY,NOT-SEVERE,"LA 2026 Statewide General","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
5,2205,"Gabe Firment",R,NEW,-220508,false,LATE-PRIMARY,NOT-SEVERE,"LA 2026 Statewide General","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
5,2205,"Jessee Fleenor",D,NEW,-220509,false,LATE-PRIMARY,NOT-SEVERE,"LA 2026 Statewide General","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
5,2205,"Larry Foy",D,NEW,-220510,false,LATE-PRIMARY,NOT-SEVERE,"LA 2026 Statewide General","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
5,2205,"Lindsay Garcia",D,NEW,-220511,false,LATE-PRIMARY,NOT-SEVERE,"LA 2026 Statewide General","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
5,2205,"Dan McKay",D,NEW,-220512,false,LATE-PRIMARY,NOT-SEVERE,"LA 2026 Statewide General","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
5,2205,"Tania Nyman",D,NEW,-220513,false,LATE-PRIMARY,NOT-SEVERE,"LA 2026 Statewide General","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
6,2206,"Cleo Fields",D,REUSE,-22006,true,LATE-PRIMARY,SEVERE,"LA 2026 Congressional Redistricting - Polygon Pending","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
6,2206,"Monique Appeaning",R,NEW,-220601,false,LATE-PRIMARY,SEVERE,"LA 2026 Congressional Redistricting - Polygon Pending","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
6,2206,"Larry Davis",R,NEW,-220602,false,LATE-PRIMARY,SEVERE,"LA 2026 Congressional Redistricting - Polygon Pending","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
6,2206,"Chris Johnson",R,NEW,-220603,false,LATE-PRIMARY,SEVERE,"LA 2026 Congressional Redistricting - Polygon Pending","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
6,2206,"Peter Williams",R,NEW,-220604,false,LATE-PRIMARY,SEVERE,"LA 2026 Congressional Redistricting - Polygon Pending","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
