full_name,topic_key,source_url,snippet,snippet_index
Brady Brammer,civil-rights,https://freedomindex.us/legislator/11370,"Brady Brammer voted Yes on SB16 (Ban on Sex Mutilation Against Minors, 2023) — Supported restrictions on transgender medical procedures for minors. No on SB217 (CHIP Benefits for Illegal Aliens, 2023) — Opposed program expanding children's health coverage. Yes on HB303 (Woke School Curriculum Ban, 2024). Overall Freedom Score: 85%.",0
Brady Brammer,civil-rights,https://www.votebrammer.com/family-values,"Brammer describes himself as a 'consistent voice for life, religious freedom, and constitutional rights.' He believes 'government exists to protect these freedoms, not limit them.' He passed legislation protecting religious expression in the workplace and co-sponsored legislation to 'outlaw AI-generated pornography depicting children.'",1
Brady Brammer,misinformation,https://freedomindex.us/legislator/11370,"Brady Brammer voted Yes on HB303 (Woke School Curriculum Ban, 2024) — Backed prohibition on endorsing certain social beliefs in schools. Yes on HB85 (Nullifying UN, 2026). Yes on SB57 (Constitutional Sovereignty Act, 2024). Overall Freedom Score: 85%.",0
Brady Brammer,redistricting,https://senate.utah.gov/proposed-redistricting-standards-bill-now-include-three-tests/,"S.B. 1011 Redistricting Standards would establish three clear tests in state statute to assess whether congressional maps treat political parties fairly. Sen. Brady Brammer stated: 'We sought feedback, and I appreciate my colleagues, including members of both parties, and members of the public for their input.' And: 'This isn't about favoring one party over another; it's about ensuring the rules are fair and consistently applied.' And: 'Clear standards increase accountability, reduce years of costly legal battles and help restore public confidence in the redistricting process.'",0
Brady Brammer,redistricting,https://www.kuer.org/politics-government/2025-10-06/with-gop-authored-standards-in-place-utahs-redistricting-fight-heads-back-to-court,"SB1011 codifies three testing methods into law for evaluating congressional maps: partisan bias, ensemble analysis, and the median-mean difference test. Sen. Brady Brammer, the bill's sponsor, framed it as clarification: 'What this does is it provides objective measures for purposes of measuring whether or not a map is unduly partisan.' Opponents immediately challenged SB1011 in court, characterizing it as 'a wolf in sheep's clothing' and an effort to 'change the rules of the game and impair the core reforms of Proposition 4.'",1
Brady Brammer,school-vouchers,https://www.votebrammer.com/,"Attorney. Business owner. Legislator. Delivering real results on taxes, public safety, and protecting Utah values. Brammer is described as supporting efforts to 'cut taxes and hold the line on government growth' and believes 'families and small businesses should keep more of what they earn.' He is endorsed by the Utah County Republican Party and designated a 'Friend of the Taxpayer.'",0
Brady Brammer,school-vouchers,https://americansforprosperity.org/press-release/afp-utah-announces-second-wave-of-state-legislative-endorsements/amp/,"Americans for Prosperity endorsed Sen. Brady Brammer (SD-21), describing him as a staunch ally on judicial reform and fiscal conservatism. AFP is a leading national proponent of universal school choice and education savings accounts. Utah's ESA program passed with referendum-proof supermajorities—54-20 in the House and 20-8 in the Senate—and was signed into law by Governor Spencer Cox on January 28, 2023.",1
Brady Brammer,data-centers,https://lehifreepress.com/2026/03/18/brammer-and-smith-vie-for-utah-senate-district-21-seat/,"'We want to be the leader in energy exports,' and he listed 'nuclear, geothermal, coal and natural gas' as priorities. He noted Utah recently received a nuclear facility on a military installation and is pursuing regulatory authority for modular nuclear reactors, adding 'We're the number one state in America on geothermal.'",0
Brady Brammer,homelessness,https://www.kuer.org/politics-government/2024-02-27/no-headwinds-expected-for-homelessness-bill-establishing-prioritized-shelter-access,"Republican Rep. Brady Brammer voted for HB421 in both the House and committee, but expressed significant concerns. His brother 'died while homeless in Salt Lake City of a drug overdose.' On his overall assessment: 'I see open hearts that want to help. But I see a failure in accountability on multiple levels.' Brammer emphasized being 'underwhelmed' with how Utah has handled homelessness. He identified multiple accountability gaps: lack of enforcement within shelters, efforts to evade police inside shelters, insufficient prosecution for possession crimes near shelters, and property damage particularly in Salt Lake City.",0
Brady Brammer,childcare,https://freedomindex.us/legislator/11370,"Brady Brammer overall Freedom Score: 85%. 2025-2026: 78%. 2023-2024: 83%. 2021-2022: 100%. Voted No on SB248 (Expanding State-funded Childcare). Consistent with small-government fiscal conservatism against government-run childcare programs.",0
Brady Brammer,childcare,https://www.votebrammer.com/,"'Families and small businesses should keep more of what they earn.' Brammer 'supported efforts to cut taxes and hold the line on government growth.' He is designated a 'Friend of the Taxpayer' by the Utah County Republican Party. His campaign platform emphasizes government should protect freedoms rather than expand services or spending.",1
Brady Brammer,ai-regulation,https://www.ksl.com/article/50660271/utah-lawmakers-tech-leaders-discuss-potential-regulation-of-artificial-intelligence,"Utah lawmakers, tech leaders discuss potential regulation of artificial intelligence. Brady Brammer stated that AI should have 'minimum possible regulation' that can 'protect consumers' and 'make sure we're not consolidating power into unaccountable companies while also creating room for innovation.' He took a light-touch, industry-friendly position favoring innovation over pre-emptive government oversight.",0
Brady Brammer,immigration,https://freedomindex.us/legislator/11370,"Brady Brammer voted No on SB217 (CHIP Benefits for Illegal Aliens, 2023) — Opposed program expanding children's health coverage. Overall Freedom Score: 85%. 2025-2026: 78%. 2023-2024: 83%. Consistent pattern of voting against programs extending public benefits to undocumented immigrants.",0
Brady Brammer,immigration,https://www.ksl.com/article/51437167/bill-meant-to-curb-immigration-enforcement-efforts-in-utah-stalls-in-committee,"'I think this goes in the wrong direction,' said Sen. Brady Brammer, R-Pleasant Grove, referencing the limits the measure would place on the ability of local and state law enforcement to work with federal immigration agents. 'We need more cooperation.' Brammer labeled the measure, proposed by Sen. Nate Blouin, D-Millcreek, 'a statement bill.'",1
Brady Brammer,deportation,https://www.ksl.com/article/51437167/bill-meant-to-curb-immigration-enforcement-efforts-in-utah-stalls-in-committee,"'I think this goes in the wrong direction,' said Sen. Brady Brammer, R-Pleasant Grove, referencing the limits the measure would place on the ability of local and state law enforcement to work with federal immigration agents. 'We need more cooperation.' Brammer labeled the measure, proposed by Sen. Nate Blouin, D-Millcreek, 'a statement bill.'",0
Brady Brammer,deportation,https://freedomindex.us/legislator/11370,"Brady Brammer voted No on SB217 (CHIP Benefits for Illegal Aliens, 2023) — Opposed program expanding children's health coverage. Yes on SB57 (Constitutional Sovereignty Act, 2024). Overall Freedom Score: 85%. Consistent alignment with immigration enforcement cooperation and opposition to extending benefits to undocumented individuals.",1
Brady Brammer,healthcare,https://www.standard.net/news/government/2024/feb/22/medicaid-doomsday-bill-threatens-vital-services-for-vulnerable-utahns-advocates-say,"Rep. Brady Brammer acknowledged the bill 'can be a bit of a scary bill' and explained that 'this is a doomsday scenario bill' designed to address potential budget crises, not current problems. He stated: 'There has always been some level of concern that the amount that the federal government pays for may change over time or may not always be as reliable as we hope.' HB463 establishes a cascading 'waterfall' of automatic Medicaid budgetary actions if a financial shortfall occurs, including discontinuing optional services or populations.",0
Brady Brammer,healthcare,https://freedomindex.us/legislator/11370,"Brady Brammer voted No on SB217 (CHIP Benefits for Illegal Aliens, 2023). Yes on SB57 (Constitutional Sovereignty Act, 2024). Overall Freedom Score: 85%. 2025-2026: 78%. Consistent pattern of opposing government-expanded healthcare and social service spending.",1
Brady Brammer,taxes,https://atr.org/utah-enacts-6th-income-tax-cut-in-6-years-and-shaves-6-cents-off-gas-tax/,"Sen. Brady Brammer and Rep. Calvin Roberts succeeded with legislation that will cut the gas tax outright from 38 cents to 32 cents. Utah lawmakers concluded the 2026 legislative session by delivering another reduction to the state income tax, bringing the flat rate from 4.5% to 4.45%. This year marks the sixth such cut in as many years, giving Utahns a cumulative rate reduction of 0.55 percentage points – down from 5% in 2018.",0
Brady Brammer,taxes,https://www.votebrammer.com/,"Attorney. Business owner. Legislator. Delivering real results on taxes, public safety, and protecting Utah values. Brammer 'supported efforts to cut taxes and hold the line on government growth' and believes 'families and small businesses should keep more of what they earn.' He is designated a 'Friend of the Taxpayer.'",1
