cd,geo_id,race_id,full_name,party_from_field,role,decision,assign_external_id,is_incumbent,source
5,5105,6a1bf3a1-3fc7-4997-9e67-7d9736e03ffe,"Chris Register",I,I,NEW,-510506,false,"Declared indep/3rd-party (Wikipedia/politics1); provisional — VA filing deadline 2026-08-04"
6,5106,807d0f7c-6bb7-4810-b120-ec241eadef42,"Ben Cline",R,R,REUSE,-5102005,true,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
6,5106,807d0f7c-6bb7-4810-b120-ec241eadef42,"Beth Macy",D,D,NEW,-510601,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
7,5107,b9e08170-8918-4bf6-a57c-f0ba5f4dabde,"Eugene Vindman",D,D,REUSE,-5102007,true,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
7,5107,b9e08170-8918-4bf6-a57c-f0ba5f4dabde,"Philip Harding",R,R,NEW,-510701,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
7,5107,b9e08170-8918-4bf6-a57c-f0ba5f4dabde,"Doug Ollivant",R,R,NEW,-510702,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
7,5107,b9e08170-8918-4bf6-a57c-f0ba5f4dabde,"Ricky Smithers",R,R,NEW,-510703,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
7,5107,b9e08170-8918-4bf6-a57c-f0ba5f4dabde,"Randall Terry",I,I,NEW,-510704,false,"Declared indep/3rd-party (Wikipedia/politics1); provisional — VA filing deadline 2026-08-04"
8,5108,df4895e9-81e6-4392-ab40-18105ddacf7c,"Don Beyer",D,D,REUSE,-5102008,true,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
8,5108,df4895e9-81e6-4392-ab40-18105ddacf7c,"Lorena Bruner",D,D,NEW,-510801,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
8,5108,df4895e9-81e6-4392-ab40-18105ddacf7c,"Michael Duffin",D,D,NEW,-510802,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
8,5108,df4895e9-81e6-4392-ab40-18105ddacf7c,"Adam Dunigan",D,D,NEW,-510803,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
8,5108,df4895e9-81e6-4392-ab40-18105ddacf7c,"Mo Seifeldein",D,D,NEW,-510804,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
8,5108,df4895e9-81e6-4392-ab40-18105ddacf7c,"Tony Sabio",R,R,NEW,-510805,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
9,5109,da51cdee-de79-4186-baab-033308f251fe,"Morgan Griffith",R,R,REUSE,-5102006,true,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
9,5109,da51cdee-de79-4186-baab-033308f251fe,"Douglas Crockett",D,D,NEW,-510901,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
9,5109,da51cdee-de79-4186-baab-033308f251fe,"Brandi Hall",D,D,NEW,-510902,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
9,5109,da51cdee-de79-4186-baab-033308f251fe,"Adam Murphy",D,D,NEW,-510903,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
9,5109,da51cdee-de79-4186-baab-033308f251fe,"Joy Powers",D,D,NEW,-510904,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
9,5109,da51cdee-de79-4186-baab-033308f251fe,"Brandon Cook",R,R,NEW,-510905,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
9,5109,da51cdee-de79-4186-baab-033308f251fe,"Michael Jackson",I,I,NEW,-510906,false,"Declared indep/3rd-party (Wikipedia/politics1); provisional — VA filing deadline 2026-08-04"
10,5110,3fccc125-a310-4624-aff6-05f8b54bf7cd,"Suhas Subramanyam",D,D,REUSE,-5102010,true,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
10,5110,3fccc125-a310-4624-aff6-05f8b54bf7cd,"Dave Beckwith",R,R,NEW,-511001,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
10,5110,3fccc125-a310-4624-aff6-05f8b54bf7cd,"Julie Perry",R,R,NEW,-511002,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
10,5110,3fccc125-a310-4624-aff6-05f8b54bf7cd,"Anthony Suttles",R,R,NEW,-511003,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
11,5111,bb9b6411-ef5f-4c1a-bab0-046adf472d4e,"James Walkinshaw",D,D,REUSE,-5102011,true,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
11,5111,bb9b6411-ef5f-4c1a-bab0-046adf472d4e,"Bree Fram",D,D,NEW,-511101,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
11,5111,bb9b6411-ef5f-4c1a-bab0-046adf472d4e,"Stella Pekarsky",D,D,REUSE,-5110036,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
11,5111,bb9b6411-ef5f-4c1a-bab0-046adf472d4e,"Amy Roma",D,D,NEW,-511102,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
11,5111,bb9b6411-ef5f-4c1a-bab0-046adf472d4e,"Nathan Headrick",R,R,NEW,-511103,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
11,5111,bb9b6411-ef5f-4c1a-bab0-046adf472d4e,"Michael Van Meter",R,R,NEW,-511104,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
