cd,geo_id,full_name,party_from_field,decision,assign_external_id,is_incumbent,severity,election,source
3,4703,"Bryan Martin",D,NEW,-470302,false,NOT-SEVERE,"TN 2026 Statewide General","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
3,4703,"Dean Arnold",IND,NEW,-470303,false,NOT-SEVERE,"TN 2026 Statewide General","Declared independent (TN SOS certified candidate list / Wikipedia); provisional -- pre-primary field, cull >= 2026-08-07"
3,4703,"Jean Howard-Hill",IND,NEW,-470304,false,NOT-SEVERE,"TN 2026 Statewide General","Declared independent (TN SOS certified candidate list / Wikipedia); provisional -- pre-primary field, cull >= 2026-08-07"
3,4703,"Rodney Joe King",IND,NEW,-470305,false,NOT-SEVERE,"TN 2026 Statewide General","Declared independent (TN SOS certified candidate list / Wikipedia); provisional -- pre-primary field, cull >= 2026-08-07"
3,4703,"Donnie Lynn Ownby",IND,NEW,-470306,false,NOT-SEVERE,"TN 2026 Statewide General","Declared independent (TN SOS certified candidate list / Wikipedia); provisional -- pre-primary field, cull >= 2026-08-07"
3,4703,"Edward John Roland",IND,NEW,-470307,false,NOT-SEVERE,"TN 2026 Statewide General","Declared independent (TN SOS certified candidate list / Wikipedia); provisional -- pre-primary field, cull >= 2026-08-07"
4,4704,"Scott DesJarlais",R,REUSE,-47004,true,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
4,4704,"Thomas E. Davis",R,NEW,-470401,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
4,4704,"Joshua James",R,NEW,-470402,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
4,4704,"Harold ""Rocky"" Jones",R,NEW,-470403,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
4,4704,"Victoria Broderick",D,NEW,-470404,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
4,4704,"Mike Cortese",D,NEW,-470405,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
4,4704,"Cliff Huffman",D,NEW,-470406,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
4,4704,"Tim Lanier",D,NEW,-470407,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
4,4704,"Joyce E. Neal",D,NEW,-470408,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
4,4704,"Jacob Kristopher Anders",IND,NEW,-470409,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Declared independent (TN SOS certified candidate list / Wikipedia); provisional -- pre-primary field, cull >= 2026-08-07"
4,4704,"Clay Faircloth",IND,NEW,-470410,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Declared independent (TN SOS certified candidate list / Wikipedia); provisional -- pre-primary field, cull >= 2026-08-07"
5,4705,"Andrew Ogles",R,REUSE,-47005,true,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
5,4705,"Charlie Hatcher",R,NEW,-470501,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
5,4705,"Yolanda Cooper-Sutton",D,NEW,-470502,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
5,4705,"DeVante R. Hill",D,NEW,-470503,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
5,4705,"Rachel Hurley",D,NEW,-470504,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
5,4705,"Carrie Ann Iacomini",D,NEW,-470505,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
5,4705,"Chaz Molder",D,NEW,-470506,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
5,4705,"James A. Johnson",IND,NEW,-470507,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Declared independent (TN SOS certified candidate list / Wikipedia); provisional -- pre-primary field, cull >= 2026-08-07"
5,4705,"Micheál (Me-Haul) O'Leary",IND,NEW,-470508,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Declared independent (TN SOS certified candidate list / Wikipedia); provisional -- pre-primary field, cull >= 2026-08-07"
6,4706,"John W. Rose",R,REUSE-NO-ROW,-47006,true,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
6,4706,"Natisha Brooks",R,NEW,-470601,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
6,4706,"Johnny Garrett",R,NEW,-470602,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
6,4706,"Jon Henry",R,NEW,-470603,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
6,4706,"Van Hilleary",R,NEW,-470604,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
6,4706,"Lore Bergman",D,NEW,-470605,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
6,4706,"Mike Croley",D,NEW,-470606,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
6,4706,"Christopher Martin Finley",D,NEW,-470607,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
6,4706,"Miriam Leibowitz",D,NEW,-470608,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
6,4706,"Chaney Mosley",D,NEW,-470609,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
6,4706,"Christopher B. Monday",IND,NEW,-470610,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Declared independent (TN SOS certified candidate list / Wikipedia); provisional -- pre-primary field, cull >= 2026-08-07"
6,4706,"Angus Purdy",IND,NEW,-470611,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Declared independent (TN SOS certified candidate list / Wikipedia); provisional -- pre-primary field, cull >= 2026-08-07"
7,4707,"Matt Van Epps",R,REUSE,-47007,true,NOT-SEVERE,"TN 2026 Statewide General","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
7,4707,"Darden Copeland",D,NEW,-470701,false,NOT-SEVERE,"TN 2026 Statewide General","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
7,4707,"Vincent Dixie",D,NEW,-470702,false,NOT-SEVERE,"TN 2026 Statewide General","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
7,4707,"Saletta Holloway",D,NEW,-470703,false,NOT-SEVERE,"TN 2026 Statewide General","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
7,4707,"Joshua Warren Sales",D,NEW,-470704,false,NOT-SEVERE,"TN 2026 Statewide General","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
7,4707,"Andrew J. Koontz",IND,NEW,-470705,false,NOT-SEVERE,"TN 2026 Statewide General","Declared independent (TN SOS certified candidate list / Wikipedia); provisional -- pre-primary field, cull >= 2026-08-07"
7,4707,"Lowell Reynolds",IND,NEW,-470706,false,NOT-SEVERE,"TN 2026 Statewide General","Declared independent (TN SOS certified candidate list / Wikipedia); provisional -- pre-primary field, cull >= 2026-08-07"
8,4708,"David Kustoff",R,REUSE,-47008,true,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
8,4708,"Dewey Gordon Bryan",D,NEW,-470801,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
8,4708,"Jordan D. Hinders",D,NEW,-470802,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
8,4708,"Heidi Kuhn",D,NEW,-470803,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
8,4708,"Leonard Perkins",D,NEW,-470804,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
8,4708,"Adam D. Austill",IND,NEW,-470805,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Declared independent (TN SOS certified candidate list / Wikipedia); provisional -- pre-primary field, cull >= 2026-08-07"
8,4708,"Wendell ""Wells"" Blankenship",IND,NEW,-470806,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Declared independent (TN SOS certified candidate list / Wikipedia); provisional -- pre-primary field, cull >= 2026-08-07"
8,4708,"Antonio Futch",IND,NEW,-470807,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Declared independent (TN SOS certified candidate list / Wikipedia); provisional -- pre-primary field, cull >= 2026-08-07"
8,4708,"Pamela Jeanine ""P."" Moses",IND,NEW,-470808,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Declared independent (TN SOS certified candidate list / Wikipedia); provisional -- pre-primary field, cull >= 2026-08-07"
8,4708,"Horace Taylor",IND,NEW,-470809,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Declared independent (TN SOS certified candidate list / Wikipedia); provisional -- pre-primary field, cull >= 2026-08-07"
8,4708,"Henry J. Ward, III",IND,NEW,-470810,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Declared independent (TN SOS certified candidate list / Wikipedia); provisional -- pre-primary field, cull >= 2026-08-07"
9,4709,"Steve Cohen",D,REUSE-NO-ROW,-47009,true,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
9,4709,"Charlotte Bergmann",R,NEW,-470901,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
9,4709,"Brent Taylor",R,NEW,-470902,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
9,4709,"Jeremy Thompson",R,NEW,-470903,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
9,4709,"Todd Warner",R,NEW,-470904,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
9,4709,"M. LaTroy A-Williams",D,NEW,-470905,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
9,4709,"London Lamar",D,NEW,-470906,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
9,4709,"Justin J. Pearson",D,NEW,-470907,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
9,4709,"Jim Torino",D,NEW,-470908,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Wikipedia 2026 TN US House elections (qualified pre-primary field, per TN SOS certified candidate list May 29, 2026), cross-checked Ballotpedia"
9,4709,"Dennis Clark",IND,NEW,-470909,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Declared independent (TN SOS certified candidate list / Wikipedia); provisional -- pre-primary field, cull >= 2026-08-07"
9,4709,"Michelle Davis Head",IND,NEW,-470910,false,SEVERE,"TN 2026 Congressional Redistricting - Polygon Pending","Declared independent (TN SOS certified candidate list / Wikipedia); provisional -- pre-primary field, cull >= 2026-08-07"
