state,jurisdiction,chamber,office,full_name,party,stances,already_searched,seat_link,jurisdiction_from,official_urls,politician_id
MA,"City of Quincy, Massachusetts, US",City Council,City Councilor,Anne Mahoney,,4,,current term,government,,40769774-6c39-42bd-8f4d-4f26a6c36770
MA,"City of Quincy, Massachusetts, US",City Council,City Councilor (Ward 1),David Jacobs,,2,,current term,government,,b56123a8-952f-4c4a-aa4e-7e8c2fa92de1
MA,"City of Quincy, Massachusetts, US",City Council,City Councilor (Ward 6),Deborah Riley,,2,,current term,government,,2ae196f5-cbbc-4f36-aac6-749b75738a9b
MA,"City of Quincy, Massachusetts, US",City Council,City Councilor (Ward 5),Maggie McKee,,2,,current term,government,,83bc7737-c296-487a-aa3c-643c4ad6b7af
MA,"City of Quincy, Massachusetts, US",City Council,City Councilor (Ward 2),Richard Ash,,2,,current term,government,,0f16bef4-ff4c-4200-a025-cd47548fc0c6
MA,"City of Quincy, Massachusetts, US",City Council,Mayor,Thomas P. Koch,,8,,current term,government,,9fb47aff-9128-4214-af78-a4d8321f9f83
MA,"City of Quincy, Massachusetts, US",City Council,City Councilor (Ward 4),Virginia Ryan,,2,,current term,government,,e32d6ab5-fef1-4666-a16f-c21903008c89
MA,"City of Quincy, Massachusetts, US",City Council,City Councilor (Ward 3),Walter Hubley,,3,,current term,government,,d9c1a224-8844-440c-b8ec-f1eec59783e6
MA,"City of Quincy, Massachusetts, US",City Council,City Councilor,Ziqiang Yuan,,4,,current term,government,,560e1838-9f8f-4227-baa4-060ea62d38c0
MA,"City of Somerville, Massachusetts, US",City Council,City Councilor,Ben Wheeler,,2,,current term,government,,ce379255-f87e-4856-9e2c-dda38c976bdc
MA,"City of Somerville, Massachusetts, US",City Council,City Councilor (Ward 7),Emily Hardt,,2,,current term,government,,bc02a2c7-2033-40a3-89f6-e50d95ac1e4e
MA,"City of Somerville, Massachusetts, US",City Council,City Councilor,Jon Link,,4,,current term,government,,8242a03d-6801-4b91-aed9-918a603b4a21
MA,"City of Waltham, Massachusetts, US",City Council,City Councillor,Colleen Bradley-MacArthur,,1,,current term,government,,42550273-382a-481f-afc9-ccdf32329bf6
MA,"City of Waltham, Massachusetts, US",City Council,City Councillor,Paul Brasco,,1,,current term,government,,28d25ed6-6a0f-428e-8b42-85a448ffb0c2
MA,"City of Waltham, Massachusetts, US",City Council,City Councillor,Randall LeBlanc,,1,,current term,government,,73a1f2f1-9112-4820-b853-8a8542c72d85
MA,"City of Waltham, Massachusetts, US",City Council,City Councillor,Tim King,,1,,current term,government,,ab208b92-9067-4f3d-9791-60b404793b3a
TX,"City of Celina, Texas, US",City Council,Council Member Place 4,Shea Scott,,2,,current term,government,,91128e4f-94f6-4119-8087-4449ee16964a
TX,"City of Farmersville, Texas, US",City Council,Council Member Place 4,Mike Henry,,1,,current term,government,{https://www.farmersvilletx.com/city-council},5712d682-ffd5-4e6d-afa8-9707613fd838
WI,"Town of Burlington, Wisconsin, US",Town Board,"Town Supervisor, Seat 3",Jason Ketterhagen,,1,,current term,government,,8a2ac0e8-cf73-4ebc-81e5-12e7ef804256
WI,"Town of Burlington, Wisconsin, US",Town Chairperson,Town Chairperson,Neal Czaplewski,,2,,current term,government,,e56b4563-2b84-452a-acb2-0be3ceba427e
WI,"Town of Dover, Wisconsin, US",Town Chairperson,Town Chairperson,Sam Stratton,,1,,current term,government,,45c30b1e-939b-4163-8bda-ffbb490b1dd2
WI,"Town of Waterford, Wisconsin, US",Town Board,Town Supervisor,Andrew Handeland,,2,,current term,government,,c078112d-e77d-4caf-bec4-06d0b81827e8
WI,"Town of Waterford, Wisconsin, US",Town Board,Town Supervisor,Bill McCormick,,1,,current term,government,,b0ead048-2752-40f5-b54f-eb0945f0e335
WI,"Town of Waterford, Wisconsin, US",Town Board,Town Supervisor,Robert Ulander,,2,,current term,government,,6c14655c-5643-4f0e-8950-a53f60394bf7
WI,"Town of Waterford, Wisconsin, US",Town Chairperson,Town Chairperson,Tim Szeklinski,,3,,current term,government,,19158249-4fd5-4d1f-9ee3-a9995e565600
WI,"Town of Waterford, Wisconsin, US",Town Board,Town Supervisor,Tom Mroczkowski,,2,,current term,government,,8d78d1b6-3262-444b-a802-cf5ca62003b0
WI,"Village of Raymond, Wisconsin, US",Village President,Village President,Douglas White,,2,,current term,government,,9fc9a6c4-919f-4d31-b502-06cbd9d4b273
WI,"Village of Union Grove, Wisconsin, US",Village President,Village President,Steve Wicklund,,3,,current term,government,,165d3a2e-5515-4a6e-8c5a-8e2caec579ba
WI,"Village of Wind Point, Wisconsin, US",Village President,Village President,Alison McCulloch,,1,,current term,government,,a516a90f-8c5c-410b-8011-490176f0f423
WI,"Village of Wind Point, Wisconsin, US",Village Board,Village Trustee,Carmen Gaspero,,1,,current term,government,,c66fa1df-72d8-4ba4-98ea-53e8f617759b
WI,"Village of Wind Point, Wisconsin, US",Village Board,Village Trustee,Charlie Manning,,1,,current term,government,,77112407-ca98-4a56-835d-d113a60127b7
WI,"Village of Wind Point, Wisconsin, US",Village Board,Village Trustee,James Westfall,,1,,current term,government,,0c71e9e8-139e-4354-9f77-8331c4803e72
WI,"Village of Wind Point, Wisconsin, US",Village Board,Village Trustee,Linda Johnson,,1,,current term,government,,fd680f3b-0be7-414a-a447-f6effa0e0ee6
WI,"Village of Wind Point, Wisconsin, US",Village Board,Village Trustee,Mary Kay Hall,,1,,current term,government,,f20f076e-c3cf-4979-9c5d-d63bb229af61
WI,"Village of Yorkville, Wisconsin, US",Village President,Village President,Douglas Nelson,,1,,current term,government,,3c297787-e102-4678-b576-620a1e72ebec
CA,,,"Judge, Los Angeles County Superior Court",A. Veronica Sauceda,NP,0,,legacy office_id,representing_state,,69b77632-beab-4f44-bb56-f58d9c9c3fac
CA,,,"Judge, Los Angeles County Superior Court",Abigail M. Baron,NP,0,,legacy office_id,representing_state,,1529b840-f492-4d74-a5a0-0d628b0bef64
CA,,,"Judge, Los Angeles County Superior Court",Abraham C. Meltzer,NP,0,,legacy office_id,representing_state,,00182cb2-0898-4867-8f94-2526c3063fc9
CA,,,"Judge, Los Angeles County Superior Court",Adam Y. Chang,NP,0,,legacy office_id,representing_state,,dbbbace2-1f80-42a5-a20e-581046560139
CA,,,"Judge, Los Angeles County Superior Court",Adan Montalban,NP,0,,legacy office_id,representing_state,,e5fd2d7d-1c25-4466-b0e0-26b1b11eaf21
CA,,,"Judge, Los Angeles County Superior Court",Adrian Gidaya Roxas,NP,0,,legacy office_id,representing_state,,d88cb48a-66b5-4a93-b52c-d27fe223a6f9
CA,,,"Judge, Los Angeles County Superior Court",Akemi D. Arakaki,NP,0,,legacy office_id,representing_state,,95b4d89a-9a25-4688-87c1-c151c281b185
CA,,,"Judge, Los Angeles County Superior Court",Alan B. Honeycutt,NP,0,,legacy office_id,representing_state,,cd071dc2-2065-498a-97ba-dd52f17df943
CA,,,"Judge, Los Angeles County Superior Court",Alan K. Schneider,NP,0,,legacy office_id,representing_state,,3239805f-67ed-4d8f-b16c-a3943bde59aa
CA,,,"Judge, Los Angeles County Superior Court",Alex Ricciardulli,NP,0,,legacy office_id,representing_state,,eae92a83-d453-4f2b-acda-981fc560e432
CA,,,"Judge, Los Angeles County Superior Court",Alexander C.D. Giza,NP,0,,legacy office_id,representing_state,,e442ed64-45db-42e7-bda0-c7eb08a412d0
CA,,,"Judge, Los Angeles County Superior Court",Alexander Sario,NP,0,,legacy office_id,representing_state,,45188b21-29ea-4a16-a7b1-8f08c86b5d38
CA,,,"Judge, Los Angeles County Superior Court",Alfred A. Coletta,NP,0,,legacy office_id,representing_state,,68d9a7b5-09ed-4619-92ee-afe28461ca58
CA,,,"Judge, Los Angeles County Superior Court",Alicia Y. Blanco,NP,0,,legacy office_id,representing_state,,c60ea835-b63b-4778-b0de-b16bd0be8981
CA,,,"Judge, Los Angeles County Superior Court",Alison M. Mackenzie,NP,0,,legacy office_id,representing_state,,a21ff822-7fab-4786-96ca-d7d0f47f7d48
CA,,,"Judge, Los Angeles County Superior Court",Alison M. Matsumoto,NP,0,,legacy office_id,representing_state,,8f4c3b94-1c1e-4cac-9e12-0ad557085de8
CA,,,"Judge, Los Angeles County Superior Court",Allison L. Westfahl Kong,NP,0,,legacy office_id,representing_state,,ffe85ff7-495a-4e76-a3f7-c68bec2ec0ee
CA,,,"Judge, Los Angeles County Superior Court",Altus W. Hudson,NP,0,,legacy office_id,representing_state,,bee26ac1-5f69-41da-bc01-76be98e4de92
CA,,,"Judge, Los Angeles County Superior Court",Amy C. Yerkey,NP,0,,legacy office_id,representing_state,,95f7167d-c8f3-4ae0-ac81-3e1b0f518a23
CA,,,"Judge, Los Angeles County Superior Court",Amy N. Carter,NP,0,,legacy office_id,representing_state,,d538de1f-661d-4740-a0f9-d4d5a99cbeb2
CA,,,"Judge, Los Angeles County Superior Court",Ana Maria Luna,NP,0,,legacy office_id,representing_state,,3b771289-a7bf-4529-aa27-e4432c237e1b
CA,,,"Judge, Los Angeles County Superior Court",Andrea C. Thompson,NP,0,,legacy office_id,representing_state,,d42639fb-1c27-47e2-af02-14bce5e441da
CA,,,"Judge, Los Angeles County Superior Court",Andrew C. Kim,NP,0,,legacy office_id,representing_state,,e4a6ffc5-4cb7-41f8-9f28-b9bbf6da642a
CA,,,"Judge, Los Angeles County Superior Court",Andrew E. Cooper,NP,0,,legacy office_id,representing_state,,13d6d923-e429-4887-b226-3adf2831fc78
CA,,,"Judge, Los Angeles County Superior Court",Andrew Esbenshade,NP,0,,legacy office_id,representing_state,,a8e37ef2-1d8b-4aa4-b8b0-f865392d4979
CA,,,"Judge, Los Angeles County Superior Court",Angel Navarro,NP,0,,legacy office_id,representing_state,,1f9f140e-6a6f-4554-9021-60501ca1458d
CA,,,"Judge, Los Angeles County Superior Court",Angela J. Davis,NP,0,,legacy office_id,representing_state,,df27752e-a926-44e7-af1e-5f5a8ecd8ba7
CA,,,"Judge, Los Angeles County Superior Court",Ann H. Park,NP,0,,legacy office_id,representing_state,,07511b0b-bd13-4697-b15c-eb3075b96d21
CA,,,"Judge, Los Angeles County Superior Court",Annabelle G. Cortez,NP,0,,legacy office_id,representing_state,,466ecea6-cda2-418e-976f-a39aacc02856
CA,,,"Judge, Los Angeles County Superior Court",Anne Kiley,NP,0,,legacy office_id,representing_state,,a821f504-eb3a-4c1f-acb7-d5bfcbc01ccd
CA,,,"Judge, Los Angeles County Superior Court",Anthony A. Trendacosta,NP,0,,legacy office_id,representing_state,,a9ce4fad-8c40-4cb0-ad45-b9a2904d5d0d
CA,,,"Judge, Los Angeles County Superior Court",Armen Tamzarian,NP,0,,legacy office_id,representing_state,,ff7b2385-d117-4b9c-a9d8-08c796bc001c
CA,,,"Judge, Los Angeles County Superior Court",Armenui A. Ashvanian,NP,0,,legacy office_id,representing_state,,b4f55785-f6c7-4dc2-b640-d0f18e75619e
CA,,,"Judge, Los Angeles County Superior Court",Ashfaq G. Chowdhury,NP,0,,legacy office_id,representing_state,,8cca96ad-c6f7-4052-90ad-102d2cdb180a
CA,,,"Judge, Los Angeles County Superior Court",Ashley Price,NP,0,,legacy office_id,representing_state,,5d33580b-aa09-4299-85c9-ddff88e60df6
CA,,,"Judge, Los Angeles County Superior Court",Barbara Ann Meiers,NP,0,,legacy office_id,representing_state,,a2f85eb8-fa1f-43fb-a7a3-2b06f65dfd7d
CA,,,"Judge, Los Angeles County Superior Court",Benjamin P. Hernandez-Stern,NP,0,,legacy office_id,representing_state,,3f74b490-addd-4317-8139-4c43625932ee
CA,,,"Judge, Los Angeles County Superior Court",Bernie C. LaForteza,NP,0,,legacy office_id,representing_state,,1fc3a187-d41c-4c2e-a18f-1a5b1299d021
CA,,,"Judge, Los Angeles County Superior Court",Bobbi Tillmon,NP,0,,legacy office_id,representing_state,,5df5f96f-4ee5-4462-a34a-19fa2788bc2c
CA,,,"Judge, Los Angeles County Superior Court",Bradley S. Phillips,NP,0,,legacy office_id,representing_state,,0070eaf1-a662-4518-a6f0-60779198acc5
CA,,,"Judge, Los Angeles County Superior Court",Brenda Penny,NP,0,,legacy office_id,representing_state,,57dc93e0-8c88-426c-9103-0ad338499472
CA,,,"Judge, Los Angeles County Superior Court",Brian F. Gasdia,NP,0,,legacy office_id,representing_state,,3897fad9-8ddb-41bb-a4d6-13063c76d7eb
CA,,,"Judge, Los Angeles County Superior Court",Brock Hammond,NP,0,,legacy office_id,representing_state,,5ea2e78b-a9d9-4050-af05-af38f3fd9729
CA,,,"Judge, Los Angeles County Superior Court",Bruce G. Iwasaki,NP,0,,legacy office_id,representing_state,,3c1674e0-d72e-4d36-957a-26b9a3880f47
CA,,,"Judge, Los Angeles County Superior Court",Bryant Y. Yang,NP,0,,legacy office_id,representing_state,,62cd552b-a3bd-46a3-9d0c-6a7e9041d00b
CA,,,"Judge, Los Angeles County Superior Court",C. Virginia Keeny,NP,0,,legacy office_id,representing_state,,f0c83888-5a9b-4998-b65c-047415dd9d57
CA,,,"Judge, Los Angeles County Superior Court",Carla L. Garrett,NP,0,,legacy office_id,representing_state,,6afe36e0-5661-48e5-a1e5-6dd2a94f8a30
CA,,,Associate Justice of the California Supreme Court,Carol A. Corrigan,NP,0,,legacy office_id,representing_state,,e54ff5df-82d2-453e-b562-a3fe31e29253
CA,,,"Judge, Los Angeles County Superior Court",Carol J. Najera,NP,0,,legacy office_id,representing_state,,e4404f27-8fd0-46fa-8fb7-f765ff1d4e38
CA,,,"Judge, Los Angeles County Superior Court",Carolina V. Lugo,NP,0,,legacy office_id,representing_state,,17ce19f3-970b-4278-88f5-12cd7e475db6
CA,,,"Judge, Los Angeles County Superior Court",Carolyn B. Kuhl,NP,0,,legacy office_id,representing_state,,d36d7758-b076-4830-ae71-9414b9584824
CA,,,"Judge, Los Angeles County Superior Court",Catherine J. Pratt,NP,0,,legacy office_id,representing_state,,0018911c-644e-4f2e-b53e-d4c405a444ab
CA,,,"Judge, Los Angeles County Superior Court",Cathy Ostiller,NP,0,,legacy office_id,representing_state,,2da4ea91-b773-47f2-8cb1-52a909bddc65
CA,,,"Judge, Los Angeles County Superior Court",Charlaine F. Olmedo,NP,0,,legacy office_id,representing_state,,e3e997d3-2c13-457c-9a48-df7f15ba1032
CA,,,"Judge, Los Angeles County Superior Court",Charles Chung,NP,0,,legacy office_id,representing_state,,a3ff8444-ac3b-4a13-8cc1-4273276c2052
CA,,,"Judge, Los Angeles County Superior Court",Charles Q. Clay III,NP,0,,legacy office_id,representing_state,,a604a1cf-b1ed-4c4f-b25e-2fa128ce4eec
CA,,,"Judge, Los Angeles County Superior Court",Cherol Nellon,NP,0,,legacy office_id,representing_state,,7cef432b-2fa8-407c-b437-916b3a23f6f6
CA,,,"Judge, Los Angeles County Superior Court",Chet L. Taylor,NP,0,,legacy office_id,representing_state,,54cd1b1d-76a5-45ad-9b26-b00fd63f2392
CA,,,"Judge, Los Angeles County Superior Court",Christian R. Gullon,NP,0,,legacy office_id,representing_state,,5b2f34d9-9ea8-41f7-97a0-d84e653ccf4c
CA,,,"Judge, Los Angeles County Superior Court",Christina L. Hill,NP,0,,legacy office_id,representing_state,,aaf82da4-0141-4762-813b-fe9e6661fc56
CA,,,"Judge, Los Angeles County Superior Court",Christine J. Gonong,NP,0,,legacy office_id,representing_state,,5c01bf8e-d9cf-4653-b843-ac59999480c5
CA,,,"Judge, Los Angeles County Superior Court",Christine Rodriguez Tyler,NP,0,,legacy office_id,representing_state,,98b5e141-f8ec-48f8-abec-26e353a6a465
CA,,,"Judge, Los Angeles County Superior Court",Christopher G. Estes,NP,0,,legacy office_id,representing_state,,9ea08c06-83a8-4d44-86c4-009c64955b68
CA,,,"Judge, Los Angeles County Superior Court",Christopher J. Frisco,NP,0,,legacy office_id,representing_state,,439ed47d-db80-4352-8bef-fcb3d19c6ab9
CA,,,"Judge, Los Angeles County Superior Court",Christopher K. Lui,NP,0,,legacy office_id,representing_state,,499b416c-603c-474d-bf9f-96adaf0b3afb
CA,,,"Judge, Los Angeles County Superior Court",Christopher W. Dybwad,NP,0,,legacy office_id,representing_state,,2287f63c-e06f-441f-bfaf-86881c87bd42
CA,,,"Judge, Los Angeles County Superior Court",Cindy Panuco,NP,0,,legacy office_id,representing_state,,8c28f282-3a98-424d-8937-544f628f4ab0
CA,,,"Judge, Los Angeles County Superior Court",Colin P. Leis,NP,0,,legacy office_id,representing_state,,e8c8aa5b-5478-4a0f-8599-0d0ecbe7c91c
CA,,,"Judge, Los Angeles County Superior Court",Connie R. Quinones,NP,0,,legacy office_id,representing_state,,c4cb1445-5f1d-4539-94c4-8ed46b322a0c
CA,,,"Judge, Los Angeles County Superior Court",Craig Elliott Veals,NP,0,,legacy office_id,representing_state,,39312d5a-d86b-401f-86a3-1482b1862609
CA,,,"Judge, Los Angeles County Superior Court",Craig Richman,NP,0,,legacy office_id,representing_state,,81a47866-a48a-4088-aa19-d3eb87915e84
CA,,,"Judge, Los Angeles County Superior Court",Craig S. Barnes,NP,0,,legacy office_id,representing_state,,b4aa9e2b-4fe8-4adc-af52-ffd894b81115
CA,,,"Judge, Los Angeles County Superior Court",Cristina Gutierrez Legaspi,NP,0,,legacy office_id,representing_state,,68f2ff09-e6a0-4d6e-be32-c2a8adea7325
CA,,,"Judge, Los Angeles County Superior Court",Curtis A. Kin,NP,0,,legacy office_id,representing_state,,381d1bb5-1fd3-4723-8f43-43d4ff95e8a0
CA,,,"Judge, Los Angeles County Superior Court",Curtis B. Rappe,NP,0,,legacy office_id,representing_state,,66c4d20c-7731-4d65-a7b0-5ae21ac70386
CA,,,"Judge, Los Angeles County Superior Court",Damaris Mercedes Diaz,NP,0,,legacy office_id,representing_state,,fbabd1c8-b9e3-49b1-83b1-260ae3098362
CA,,,"Judge, Los Angeles County Superior Court",Danette J. Gomez,NP,0,,legacy office_id,representing_state,,f4323276-8fb1-4628-8736-252f1fe06b5b
CA,,,"Judge, Los Angeles County Superior Court",Daniel Alexander,NP,0,,legacy office_id,representing_state,,e2679c27-94af-402c-9a8f-c47a284ba4b2
CA,,,"Judge, Los Angeles County Superior Court",Daniel B. Feldstern,NP,0,,legacy office_id,representing_state,,a6cc4b16-bcb5-4d93-a801-c96c144288ce
CA,,,"Judge, Los Angeles County Superior Court",Daniel J. Lowenthal,NP,0,,legacy office_id,representing_state,,ed341c4f-37de-4133-a10d-fb33cda1c760
CA,,,"Judge, Los Angeles County Superior Court",Daniel Juarez,NP,0,,legacy office_id,representing_state,,b5f56a7b-acf6-4086-a0c8-8accda8a912f
CA,,,"Judge, Los Angeles County Superior Court",Daniel M. Crowley,NP,0,,legacy office_id,representing_state,,cbbe9f2f-997f-4a2f-a9b8-7f9476c0172c
CA,,,"Judge, Los Angeles County Superior Court",Daniel S. Murphy,NP,0,,legacy office_id,representing_state,,23c072a1-207c-44ef-922c-6823c79d3754
CA,,,"Judge, Los Angeles County Superior Court",Daniel Zeke Zeidler,NP,0,,legacy office_id,representing_state,,bf656434-97dc-4b64-8e6b-4e54b0be7a66
CA,,,"Judge, Los Angeles County Superior Court",Danielle Colon O'Sullivan,NP,0,,legacy office_id,representing_state,,92b8f1b2-ed82-48b0-8575-902a556d5b22
CA,,,"Judge, Los Angeles County Superior Court",Danielle R.A. Gibbons,NP,0,,legacy office_id,representing_state,,18013b8e-8440-49bd-9177-70896f7f8777
CA,,,"Judge, Los Angeles County Superior Court",Darrell S. Mavis,NP,0,,legacy office_id,representing_state,,62542cc3-882e-4df9-aeed-645a11ade598
CA,,,"Judge, Los Angeles County Superior Court",Daviann L. Mitchell,NP,0,,legacy office_id,representing_state,,49328910-aae3-4ae6-8bb6-407fff73223d
CA,,,"Judge, Los Angeles County Superior Court",David A. Berger,NP,0,,legacy office_id,representing_state,,c1ee798e-7ac6-4a39-b102-4fbf5e326a34
CA,,,"Judge, Los Angeles County Superior Court",David B. Gelfound,NP,0,,legacy office_id,representing_state,,6cc1bc34-edd6-4365-a40d-04d06b5a188d
CA,,,"Judge, Los Angeles County Superior Court",David E. Hizami,NP,0,,legacy office_id,representing_state,,0d298e9c-102b-4bb7-8b57-9f2f28692ec7
CA,,,"Judge, Los Angeles County Superior Court",David I. Wasserman,NP,0,,legacy office_id,representing_state,,86e44f92-9a50-4cd5-8f0c-8712e6d7a314
CA,,,"Judge, Los Angeles County Superior Court",David J. Cowan,NP,0,,legacy office_id,representing_state,,4d5ecc40-fa2c-4054-be11-c94b5036f37d
CA,,,"Judge, Los Angeles County Superior Court",David K. Reinert,NP,0,,legacy office_id,representing_state,,d1994ddb-c69b-40eb-b983-af8fed76c014
CA,,,"Judge, Los Angeles County Superior Court",David R. Fields,NP,0,,legacy office_id,representing_state,,7dd99d6c-a7c0-44a0-9b1b-3f49dbc5f96c
CA,,,"Judge, Los Angeles County Superior Court",David S. Cunningham III,NP,0,,legacy office_id,representing_state,,6b7c2061-e836-459d-8ef4-3af22b766fca
CA,,,"Judge, Los Angeles County Superior Court",David V. Herriford,NP,0,,legacy office_id,representing_state,,c4ca9933-8b88-459c-a40a-97a05a1d449a
CA,,,"Judge, Los Angeles County Superior Court",David W. Stuart,NP,0,,legacy office_id,representing_state,,8ce34866-14b9-4b49-a39f-fb21082cf7bf
CA,,,"Judge, Los Angeles County Superior Court",David W. Swift,NP,0,,legacy office_id,representing_state,,9ec66b4c-457a-4e5b-b175-da3baa197b92
CA,,,"Judge, Los Angeles County Superior Court",David Yaroslavsky,NP,0,,legacy office_id,representing_state,,37028630-8c71-49bd-9701-c1739a60495c
CA,,,"Judge, Los Angeles County Superior Court",Dean H. Hansell,NP,0,,legacy office_id,representing_state,,7be99185-bbb4-441b-b425-ba4d0d9be20f
CA,,,"Judge, Los Angeles County Superior Court",Dean J. Kitchens,NP,0,,legacy office_id,representing_state,,cbdde192-bf24-40c7-bfdd-16239266e7c0
CA,,,"Judge, Los Angeles County Superior Court",Deborah Horowitz,NP,0,,legacy office_id,representing_state,,2305f114-8d56-43c9-bdc4-d79bcdc8eadf
CA,,,"Judge, Los Angeles County Superior Court",Deborah L. Christian,NP,0,,legacy office_id,representing_state,,12e65ea6-e861-4b17-b857-de76f75ec4cc
CA,,,"Judge, Los Angeles County Superior Court",Deborah S. Brazil,NP,0,,legacy office_id,representing_state,,c1401786-64cc-4dc9-914f-433d361dca2f
CA,,,"Judge, Los Angeles County Superior Court",Debra A. Cole,NP,0,,legacy office_id,representing_state,,9647b517-786a-491f-8a7f-ba93c5e91e44
CA,,,"Judge, Los Angeles County Superior Court",Debra Archuleta,NP,0,,legacy office_id,representing_state,,aa799786-0934-4d5e-a4ba-78ae984d7650
CA,,,"Judge, Los Angeles County Superior Court",Debra Cole-Hall,NP,0,,legacy office_id,representing_state,,30a99b72-14fd-4aff-adae-4827d2077424
CA,,,"Judge, Los Angeles County Superior Court",Debra Losnick,NP,0,,legacy office_id,representing_state,,8692acc1-13c9-495f-8dbe-21682a976f63
CA,,,"Judge, Los Angeles County Superior Court",Deirdre H. Hill,NP,0,,legacy office_id,representing_state,,5eeb0fc6-c344-4b38-b3c6-7ab8d2b35cf0
CA,,,"Judge, Los Angeles County Superior Court",Denise M. McLaughlin-Bennett,NP,0,,legacy office_id,representing_state,,95dff160-3965-497e-96b5-5660ddfb66b1
CA,,,"Judge, Los Angeles County Superior Court",Diana Tsang,NP,0,,legacy office_id,representing_state,,64a1cd4d-fcc0-4d4a-b733-d02e6672c08f
CA,,,"Judge, Los Angeles County Superior Court",Diane M. Goodman,NP,0,,legacy office_id,representing_state,,1cbc370c-a9d1-4d7e-b799-8461a944bd51
CA,,,"Judge, Los Angeles County Superior Court",Diego H Edber,NP,0,,legacy office_id,representing_state,,e066936d-a64b-4773-b3fe-d1c5631fe826
CA,,,"Judge, Los Angeles County Superior Court",Dina Richman,NP,0,,legacy office_id,representing_state,,e3099ea5-83c9-42d7-999f-0b21825e4df8
CA,,,"Judge, Los Angeles County Superior Court",Donald A. Buddle Jr.,NP,0,,legacy office_id,representing_state,,d67913f3-3132-4827-8f3e-415fece088a7
CA,,,"Judge, Los Angeles County Superior Court",Donna Hollingsworth,NP,0,,legacy office_id,representing_state,,504ac38e-fd72-4a4f-8d6a-ec85bf56fdc5
CA,,,"Judge, Los Angeles County Superior Court",Doreen Boxer,NP,0,,legacy office_id,representing_state,,b7843ee2-3d8f-4271-a470-df3ae7090845
