cd,geo_id,full_name,party_from_field,role,decision,assign_external_id,is_incumbent,d02_note,source
3,0903,"Andrew Rice",Independent,IND,NEW,-90303,false,"petitioning independent for general (eliminated at Dem convention)","CT 2026 US House field (petitioning independent / minor-party; FEC candidate filings); provisional pre-primary convention/petition field, cull >= 2026-08-12 — petitioning independent for general (eliminated at Dem convention)"
4,0904,"James A. Himes",Democratic,D,REUSE,-9004,true,"","CT 2026 US House field (ctmirror.org / ctpublic.org / ctinsider.com convention coverage + FEC candidate filings); provisional pre-primary convention/petition field, cull >= 2026-08-12"
4,0904,"Michael Goldstein",Republican,R,NEW,-90401,false,"GOP convention-endorsed via roll call (FEC H6CT04143 status=C)","CT 2026 US House field (ctmirror.org / ctpublic.org / ctinsider.com convention coverage + FEC candidate filings); provisional pre-primary convention/petition field, cull >= 2026-08-12 — GOP convention-endorsed via roll call (FEC H6CT04143 status=C)"
4,0904,"Daniel Miressi",Republican,R,NEW,-90402,false,"D-02 re-verified: qualified for primary at convention; FEC H6CT04150 status=C","CT 2026 US House field (ctmirror.org / ctpublic.org / ctinsider.com convention coverage + FEC candidate filings); provisional pre-primary convention/petition field, cull >= 2026-08-12 — D-02 re-verified: qualified for primary at convention; FEC H6CT04150 status=C"
4,0904,"Luz Helena Bueno",Republican,R,NEW,-90403,false,"D-02 re-verified: FEC Statement of Candidacy H6CT04176 filed 2026-04-08 (concrete signal, provisional-with-note)","CT 2026 US House field (ctmirror.org / ctpublic.org / ctinsider.com convention coverage + FEC candidate filings); provisional pre-primary convention/petition field, cull >= 2026-08-12 — D-02 re-verified: FEC Statement of Candidacy H6CT04176 filed 2026-04-08 (concrete signal, provisional-with-note)"
4,0904,"Joseph Perez-Caputo",Independent,IND,NEW,-90404,false,"eliminated at Dem convention (1.7%); running independent for general (FEC H6CT04127)","CT 2026 US House field (petitioning independent / minor-party; FEC candidate filings); provisional pre-primary convention/petition field, cull >= 2026-08-12 — eliminated at Dem convention (1.7%); running independent for general (FEC H6CT04127)"
4,0904,"Damon Lawrence Cerreta",Independent,IND,NEW,-90405,false,"D-02 re-verified: FEC candidacy H0CT04237 (concrete signal, provisional-with-note)","CT 2026 US House field (petitioning independent / minor-party; FEC candidate filings); provisional pre-primary convention/petition field, cull >= 2026-08-12 — D-02 re-verified: FEC candidacy H0CT04237 (concrete signal, provisional-with-note)"
5,0905,"Jahana Hayes",Democratic,D,REUSE,-9005,true,"","CT 2026 US House field (ctmirror.org / ctpublic.org / ctinsider.com convention coverage + FEC candidate filings); provisional pre-primary convention/petition field, cull >= 2026-08-12"
5,0905,"Chris Shea",Republican,R,NEW,-90501,false,"GOP convention-endorsed via roll call (FEC H6CT05231 status=C)","CT 2026 US House field (ctmirror.org / ctpublic.org / ctinsider.com convention coverage + FEC candidate filings); provisional pre-primary convention/petition field, cull >= 2026-08-12 — GOP convention-endorsed via roll call (FEC H6CT05231 status=C)"
5,0905,"Jonathan De Barros",Republican,R,NEW,-90502,false,"qualified for primary at convention (FEC H6CT05223 status=C)","CT 2026 US House field (ctmirror.org / ctpublic.org / ctinsider.com convention coverage + FEC candidate filings); provisional pre-primary convention/petition field, cull >= 2026-08-12 — qualified for primary at convention (FEC H6CT05223 status=C)"
5,0905,"Michele Botelho",Republican,R,NEW,-90503,false,"D-02 re-verified HOLD->INCLUDE: FEC H2CT05230 status=C statutory + Ballotpedia lists her in the Aug-11 3-way GOP primary (supersedes stale May-16 two-way report)","CT 2026 US House field (ctmirror.org / ctpublic.org / ctinsider.com convention coverage + FEC candidate filings); provisional pre-primary convention/petition field, cull >= 2026-08-12 — D-02 re-verified HOLD->INCLUDE: FEC H2CT05230 status=C statutory + Ballotpedia lists her in the Aug-11 3-way GOP primary (supersedes stale May-16 two-way report)"
5,0905,"Jackson Taddeo-Waite",Independent,IND,NEW,-90504,false,"former Dem convention candidate; filed FEC candidacy (H6CT05215) to run independent for general","CT 2026 US House field (petitioning independent / minor-party; FEC candidate filings); provisional pre-primary convention/petition field, cull >= 2026-08-12 — former Dem convention candidate; filed FEC candidacy (H6CT05215) to run independent for general"
