politician_id,full_name,party,stance_count,office_title,district_type,state,tier,evidence,notes
eb9f2322-ec6b-42f0-9939-e58cd0b843a9,Terrance Johnson,Unknown,1,Council Member Place 1,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
fd669a19-1069-4c30-892d-78ff47a70324,Thanayi Lindsey,Unknown,1,,,,3,no_evidence,no office record
560e4b06-f145-4f5f-adcf-515d5ae0b61b,Angie Button,Republican,2,Representative,STATE_LOWER,TX,2,partial,
d06e70b3-b63a-477e-8b3d-8fb7e656f30e,Angie Christides,Unknown,2,,,,3,no_evidence,no office record
7e3e123e-eaef-4fa1-a24c-8b5ab14f7b40,Anna Slotky Reitano,Unknown,2,,,,3,no_evidence,no office record
b39524df-ef91-48dc-a1a8-1880c271bd7c,Brian Livingston,Unknown,2,Council Member Place 6,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
ab366066-cb11-46db-9d87-6506048389f6,Cameron Reeves,Unknown,2,Council Member Place 6,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
6ab8e9cc-6315-40d8-bb99-eb00faed61fa,Daniel J. Ryan,Democratic,2,Representative; 2nd Suffolk District,STATE_LOWER,ma,1,plausible,
f5ab360a-7ec0-4af9-8d9a-1eb17e842b9f,David Biele,Democratic,2,Representative; 4th Suffolk District,STATE_LOWER,ma,1,plausible,
475d512a-6737-460d-8634-03b86712d594,David Ross,Unknown,2,,,,3,no_evidence,no office record
eb88bdd6-d1c7-4e08-aff8-bb7517ad24b5,Deborah B. Goldberg,Democratic,2,Treasurer and Receiver-General,STATE_EXEC,MA,1,plausible,
780b7f22-755a-4a92-8bd3-78978edbc564,Eddie Cawlfield,Unknown,2,Council Member Place 2,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
d85ff139-293d-49ac-a7a9-3b6681040e98,Jennifer Justice,Unknown,2,Council Member District 2,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
feb872f2-cd11-42bc-8a83-22e12dbc6207,Jody Berryhill,Unknown,2,Council Member District 5,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
819c3c06-c958-4e98-bc60-da91e3fb5c24,Joe Moody,Democratic,2,Representative,STATE_LOWER,TX,2,partial,
2824037c-8574-41f6-9fc9-a1342d32250b,Josey Garcia,Democratic,2,Representative,STATE_LOWER,TX,2,partial,
92e8db0a-71f7-4195-b092-0b3ae1ca1fe5,Justin Allen Clayton,Unknown,2,,,,3,no_evidence,no office record
6a08be1a-2535-487c-a17c-f2f38263d504,Kelly Patterson-Herndon,Unknown,2,Council Member Place 4,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
b0ebf2ca-f1f7-4809-b8eb-94a384dab164,Ken Hutchenrider,Unknown,2,Council Member Place 5,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
861e2613-73ff-41a1-b938-e8f43dda52de,Maria Ghobadi,Unknown,2,,,,3,no_evidence,no office record
5926b32e-56b9-48a5-9de2-a17beb0101a7,Rhonda A. Haymon,Unknown,2,,,,3,no_evidence,no office record
7ccb8074-3d74-4493-9eb9-528ac48fea47,Steven Deffibaugh,Unknown,2,Council Member Place 5,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
917d6200-f048-4b7b-85f7-3a390abeecf2,Tal K. Valbuena,Unknown,2,,,,3,no_evidence,no office record
e66de256-31e6-45a3-b3a8-a01ade5b79ec,Troy W. Slaten,Unknown,2,,,,3,no_evidence,no office record
37be7b0c-64a5-426d-be36-3272ffc9675b,Aicha Davis,Democratic,3,Representative,STATE_LOWER,TX,2,partial,
4750d905-2ccc-4eaf-9a69-f5f20ef8b18f,Alma Allen,Democratic,3,Representative,STATE_LOWER,TX,2,partial,
3631dd31-cb1a-46e1-ae2d-da54ea911411,Amy Bartley,Unknown,3,Council Member Place 3,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
9f93ae55-9228-478d-84a9-971cf4686649,Arefin Shamsul,Unknown,3,Council Member Place 6,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
de037c5c-9c00-40c5-ade2-3d322b4a0349,Bob Kehr,Unknown,3,Council Member Place 2,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
05152597-fd40-49bb-bcd3-9e21945ae8b0,Bobby Levy,Republican,3,Representative,STATE_LOWER,or,2,partial,
d5386673-4244-44ca-8e54-e1af61803f6e,Boomer Wright,Republican,3,Representative,STATE_LOWER,or,2,partial,
03bd0a2b-4693-477d-90e9-4bc7c10f5978,Brent Money,Republican,3,Representative,STATE_LOWER,TX,2,partial,
0649630c-bd6d-40fe-8f66-e026e6f6c83e,Catherine Stefani,Democratic,3,Assembly Member,STATE_LOWER,CA,1,plausible,
60e2bada-4104-47af-b4d7-93662e401543,Charlene Ward Johnson,Democratic,3,Representative,STATE_LOWER,TX,2,partial,
032bb339-c63b-4510-93e5-25e72c4f9632,Charles Cunningham,Republican,3,Representative,STATE_LOWER,TX,2,partial,
127b8e69-3900-438c-8361-2cfe24b6c6cf,Chris Krupa Downs,Unknown,3,Council Member Place 4,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
0e3b9216-cfb9-411f-b80e-684ccaae593f,Court Boice,Republican,3,Representative,STATE_LOWER,or,2,partial,
e4e763ca-14f6-4e19-98e7-6ab2d2c972bf,Craig Andres,Unknown,3,Council Member Place 2,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
5c36a94c-9006-4550-a37e-978a65d2725c,Daniel J. Hunt,Democratic,3,Representative; 13th Suffolk District,STATE_LOWER,ma,1,plausible,
eab1011b-0cf3-4538-8842-292e7ab22291,Darcey Edwards,Republican,3,Representative,STATE_LOWER,or,2,partial,
f3fb09eb-adb0-4543-b6a2-32f90003569b,Darin Harbick,Republican,3,Representative,STATE_LOWER,or,2,partial,
5350c0ba-0ef4-4021-a620-90820df859b7,David Brock Smith,Republican,3,Senator,STATE_UPPER,or,2,partial,
50eab431-7b51-4a56-acaa-61af3509c298,Diane Linthicum,Republican,3,Senator,STATE_UPPER,or,2,partial,
d9803822-6bf8-437d-aa4b-d7e6b4a67b7c,Dick Anderson,Republican,3,Senator,STATE_UPPER,or,2,partial,
7f32a8a4-fac8-44d3-af71-01f40895f5ba,Donna Tryfman,Unknown,3,,,,3,no_evidence,no office record
f74bb46f-4e4a-47c0-a3d7-285e57cf8d4d,Dwayne Yunker,Republican,3,Representative,STATE_LOWER,or,2,partial,
3c7c9b46-a054-41a7-8752-f0d8706f754d,E. Werner Reschke,Republican,3,Representative,STATE_LOWER,or,2,partial,
ea9746ba-9fd2-4622-b781-b3ed35d18d17,Ed Diehl,Republican,3,Representative,STATE_LOWER,or,2,partial,
9f9b60c1-483c-4a8e-8221-145098204ced,Emily McIntire,Republican,3,Representative,STATE_LOWER,or,2,partial,
c3e2d7a6-8096-4e91-9ee0-3cca445af72e,Ernest Lynch,Unknown,3,Council Member At-Large Place 1,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
08cf69c5-1bd4-484f-88c8-8edd05a1b821,Eugene Escobar Jr.,Unknown,3,Mayor,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
fc23f648-2ec4-4c6c-a9f5-0722b809e6b1,Fred J. Allen,Unknown,3,Utah County Commissioner,,,3,no_evidence,no office record
21940b7c-2424-47e9-a649-077b0f827c2c,Gregg Hart,Democratic,3,Assembly Member,STATE_LOWER,CA,1,plausible,
81cda574-d820-4ac3-b7fe-0ac3d2638c28,Gregory Smith,Republican,3,Representative,STATE_LOWER,or,2,partial,
b651cf67-37b4-4cbf-afcd-088010247788,Hannah L. Bowen,Democratic,3,Representative; 6th Essex District,STATE_LOWER,ma,1,plausible,
b5e19b59-9085-48e6-8f14-864b9c94699d,Irene Lee,Unknown,3,,,,3,no_evidence,no office record
34c55402-b570-4746-b6ca-70da00eac4d3,J. Stuart Adams,Unknown,3,State Senator District 7,STATE_UPPER,ut,2,partial,
c854f51f-0ab0-4b46-9397-596501e3ee67,Jami Cate,Republican,3,Representative,STATE_LOWER,or,2,partial,
701f0236-5ca7-4bfa-ab71-8c22bcc5ff8c,Jeff Helfrich,Republican,3,Representative,STATE_LOWER,or,2,partial,
4001a833-a971-45ec-a625-cdb206d3c2ed,John Lujan,Republican,3,Representative,STATE_LOWER,TX,2,partial,
08e96b22-0cdc-48bb-b94a-ef4c54491f98,Linda Garcia,Democratic,3,Representative,STATE_LOWER,TX,2,partial,
7bba19f8-0a1f-4ee2-852f-63bb38ffef6e,Lucetta Elmer,Republican,3,Representative,STATE_LOWER,or,2,partial,
e89206d9-e960-472f-8402-691dc498355e,Marcus E. Ray,Unknown,3,Council Member Place 1,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
ca7c06f8-d4cf-4bec-947f-fb39a00e2cb1,Mark Owens,Republican,3,Representative,STATE_LOWER,or,2,partial,
a123c59e-694b-43cc-af03-6610b645e6d2,Mónica García,Nonpartisan,3,,,,3,no_evidence,no office record
13ce589f-756e-4968-881f-c8cc95dae404,Noah Robinson,Republican,3,Senator,STATE_UPPER,or,2,partial,
53fd1ed7-b8f2-4c0b-a973-3592e4457472,Patrick Connolly,Nonpartisan,3,,,,3,no_evidence,no office record
839199d0-669b-45bc-aa8e-2ba63d960b7b,Paul A. Thompson,Unknown,3,,,,3,no_evidence,no office record
aa57168d-58b8-4f70-a937-09fdaf18b325,Rick Lewis,Republican,3,Representative,STATE_LOWER,or,2,partial,
bcd556db-a139-4b87-8887-a1bad73726ea,Scott Smith,Unknown,3,Council Member Place 2,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
86d23630-36ff-48a7-b2ac-6071a0cabd64,Todd Nash,Republican,3,Senator,STATE_UPPER,or,2,partial,
81932e53-b3f3-436a-90bb-61df43447953,Trey Wharton,Republican,3,Representative,STATE_LOWER,TX,2,partial,
6bdea3fd-5a3f-4d43-a0cc-9f4c7373c269,Vincent Perez,Democratic,3,Representative,STATE_LOWER,TX,2,partial,
558e9c8c-5e52-4685-9e24-1367810f8030,Virgle Osborne,Republican,3,Representative,STATE_LOWER,or,2,partial,
04d861e1-8fe2-440b-9332-9382f72e70dd,Wendie Wigginton,Unknown,3,Council Member Place 4,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
ae9c740d-5910-414c-aa3d-7e9bf374a9b7,Wray Wade,Unknown,3,Council Member District 3,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
47627948-d590-47a4-9c7f-dd135043035f,Zachary Smith,Unknown,3,,,,3,no_evidence,no office record
b6cc39bb-f246-4e2b-8f90-252d907badd5,Andrew Chase,Unknown,4,Council Member Place 3,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
c36e6f78-4828-49cd-9010-988c8a7c7be4,Andy Hopkins,Unknown,4,Council Member Place 3,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
0cd6ccff-e02d-4cbe-a1df-381226292840,Anna Scharf,Republican,4,Representative,STATE_LOWER,or,2,partial,
b167c501-2c43-48b3-8922-e00e060985b3,Brandon Grumbles,Unknown,4,Council Member Place 6,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
1df6d2a2-8b75-43a9-9a05-b8caa9a65894,Brian Harrison,Republican,4,Representative,STATE_LOWER,TX,2,partial,
9a171371-be83-456e-acd5-ece936ee84ae,Brooks Benson,Unknown,4,,,,3,no_evidence,no office record
c11bf372-8190-4b45-b80a-cbd0fb2ba401,Burt Thakur,Unknown,4,Council Member Place 2,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
d3dedaa7-bda5-4e3d-af18-6214719d6e1e,Cedric Hayden,Republican,4,Senator,STATE_UPPER,or,2,partial,
01d02684-5189-4b52-9d38-e7827b4d6b42,Charlie Geren,Republican,4,Representative,STATE_LOWER,TX,2,partial,
0b5356c6-178b-4898-afd9-9883d2bce114,Chris Kern,Unknown,4,Council Member Place 4,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
9974fbb8-10d1-452c-ae8e-a853dd3f7d37,Dade Phelan,Republican,4,Representative,STATE_LOWER,TX,2,partial,
e8c863a7-d116-480e-a81f-47d26f45e264,Dan Barrios,Unknown,4,Council Member District 3,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
51d9e940-a84e-4ce2-a370-7440225bac9b,Dan Kapelovitz,Unknown,4,,,,3,no_evidence,no office record
687ba2dd-c179-4ac6-abb2-3a5ac7ed43bb,Daniel Alders,Republican,4,Representative,STATE_LOWER,TX,2,partial,
382d9814-389e-4205-b48c-67f3b9f7b332,David Lowe,Republican,4,Representative,STATE_LOWER,TX,2,partial,
1518349b-3d63-49d0-9411-be19f86a7ea7,Eric Zimmerman,Unknown,4,City Councilor (District 4),LOCAL,or,3,no_evidence,local official in low-evidence jurisdiction
8167ef8d-b8c8-44aa-86a2-9128c9078547,Greg Schwartz,Democratic,4,Representative; 12th Middlesex District,STATE_LOWER,ma,1,plausible,
9c972a56-0084-483d-a4f2-8b42a823e58a,Harold Dutton Jr.,Democratic,4,Representative,STATE_LOWER,TX,2,partial,
14ebbd1c-597e-483a-a846-73a7aca54ed2,Jamie Dunphy,Unknown,4,City Councilor (District 1),LOCAL,or,3,no_evidence,local official in low-evidence jurisdiction
852e4a21-5750-4ac8-ba06-0376c5a31685,Jay Livingstone,Democratic,4,Representative; 8th Suffolk District,STATE_LOWER,ma,1,plausible,
b8d0cef2-3787-4074-9d85-81a9d27aaef8,Jay Northcut,Unknown,4,Mayor,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
ccd0e6c7-f77c-45d7-bfae-d43125b8133d,Joe Corcoran,Unknown,4,Council Member District 4,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
e0a0c582-de13-4999-88fd-859a4dfba6c2,Jose Manuel Lozano,Republican,4,Representative,STATE_LOWER,TX,2,partial,
7ee40e9b-00d6-45ca-870f-d7a1e4f5dc9e,Ken King,Republican,4,Representative,STATE_LOWER,TX,2,partial,
f7ff0e3b-1d14-4563-8119-7919a5a9cd14,Keresa Richardson,Republican,4,Representative,STATE_LOWER,TX,2,partial,
3778353d-cbc9-43cf-866a-a7c01397503a,Kim Wallan,Republican,4,Representative,STATE_LOWER,or,2,partial,
d62f0017-3d27-43f0-8908-781f3c9e5050,Lauren Ashley Simmons,Democratic,4,Representative,STATE_LOWER,TX,2,partial,
ce386a55-7cc5-4006-89db-97e06e0e0279,Matt Bunch,Republican,4,Representative,STATE_LOWER,or,2,partial,
09dbafc2-9252-40e4-9a1c-afda5b069f2e,Michael Jones,Unknown,4,Council Member At-Large Place 2,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
59ae2b63-0e76-4e21-93ce-e16994f64581,Mike Smith,Unknown,4,Sheriff,COUNTY,ut,3,no_evidence,local official in low-evidence jurisdiction
acc73d7e-6522-40a9-bbe0-17cf56a96466,Mitch Green,Unknown,4,City Councilor (District 4),LOCAL,or,3,no_evidence,local official in low-evidence jurisdiction
7395cbed-4d2b-42f4-aeff-04b7427b0bc0,Philip Ferguson,Unknown,4,Council Member Place 1,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
ed32efa5-b455-4323-a12f-5fe79bc4ffd6,Phillip Chen,Republican,4,Assembly Member,STATE_LOWER,CA,1,plausible,
2491319d-cfe1-4838-9c3e-c6b591f7176e,Raquel Zamora,Unknown,4,,,,3,no_evidence,no office record
bc4a88d7-2f56-48fd-85db-fa1fd4f8547e,Rick Horne,Unknown,4,Council Member Place 3,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
3e569f2a-041d-43e2-a96f-e007eb7d6656,Steve Eliason,Unknown,4,State Representative District 43,STATE_LOWER,ut,2,partial,
d34df5c8-9534-4472-814d-971adff16f50,Suzanne Weber,Republican,4,Senator,STATE_UPPER,or,2,partial,
e8058f2b-c68a-474b-b9fe-df4d2d22545b,Venton Jones,Democratic,4,Representative,STATE_LOWER,TX,2,partial,
7f460988-c9a6-4452-a872-441e7c4ac071,Vikki Breese-Iverson,Republican,4,Representative,STATE_LOWER,or,2,partial,
a0e4e813-6c10-45d8-8f59-f444c6747b61,William Francis Galvin,Democratic,4,Secretary of the Commonwealth,STATE_EXEC,MA,1,plausible,
c4e1ab3e-27b2-4531-987e-11958d0c23c4,Alan Schoolcraft,Republican,5,Representative,STATE_LOWER,TX,2,partial,
b0a9801c-7f9d-4d7b-99f5-09360cf69c08,Amy Gnadt,Unknown,5,Council Member Place 4,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
f6570c10-effb-41e1-b559-ef9ca41a2bf1,Ana Hernandez,Democratic,5,Representative,STATE_LOWER,TX,2,partial,
ec5eefcb-8f41-4bdd-8782-8751f1ed3fb6,Andy Ruff,Democratic,5,City Common Council - At Large,LOCAL,IN,3,no_evidence,local official in low-evidence jurisdiction
c6799d98-362a-4e27-b7c5-be45a82a150f,Angelita Morillo,Unknown,5,City Councilor (District 3),LOCAL,or,3,no_evidence,local official in low-evidence jurisdiction
da010ea4-257d-4582-98cb-ee90063aa31d,Ann Anderson,Unknown,5,Council Member Place 1,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
0c983f9c-b510-4c70-a6b3-dc328b68b1f5,Ben Trahan,Unknown,5,Council Member Place 6,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
1c31b159-d4c1-4756-ba81-a247dbf0af8f,Bill Cox,Unknown,5,Mayor,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
b71ec1b6-7d9e-406b-a30a-8c0710278d5e,Brent Bowles,Unknown,5,Utah County Commissioner,,,3,no_evidence,no office record
90d94c32-12a1-433a-8ab4-418cd2f05c01,Brooks Landgraf,Republican,5,Representative,STATE_LOWER,TX,2,partial,
a5753840-c2db-4069-a1ae-453bb6526ac8,Candy Noble,Republican,5,Representative,STATE_LOWER,TX,2,partial,
f72c8a0c-61dd-4a86-a205-171e331fcaee,Carl Clemencich,Unknown,5,Council Member Place 5,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
015a74ba-4e2b-4c79-b9bd-271ea9b7230c,Cecil Bell Jr.,Republican,5,Representative,STATE_LOWER,TX,2,partial,
cd8e1e6b-bd17-44e0-a8a3-deffc2f5982e,Cyrus Javadi,Democratic,5,Representative,STATE_LOWER,or,2,partial,
f43a2014-6b3c-4497-b5bf-c6d04d27ed07,David Spencer,Unknown,5,Utah County Commissioner,,,3,no_evidence,no office record
01eac4cc-d6f2-4b33-ab5f-c3d4d2b93dc0,Doug Fiefia,Unknown,5,State Representative District 48,STATE_LOWER,ut,2,partial,
bbd7825a-6778-4cca-81c8-8ef3ded55965,Dr. Corey A. Jackson,Democratic,5,Assembly Member,STATE_LOWER,CA,1,plausible,
987e0304-acd0-4b00-bf65-9e4fdbe4af3a,Elana Pirtle-Guiney,Unknown,5,City Councilor (District 2),LOCAL,or,3,no_evidence,local official in low-evidence jurisdiction
d0d3ef6a-2b8d-4df0-8553-9530a3963d83,Erika Carlsen,Unknown,5,Council Ward 5,LOCAL,UT,3,no_evidence,local official in low-evidence jurisdiction
1af14e38-da38-44ea-854d-3d8f1c615460,Heather Hadwick,Republican,5,Assembly Member,STATE_LOWER,CA,1,plausible,
25183d7a-9300-4065-8d42-941ae826ca91,Hubert Vo,Democratic,5,Representative,STATE_LOWER,TX,2,partial,
2b280bdf-bf17-48ad-853d-a4f0a854c548,Isak Asare,Democratic,5,City Common Council - At Large,LOCAL,IN,3,no_evidence,local official in low-evidence jurisdiction
f8869b74-2a0c-40b7-93b4-40f32eec7108,James Byrd,Democratic,5,Candidate for U.S. Senate — Wyoming,NATIONAL_UPPER,WY,1,partial,single-source evidence floor — re-attempt with 2026 campaign sources
01dd07dc-ded1-4ba5-aff3-2dc2b386af12,James C. Ramos,Democratic,5,Assembly Member,STATE_LOWER,CA,1,plausible,
b36348f0-135f-4ea4-983d-70775f71e03e,Janis Holt,Republican,5,Representative,STATE_LOWER,TX,2,partial,
5d8acfc7-5643-418b-a474-3d87898f4e17,Jared Elad,Unknown,5,Council Member Place 4,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
edad1d9c-b40b-407c-bdcc-af34e3f37413,John Smithee,Republican,5,Representative,STATE_LOWER,TX,2,partial,
f5f63005-94a6-4170-b120-a421ea5a8f3b,Jon Rosenthal,Democratic,5,Representative,STATE_LOWER,TX,2,partial,
716d3f30-d9f9-4d83-ae6f-9022ae1a8d7b,Jordan Rivers,Unknown,5,,,,3,no_evidence,no office record
bcdbeae4-04c9-4ea1-8942-bac3ce1a8723,Justin Beller,Unknown,5,Council Member District 1,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
43b17d54-473e-46f8-add4-bf395e423ba1,Karen Ross,Unknown,5,Secretary of Agriculture,STATE_EXEC,CA,1,plausible,
b5f2f8c9-13ab-4e15-82dd-dbecb6466084,Keith Bell,Republican,5,Representative,STATE_LOWER,TX,2,partial,
92dba8fc-2bd1-4a68-ad69-ada24e3ff6f4,Kelly Smith,Unknown,5,,,,3,no_evidence,no office record
8626a6f8-88c9-456e-b484-499ac8849441,Ken Cook,Unknown,5,Council Member Place 3,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
02288122-6afb-46c4-ae9f-a712152b1a73,Lacey Hull,Republican,5,Representative,STATE_LOWER,TX,2,partial,
24d1c9c9-b496-4562-87a8-548430f26663,Laura Deel,Unknown,5,Council Member Place 5,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
d6bf8d34-5a59-419a-8ed7-9c9b4d865799,Maria Tu,Unknown,5,Council Member Place 1,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
108dfd2c-571a-4fef-aaf2-621c3238eea6,Michelle Rodriguez,Democratic,5,Assembly Member,STATE_LOWER,CA,1,plausible,
1c90dfec-8203-4c1c-9158-48b775862109,Morgan Meyer,Republican,5,Representative,STATE_LOWER,TX,2,partial,
50e1b55e-e3be-48f8-abf5-bb0c71bec68b,Raul Claros,Democratic,5,,,,3,no_evidence,no office record
42e95c4c-4e02-4d60-805c-6a3d857dd95a,Raymond Liu,Unknown,5,Council Member,LOCAL,CA,2,partial,
6577418b-49cc-4a03-a194-97020e0e8c9a,Robert Guerra,Democratic,5,Representative,STATE_LOWER,TX,2,partial,
47101bc2-46a8-4412-b2b6-2347697ba2fe,Sam Harless,Republican,5,Representative,STATE_LOWER,TX,2,partial,
dc00f7c1-54d1-46d8-8b35-545abdd38d8d,Sameer Kanal,Unknown,5,City Councilor (District 2),LOCAL,or,3,no_evidence,local official in low-evidence jurisdiction
65bdba41-859d-41ba-bb25-65e8ba50f5ad,Sergio Munoz,Democratic,5,Representative,STATE_LOWER,TX,2,partial,
1e29ce86-9e02-4079-b50d-bb0d039613a2,Sharon Quirk-Silva,Democratic,5,Assembly Member,STATE_LOWER,CA,1,plausible,
4919fd6a-c250-47b2-a37d-37b1eec8c63d,Shelly Boshart Davis,Republican,5,Representative,STATE_LOWER,or,2,partial,
712486e7-0730-4c6c-866e-2b8ce458d1bb,Sheryl Cole,Democratic,5,Representative,STATE_LOWER,TX,2,partial,
57470eda-1734-4543-ae2a-893b8bcc0a86,Shruti Rana,Democratic,5,Bloomington City Common Council - District 5,LOCAL,IN,3,no_evidence,local official in low-evidence jurisdiction
4272e5cb-40cf-42d9-a493-ae5ca04301bb,Shun Thomas,Unknown,5,Council Member Place 7,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
8c61cd23-68fb-4f1c-8a3c-60da74c86a64,Steve Bennett,Democratic,5,Assembly Member,STATE_LOWER,CA,1,plausible,
ecef0481-27c7-4955-b822-83d64c7ef63f,Steve Lavine,Unknown,5,Council Member Place 5,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
0d5a4aeb-121f-461c-b379-a8a00c3b1ba1,Sue Rieke Smith,Democratic,5,Representative,STATE_LOWER,or,2,partial,
63a3e614-e8f3-4bf5-a4c9-d070a6c70ce4,Sylvia Robledo,Unknown,5,,,,3,no_evidence,no office record
490693bc-abac-4bcb-ab2d-5127c08952af,Taylor Rehmet,Republican,5,Senator,STATE_UPPER,TX,2,partial,
2947c92f-fee2-46e4-b472-9fd89a8f0f65,Tiffany Koyama Lane,Unknown,5,City Councilor (District 3),LOCAL,or,3,no_evidence,local official in low-evidence jurisdiction
e8bdd8a7-a1b2-43e3-afd4-df975980819e,Tom Lackey,Republican,5,Assembly Member,STATE_LOWER,CA,1,plausible,
3b15d821-fc1e-4e7b-bda0-13a669a77a27,Tommy Baril,Unknown,5,Council Member Place 2,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
754cf14b-7282-46cb-a2d8-5aee3639f003,Trent Ashby,Republican,5,Representative,STATE_LOWER,TX,2,partial,
d4eb0cfb-f7e4-4d07-b44b-a046e06108e5,Trey Martinez Fischer,Democratic,5,Representative,STATE_LOWER,TX,2,partial,
f39b0865-c923-428a-b940-09138c09e4e8,Vikki Goodwin,Democratic,5,Representative,STATE_LOWER,TX,2,partial,
8925add1-8c61-4d2d-92e8-4314df644187,Wesley Virdell,Republican,5,Representative,STATE_LOWER,TX,2,partial,
9634d62c-f6b1-45da-918e-33c9969cf6c9,Yvonne Davis,Democratic,5,Representative,STATE_LOWER,TX,2,partial,
0c6c482a-feba-45bc-821b-02769a810063,Adam Hinojosa,Republican,6,Senator,STATE_UPPER,TX,2,partial,
35d2729c-b754-4fad-b124-10ee437a116f,Alek Skarlatos,Republican,6,Representative,STATE_LOWER,or,2,partial,
