full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified,editor_note
Josh Thomas,abortion,2,"On Jan 14 2026 Thomas voted Yes on HJ1's second reference, the Virginia constitutional amendment establishing a fundamental right to reproductive freedom through prenatal care/contraception/abortion; the amendment text allows the state to regulate abortion only in the third trimester and only if it never bars abortion needed for the pregnant person's life/health or when the fetus is non-viable — functionally protecting access through the second trimester with narrow later exceptions.",https://www.vpap.org/legislators/382634-josh-thomas/list-votes/close-votes/?session=39,https://ballotpedia.org/Virginia_Right_to_Reproductive_Freedom_Amendment_(2026),,,,
Josh Thomas,same-sex-marriage,2,"Thomas voted Yes on the second reference of the marriage-equality constitutional amendment (recorded by VPAP as SJ3, companion to HJ3) on Jan 14 2026, which repeals Virginia's constitutional same-sex marriage prohibition and establishes an affirmative right to marry. The amendment as passed includes a clause allowing religious organizations and clergy to decline performing any marriage, so his Yes vote supports marriage equality with an opt-out for objecting organizations.",https://www.vpap.org/legislators/382634-josh-thomas/list-votes/close-votes/?session=39,https://ballotpedia.org/Joshua_Thomas_(Virginia),,,,
Josh Thomas,redistricting,4,"Thomas voted Yes on HJ4's second reference (62-Y 33-N 1-A, Jan 14 2026), a constitutional amendment granting the General Assembly explicit authority to modify congressional district lines outside the normal 10-year cycle if another state redraws its own maps first — a reactive/conditional power for the legislature, not the state's existing independent bipartisan redistricting commission. Because this is a narrow, conditional trigger rather than a general statement about who should draw maps, this score should be read as evidence of comfort with legislature-directed mid-decade action under specific conditions, not an unconditional preference.",https://www.vpap.org/legislators/382634-josh-thomas/list-votes/close-votes/?session=39,,,,,
Josh Thomas,data-centers,3,"As a Prince William delegate in the heart of 'Data Center Alley,' Thomas has chief-patroned a sustained run of data-center bills: HB1601 (2025, vetoed by Gov. Youngkin) and HB153 (2026, enacted) both required site assessments covering sound, water, and energy demand before high-energy-use facilities are approved; HB2028 (2025) sought data-center fees payable to school boards; and he has said he favors changing the ratepayer cost-distribution system so data centers — not residential customers — cover transmission infrastructure costs. This combination of pre-approval impact assessments plus cost-sharing/community-benefit requirements matches the impact-assessment-and-cost-sharing chair rather than a moratorium or a light-touch/incentives approach.",https://virginiamercury.com/2025/10/21/data-centers-dominate-house-district-21-race-between-thomas-and-gorham/,https://www.vpap.org/legislators/382634-josh-thomas/legislation/?session=39,https://www.vpap.org/legislators/382634-josh-thomas/legislation/?session=38,"Clean energy for data centers was not going to kill the industry at all. It was just going to make sure we're doing something about the energy draw that data centers represent to our energy needs, no matter where you build in the state.","Clean energy for data centers was not going to kill the industry at all. It was just going to make sure we're doing something about the energy draw that data centers represent to our energy needs, no matter where you build in the state.","This is his own on-the-record statement (not a vote or bill summary) making the forward-looking case for regulating data-center energy demand rather than blocking the industry outright, matching the impact-assessment/cost-sharing stance. Quote is verbatim from the Virginia Mercury interview, no edits needed for de-identification since it contains no name, party, or third-party reference."
Josh Thomas,local-immigration,2,"Thomas voted Yes on HB1441 (63-Y 35-N, 2026 session), which bars state and local law-enforcement agencies from entering or renewing federal immigration enforcement agreements unless the agreement requires federal agents to give advance notice, comply with state law, be clearly identified, and refrain from certain enforcement actions — a substantial restriction on, but not an outright ban of, local-federal immigration cooperation.",https://www.vpap.org/legislators/382634-josh-thomas/list-votes/close-votes/?session=39,,,,,
Josh Thomas,ai-regulation,3,"Thomas was chief patron of HB713 (2026), the 'Fostering Access, Innovation, and Responsibility in Artificial Intelligence Act,' which would have required developers of base AI models to clearly and conspicuously disclose specified information to end users; the bill was killed in committee. This places him in the disclosure-and-accountability chair rather than a hands-off or a strict pre-approval/ban approach.",https://www.vpap.org/legislators/382634-josh-thomas/legislation/?session=39,,,,,
Josh Thomas,housing,3,"Thomas has chief-patroned a series of enacted housing bills rather than rent caps or market deregulation: HB164 (grants for local-employee homeownership), HB196 (a mixed-income housing pilot loan-origination program), HB352 (authorizing localities to create affordable-housing performance grant programs), and HB356 (expanding local housing-policy tools) — a targeted-subsidy/first-time-buyer-assistance approach.",https://www.vpap.org/legislators/382634-josh-thomas/legislation/?session=39,https://jetforva.com/priorities/,,,,
Josh Thomas,healthcare,2,"Thomas voted Yes on HB1182 (2026, enacted), requiring health insurance coverage of contraceptive drugs and devices including over-the-counter options — a regulatory mandate on private insurance rather than a public-only or minimal-safety-net approach. His campaign platform also emphasizes expanding access to primary care and multilingual healthcare staff within the existing coverage system.",https://www.vpap.org/legislators/382634-josh-thomas/list-votes/close-votes/?session=39,https://jetforva.com/priorities/,,,,
Josh Thomas,climate-change,3,"Thomas's campaign platform states he 'will advocate for clean energy legislation and programs that allow greater access for individuals to take advantage of energy-saving resources in their own homes,' and in discussing the data-center energy debate he argued the real problem is total energy load rather than the state's clean-energy mandate itself — consistent with investing in clean energy while managing (not abruptly banning) existing energy demand.",https://jetforva.com/priorities/,https://virginiamercury.com/2025/10/21/data-centers-dominate-house-district-21-race-between-thomas-and-gorham/,,,,
"Margaret Angela Franklin",healthcare,2,"Franklin's campaign platform states healthcare ""access should never depend on income or ZIP code"" and notes she supported development of a new Inova healthcare facility in Woodbridge, framing her approach around lowering costs and broadening provider access rather than a single-payer system or means-tested-only assistance.","https://margaretforva.com/issues","https://margaretforva.com","","healthcare access should never depend on income or ZIP code","healthcare access should never depend on income or ZIP code","This platform quote directly frames her healthcare priority as universal cost/access improvement rather than single-payer or minimal assistance, matching stance 2. Verbatim, no edits."
"Margaret Angela Franklin",abortion,2,"Franklin's campaign platform states she has opposed efforts to restrict access to reproductive healthcare and pledges to protect and expand reproductive rights and access to contraception and abortion care, with no explicit mention of public funding at all stages of pregnancy, placing her closest to the mainstream 'legal and accessible' position rather than the most expansive chair.","https://margaretforva.com/issues","","","every Virginian should have the freedom to make their own private medical decisions without political interference","every … [Virginian] should have the freedom to make their own private medical decisions without political interference","This is her clearest forward-looking statement of principle on abortion access, framed as a belief about medical decision-making rather than a description of a past vote. De-identified by generalizing the state reference; otherwise verbatim."
"Margaret Angela Franklin",housing,3,"As a Prince William County Supervisor, Franklin led the Board in creating the county's first comprehensive Affordable Housing Strategy and her campaign platform emphasizes reducing housing costs, streamlining production of affordable homes, and protecting renters — a targeted-subsidy and permitting-focused approach rather than direct public housing construction or broad rent caps.","https://margaretforva.com/issues","https://margaretforva.com","","","",""
"Margaret Angela Franklin",climate-change,3,"As Prince William Supervisor, Franklin championed creation of the county's Sustainability Commission to guide long-term climate and resilience planning, an institution-building approach to gradually addressing climate impacts rather than declaring a climate emergency or rejecting climate policy outright.","https://margaretforva.com","","","","",""
"Margaret Angela Franklin",data-centers,3,"As a Prince William County Supervisor, Franklin was one of four Democrats who voted 4-3-1 on Dec. 13, 2023 to approve the Prince William Digital Gateway data center rezoning, which followed a multi-year comprehensive plan amendment and extensive proffer negotiations including a marathon 27-hour public hearing — reflecting approval conditioned on an impact-assessment and community-benefit process rather than either a moratorium or a hands-off, incentive-only approach. No direct public statement from her explaining the vote was located.","https://www.princewilliamtimes.com/news/breaking-supervisors-ok-digital-gateway/article_4bca3472-99f0-11ee-a77b-8bb794eb58d4.html","","","","",""
"Margaret Angela Franklin",civil-rights,2,"As Prince William Supervisor, Franklin led the successful, bipartisan effort to rename Jefferson Davis Highway in the county, addressing a symbol tied to systemic racial injustice; combined with her record as the first African American woman on the Board, this points toward a civil-rights-enforcement-oriented approach rather than a hands-off or affirmative-action-rollback position.","https://margaretforva.com","","","","",""
"Margaret Angela Franklin",transportation-priorities,2,"Franklin chairs the Virginia Railway Express (VRE) Operations Board and PRTC/OmniRide, and her campaign platform pledges to secure investments in transit while also maintaining and improving roadways, reflecting a balanced multimodal investment approach rather than a roads-only or transit-only priority.","https://margaretforva.com/issues","https://margaretforva.com","","","",""
"Luke E. Torian",abortion,2,"Torian voted Yes on Virginia's Reproductive Freedom Constitutional Amendment on both its first passage (SJ247, 2/13/2025) and second passage (HJ1, 1/14/2026). That amendment protects abortion access up to fetal viability with exceptions afterward to protect the patient's life or health, closely matching stance 2. He publicly reaffirmed this position on 11/1/2025, pledging to help finish passing the amendment so it reaches the November 2026 ballot.","https://www.vpap.org/legislators/161769-luke-torian/list-votes/close-votes/?session=38","https://www.vpap.org/legislators/161769-luke-torian/list-votes/close-votes/?session=39","https://www.facebook.com/DelegateTorian/posts/in-january-i-was-proud-to-vote-for-the-reproductive-freedom-constitutional-amend/1253931533225567/","When we return to Richmond in January, I'll once again join my colleagues to ensure this amendment passes and makes its way onto your ballots in November 2026.","When we return to [the capitol] in January, I'll once again join my colleagues to ensure this amendment passes and makes its way onto your ballots in November 2026.","Chosen because it is his own forward-looking commitment to keep advancing the reproductive-freedom amendment (not just a description of his past vote), directly on the abortion-access question. Edited only to remove 'Richmond,' which identifies the state."
"Luke E. Torian",redistricting,4,"As House Appropriations Chair, Torian personally introduced (chief-patroned) HB1384, the bill setting April 21, 2026 as the referendum date for Virginia's mid-decade congressional redistricting constitutional amendment; his committee advanced it 15-7 on 1/22/2026. The underlying amendment lets the General Assembly bypass Virginia's existing bipartisan redistricting commission and redraw congressional maps mid-decade — but only through a mechanism that requires voter ratification by referendum and remains subject to state-court review (the Virginia Supreme Court later voided the resulting map). His documented position therefore supports legislature-directed map-drawing subject to court and voter oversight rather than unchecked legislative control.","https://www.vpm.org/generalassembly/2026-01-22/virginia-house-congressional-redistricting-gerrymandering-referendum-torian","","","","",""
"Luke E. Torian",housing,2,"Torian voted Yes on numerous 2025 landlord-tenant protection and affordable-housing funding bills (e.g., HB1638 landlord-tenant affordability, HB1758 surplus property for affordable housing, HB2153 nonprofit housing development funding, HB1598 first-time homebuyer grants) and on 2026 bills increasing housing supply (HB804 statewide housing growth targets, HB816 by-right multifamily zoning near commercial corridors). The larger, more consistent pattern is public funding plus development requirements for affordable housing, matching stance 2, though some 2026 votes also favored looser zoning rules more associated with stance 4.","https://www.vpap.org/legislators/161769-luke-torian/list-votes/close-votes/?session=38","https://www.vpap.org/legislators/161769-luke-torian/list-votes/close-votes/?session=39","","","",""
"Luke E. Torian",voting-rights,2,"Torian voted Yes on HB2056 (2026), authorizing localities to expand satellite absentee-voting office hours; HB967 (2026), strengthening the state Voting Rights Act's protections against suppression and vote dilution (passed 63-35); and SJ248 (2025), the constitutional amendment on voter qualifications and rights restoration. This is consistent with stance 2 (expanding early/mail voting access). He voted No on a separate 2026 bill (HB319) that only directed a study of one specific automatic voter-registration method, so the record does not support the fuller automatic-registration stance 1.","https://www.vpap.org/legislators/161769-luke-torian/list-votes/close-votes/?session=38","https://www.vpap.org/legislators/161769-luke-torian/list-votes/close-votes/?session=39","","","",""
"Luke E. Torian",data-centers,3,"As House Appropriations Chair and the House's lead budget negotiator, Torian helped broker Virginia's 2026 budget compromise on data centers: preserving the existing sales-tax exemption while adding a new data-center energy-consumption tax projected to raise about $1.2 billion, which he confirmed publicly was the figure negotiated with the Senate. This negotiated cost-sharing/impact-assessment approach, rather than a moratorium or a hands-off welcome, matches stance 3.","https://www.wmra.org/2026-06-22/legislators-advocates-on-virginias-new-data-center-tax-and-regulation-scheme-a-good-first-step","","","","",""
"Luke E. Torian",climate-change,3,"In the 2025 session, Torian voted Yes on multiple clean-energy expansion bills, including HB1821 (renewable energy buyers program), HB1883 (renewable energy portfolio), HB1934 (renewable/zero-carbon generation), and HB2087 (transportation electrification). This pattern of supporting incremental clean-energy investment within Virginia's existing Clean Economy Act framework matches stance 3 (invest in clean energy while gradually reducing reliance on fossil fuels) rather than an immediate phase-out mandate.","https://www.vpap.org/legislators/161769-luke-torian/list-votes/close-votes/?session=38","","","","",""
"David A. Reid",abortion,2,"Reid voted Yes on SJ247 (2024 first passage, 51-46) enshrining a state constitutional 'fundamental right to reproductive freedom,' a framework that (per the amendment's own compelling-state-interest/viability structure) permits regulation after roughly the point of viability — aligning with legal access through the second trimester with rare exceptions after. In a Ballotpedia candidate survey he stated unambiguous personal support for abortion access without state interference.",https://ballotpedia.org/David_Reid_(Virginia),https://www.vpap.org/legislators/272244-david-reid/list-votes/close-votes/?session=38,https://delegatedavidreid.com/responsibilities-2-2/,"Only a woman and her doctor should be making decisions about a woman's health and her body. I fully support a woman's right to make personal decisions about her health and her body without interference from the state, either in limiting her options or trying to shame her.","Only a woman and her doctor should be making decisions about a woman's health and her body. I fully support a woman's right to make personal decisions about her health and her body without interference from the state, either in limiting her options or trying to shame her.","Verbatim, no edits needed — the quote contains no name, party, or office reference. It directly states his forward-looking position that abortion decisions should be free of state interference, matching his Yes vote on Virginia's 2024 reproductive-freedom constitutional amendment."
"David A. Reid",same-sex-marriage,2,"Reid voted Yes on SJ249 (2024 first passage, 56-35, then 58-34 on reconsideration), the constitutional amendment repealing Virginia's same-sex marriage ban and affirming marriage as a right for two adult persons regardless of sex. The amendment as passed includes a clause allowing religious organizations and clergy to decline performing any marriage, matching the 'nationwide marriage equality with an opt-out for objecting organizations' framework rather than an unqualified mandate.",https://www.vpap.org/legislators/272244-david-reid/list-votes/close-votes/?session=38,https://ballotpedia.org/David_Reid_(Virginia),,,,
"David A. Reid",voting-rights,2,"Reid voted Yes to sustain gubernatorial vetoes of three 2024 bills that would have added stricter voter-roll cancellation/list-maintenance requirements (HB1657, HB2002, HB2276), consistently opposing tighter roll-purge rules across separate bills. He also voted Yes on HJ443 to study election consolidation and scheduling. This pattern favors an access-expanding posture over stricter list-maintenance/photo-ID requirements, though no direct evidence of his position on automatic registration or online voting was found.",https://www.vpap.org/legislators/272244-david-reid/list-votes/close-votes/?session=38,,,,,
"David A. Reid",healthcare,2,"Reid has publicly supported Virginia's Medicaid expansion (crediting it with bringing ~500,000-600,000 residents into preventive primary care) and, in a September 2025 candidate profile, argued for additional state funding into the ACA marketplace exchange to prevent premium increases of 11-21% for residents buying private coverage — a mixed public-program-plus-regulated-private-insurance approach rather than a single-payer or fully private model.",https://www.loudounnow.com/news/candidate-profile-del-david-reid-house-district-28/article_5e3bab39-753d-487d-a141-451b8e6618d7.html,https://www.branch.vote/races/2023-virginia-general-elections-state-delegate-va-state-house-28/candidates/david-reid,,"If we do nothing, if we don't put any additional state money into the exchange, then individuals who are using the healthcare marketplace are going to see their premiums go up by 11 to 21%.","If we do nothing, if we don't put any additional state money into the [program], then individuals who are using the healthcare marketplace are going to see their premiums go up by 11 to 21%.","Edited only to replace 'the exchange' with the bracketed generic '[program]' since 'exchange' plus the ACA-marketplace framing could be identifying in combination with other context; otherwise verbatim. Shows his forward argument for continued/expanded state subsidy support of the marketplace, consistent with a public-private hybrid healthcare stance."
"David A. Reid",housing,3,"On housing specifically, Reid chief-patroned HB183 (2026) expanding the First-Time Home Buyer Savings Plan Act (raising contribution/account caps, adding townhomes) and proposed a 'Public School Affordable Workforce Housing Pilot Program' using surplus school land leased to nonprofits/developers plus reduced lot-size and manufactured-housing rules. This mix of targeted buyer assistance, public land leverage, and selective deregulation matches targeted subsidy/first-time-buyer-assistance plus easier permitting rather than direct public housing construction or a hands-off market approach.",https://cardinalnews.org/2025/12/18/reid-vacos-silence-on-housing-leaves-the-general-assembly-no-choice-but-to-act/,https://www.loudounnow.com/news/reid-s-tax-exempt-home-buyer-savings-bill-advances/article_825015f8-819d-4fe6-83b7-64db7486ce5b.html,https://www.vafree.org/p/housing-affordability-state-vs-local,"Local governments seem to be more concerned about protecting their local land use and zoning authority than being a cooperative partner in addressing the housing affordability crisis.","Local governments seem to be more concerned about protecting their local land use and zoning authority than being a cooperative partner in addressing the housing affordability crisis.","Verbatim, no edits — no names or party references present. Shows his forward critique that local zoning gatekeeping is worsening the housing shortage, consistent with his push for state-level regulatory relief and targeted assistance programs (HB183 buyer savings, school-land workforce housing pilot)."
"David A. Reid",climate-change,3,"Reid voted No on a bill that would have banned Virginia's government from restricting natural gas use, opposing a limit on the state's ability to regulate fossil-fuel utilities. He also chief-patroned HB1821 (2025), which lets battery energy storage systems qualify large energy users for the Accelerated Renewable Buyers Program credit, intended to help solar and wind generation scale up, and HB1822 (2025), requiring the SCC to consider higher-capacity advanced transmission conductors for new lines. Together these reflect incremental investment in clean-energy infrastructure alongside continued reliance on existing fuel sources, rather than an emergency phase-out or market-only approach.",https://www.loudounnow.com/news/reid-s-data-center-power-line-bills-receive-committee-approval/article_b2e3da74-d9c7-11ef-ae9b-5b8d2f1f30a4.html,https://www.branch.vote/races/2023-virginia-general-elections-state-delegate-va-state-house-28/candidates/david-reid,https://delegatedavidreid.com/responsibilities-2-2/,"The intent is to allow battery storage in that program, so that as we continue to use more energy generation from solar and wind, that we'll be able the battery storage to smooth out the use of that energy.","The intent is to allow battery storage in that program, so that as we continue to use more energy generation from solar and wind, that we'll be able the battery storage to smooth out the use of that energy.","Verbatim, no edits (transcription includes a minor grammatical slip in the original spoken quote, left as-is per verbatim rule) — no names or party references present. Shows his forward rationale for using battery storage to help scale renewable generation, consistent with a gradual clean-energy transition stance."
"David A. Reid",data-centers,3,"Reid chief-patroned HB1132 (2026), which authorizes localities to fund residential renewable-energy incentive programs from data-center tax revenue — a cost-sharing mechanism aimed at offsetting ratepayer impact — alongside HB1821/HB1822 (2025) supporting grid capacity for growing energy demand. In a July 2026 op-ed responding to a Loudoun data-center town hall, Reid argued that zoning, land-use, and siting decisions for data centers are squarely the responsibility of local boards of supervisors, not the General Assembly, and pointed to a 2024 JLARC finding that localities already possess but don't always use adequate zoning authority. This combination — revenue-based ratepayer offsets plus insistence on local accountability for siting/impact review — fits development allowed with impact assessments and cost-sharing/benefit requirements rather than a state moratorium or hands-off, incentive-driven welcome.",https://www.loudounnow.com/opinion/reid-data-center-town-hall-a-general-assembly-view/article_01b938ad-3a81-44c3-8dd7-ab6166b5ccd0.html,https://www.loudounnow.com/news/reid-s-data-center-power-line-bills-receive-committee-approval/article_b2e3da74-d9c7-11ef-ae9b-5b8d2f1f30a4.html,,"the General Assembly has never voted for a data center. All the zoning and land use decisions, the billions of dollars in tax benefits, and the neighborhood ramifications siting decisions are the sole responsibility of the locality.","the General Assembly has never voted for a data center. All the zoning and land use decisions, the billions of dollars in tax benefits, and the neighborhood ramifications siting decisions are the sole responsibility of the locality.","Verbatim, no edits — no names or party references present (the critique is of an institutional process, not a person). Shows his forward position that data-center siting accountability belongs with local zoning authorities, not the state, framing his preference for locally-anchored impact review over a state-level moratorium or blanket incentive push."
"Fernando J. Martinez",healthcare,2,"As a 2023 candidate and now as a delegate, Martinez called for reducing prescription drug prices, premiums, and out-of-pocket costs while keeping the existing private-insurance-based system in place, rather than proposing single-payer coverage or leaving healthcare to private markets alone. His campaign platform framed this as a cost-affordability fix within a mixed public/private system.","https://ballotpedia.org/Fernando_Martinez_(Virginia)","https://house.vga.virginia.gov/members/H0374","https://discoverlatinoleaders.com/leaders/virginia/fernando-martinez","We must build the healthcare system the American people have always deserved, reducing prescription drug prices, premiums, and out-of-pocket costs and reins in overall health care expenses.","We must build the healthcare system the American people have always deserved, reducing prescription drug prices, premiums, and out-of-pocket costs and reins in overall health care expenses.","This is Martinez's own 2023 campaign-questionnaire statement on health costs; it supports an affordability-focused, mixed public/private stance rather than single-payer or a fully private market. Verbatim, no edits."
"Fernando J. Martinez",housing,2,"Martinez chief-patroned HB192 (2024), the 'Landlord and Tenant Fairness Act,' which would have imposed new tenant-protection standards on landlords owning more than nine rental units — covering advertising, application-fee handling, and rent-change/lease-termination rules — before it was struck in a General Laws subcommittee. Paired with his campaign statement that all Virginians deserve affordable housing, this points to a stance favoring stronger tenant protections and public investment in housing rather than a market-only approach.","https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB192","https://ballotpedia.org/Fernando_Martinez_(Virginia)","https://house.vga.virginia.gov/members/H0374","All Virginians deserve clean, safe, and affordable housing regardless of who they are or where they come from.","All Virginians deserve clean, safe, and affordable housing regardless of who they are or where they come from.","His own 2023 campaign-questionnaire statement on housing, paired with his 2024 tenant-protections bill (HB192), supports a stance favoring stronger housing protections and public investment over a market-only approach. Verbatim, no edits."
"Fernando J. Martinez",childcare,2,"As a freshman delegate, Martinez chief-patroned HB372 (2024, continued to 2025), which would have created a state grant program funding child care provider substitute-employee pools and start-up costs for new child care programs, and HB365 (2024), which sought to monitor and expand regional child care access and workforce-development coordination. Both bills reflect a provider-grant and subsidy-expansion approach to childcare affordability rather than universal public childcare or a hands-off market approach.","https://legacylis.virginia.gov/cgi-bin/legp604.exe?251+sum+HB372","https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+sum+HB365","https://house.vga.virginia.gov/members/H0374","","",""
