full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified,editor_note
James W. Morefield,fossil-fuels,3,"As chief patron, has repeatedly sponsored bills sustaining the coal and gas industry's existing footprint in his Tazewell-area coalfield district: HB2334 (2023) extended a sales-tax exemption sunset for oil and gas drilling equipment, HB2401 (2023) expanded allowed uses of the Coal and Gas Road Improvement Fund to include flood mitigation, and HB2293 (2021) extended the local gas severance tax sunset date. These bills maintain current industry tax and funding structures rather than pushing new drilling permits or industry deregulation.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?231+mbr+H224C,https://legacylis.virginia.gov/cgi-bin/legp604.exe?211+mbr+H224C,,,,
James W. Morefield,school-vouchers,3,"Chief-patroned HB2431 (2023), a state income tax credit tied to the Neighborhood Assistance Act's Education Improvement Scholarships program, Virginia's means-tested tax-credit scholarship system that helps fund private-school tuition assistance. No evidence found that he has sought to expand eligibility to most or all families or to cut public-school funding.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?231+mbr+H224C,,,,,
James W. Morefield,taxes,4,"Co-patroned HB2319 (2023), which lowered Virginia's state income tax rates and raised the standard deduction — a broad, across-the-board tax cut rather than a narrower loophole-closing adjustment.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?231+mbr+H224S,,,,,
James W. Morefield,data-centers,4,"Chief-patroned HB2273 (2021), which substantially eased the jobs (25→4) and investment ($150 million→$1.9 million) thresholds required for data centers in distressed/rural localities like his district to qualify for the state sales-and-use tax exemption, while also adding new annual reporting requirements to state agencies — encouraging data-center development in his region through eased qualification paired with added transparency.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?211+mbr+H224C,https://legacylis.virginia.gov/cgi-bin/legp604.exe?211+sum+HB2273,,,,
Israel D. O'Quinn,abortion,4,"Voted against HJ1 on its Jan. 15, 2026 second-passage vote (64-34, party-line), the constitutional amendment protecting abortion access; he was not among the small number of Republicans who crossed over on any of the four amendments considered that day. No chief-patroned abortion bill was found specifying a harsher no-exceptions position, so this is scored at the mainstream restrictive chair.",https://cardinalnews.org/2026/01/15/house-of-delegates-passes-four-constitutional-amendments-on-the-first-day-of-the-2026-general-assembly-session/,,,,,
Israel D. O'Quinn,same-sex-marriage,5,"Voted against HJ3 on its Jan. 15, 2026 second passage (67-31), the amendment that would have repealed Virginia's existing constitutional one-man-one-woman marriage definition and replaced it with a marriage-equality guarantee. He was not among the three Republicans who crossed over to support it.",https://cardinalnews.org/2026/01/15/house-of-delegates-passes-four-constitutional-amendments-on-the-first-day-of-the-2026-general-assembly-session/,,,,,
Israel D. O'Quinn,redistricting,2,"Voted against HJ4 on its Jan. 15, 2026 second passage (62-33), which would have let the sitting legislature draw new congressional maps directly for the rest of the decade, bypassing Virginia's existing bipartisan independent redistricting commission (established 2020) for one cycle. GOP opposition, including from fellow Southwest Virginia Republican and Minority Leader Terry Kilgore, was framed as defending ""the Virginia way"" — the existing commission process — rather than adopting a legislature-drawn map the way other states did.",https://cardinalnews.org/2026/01/15/house-of-delegates-passes-four-constitutional-amendments-on-the-first-day-of-the-2026-general-assembly-session/,https://cardinalnews.org/2026/04/29/law-professor-cooking-virginias-referendum-on-partisan-gerrymandering/,,,,
Israel D. O'Quinn,fossil-fuels,3,"As chief patron across multiple sessions, has sponsored a run of energy-infrastructure bills that keep natural gas as part of Virginia's supply mix rather than moving to restrict or aggressively expand extraction: HB1783 (2023) authorized natural-gas retail supply choice, HB1777 (2023) created financing mechanisms for deferred fuel costs at Phase I utilities, and HB1363 (2025) directs a state work group on critical energy infrastructure. Paired with his nuclear-energy bills, this reflects an all-of-the-above approach that sustains current fossil-fuel production levels rather than pushing new permits or deregulation.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?231+mbr+H242C,https://legacylis.virginia.gov/cgi-bin/legp604.exe?251+mbr+H242C,,,,
Israel D. O'Quinn,climate-change,4,"Has repeatedly chief-patroned bills expanding market-based mechanisms for a diversified energy mix rather than mandating an emissions phase-out: small modular nuclear reactor revenue-sharing and cost-recovery bills (2023-2024), a renewable portfolio standard eligibility expansion for hydrogen and nuclear resources (HB1074, 2024), the Virginia Power Innovation Fund (HB2386, 2023), and natural-gas retail supply choice (HB1783, 2023). This pattern favors letting market and infrastructure incentives drive any energy transition, without emissions bans or mandated renewable timelines.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+mbr+H242C,https://legacylis.virginia.gov/cgi-bin/legp604.exe?231+mbr+H242C,,,,
Israel D. O'Quinn,taxes,4,"Co-patroned HB2319 (2023, broad state income tax rate cuts plus a standard deduction increase) and HB472 (2022, increases the standard deduction) — a consistent pattern of supporting across-the-board tax cuts.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?231+mbr+H242S,https://legacylis.virginia.gov/cgi-bin/legp604.exe?221+mbr+H242S,,,,
Israel D. O'Quinn,voting-rights,4,"Co-patroned HB46 (2022), which required identification containing a photograph for voting.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?221+mbr+H242S,,,,,
Terry G. Kilgore,abortion,3,"In a Southwest Virginia TV interview cited by state Democrats, Kilgore said he is ""always pro-life"" and would support a gestational abortion ban ""somewhere around 15 weeks, 12 to 15 weeks,"" close to a first-trimester cutoff rather than a total ban. He also voted No in Jan 2026 on HJ1, the constitutional amendment that would have enshrined a ""fundamental right to reproductive freedom"" at all stages of pregnancy (passed 64-34), consistent with opposing unrestricted access.",https://vademocrats.org/news/friday-reading-glenn-youngkin-says-his-abortion-limit-isnt-a-ban-virginia-gop-candidates-say-otherwise/,https://www.vpap.org/legislators/270-terry-kilgore/list-votes/close-votes/?session=39,,"I've always been pro-life, so I think whatever the ban Governor Youngkin comes along with, I'm going to support. But it's going to be somewhere around 15 weeks, 12 to 15 weeks.","I've always been pro-life, so I think whatever the ban [the governor] comes along with, I'm going to support. But it's going to be somewhere around 15 weeks, 12 to 15 weeks.","This quote gives the delegate's specific target for a gestational abortion limit (12-15 weeks), which is why the stance is scored as close to a first-trimester cutoff rather than a full ban. Edited: replaced ""Governor Youngkin"" with ""[the governor]"" to remove the named third party; otherwise verbatim."
Terry G. Kilgore,same-sex-marriage,5,"Kilgore voted No on SJ3 in the 2026 session (61-Y, 32-N), the constitutional amendment that would have repealed Virginia's Marshall-Newman provision defining marriage as between one man and one woman and replaced it with recognition of ""marriage between two adult persons."" His No vote works to preserve the existing man-woman-only constitutional language.",https://www.vpap.org/legislators/270-terry-kilgore/list-votes/close-votes/?session=39,,,,,
Terry G. Kilgore,redistricting,2,"Kilgore led House GOP opposition to HJ4 (voted No, 62-Y 33-N 1-A), the amendment allowing the General Assembly to redraw congressional maps mid-decade, framing the fight as defending Virginia's existing bipartisan redistricting commission (created 2020) against a legislature-drawn map, and was a named plaintiff in the lawsuit that led the Virginia Supreme Court to void the resulting 10-1 map (May 8, 2026). He publicly called that map ""fundamentally unfair"" for splitting Fairfax County across five districts and dividing the Roanoke Valley. His documented position is that congressional maps should come from the existing bipartisan commission process rather than whichever party controls the legislature.",https://cardinalnews.org/2026/05/08/supreme-court-of-virginia-voids-redistricting-election-as-unconstitutional/,https://cardinalnews.org/2026/04/06/bipartisan-civility-was-the-rule-at-cardinal-way-luncheon-but-redistricting-struck-a-nerve/,https://www.vpap.org/legislators/270-terry-kilgore/list-votes/close-votes/?session=39,"The rule of law requires that Virginians have an opportunity to review a Constitutional Amendment before they vote for the House of Delegates in a meaningful way.","The rule of law requires that Virginians have an opportunity to review a Constitutional Amendment before they vote for the House of Delegates in a meaningful way.","Said after the state Supreme Court voided the mid-decade congressional map in a case where the delegate was a plaintiff; chosen because it states a forward-looking principle about how redistricting-related constitutional changes should be handled, consistent with defending the existing bipartisan commission process against a legislature-drawn mid-decade map. Verbatim, no edits."
Terry G. Kilgore,data-centers,4,"At an April 2026 bipartisan policy luncheon, Kilgore argued for preserving data center tax incentives so Virginia doesn't ""kill the goose that lays the golden egg,"" while separately saying the state has to ""be realistic about permitting"" without harming the environment. He also applauded the final FY2026-28 budget compromise that kept data center tax exemptions in place alongside a new consumption tax, added water-scarcity/noise/data-disclosure requirements, and directed RGGI proceeds to offset residential electricity costs -- an encourage-with-transparency approach rather than minimal-regulation or moratorium.",https://cardinalnews.org/2026/04/06/bipartisan-civility-was-the-rule-at-cardinal-way-luncheon-but-redistricting-struck-a-nerve/,https://cardinalnews.org/2026/06/22/general-assembly-passes-a-budget-consumption-tax-for-data-centers-included/,,"We have to keep something in play to make sure we don't kill the goose that lays the golden egg for us.","We have to keep something in play to make sure we don't kill the goose that lays the golden egg for us.","Said while discussing data center tax exemptions at a bipartisan policy luncheon; shows support for keeping incentives in place to continue attracting data center investment while also citing permitting realism, consistent with encouraging development with some transparency/guardrails rather than a hands-off or moratorium approach. Verbatim, no edits."
Terry G. Kilgore,medicare/aid,2,"In 2018, Kilgore reversed decades of opposition and voted to expand Medicaid in Virginia, adding roughly 400,000 low-income uninsured Virginians to the program's rolls, despite an outside pressure campaign (including ads from Americans for Prosperity) urging him to hold the line. No later action or statement reverses this position.",https://kffhealthnews.org/morning-breakout/virginia-lawmaker-who-switched-stance-on-medicaid-expansion-was-braced-for-backlash-it-never-came/,https://roanoke.com/opinion/editorials/article_7c60b86a-b593-5945-8a09-b2260191e201.html,,,,
Mitchell Cornett,same-sex-marriage,5,"In his first weeks in office, Cornett voted No on SJ3 in the 2026 session (61-Y, 32-N), the constitutional amendment that would have repealed Virginia's provision defining marriage as between one man and one woman. His No vote works to preserve the existing man-woman-only constitutional definition.",https://www.vpap.org/legislators/455254-mitchell-d-cornett/list-votes/close-votes/?session=39,,,,,
Mitchell Cornett,redistricting,2,"As a newly sworn-in delegate, Cornett voted No on HJ4 (62-Y, 33-N, 1-A), the amendment that would let the sitting legislature redraw congressional maps mid-decade, bypassing Virginia's existing bipartisan redistricting commission (created 2020); House GOP opposition, led by his caucus leadership (who subsequently won a Virginia Supreme Court ruling voiding the legislature-drawn map), was framed throughout as defending that bipartisan commission process.",https://www.vpap.org/legislators/455254-mitchell-d-cornett/list-votes/close-votes/?session=39,https://cardinalnews.org/2026/05/01/state-election-board-unable-to-certify-redistricting-referendum/,,,,
Mitchell Cornett,taxes,4,"Days before being sworn in, Cornett told Cardinal News that constituents want ""tax cuts and less government"" and said he intends to advocate for tax cuts and a lower cost of living, particularly for Southwest Virginia residents.",https://cardinalnews.org/2026/01/09/meet-southwest-and-southsides-three-new-members-of-the-house-of-delegates/,,,"People want tax cuts and less government in my view.","People want tax cuts and less government in my view.","Stated shortly before being sworn in, describing constituent sentiment and his own intended direction on taxes and government size. Verbatim, no edits."
