full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified,editor_note
Mike A. Cherry,school-vouchers,5,"Cherry's campaign platform backs vouchers or tax credits for any family choosing public, private, or homeschool education, matching the most expansive school-choice chair.",https://mikecherryforva.com/issues/,,,"Parents should have the right to choose what educational model is best for their student. Whether public, private, or homeschooled, the parents are the first line advocate for their student and should be given the means through vouchers or tax credits to choose the education model that is best for them.","Parents should have the right to choose what educational model is best for their student. Whether public, private, or homeschooled, the parents are the first line advocate for their student and should be given the means through vouchers or tax credits to choose the education model that is best for them.","This platform statement backs vouchers or tax credits for any family regardless of school type, matching the most expansive school-choice chair. Verbatim, no edits."
Mike A. Cherry,judicial-criminal-justice,2,"Cherry's campaign platform frames criminal-justice policy around giving people who completed sentences for non-violent offenses a fair chance to reintegrate, matching the ""fair chance to make things right'' chair rather than a pure-punishment approach.",https://mikecherryforva.com/issues/,,,"Virginians who have previously been incarcerated for non-violent crimes, and who have completed their sentences should be given the opportunity to have a second chance.","Virginians who have previously been incarcerated for non-violent crimes, and who have completed their sentences should be given the opportunity to have a second chance.","This statement supports second chances for people who completed their sentences for non-violent crimes, matching a rehabilitation-oriented chair rather than a pure-punishment one. Verbatim, no edits."
Mike A. Cherry,taxes,4,"Cherry's campaign platform calls broadly for lower taxes, less spending, and fewer regulations, matching the general tax-cut chair.",https://mikecherryforva.com/issues/,,,"We need to lower taxes, reduce wasteful spending and eliminate excessive regulations in order to create jobs and grow Virginia's economy.","We need to lower taxes, reduce wasteful spending and eliminate excessive regulations in order to create jobs and grow Virginia's economy.","This platform statement calls for cutting taxes and spending broadly, matching the general tax-cut-and-shrink-government chair. Verbatim, no edits."
Mike A. Cherry,abortion,4,"Cherry individually voted No on HJ1 (64-34, Jan 15 2026) and has separately described himself as ""Pro-Life, Pro-Woman, and Pro-Child'' while helping lead House GOP discussion of the reproductive-freedom amendment in 2024; no explicit ""no exceptions'' statement was found, so he is placed at the restrict-to-rape/incest/life-of-mother chair rather than the most extreme one.",https://r.jina.ai/https://www.vpap.org/legislators/369687-mike-cherry/list-votes/close-votes/?session=39,https://repro-files.com/candidates/mikecherry/reproductiverights,,,,
Mike A. Cherry,redistricting,2,"Cherry individually voted No on HJ4 (62-33-1, Jan 15 2026). In his own October 2025 special-session update, he defended Virginia's existing constitutionally-created bipartisan Redistricting Commission — noting nearly every locality voted in 2020 to end partisan gerrymandering — and argued Virginia should not change its process to match what other states are doing, matching the defend-the-existing-process chair.",https://mikecherryforva.com/special-session-update-oct2025/,https://r.jina.ai/https://www.vpap.org/legislators/369687-mike-cherry/list-votes/close-votes/?session=39,,"we must do what is best for Virginia and not base our decisions on what other states are or are not doing.","we must do what is best for Virginia and not base our decisions on what other states are or are not doing.","In his own special-session update, he argued against changing Virginia's existing bipartisan redistricting process to match other states, matching the defend-the-existing-commission position. Verbatim, no edits."
Debra D. Gardner,abortion,2,"Gardner individually voted Yes on HJ1 (the state constitutional amendment securing abortion access through viability, 64-34, Jan 15 2026); no statement documenting support for public funding at all stages of pregnancy was found, so she is scored at the access-through-second-trimester chair rather than the most expansive one.",https://r.jina.ai/https://www.vpap.org/legislators/328311-debra-gardner/list-votes/close-votes/?session=39,,,,,
Debra D. Gardner,public-safety-approach,3,"Gardner's platform calls for supporting police while also investing in evidence-based, community-based crime-reduction programs, matching a balanced approach rather than either defunding police or making police funding the top spending priority.",https://debragardnerforvirginia.com/Priorities,,,"Invest in evidence-based and community-based programs that are proven to reduce crime and help build safe and healthy communities.","Invest in evidence-based and community-based programs that are proven to reduce crime and help build safe and healthy communities.","This platform statement calls for adding community-based crime-reduction programs alongside continued police support, matching a balanced approach. Verbatim, no edits."
Debra D. Gardner,climate-change,3,"Gardner's platform calls for planning economic growth responsibly so natural resources remain sustainable, matching a gradual clean-energy-investment approach rather than declaring an emergency or rejecting climate policy.",https://debragardnerforvirginia.com/Priorities,,,"Require economic growth to be planned and responsible, so our natural resources and environment are sustainable.","Require economic growth to be planned and responsible, so our natural resources and environment are sustainable.","This platform statement calls for balancing growth with environmental sustainability, matching a gradual investment approach rather than an emergency declaration or rejection of climate policy. Verbatim, no edits."
Debra D. Gardner,healthcare,2,"Gardner's platform calls for more accessible, affordable health care options and lower prescription costs, matching a mixed public-private coverage approach.",https://debragardnerforvirginia.com/Priorities,,,"Create more accessible and affordable health care options.","Create more accessible and affordable health care options.","This platform statement calls for expanding affordable coverage options generally, matching a mixed public-and-regulated-private coverage approach. Verbatim, no edits."
"Charles H. Schmidt, Jr.",abortion,2,"Schmidt's campaign platform backs the 2026 state constitutional amendment protecting abortion access alongside voting rights and marriage equality, and pledges to protect reproductive healthcare workers from out-of-state legal action; he does not call for public funding at all stages of pregnancy, so he is scored at the access-through-second-trimester chair.",https://charlie4va.com/,https://en.wikipedia.org/wiki/Charlie_Schmidt_(politician),,"Support the Proposed Constitutional Amendments to ensure voting rights, reproductive rights, and marriage equality are all protected","Support the Proposed Constitutional Amendments to ensure voting rights, reproductive rights, and marriage equality are all protected","This platform statement backs the state constitutional amendment protecting abortion access; he does not call for public funding at all stages, so it is scored at the second rather than most expansive chair. Verbatim, no edits."
"Charles H. Schmidt, Jr.",same-sex-marriage,2,"Schmidt's platform backs the 2026 marriage-equality constitutional amendment, which includes a religious-organization opt-out clause, matching the nationwide-legal-with-some-exemptions chair rather than requiring no exceptions at all.",https://charlie4va.com/,https://en.wikipedia.org/wiki/Charlie_Schmidt_(politician),,"Support the Proposed Constitutional Amendments to ensure voting rights, reproductive rights, and marriage equality are all protected","Support the Proposed Constitutional Amendments to ensure voting rights, reproductive rights, and marriage equality are all protected","This platform statement backs the state marriage-equality constitutional amendment, which itself includes a clergy/religious-organization opt-out, matching the ""legal with some exemptions'' chair rather than the strictest no-exceptions chair. Verbatim, no edits."
"Charles H. Schmidt, Jr.",taxes,2,"Schmidt's platform calls for a more progressive income and property tax structure with rebates for working families; he does not describe it as a ""significant'' overhaul, so he is scored at the moderate rather than most aggressive tax-the-wealthy chair.",https://charlie4va.com/,,,"Create progressive income and property tax structure with rebates for working families","Create progressive income and property tax structure with rebates for working families","This platform statement calls for a more progressive tax structure with rebates for working families, matching a moderate tax-the-wealthy chair. Verbatim, no edits."
"Charles H. Schmidt, Jr.",healthcare,2,"Schmidt's platform backs continued public subsidies for Medicaid and ACA marketplace plans alongside lower premiums, matching a mixed public-private coverage approach.",https://charlie4va.com/,,,"Ensure healthcare subsidies for Medicaid and marketplace plans","Ensure healthcare subsidies for Medicaid and marketplace plans","This platform statement backs continued subsidies for Medicaid and marketplace insurance, matching a mixed public-and-regulated-private coverage approach. Verbatim, no edits."
"Charles H. Schmidt, Jr.",school-vouchers,1,"Schmidt's platform directly opposes charter schools and vouchers in favor of fixing public school funding formulas, matching the strongest pro-public-school, anti-voucher chair.",https://charlie4va.com/,,,"Stop charter schools, vouchers, and private enterprise encroachment","Stop charter schools, vouchers, and private enterprise encroachment","This platform statement directly opposes vouchers and charter schools in favor of traditional public education, matching the strongest anti-voucher chair. Verbatim, no edits."
"Charles H. Schmidt, Jr.",housing,2,"Schmidt's platform calls for banning rental ""junk fees,'' pursuing inclusionary zoning that requires new developments to include affordable units, and progressive tax rebates for working families, matching the direct-intervention housing chair.",https://charlie4va.com/,,,,,
"Charles H. Schmidt, Jr.",local-immigration,1,"Schmidt's platform pledges to prohibit state/local cooperation agreements with federal civil immigration enforcement, matching the strongest sanctuary-style chair.",https://charlie4va.com/,,,"Prohibit cooperation agreements with federal agents based on civil immigration enforcement","Prohibit cooperation agreements with federal agents based on civil immigration enforcement","This platform statement opposes cooperating with federal civil immigration enforcement, matching the strongest sanctuary-style local-immigration chair. Verbatim, no edits."
"Charles H. Schmidt, Jr.",climate-change,3,"Schmidt's platform calls for closing loopholes in and strengthening Virginia's existing Clean Economy Act rather than declaring a climate emergency or an accelerated 2030 phase-out, matching a gradual clean-energy-investment chair.",https://charlie4va.com/,,,"Close the loopholes and firm up the Virginia Clean Economy Act","Close the loopholes and firm up the Virginia Clean Economy Act","This platform statement calls for strengthening an existing clean-energy law rather than declaring an emergency or an accelerated phase-out, matching a gradual clean-energy-investment approach. Verbatim, no edits."
"Charles H. Schmidt, Jr.",data-centers,3,"Schmidt's platform calls for reforming data center development with stronger oversight and strengthening utility monopoly regulation, matching the impact-assessment-and-community-benefit chair rather than a moratorium or a hands-off, incentive-driven approach.",https://charlie4va.com/,,,,,
Andrew Rice,taxes,4,"Rice's campaign platform calls broadly for protecting taxpayers and stopping cost-driving policies, matching the general tax-cut chair.",https://r.jina.ai/https://www.ricefordelegate.com/issues/,https://en.wikipedia.org/wiki/Andrew_Rice_(Virginia_politician),,"protect taxpayers and stop policies that drive up costs, ensuring families can keep more of their hard-earned money.","protect taxpayers and stop policies that drive up costs, ensuring families can keep more of their hard-earned money.","Trimmed excerpt (removed the leading ""[First name] will work to'' from the original sentence) of a platform statement calling for lower costs and taxpayer protection, matching a broad tax-cut chair."
Andrew Rice,judicial-criminal-justice,5,"Rice, a career prosecutor now serving as a legislator, frames criminal-justice policy around accountability, punishment, and justice for victims rather than rehabilitation, matching the strongest consequences-focused chair.",https://r.jina.ai/https://www.ricefordelegate.com/issues/,https://en.wikipedia.org/wiki/Andrew_Rice_(Virginia_politician),,"supporting law enforcement, holding violent criminals accountable, and seeking justice for victims are essential to protecting our neighborhoods and businesses.","supporting law enforcement, holding violent criminals accountable, and seeking justice for victims are essential to protecting our neighborhoods and businesses.","Trimmed excerpt (removed the leading biographical clause naming the candidate and his prosecutor background) of a platform statement emphasizing accountability and punishment, matching the strongest consequences-focused chair."
