full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified,editor_note
"Nicole Cole","same-sex-marriage",2,"Individually confirmed Yes vote on SJ3 (61-32, ~Feb 2026), the marriage-equality constitutional amendment that also preserves clergy/religious organizations' right to decline to perform ceremonies — matching nationwide recognition with an organizational opt-out rather than unqualified federal mandate.","https://www.vpap.org/legislators/374679-nicole-cole/list-votes/close-votes/?session=39",,,,,
"Nicole Cole","redistricting",4,"Individually confirmed Yes vote on HJ4 (62-33-1, Jan 2026), the amendment giving the General Assembly limited mid-decade authority to redraw congressional maps; the mechanism retains voter-referendum ratification and court review, placing this closer to legislature-with-court-oversight than unchecked partisan control.","https://www.vpap.org/legislators/374679-nicole-cole/list-votes/close-votes/?session=39",,,,,
"Nicole Cole","voting-rights",2,"Individually confirmed Yes vote on HJ2 and on a broad slate of 2026 election-access bills (HB111, HB215, HB640, HB968, HB972, absentee-ballot-cure bills HB773/HB774); she also voted for HB28, which adds voter-protection safeguards (longer notice/response windows, citizenship-verification contact requirements) to the state's voter-roll-maintenance process rather than either automatic registration or new ID/roll-purge restrictions.","https://www.vpap.org/legislators/374679-nicole-cole/list-votes/close-votes/?session=39","https://www.keepinglawsimple.org/states/virginia/bills/2026/HB28",,,,
"Nicole Cole","housing",3,"Voted Yes on HB4 (affordable-housing preservation) and a slate of landlord-tenant bills, and separately is listed as a patron of HB655, which bars localities from zoning manufactured homes more restrictively than site-built homes in the same zone — a mix of targeted subsidy/preservation and eased permitting rather than rent caps or direct public housing construction.","https://www.vpap.org/legislators/374679-nicole-cole/list-votes/close-votes/?session=39","https://www.keepinglawsimple.org/states/virginia/bills/2026/HB655",,,,
"Nicole Cole","climate-change",3,"Voted Yes on 2026 utility-efficiency and solar-siting bills (HB2, HB711), consistent with investing in clean energy without an emissions-ban or drilling-moratorium statement.","https://www.vpap.org/legislators/374679-nicole-cole/list-votes/close-votes/?session=39",,,,,
"Nicole Cole","local-immigration",2,"Individually confirmed Yes vote on HB1441 (2026), which conditions Virginia law-enforcement/ICE agreements on protective safeguards while still permitting cooperation via judicial warrants and felony detainers.","https://www.vpap.org/legislators/374679-nicole-cole/list-votes/close-votes/?session=39","https://www.keepinglawsimple.org/states/virginia/bills/2026/HB1441",,,,
"M. Keith Hodges","abortion",4,"Individually confirmed No vote on HJ1 (64-34, Jan 2026), the reproductive-freedom amendment, consistent with his archived 2017 campaign platform pledging to ""stand up for Life""; no ""no exceptions"" statement was found, so this is scored as a restrictive-with-exceptions rather than total-ban position.","https://www.vpap.org/legislators/54884-keith-hodges/list-votes/close-votes/?session=39","https://ballotpedia.org/Keith_Hodges",,"Protect our values, stand up for Life, and the quality of life that makes our communities great places to live.","Protect our values, stand up for Life, and the quality of life that makes our communities great places to live.","From his archived 2017 campaign platform (via Ballotpedia); paired with his 2026 No vote on the reproductive-freedom amendment, it supports a pro-life-with-exceptions position rather than an explicit total ban. Verbatim, no edits — no identifying names or party labels present."
"M. Keith Hodges","healthcare",4,"His archived 2017 platform opposes ""big government healthcare mandates"" and emphasizes preserving doctor-patient choice and private insurance, consistent with limiting government's role to helping only those who cannot afford care.","https://ballotpedia.org/Keith_Hodges",,,"Oppose big government healthcare mandates and always work to preserve the doctor-patient relationship and patient choice.","Oppose big government healthcare mandates and always work to preserve the doctor-patient relationship and patient choice.","Direct platform quote showing his healthcare position is limited-government/private-choice oriented. Verbatim, no edits — no identifying names or party labels present."
"M. Keith Hodges","taxes",5,"His campaign platform states ""lower taxes and less government"" as a foundational value and separately calls for ""free enterprise, free markets, less government intervention in our economy,"" reflecting a shrink-government tax philosophy rather than modest reform.","https://ballotpedia.org/Keith_Hodges","https://www.keithhodges98.com/",,"Free enterprise, free markets, less government intervention in our economy.","Free enterprise, free markets, less government intervention in our economy.","Direct platform language calling for minimal government economic role, matching the most aggressive tax-cutting/shrink-government chair. Verbatim, no edits — no identifying names or party labels present."
"R. Lee Ware","taxes",5,"As longtime House Finance Committee chair, Ware individually voted No on HJ1/HJ2/HJ4/SJ3 and consistently opposed the majority's 2026 budget bill (HB29); his campaign site states government should exercise ""fiscal restraint,"" favors business tax incentives over new spending, and invokes ""that government governs best that governs least"" as his governing philosophy — a strong shrink-government tax stance.","https://www.vpap.org/legislators/25934-lee-ware/list-votes/close-votes/?session=39","https://www.delegateleeware.net/the-issues.html",,"That government governs best that governs least.","That government governs best that governs least.","His own stated governing philosophy on taxes/spending, directly matching the most aggressive shrink-government chair. Verbatim, no edits — no identifying names or party labels present."
"R. Lee Ware","climate-change",4,"His campaign platform cautions against mandated EV transitions ahead of grid readiness, reflecting a market-forces/gradual approach to energy transition rather than an emissions-reduction mandate or rejection of climate policy outright.","https://www.delegateleeware.net/the-issues.html",,,"a rush to EVs—that is, electric-powered-only vehicles, as mandated by the State of California, without having first completed massive upgrades to our electricity grid, could prove disastrous.","a rush to EVs—that is, electric-powered-only vehicles, as mandated by [a state government], without having first completed massive upgrades to our electricity grid, could prove disastrous.","Shows his energy position is caution-about-mandates/grid-readiness rather than outright climate-policy rejection, matching the market-forces-driven chair. Edited: replaced ""the State of California"" with [a state government] since naming a specific state government as the mandate's source could read as a policy detail worth generalizing; no other changes."
"Leslie Chambers Mehta","abortion",2,"Individually confirmed Yes vote on HJ1 (64-34, Jan 2026); her campaign platform commits to protecting access to safe, legal abortion and contraception without calling for public funding at all stages of pregnancy.","https://www.vpap.org/legislators/378391-leslie-mehta/list-votes/close-votes/?session=39","https://lesliemehta.com/priorities/",,"I will fight to protect reproductive freedom, including access to safe, legal abortion and contraception.","I will fight to protect reproductive freedom, including access to safe, legal abortion and contraception.","Direct platform statement matching the legal-and-accessible-with-exceptions chair rather than an all-stages-publicly-funded position. Verbatim, no edits — no identifying names or party labels present."
"Leslie Chambers Mehta","same-sex-marriage",2,"Individually confirmed Yes vote on SJ3 (61-32, ~Feb 2026), the marriage-equality amendment that also preserves clergy/religious organizations' right to decline to perform ceremonies.","https://www.vpap.org/legislators/378391-leslie-mehta/list-votes/close-votes/?session=39",,,,,
"Leslie Chambers Mehta","redistricting",4,"Individually confirmed Yes vote on HJ4 (62-33-1, Jan 2026); the amendment retains voter-referendum ratification and court review, placing this closer to legislature-with-court-oversight than unchecked partisan control.","https://www.vpap.org/legislators/378391-leslie-mehta/list-votes/close-votes/?session=39",,,,,
"Leslie Chambers Mehta","taxes",2,"Her campaign platform calls for reforms asking ""the highest earners to pay their fair share"" while easing property/car tax burdens on middle- and working-class families — a moderate, targeted increase rather than a broad restructuring.","https://lesliemehta.com/priorities/",,,"I support common-sense reforms that ask the highest earners to pay their fair share while easing the burden on middle-class and working families.","I support common-sense reforms that ask the highest earners to pay their fair share while easing the burden on middle-class and working families.","Direct platform quote showing a moderate tax-the-wealthy position focused on high earners rather than a sweeping restructuring. Verbatim, no edits — no identifying names or party labels present."
"Leslie Chambers Mehta","housing",3,"Individually confirmed Yes votes on a slate of 2026 landlord-tenant and affordable-housing bills (HB4, HB14, HB15, HB95, HB281, HB379, HB519); her platform calls for targeted solutions to increase affordable housing while preserving community character, rather than rent caps or direct public-housing construction.","https://www.vpap.org/legislators/378391-leslie-mehta/list-votes/close-votes/?session=39","https://lesliemehta.com/priorities/",,"I will work for smart, common-sense solutions to increase affordable housing options while preserving the character of our communities.","I will work for smart, common-sense solutions to increase affordable housing options while preserving the character of our communities.","Direct platform quote matching the targeted-subsidy/easier-permitting chair rather than rent control or full public housing. Verbatim, no edits — no identifying names or party labels present."
"Leslie Chambers Mehta","healthcare",2,"Her platform commits to expanding access to affordable healthcare and strengthening funding for rare/chronic conditions, without calling for a single government-run payer system.","https://lesliemehta.com/priorities/",,,"I will push to expand access to affordable healthcare and strengthen funding to support those with rare and chronic conditions.","I will push to expand access to affordable healthcare and strengthen funding to support those with rare and chronic conditions.","Direct platform quote showing an affordability/access focus within the existing mixed public-private system. Verbatim, no edits — no identifying names or party labels present."
"Leslie Chambers Mehta","civil-rights",2,"A former Legal Director of the ACLU of Virginia, she describes her work as fighting for civil rights and constitutional protections; this reflects a general civil-rights-enforcement orientation rather than a specific call for equity mandates or reparations.","https://lesliemehta.com/meet-leslie/",,,,,
"Leslie Chambers Mehta","childcare",2,"Her platform commits to making daycare affordable for working families through broad subsidy/affordability language, without specifying a fully public, universal system.","https://lesliemehta.com/priorities/",,,"I am committed to making daycare affordable to everyone so working families can succeed without breaking the bank.","I am committed to making daycare affordable to everyone so working families can succeed without breaking the bank.","Direct platform quote showing a subsidy-expansion approach to childcare affordability rather than an explicit universal public program. Verbatim, no edits — no identifying names or party labels present."
"Leslie Chambers Mehta","local-immigration",2,"Individually confirmed Yes vote on HB1441 (2026), which conditions Virginia law-enforcement/ICE agreements on protective safeguards while still permitting cooperation via judicial warrants and felony detainers.","https://www.vpap.org/legislators/378391-leslie-mehta/list-votes/close-votes/?session=39","https://www.keepinglawsimple.org/states/virginia/bills/2026/HB1441",,,,
"Leslie Chambers Mehta","climate-change",3,"Voted Yes on multiple 2026 renewable/utility-efficiency bills (HB2, HB285, HB711, HB884), consistent with investing in clean energy while gradually reducing fossil-fuel reliance.","https://www.vpap.org/legislators/378391-leslie-mehta/list-votes/close-votes/?session=39",,,,,
