cd,geo_id,full_name,party_from_field,role,decision,assign_external_id,is_incumbent,source
3,2003,"Blake Stanley",Republican,R,NEW,-200305,false,"KS 2026 US House field (en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kansas; KS SoS 2026 federal filings); provisional pre-primary field, cull >= 2026-08-05"
4,2004,"Ron Estes",Republican,R,REUSE,-20004,true,"KS 2026 US House field (en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kansas; KS SoS 2026 federal filings); provisional pre-primary field, cull >= 2026-08-05"
4,2004,"Michael Gaynor",Republican,R,NEW,-200401,false,"KS 2026 US House field (en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kansas; KS SoS 2026 federal filings); provisional pre-primary field, cull >= 2026-08-05"
4,2004,"Frank McCollum",Republican,R,NEW,-200402,false,"KS 2026 US House field (en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kansas; KS SoS 2026 federal filings); provisional pre-primary field, cull >= 2026-08-05"
4,2004,"Chris Carmichael",Democratic,D,NEW,-200403,false,"KS 2026 US House field (en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kansas; KS SoS 2026 federal filings); provisional pre-primary field, cull >= 2026-08-05"
4,2004,"Katy Tyndell",Democratic,D,NEW,-200404,false,"KS 2026 US House field (en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kansas; KS SoS 2026 federal filings); provisional pre-primary field, cull >= 2026-08-05"
4,2004,"Cole Epley",Democratic,D,NEW,-200405,false,"KS 2026 US House field (en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kansas; KS SoS 2026 federal filings); provisional pre-primary field, cull >= 2026-08-05"
4,2004,"Ryan Gilbert",Democratic,D,NEW,-200406,false,"KS 2026 US House field (en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kansas; KS SoS 2026 federal filings); provisional pre-primary field, cull >= 2026-08-05"
4,2004,"Jordan Mitchell",Democratic,D,NEW,-200407,false,"KS 2026 US House field (en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kansas; KS SoS 2026 federal filings); provisional pre-primary field, cull >= 2026-08-05"
4,2004,"Daniel Schneider",Democratic,D,NEW,-200408,false,"KS 2026 US House field (en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kansas; KS SoS 2026 federal filings); provisional pre-primary field, cull >= 2026-08-05"
4,2004,"Drew Cranmer",Libertarian,LIB,NEW,-200409,false,"KS 2026 US House field (en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kansas; minor-party/independent filing); provisional pre-primary field, cull >= 2026-08-05"
4,2004,"Paul Catanese",Independent,IND,NEW,-200410,false,"KS 2026 US House field (en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kansas; minor-party/independent filing); provisional pre-primary field, cull >= 2026-08-05"
