class,proposed_action,name,district,agent_class,confidence,years,evidence_url,evidence_quote,searched,note,id
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Jim Gilbert,Antelope Valley Joint Union High School District,NO_EVIDENCE,high,,,,"(1) current board page avdistrict.org/about/board-of-trustees: absent; (2) Wayback board pages 2010-04, 2013, 2014-08, 2017-07, 2019-07, 2020-11, 2022-10, 2024-12: absent (see roster_history); (3) RR/CC lists 2017-2026 for AVUHSD and county-wide school-board JSON: no match; AV Press quoted-name search: 0 hits; Google News RSS '""<name>"" Antelope Valley': 0 hits; Ballotpedia AVUHSD elections page (2013-2026): absent; WebSearch (combined OR query): nothing. bing.sh and bs.sh (Brave) were unusable this session: Bing returned unrelated results for every query (it ignored the quoted terms), Brave returned a captcha. Used instead: AV Press site search (avpress.com/search, quoted name, archive about 2015-2026), Google News RSS, Ballotpedia district election pages, and the county-wide RR/CC school-board candidate JSON (rrcc_school.json, 2017-2026).",,c965c628-5fa7-44d2-b299-59e49eff3ece
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Lorene Reed,Antelope Valley Joint Union High School District,NO_EVIDENCE,high,,,,"(1) current board page avdistrict.org/about/board-of-trustees: absent; (2) Wayback board pages 2010-04, 2013, 2014-08, 2017-07, 2019-07, 2020-11, 2022-10, 2024-12: absent (see roster_history); (3) RR/CC lists 2017-2026 for AVUHSD and county-wide school-board JSON: no match; AV Press quoted-name search: 0 hits; Google News RSS '""<name>"" Antelope Valley': 0 hits; Ballotpedia AVUHSD elections page (2013-2026): absent; WebSearch (combined OR query): nothing. bing.sh and bs.sh (Brave) were unusable this session: Bing returned unrelated results for every query (it ignored the quoted terms), Brave returned a captcha. Used instead: AV Press site search (avpress.com/search, quoted name, archive about 2015-2026), Google News RSS, Ballotpedia district election pages, and the county-wide RR/CC school-board candidate JSON (rrcc_school.json, 2017-2026).",,a7e73528-e586-479b-99b5-d5eaa0fc6f42
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Michael Layne,Antelope Valley Joint Union High School District,NO_EVIDENCE,high,,,,"(1) current board page avdistrict.org/about/board-of-trustees: absent; (2) Wayback board pages 2010-04, 2013, 2014-08, 2017-07, 2019-07, 2020-11, 2022-10, 2024-12: absent (see roster_history); (3) RR/CC lists 2017-2026 for AVUHSD and county-wide school-board JSON: no match; AV Press quoted-name search: 0 hits; Google News RSS '""<name>"" Antelope Valley': 0 hits; Ballotpedia AVUHSD elections page (2013-2026): absent; WebSearch (combined OR query): nothing. bing.sh and bs.sh (Brave) were unusable this session: Bing returned unrelated results for every query (it ignored the quoted terms), Brave returned a captcha. Used instead: AV Press site search (avpress.com/search, quoted name, archive about 2015-2026), Google News RSS, Ballotpedia district election pages, and the county-wide RR/CC school-board candidate JSON (rrcc_school.json, 2017-2026).",RR/CC county JSON has only EMILEE M. LAYNE (El Segundo USD) - unrelated.,af7efbff-3408-4579-a6ba-f9c76c0590e9
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Kimberly Tresvant,Castaic Union School District,NO_EVIDENCE,medium,,,,"(1) current board page (live); (2) Wayback rosters ~2008 (castaic.k12.ca.us), 2019, 2020, 2022, 2023; current staff pages (Superintendent Bob Brauneisen; asst. supts) and 2021 Wayback superintendent page (Steve Doyle); school home pages; (3) one combined WebSearch for Zellhart/Lauro/Tresvant (no relevant results). General web search was not usable this session: Bing returned first-word-only junk, Brave/DuckDuckGo/Mojeek/Startpage returned captchas, WebSearch quota (3) spent on appointment dates. Used instead: AV Press site search (avpress.com/search), Ballotpedia, all LA RR/CC school-board candidate lists 2017-2026 (rrcc_school.json, 1726 rows, no match).",Absent from Castaic rosters and RR/CC 2017-2026.,2183063b-a86b-49da-bf0b-44799d0a15b1
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Lisa Zellhart,Castaic Union School District,NO_EVIDENCE,medium,,,,"(1) current board page (live); (2) Wayback rosters ~2008 (castaic.k12.ca.us), 2019, 2020, 2022, 2023; current staff pages (Superintendent Bob Brauneisen; asst. supts) and 2021 Wayback superintendent page (Steve Doyle); school home pages; (3) one combined WebSearch for Zellhart/Lauro/Tresvant (no relevant results). General web search was not usable this session: Bing returned first-word-only junk, Brave/DuckDuckGo/Mojeek/Startpage returned captchas, WebSearch quota (3) spent on appointment dates. Used instead: AV Press site search (avpress.com/search), Ballotpedia, all LA RR/CC school-board candidate lists 2017-2026 (rrcc_school.json, 1726 rows, no match).",Absent from Castaic rosters and RR/CC 2017-2026.,bc17004c-5edb-429d-a585-182b4db29c26
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Mindi Lauro,Castaic Union School District,NO_EVIDENCE,medium,,,,"(1) current board page (live); (2) Wayback rosters ~2008 (castaic.k12.ca.us), 2019, 2020, 2022, 2023; current staff pages (Superintendent Bob Brauneisen; asst. supts) and 2021 Wayback superintendent page (Steve Doyle); school home pages; (3) one combined WebSearch for Zellhart/Lauro/Tresvant (no relevant results). General web search was not usable this session: Bing returned first-word-only junk, Brave/DuckDuckGo/Mojeek/Startpage returned captchas, WebSearch quota (3) spent on appointment dates. Used instead: AV Press site search (avpress.com/search), Ballotpedia, all LA RR/CC school-board candidate lists 2017-2026 (rrcc_school.json, 1726 rows, no match).",Absent from Castaic rosters and RR/CC 2017-2026.,62eff385-96e5-4b35-8383-55bd7e2cbe28
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Randell Herr,Castaic Union School District,NO_EVIDENCE,medium,,,,"(1) current board page (live); (2) Wayback rosters ~2008 (castaic.k12.ca.us), 2019, 2020, 2022, 2023; current staff pages (Superintendent Bob Brauneisen; asst. supts) and 2021 Wayback superintendent page (Steve Doyle); school home pages; (3) one combined WebSearch for Zellhart/Lauro/Tresvant (no relevant results). General web search was not usable this session: Bing returned first-word-only junk, Brave/DuckDuckGo/Mojeek/Startpage returned captchas, WebSearch quota (3) spent on appointment dates. Used instead: AV Press site search (avpress.com/search), Ballotpedia, all LA RR/CC school-board candidate lists 2017-2026 (rrcc_school.json, 1726 rows, no match).",Absent from Castaic rosters and RR/CC 2017-2026.,f90049fb-23a9-41ad-b4da-49ef4ef518d4
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Javier Gonzalez,Centinela Valley Union High School District,NO_EVIDENCE,medium,,,,"current board page; Wayback rosters 2009/2012/2015/2017/2019/2023/2024 (see roster_history) + current page; RR/CC lists 2017-2026 (all LA County contests in scratchpad rrcc/*.html: name absent); bing.sh degraded (returns results for first word only, e.g. 'Arturo' restaurants); brave.sh CAPTCHA-blocked; DDG-lite worked for 2 queries then 403/406/CAPTCHA; WebSearch quota (3) spent on Lennox vacancy, SSSD names, Lawndale names",A different Gonzalez (Lorena L. Gonzalez) sat on the board c.2012-2015; no Javier Gonzalez on any roster 2009-2026 or RR/CC list.,4c76e59e-fd86-4534-ac05-9281ee4aa776
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Natasha Henderson,Centinela Valley Union High School District,NO_EVIDENCE,medium,,,,"current board page; Wayback rosters 2009/2012/2015/2017/2019/2023/2024 (see roster_history) + current page; RR/CC lists 2017-2026 (all LA County contests in scratchpad rrcc/*.html: name absent); bing.sh degraded (returns results for first word only, e.g. 'Arturo' restaurants); brave.sh CAPTCHA-blocked; DDG-lite worked for 2 queries then 403/406/CAPTCHA; WebSearch quota (3) spent on Lennox vacancy, SSSD names, Lawndale names",Not on any roster 2009-2026 or any RR/CC list.,27925c8c-5bfe-42c2-a46f-aa41352543dc
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Sonia Campos,Centinela Valley Union High School District,NO_EVIDENCE,medium,,,,"current board page; Wayback rosters 2009/2012/2015/2017/2019/2023/2024 (see roster_history) + current page; RR/CC lists 2017-2026 (all LA County contests in scratchpad rrcc/*.html: name absent); bing.sh degraded (returns results for first word only, e.g. 'Arturo' restaurants); brave.sh CAPTCHA-blocked; DDG-lite worked for 2 queries then 403/406/CAPTCHA; WebSearch quota (3) spent on Lennox vacancy, SSSD names, Lawndale names",Not on any roster 2009-2026 and not on any RR/CC candidate list. Pre-2009 rosters not readable.,3eaa5036-ec52-48ff-8111-73347db2bb18
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Andy Torres,East Whittier City School District,NO_EVIDENCE,high,,,,"(1) current board page and all 5 member bio pages; (2) EWCSD rosters 2007 (WDN), 2008, 2012, 2015, 2016, 2019, 2022, 2025 (Wayback) and BoardDocs agendas 2020-2026: continuous record 2007-2026, name absent; (3) Web search: bing.sh returned off-topic results (Bing reduces quoted queries to generic terms for this client) and bs.sh (Brave) returned a captcha, so I ran whittierdailynews.com site search for the name + district: no relevant article. Also grepped every RR/CC candidate list in the packet dir (2017-11 through 2026-11, all LA County contests): name never filed.",Not on any EWCSD roster 2007-2026. Looks like a made-up seed name.,d50ad38d-ed64-45ac-b3c3-cf4e0f6ac788
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Kathleen Ruane,East Whittier City School District,NO_EVIDENCE,high,,,,"(1) current board page and all 5 member bio pages; (2) EWCSD rosters 2007 (WDN), 2008, 2012, 2015, 2016, 2019, 2022, 2025 (Wayback) and BoardDocs agendas 2020-2026: continuous record 2007-2026, name absent; (3) Web search: bing.sh returned off-topic results (Bing reduces quoted queries to generic terms for this client) and bs.sh (Brave) returned a captcha, so I ran whittierdailynews.com site search for the name + district: no relevant article. Also grepped every RR/CC candidate list in the packet dir (2017-11 through 2026-11, all LA County contests): name never filed.",Not on any EWCSD roster 2007-2026. Looks like a made-up seed name.,421390dd-e2cf-492b-bdd7-d5053a719592
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Patty Pacheco,East Whittier City School District,NO_EVIDENCE,high,,,,"(1) current board page and all 5 member bio pages; (2) EWCSD rosters 2007 (WDN), 2008, 2012, 2015, 2016, 2019, 2022, 2025 (Wayback) and BoardDocs agendas 2020-2026: continuous record 2007-2026, name absent; (3) Web search: bing.sh returned off-topic results (Bing reduces quoted queries to generic terms for this client) and bs.sh (Brave) returned a captcha, so I ran whittierdailynews.com site search for the name + district: no relevant article. Also grepped every RR/CC candidate list in the packet dir (2017-11 through 2026-11, all LA County contests): name never filed.",Not on any EWCSD roster 2007-2026. (Deborah Pacheco served on South Whittier SD; Ralph Pacheco on WUHSD. Neither is 'Patty'.),1480a0e8-082b-4157-8ebd-4876cf5644f7
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Scott Hernandez,East Whittier City School District,NO_EVIDENCE,high,,,,"(1) current board page and all 5 member bio pages; (2) EWCSD rosters 2007 (WDN), 2008, 2012, 2015, 2016, 2019, 2022, 2025 (Wayback) and BoardDocs agendas 2020-2026: continuous record 2007-2026, name absent; (3) Web search: bing.sh returned off-topic results (Bing reduces quoted queries to generic terms for this client) and bs.sh (Brave) returned a captcha, so I ran whittierdailynews.com site search for the name + district: no relevant article. Also grepped every RR/CC candidate list in the packet dir (2017-11 through 2026-11, all LA County contests): name never filed.",Not on any EWCSD roster 2007-2026. Looks like a made-up seed name.,c1f47e52-3f0f-4dcb-9421-a14b8daab0db
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Suzy Moore,East Whittier City School District,NO_EVIDENCE,high,,,,"(1) current board page and all 5 member bio pages; (2) EWCSD rosters 2007 (WDN), 2008, 2012, 2015, 2016, 2019, 2022, 2025 (Wayback) and BoardDocs agendas 2020-2026: continuous record 2007-2026, name absent; (3) Web search: bing.sh returned off-topic results (Bing reduces quoted queries to generic terms for this client) and bs.sh (Brave) returned a captcha, so I ran whittierdailynews.com site search for the name + district: no relevant article. Also grepped every RR/CC candidate list in the packet dir (2017-11 through 2026-11, all LA County contests): name never filed.","Not on any EWCSD roster 2007-2026. Only RR/CC near-match is SUSAN MOORE, La Canada USD 2026 candidate (different district, not proof).",db1606e1-817f-4071-85d9-7d60ff31edd1
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Lupe Trujillo,Eastside Union School District,NO_EVIDENCE,medium,,,,"(1) current board page eastsideusd.org (uREC_ID=4434428 pREC_ID=2723146) and 5 member profiles: absent; (2) Wayback eastsideusd.org/domain/75 2019-07, 2021-01, 2023-01, 2025-01: absent (2017 Edlio page not archived with content); (3) RR/CC Eastside lists 2017-2026 and county-wide school JSON: no match; AV Press quoted-name search: 0 hits (AV Press covers Eastside appointments in detail: Huffmon 2022, Price 2025, Kalliomaa 2026); Google News RSS: none; Ballotpedia Eastside page (2026 only): absent. bing.sh and bs.sh (Brave) were unusable this session: Bing returned unrelated results for every query (it ignored the quoted terms), Brave returned a captcha. Used instead: AV Press site search (avpress.com/search, quoted name, archive about 2015-2026), Google News RSS, Ballotpedia district election pages, and the county-wide RR/CC school-board candidate JSON (rrcc_school.json, 2017-2026).","Name-only overlap with former Palmdale SD trustee Dennis Trujillo; not the same person, not disproof.",cccd245f-2b48-4360-b0f7-e9e2affb8921
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Michael Lara,Eastside Union School District,NO_EVIDENCE,medium,,,,"(1) current board page eastsideusd.org (uREC_ID=4434428 pREC_ID=2723146) and 5 member profiles: absent; (2) Wayback eastsideusd.org/domain/75 2019-07, 2021-01, 2023-01, 2025-01: absent (2017 Edlio page not archived with content); (3) RR/CC Eastside lists 2017-2026 and county-wide school JSON: no match; AV Press quoted-name search: 0 hits (AV Press covers Eastside appointments in detail: Huffmon 2022, Price 2025, Kalliomaa 2026); Google News RSS: none; Ballotpedia Eastside page (2026 only): absent. bing.sh and bs.sh (Brave) were unusable this session: Bing returned unrelated results for every query (it ignored the quoted terms), Brave returned a captcha. Used instead: AV Press site search (avpress.com/search, quoted name, archive about 2015-2026), Google News RSS, Ballotpedia district election pages, and the county-wide RR/CC school-board candidate JSON (rrcc_school.json, 2017-2026).",,235bc16f-a70d-4bbb-891c-562580540b16
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Monica Harmon,Eastside Union School District,NO_EVIDENCE,medium,,,,"(1) current board page eastsideusd.org (uREC_ID=4434428 pREC_ID=2723146) and 5 member profiles: absent; (2) Wayback eastsideusd.org/domain/75 2019-07, 2021-01, 2023-01, 2025-01: absent (2017 Edlio page not archived with content); (3) RR/CC Eastside lists 2017-2026 and county-wide school JSON: no match; AV Press quoted-name search: 0 hits (AV Press covers Eastside appointments in detail: Huffmon 2022, Price 2025, Kalliomaa 2026); Google News RSS: none; Ballotpedia Eastside page (2026 only): absent. bing.sh and bs.sh (Brave) were unusable this session: Bing returned unrelated results for every query (it ignored the quoted terms), Brave returned a captcha. Used instead: AV Press site search (avpress.com/search, quoted name, archive about 2015-2026), Google News RSS, Ballotpedia district election pages, and the county-wide RR/CC school-board candidate JSON (rrcc_school.json, 2017-2026).",,2a3f478b-74fa-4077-b13a-794b947a5f21
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Trina Stringer,Eastside Union School District,NO_EVIDENCE,medium,,,,"(1) current board page eastsideusd.org (uREC_ID=4434428 pREC_ID=2723146) and 5 member profiles: absent; (2) Wayback eastsideusd.org/domain/75 2019-07, 2021-01, 2023-01, 2025-01: absent (2017 Edlio page not archived with content); (3) RR/CC Eastside lists 2017-2026 and county-wide school JSON: no match; AV Press quoted-name search: 0 hits (AV Press covers Eastside appointments in detail: Huffmon 2022, Price 2025, Kalliomaa 2026); Google News RSS: none; Ballotpedia Eastside page (2026 only): absent. bing.sh and bs.sh (Brave) were unusable this session: Bing returned unrelated results for every query (it ignored the quoted terms), Brave returned a captcha. Used instead: AV Press site search (avpress.com/search, quoted name, archive about 2015-2026), Google News RSS, Ballotpedia district election pages, and the county-wide RR/CC school-board candidate JSON (rrcc_school.json, 2017-2026).",,b8e52d93-7468-4fda-ab9e-a4b0e1477255
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Alma Guerrero,El Monte City School District,NO_EVIDENCE,high,,,,"(1) current board page https://www.emcsd.org/apps/pages/index.jsp?uREC_ID=1566382&type=d&pREC_ID=2631375 and Diligent portal officer list; (2) Wayback board pages 2003, 2012, 2020, 2022, 2023, 2024; (3) full-text grep of all 135 BoardDocs minutes 2016-04-19..2024-11-18 (https://go.boarddocs.com/ca/emcsd/Board.nsf/Public); (4) RR/CC candidate lists 2017-2026 (all LA County contests in scratchpad rrcc/*.html); (5) bing.sh returned degraded results (matches only the first word of the query, e.g. 'Yvette' clothing / 'Ana' airline) and bs.sh (Brave) returned a captcha; DDG/Mojeek/Startpage/searx also blocked - no usable web-search results; WebSearch tool not used",Only 'Guerrero' hit: moment of silence for 'Mr. Edward Guerrero' (2018-04-30).,3f06b286-4c26-4a01-a29c-88a0e1145bb1
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Ana Ponce,El Monte City School District,NO_EVIDENCE,high,,,,"(1) current board page https://www.emcsd.org/apps/pages/index.jsp?uREC_ID=1566382&type=d&pREC_ID=2631375 and Diligent portal officer list; (2) Wayback board pages 2003, 2012, 2020, 2022, 2023, 2024; (3) full-text grep of all 135 BoardDocs minutes 2016-04-19..2024-11-18 (https://go.boarddocs.com/ca/emcsd/Board.nsf/Public); (4) RR/CC candidate lists 2017-2026 (all LA County contests in scratchpad rrcc/*.html); (5) bing.sh returned degraded results (matches only the first word of the query, e.g. 'Yvette' clothing / 'Ana' airline) and bs.sh (Brave) returned a captcha; DDG/Mojeek/Startpage/searx also blocked - no usable web-search results; WebSearch tool not used","Only 'Ponce' hit in minutes is a student ('Kimberly Ponce, Potrero Student', 2024-11-18). Not on any roster 2003-2026.",c043a9b5-ebc1-4a58-8c0d-0125744767c8
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Gloria Corrales,El Monte City School District,NO_EVIDENCE,high,,,,"(1) current board page https://www.emcsd.org/apps/pages/index.jsp?uREC_ID=1566382&type=d&pREC_ID=2631375 and Diligent portal officer list; (2) Wayback board pages 2003, 2012, 2020, 2022, 2023, 2024; (3) full-text grep of all 135 BoardDocs minutes 2016-04-19..2024-11-18 (https://go.boarddocs.com/ca/emcsd/Board.nsf/Public); (4) RR/CC candidate lists 2017-2026 (all LA County contests in scratchpad rrcc/*.html); (5) bing.sh returned degraded results (matches only the first word of the query, e.g. 'Yvette' clothing / 'Ana' airline) and bs.sh (Brave) returned a captcha; DDG/Mojeek/Startpage/searx also blocked - no usable web-search results; WebSearch tool not used",No hit anywhere.,1b7900b6-50b5-4c43-ba3b-673fbf0fe02d
