class,proposed_action,name,district,term_state,term_end,is_incumbent,party,agent_class,confidence,years,evidence_url,evidence_quote,roster_span,roster_complete,note,id
A2 REAL - former member,clear party; keep term + active; append evidence to term source,Alissa Roston,beverly hills unified,CLOSED,2022-11-30,f,Nonpartisan,REAL,high,1999-2007,https://beverlypress.com/2024/01/candidates-for-beverly-hills-council-continue-campaigns/,She served on the Beverly Hills Unified School District Board of Education for two terms from 1999-2007,snapshots 2009-10 and 2014-15 only; RR/CC 2018-2026,False,Two terms 1999-2007; later ran for Beverly Hills City Council (2024). Recorded end 2022-11-30 is wrong.,84a73092-e2e4-4030-8b05-2113ec404df1
A2 REAL - former member,clear party; keep term + active; append evidence to term source,Brian Goldberg,beverly hills unified,CLOSED,2024-11-30,f,Nonpartisan,REAL,high,at least 2009-2015,http://web.archive.org/web/20100917233930/http://bhusd.org/apps/pages/index.jsp?userGroupREC_ID=31884&uREC_ID=31884&type=d&title=Board+of+Education&un=SEC-BOE,"Steven Fenton Board President Lisa Korbatov Vice President Brian David Goldberg, Ph.D Member Myra Lurie Member",snapshots 2009-10 and 2014-15 only; RR/CC 2018-2026,False,"Brian David Goldberg, Ph.D. Exact start and end years not established; not in RR/CC 2018-2026, so he left by 2018. Recorded end 2024-11-30 is wrong.",35d08038-550b-4f13-b564-dcfe48b3dfa6
A2 REAL - former member,clear party; keep term + active; is_incumbent=false; append evidence to term source,Noah Margo,beverly hills unified,CLOSED,2024-11-30,f,Nonpartisan,,high,,RR/CC,RR/CC: NOAH MARGO won Nov 2015 (election 967); incumbent on Nov 2020 list,,,,8bc76d78-5793-4ab8-ba47-ddeefeb33413
A2 REAL - former member,clear party; keep term + active; is_incumbent=false; append evidence to term source,Roberta Reynolds,burbank unified,CLOSED,2024-11-30,f,Nonpartisan,,high,,RR/CC,"RR/CC Nov 2020 candidate list: ROBERTA GRANDE REYNOLDS, incumbent",,,,8d34fe9c-7363-4ec3-9587-be656b7ad8a1
A2 REAL - former member,clear party; keep term + active; is_incumbent=false; append evidence to term source,Steve Ferguson,burbank unified,CLOSED,2022-11-30,f,Nonpartisan,,high,,RR/CC,"RR/CC Nov 2020 candidate list: STEVE FERGUSON, incumbent",,,,31996159-ce51-4ac7-971f-bcd78a467499
A2 REAL - former member,clear party; keep term + active; append evidence to term source,Hilary LaConte,claremont unified,CLOSED,2024-11-30,f,Nonpartisan,REAL,high,Dec 2007-Dec 2020 (elected); appointed again Jan/Feb 2023-Jul 2023 (Trustee Area 4),https://web.archive.org/web/20091108050449/http://www.cusd.claremont.edu:80/boe/index.php,Hilary LaConte Vice President Board Service Began 12/2007 Term Expires 12/2011,"1998 (district page); Dec 2007-2009 and Dec 2013-2014 all seats with service start dates (2009 and 2014 district pages, start dates reach back to 2001); 2018-2026 RR/CC",False,"She really served. Our row says the term ended 2024-11-30. Her appointed term was scheduled to run through November 2024, but the special election ended it in July 2023. Her elected service ran from Dec 2007 to about Dec 2020 (2020 had no incumbents on the ballot).",19db4957-f8af-4e9f-b3d4-b9374e4fd37a
A2 REAL - former member,clear party; keep term + active; is_incumbent=false; append evidence to term source,Steven Llanusa,claremont unified,CLOSED,2023-07-31,f,Nonpartisan,,high,,RR/CC,RR/CC: STEVEN M. LLANUSA incumbent on Nov 2018 and Nov 2022 lists,,,,7a52ea32-cd3d-4853-ba1e-7c51087d998f
A2 REAL - former member,clear party; keep term + active; append evidence to term source,Kathy Paspalis,culver unified,CLOSED,2024-11-30,f,Nonpartisan,REAL,high,2009-2018,https://culvercitycrossroads.com/2018/11/30/paspalis-gets-a-warm-farewell-from-the-school-board-and-the-district/,"After serving on the Culver City Unified School Board for nine years, Kathy Paspalis attended her final meeting on Tuesday, November 27, 2018.",Dec 2005-Nov 2018 continuous (district term listings); RR/CC candidate lists 2018-2026,True,"Katherine 'Kathy' Paspalis, 12/1/2009-11/30/2018 (re-elected 2013; term extended to 2018 by election-date change). Recorded end 2024-11-30 is wrong.",5501c147-5dad-48d5-845c-b6b91e8860a9
A2 REAL - former member,clear party; keep term + active; append evidence to term source,Scott Zeidman,culver unified,CLOSED,2024-11-30,f,Nonpartisan,REAL,high,2007-2011,http://web.archive.org/web/20080421175606/http://www.ccusd.org:80/apps/pages/index.jsp?uREC_ID=42334&type=d,Member: Scott Zeidman Term of Office: 12/1/07 - 11/30/11,Dec 2005-Nov 2018 continuous (district term listings); RR/CC candidate lists 2018-2026,True,"Term 12/1/2007-11/30/2011; seats were filled by Chardiet and Goldberg from 12/1/2011, so he did not continue after 2011. Ran again Nov 2020 (RR/CC) but is not on later rosters. Recorded end 2024-11-30 is wrong.",599376b6-bdfa-4b76-837f-dd2230a546ad
A2 REAL - former member,clear party; keep term + active; is_incumbent=false; append evidence to term source,Donald LaPlante,downey unified,CLOSED,2022-12-12,f,Nonpartisan,,high,,RR/CC,"RR/CC: DONALD E. LA PLANTE won Downey TA4, Nov 2015 (election 967)",,,,b0ad0f94-2ec8-499c-be99-c39082da8f4c
A2 REAL - former member,clear party; keep term + active; append evidence to term source,Robin Funk,el segundo unified,CLOSED,2024-11-30,f,Nonpartisan,REAL,high,2005-2013,https://web.archive.org/web/20080110050328/http://www.elsegundousd.com:80/board.html,Robin Funk was elected to the Board of Education in November 2005,1991-2026,False,"Served Dec 2005 to Dec 2013 (re-seated in 2009 when the ESUSD election had no contest). Our row's end date 2024-11-30 is wrong; true end is Dec 2013. Roster sources: elsegundousd.com board page on Wayback (2001, 2003, 2005, 2008); Smart Voter 2005/2007/2011/2013; RR/CC SVC 2007/2011/2013/2015; RR/CC",4a484a17-5426-403c-8c51-0b7e387a07b1
A2 REAL - former member,clear party; keep term + active; append evidence to term source,Jennifer Freemon,glendale unified,CLOSED,2023-12-31,f,Nonpartisan,REAL,high,2015-2024,https://www.gusd.net/8457_3,Jennifer Freemon 2015 - 2024,1936-2026,True,"Real trustee. Our end date 2023-12-31 is slightly early; she left when successors were sworn in, April 2024 (Crescenta Valley Weekly headline in search results).",c096896b-72e7-49e3-87ea-ddc90888b996
A2 REAL - former member,clear party; keep term + active; append evidence to term source,Nayiri Nahabedian,glendale unified,CLOSED,2026-07-13,f,Nonpartisan,REAL,high,2007-2024,https://www.gusd.net/8457_3,Nayiri Nahabedian 2007 - 2024,1936-2026,True,Real trustee. Our end date 2026-07-13 is wrong; per GUSD her service ended in 2024 (Neda Farid won Area E in March 2024).,9b362b24-72a3-4c81-8e38-7bd476eba72e
A2 REAL - former member,clear party; keep term + active; append evidence to term source,Shant Sahakian,glendale unified,CLOSED,2026-07-13,f,Nonpartisan,REAL,high,2017-2026,https://www.gusd.net/8457_3,Shant Sahakian 2017 - 2026,1936-2026,True,"Real trustee. Ballotpedia labels him incumbent in 2017 although GUSD lists 2017 as his start; he may have been appointed shortly before. Area D had no incumbent in the June 2026 race, consistent with our 2026 end date.",0e59e9c1-a019-4b2a-aa02-b97f17a6d761
A2 REAL - former member,clear party; keep term + active; is_incumbent=false; append evidence to term source,Joseph Chang,hacienda la puente unified,NO_TERM,,t,Nonpartisan,,high,,RR/CC,"RR/CC Nov 2018 candidate list: JOSEPH K. CHANG, incumbent (Hacienda La Puente)",,,,c5f6d8ec-f6c2-4560-ab67-4c4cf3cbba5b
A2 REAL - former member,clear party; keep term + active; append evidence to term source,Kate Vadehra,las virgenes unified,CLOSED,2024-11-30,f,Nonpartisan,REAL,high,2020-2022,https://www.theacorn.com/articles/community-mourns-death-of-school-boards-vadehra/,"Pediatrician Kate Vadehra, who won her LVUSD board election in 2020, died Nov. 26","1996, 2001, 2009-2026 (gap 2002-2008)",False,Real trustee (Kathryn 'Kate' Vadehra). Our end date 2024-11-30 is wrong: she died in office on 2022-11-26; former trustee Jill Gaines was appointed to her seat in Jan 2023 (Patch/Acorn headlines in search results).,695ab650-58df-43b8-b8c9-b075e1e519fd
A2 REAL - former member,clear party; keep term + active; is_incumbent=false; append evidence to term source,Jennifer Cochran,manhattan beach unified,CLOSED,2024-11-30,f,Nonpartisan,,high,,RR/CC,"RR/CC Nov 2018 candidate list: JENNIFER COCHRAN, incumbent",,,,df7e4a1a-14d1-4044-9f81-2936486b3d4a
A2 REAL - former member,clear party; keep term + active; is_incumbent=false; append evidence to term source,Ed Gililland,monrovia unified,CLOSED,2024-12-17,f,Nonpartisan,,high,,RR/CC,"RR/CC Nov 2020 candidate list: ED GILILLAND, incumbent",,,,cca09d1e-6e2b-427c-add8-5eeea52a9633
A2 REAL - former member,clear party; keep term + active; append evidence to term source,Lawrence Torres,pasadena unified,CLOSED,2024-11-30,f,Nonpartisan,REAL,high,2015-2020,"https://ballotpedia.org/Pasadena_Unified_School_District,_California,_elections","Lawrence Torres won election in the general election for Pasadena Unified School District school board District 6 on March 10, 2015.",2004-2017 continuous seat-by-seat; 2024 snapshot; RR/CC 2018-2026,True,"Lawrence 'Larry' Torres, District 6. Not on the Nov 2020 ballot (RR/CC), and D6 is held by Tina Fredericks by 2024, so service ended about Dec 2020. Recorded end 2024-11-30 is likely wrong.",68eea13f-e95d-468b-bc43-aa83c19a37da
A2 REAL - former member,clear party; keep term + active; append evidence to term source,Pat Cahalan,pasadena unified,CLOSED,2024-11-30,f,Nonpartisan,REAL,high,2015-2024,"https://ballotpedia.org/Pasadena_Unified_School_District,_California,_elections","Incumbent Patrick Cahalan won election in the general election for Pasadena Unified School District school board District 4 on March 10, 2015.",2004-2017 continuous seat-by-seat; 2024 snapshot; RR/CC 2018-2026,True,"Patrick Cahalan, District 4. Re-elected Nov 2020 (RR/CC); not on Nov 2024 ballot, so term ended Dec 2024. Recorded end 2024-11-30 is about right.",7dae12c6-d2b7-45a4-af3f-0003e13fbacf
A2 REAL - former member,clear party; keep term + active; append evidence to term source,Craig Foster,santa monica malibu unified,CLOSED,2022-11-30,f,Nonpartisan,REAL,high,2014-2022,https://web.archive.org/web/20150223020419/http://www.smartvoter.org:80/2014/11/04/ca/la/school.html,"Craig Foster .......... 12,126 votes 16.50%","2000-2020 (Smart Voter SMMUSD candidate lists Nov 2000, 2002, 2004, 2006, 2008 incl. 2008 short term, 2010, 2012, 2014; RR/CC 2018 and 2020). Not covered: 2016, 2022, 2024.",False,Elected Nov 2014; eight years on the board implies re-election in Nov 2018 (he is on the RR/CC 2018 list); did not run in 2022; term ended Dec 2022. He also lost a 2012 SMMUSD race. Our closed end date 2022-11-30 is about right.,592a2ac4-686f-47d5-8668-269e21ad1924
A2 REAL - former member,clear party; keep term + active; is_incumbent=false; append evidence to term source,Kenneth Knollenberg,temple unified,CLOSED,2022-12-13,f,Nonpartisan,,high,,RR/CC,RR/CC: KENNETH E. KNOLLENBERG won Nov 2015 (election 967); incumbent on Nov 2020 list,,,,98043faa-6ece-4c24-888f-5d556c04ef98
A2 REAL - former member,clear party; keep term + active; is_incumbent=false; append evidence to term source,Don Lee,torrance unified,CLOSED,2024-12-15,f,Nonpartisan,,high,,RR/CC,"RR/CC: DON LEE won Torrance, Nov 2015 (election 967)",,,,22dfaff5-6d3d-4bba-abc3-6c7500e42ded
A2 REAL - former member,clear party; keep term + active; is_incumbent=false; append evidence to term source,Terry Ragins,torrance unified,CLOSED,2022-11-30,f,Nonpartisan,,high,,RR/CC,"RR/CC: TERRY L. RAGINS won Torrance, Nov 2015 (election 967)",,,,9e7f9ff8-24d7-4ab3-b09b-c9adf823a602
B NO EVIDENCE,clear party; deactivate; keep term (tag as unverified); is_incumbent=false,Arturo Montez,abc unified,CLOSED,2024-11-30,f,Nonpartisan,WRONG_SEAT,medium,"2018-present (Centralia School District, not ABC)",https://www.connortraut.com/,Arturo Montez Centralia School Board Member,1995-2026,False,"[agent said WRONG_SEAT, name-only/weak -> no-evidence] Centralia ESD (Buena Park/La Palma) borders the ABC area but is a different district in Orange County. Match relies on 'Art' = 'Arturo' (the endorsement page uses 'Arturo Montez'). No Montez in any ABC roster or election 1995-2026. Roster sources: district board pages on Wayback (1998, 2001, 2005, 2",e1b7f87e-cde7-408b-860a-f2e034a5dfe0
B NO EVIDENCE,clear party; deactivate; keep term (tag as unverified); is_incumbent=false,Mike Seck,abc unified,CLOSED,2022-11-30,f,Nonpartisan,NO_EVIDENCE,medium,,,,1995-2026,False,"No person with this name in any ABC roster or election 1995-2026. The shared WebSearch budget for the session ran out during this packet, so fewer than 2 web searches were possible for this name; the roster check was done in full. Roster sources: district board pages on Wayback (1998, 2001, 2005, 20",401d37f3-24d8-4b95-8be5-46dab72bc477
B NO EVIDENCE,clear party; deactivate; keep term (tag as unverified); is_incumbent=false,Olimpia Miranda,abc unified,CLOSED,2024-11-30,f,Nonpartisan,NO_EVIDENCE,medium,,,,1995-2026,False,"No person with this name in any ABC roster or election 1995-2026. The name resembles long-time ABC trustee Olympia Chen (1997-2017), but that is a different person. Roster sources: district board pages on Wayback (1998, 2001, 2005, 2008, 2012, Mar 2025, Jun 2025); Smart Voter race pages 2003/2005/20",d142c4c9-ad9c-4003-ac48-27e035ff8f62
B NO EVIDENCE,clear party; deactivate; keep term (tag as unverified); is_incumbent=false,Paula Lantz,abc unified,CLOSED,2024-11-30,f,Nonpartisan,NO_EVIDENCE,medium,,,,1995-2026,False,"No person with this name in any ABC roster or election 1995-2026. The only prominent Paula Lantz found is a University of Michigan public-health professor (unrelated). Roster sources: district board pages on Wayback (1998, 2001, 2005, 2008, 2012, Mar 2025, Jun 2025); Smart Voter race pages 2003/2005",bdfbb3bc-d63c-4188-9ba2-528fa9bcf6ec
B NO EVIDENCE,clear party; deactivate; keep term (tag as unverified); is_incumbent=false,Ramona Anand,abc unified,CLOSED,2022-11-30,f,Nonpartisan,NO_EVIDENCE,medium,,,,1995-2026,False,"No person with this name in any ABC roster or election 1995-2026. The shared WebSearch budget for the session ran out during this packet, so fewer than 2 web searches were possible for this name; the roster check was done in full. Roster sources: district board pages on Wayback (1998, 2001, 2005, 20",c3b1093f-891b-4fd2-bc47-521af38f693d
B NO EVIDENCE,clear party; deactivate; keep term (tag as unverified); is_incumbent=false,Sommer Foster,abc unified,CLOSED,2025-04-25,f,Nonpartisan,NO_EVIDENCE,medium,,,,1995-2026,False,"Recorded end date 2025-04-25. The ABC board page captured 24 Mar 2025 (https://web.archive.org/web/20250324153608/https://www.abcusd.us/apps/pages/BoardMembers) lists six named trustees (Mendoza A1, Yoo A2, Nishii A3, Yokoyama A4, Rios A6, Noyola A7) and shows Trustee Area 5 as 'Vacant'; the Jun 202",220bbe64-4cd0-4949-b7a4-7453e316b1f0
B NO EVIDENCE,clear party; deactivate; keep term (tag as unverified); is_incumbent=false,James Clark,acton agua dulce unified,CLOSED,2024-12-18,f,Nonpartisan,NO_EVIDENCE,high,,https://go.boarddocs.com/ca/aadusd/Board.nsf/goto?open&id=DQAQJR69936F,BOARD OF TRUSTEES Brianna Taksony William Mayes Jorge DeJesus Ken Pfalzgraf Lester Mascon,"2018-11 to 2026-09 continuous (monthly agendas + live page); partial 2000-2018 (board page 2000, minutes Dec 2004, elections 2001-2009, board pages 2011/2012/2015/2016, agendas Oct 2016/Jan 2017/Feb 2018)",True,"Recorded end 2024-12-18 falls inside the continuous monthly roster (Nov 2018-Jan 2026) and the name is absent. Common name; no source ties any James/Jim Clark to this board. Absent from every earlier roster found (2000-2018), but those have gaps, so service before 2018 cannot be fully ruled out. AAD",8a50278f-7d9b-4beb-93c5-d47ea5241468
B NO EVIDENCE,clear party; deactivate; keep term (tag as unverified); is_incumbent=false,James Hicks,acton agua dulce unified,CLOSED,2022-12-14,f,Nonpartisan,NO_EVIDENCE,high,,https://go.boarddocs.com/ca/aadusd/Board.nsf/goto?open&id=DQAQJR69936F,BOARD OF TRUSTEES Brianna Taksony William Mayes Jorge DeJesus Ken Pfalzgraf Lester Mascon,"2018-11 to 2026-09 continuous (monthly agendas + live page); partial 2000-2018 (board page 2000, minutes Dec 2004, elections 2001-2009, board pages 2011/2012/2015/2016, agendas Oct 2016/Jan 2017/Feb 2018)",True,"Recorded end 2022-12-14 falls inside the continuous monthly roster (Nov 2018-Jan 2026) and the name is absent. Common name. Absent from every earlier roster found (2000-2018), but those have gaps, so service before 2018 cannot be fully ruled out. AAD trustees found: 2000 Duzick, Nielson, Harbeson, B",c71b2202-e824-4958-8434-a599cb69e1d8
B NO EVIDENCE,clear party; deactivate; keep term (tag as unverified); is_incumbent=false,Linda Aranda,acton agua dulce unified,CLOSED,2024-12-18,f,Nonpartisan,NO_EVIDENCE,high,,https://go.boarddocs.com/ca/aadusd/Board.nsf/goto?open&id=DQAQJR69936F,BOARD OF TRUSTEES Brianna Taksony William Mayes Jorge DeJesus Ken Pfalzgraf Lester Mascon,"2018-11 to 2026-09 continuous (monthly agendas + live page); partial 2000-2018 (board page 2000, minutes Dec 2004, elections 2001-2009, board pages 2011/2012/2015/2016, agendas Oct 2016/Jan 2017/Feb 2018)",True,"Recorded end 2024-12-18 falls inside the continuous monthly roster (Nov 2018-Jan 2026) and the name is absent. Absent from every earlier roster found (2000-2018), but those have gaps, so service before 2018 cannot be fully ruled out. AAD trustees found: 2000 Duzick, Nielson, Harbeson, Barofsky, Sisc",133b8a7f-3827-4701-b3be-f75021a07b23
B NO EVIDENCE,clear party; deactivate; keep term (tag as unverified); is_incumbent=false,Michael Drewry,acton agua dulce unified,CLOSED,2024-12-18,f,Nonpartisan,NO_EVIDENCE,high,,https://go.boarddocs.com/ca/aadusd/Board.nsf/goto?open&id=DQAQJR69936F,BOARD OF TRUSTEES Brianna Taksony William Mayes Jorge DeJesus Ken Pfalzgraf Lester Mascon,"2018-11 to 2026-09 continuous (monthly agendas + live page); partial 2000-2018 (board page 2000, minutes Dec 2004, elections 2001-2009, board pages 2011/2012/2015/2016, agendas Oct 2016/Jan 2017/Feb 2018)",True,"Recorded end 2024-12-18 falls inside the continuous monthly roster (Nov 2018-Jan 2026) and the name is absent. Absent from every earlier roster found (2000-2018), but those have gaps, so service before 2018 cannot be fully ruled out. AAD trustees found: 2000 Duzick, Nielson, Harbeson, Barofsky, Sisc",c5bcafaa-1860-4ebe-be52-3384f50c2997
B NO EVIDENCE,clear party; deactivate; keep term (tag as unverified); is_incumbent=false,Tiffany Kellogg,acton agua dulce unified,CLOSED,2026-06-29,f,Nonpartisan,NO_EVIDENCE,high,,https://go.boarddocs.com/ca/aadusd/Board.nsf/goto?open&id=DQAQJR69936F,BOARD OF TRUSTEES Brianna Taksony William Mayes Jorge DeJesus Ken Pfalzgraf Lester Mascon,"2018-11 to 2026-09 continuous (monthly agendas + live page); partial 2000-2018 (board page 2000, minutes Dec 2004, elections 2001-2009, board pages 2011/2012/2015/2016, agendas Oct 2016/Jan 2017/Feb 2018)",True,"Recorded end 2026-06-29 falls inside the continuous monthly roster (Nov 2018-Jan 2026) and the name is absent. The board had the same five members in Jan 2026 (BoardDocs) and Sep 2026 (live page), so no one else held a seat in the first half of 2026. The only web hit was an unrelated Tiffany Kellogg",f0d86e95-981c-4fca-8033-3232fc24b8be
B NO EVIDENCE,clear party; deactivate; keep term (tag as unverified); is_incumbent=false,Frances Robles,alhambra unified,CLOSED,2024-11-30,f,Nonpartisan,NO_EVIDENCE,high,,,,2000-2026 (continuous Dec 2020-Jan 2025),True,"No Robles on any Alhambra board roster 2000-2026. Seat holders are continuous Dec 2020-Jan 2025, which covers the recorded end date 2024-11-30. The name matches an unrelated New York Times journalist. The shared WebSearch budget for the session ran out during this packet, so fewer than 2 web searche",ab3b160e-2904-42b0-895e-e28b407ac405
B NO EVIDENCE,clear party; deactivate; keep term (tag as unverified); is_incumbent=false,Luchi Gonzalez,alhambra unified,CLOSED,2024-11-30,f,Nonpartisan,NO_EVIDENCE,high,,,,2000-2026 (continuous Dec 2020-Jan 2025),True,"No Gonzalez on any Alhambra board roster 2000-2026. Seat holders are continuous Dec 2020-Jan 2025 (Moreno, Tang, Wilson, Gin, Russell-Chavez then Chang), which covers the recorded end date 2024-11-30. The name matches an unrelated professional soccer coach. The shared WebSearch budget for the sessio",7ac28374-bcaf-4135-aa10-4462559e1a1a
B NO EVIDENCE,clear party; deactivate; keep term (tag as unverified); is_incumbent=false,Ed Chung,arcadia unified,CLOSED,2023-12-31,f,Nonpartisan,NO_EVIDENCE,medium,,https://web.archive.org/web/20190327001930/https://www.ausd.net/apps/pages/Board,"Cung Nguyen has served on the Arcadia Unified Board of Education for over a decade, beginning his service in 2007.",2002 and 2019 district page snapshots + RR/CC 2020-2026,False,"Common name; only people-search listings. Roster found: 2002 James C. Romo, Maryann Gibson, John R. McClain, Joann E. Steinmeier, Annie L. Yuen; 2019 Cung Nguyen (since 2007), Kay Kinsler (2011), Leigh Chavez (2017), Fenton Eng, Lori Phillipi; RR/CC 2020-2026 adds Raymond Cheung, Shirley Yee and oth",29d411a9-c672-4549-8c2e-a9b276cf8537
B NO EVIDENCE,clear party; deactivate; keep term (tag as unverified); is_incumbent=false,Elizabeth Mensah,arcadia unified,CLOSED,2025-12-31,f,Nonpartisan,NO_EVIDENCE,medium,,https://web.archive.org/web/20190327001930/https://www.ausd.net/apps/pages/Board,"Cung Nguyen has served on the Arcadia Unified Board of Education for over a decade, beginning his service in 2007.",2002 and 2019 district page snapshots + RR/CC 2020-2026,False,"Only social-media profiles of unrelated people. Roster found: 2002 James C. Romo, Maryann Gibson, John R. McClain, Joann E. Steinmeier, Annie L. Yuen; 2019 Cung Nguyen (since 2007), Kay Kinsler (2011), Leigh Chavez (2017), Fenton Eng, Lori Phillipi; RR/CC 2020-2026 adds Raymond Cheung, Shirley Yee a",be1c71f8-d5d9-416e-a713-35ccda7a5743
B NO EVIDENCE,clear party; deactivate; keep term (tag as unverified); is_incumbent=false,Tim Tran,arcadia unified,CLOSED,2023-12-31,f,Nonpartisan,NO_EVIDENCE,medium,,https://web.archive.org/web/20190327001930/https://www.ausd.net/apps/pages/Board,"Cung Nguyen has served on the Arcadia Unified Board of Education for over a decade, beginning his service in 2007.",2002 and 2019 district page snapshots + RR/CC 2020-2026,False,"Common name; no source ties it to AUSD. Roster found: 2002 James C. Romo, Maryann Gibson, John R. McClain, Joann E. Steinmeier, Annie L. Yuen; 2019 Cung Nguyen (since 2007), Kay Kinsler (2011), Leigh Chavez (2017), Fenton Eng, Lori Phillipi; RR/CC 2020-2026 adds Raymond Cheung, Shirley Yee and other",bf906462-f937-4d8c-b452-6555e95b4bac
B NO EVIDENCE,clear party; deactivate; keep term (tag as unverified); is_incumbent=false,Diana Coronel,azusa unified,CLOSED,2024-12-16,f,Nonpartisan,NO_EVIDENCE,medium,,,,2006-2018 continuous (plus 2001 snapshot; RR/CC 2018-2026),True,"Absent from every Azusa roster 2001, 2006-2018 and from RR/CC 2018-2026. Recorded end 2024-12-16 would require 2020s service, which RR/CC rules out unless appointed.",b9ded757-2653-4c45-982d-36682b08b8f8
B NO EVIDENCE,clear party; deactivate; keep term (tag as unverified); is_incumbent=false,Edward Zuniga,azusa unified,CLOSED,2022-12-12,f,Nonpartisan,WRONG_SEAT,medium,,https://www.emuhsd.org/meet-our-administration-2,He previously served on the Board of the El Monte City School District,2006-2018 continuous (plus 2001 snapshot; RR/CC 2018-2026),True,"[agent said WRONG_SEAT, name-only/weak -> no-evidence] Only Azusa link found is an M.A. from Azusa Pacific University. He is an El Monte Union HSD employee/superintendent, not an Azusa USD employee. Absent from all Azusa rosters. Identity match is by exact name only.",0624c64b-af95-4d06-ac16-ca185f50da42
