politician_source_id,politician_id,politician,cmt_id,source_type,cmt_nm,socrata_cand_name,socrata_seat,socrata_election,surname_whole_word,contribution_rows,amount,outcome,reason
b92aad64-9689-4e9b-a8fd-75fa5592eebf,e086df00-1e48-4882-9594-82f4e9ee273c,Francis De Leon Sanchez,1281290,candidate_committee,De Vera for City Council,"De Vera, Ruby",City Council Member - District 14,2005 CD10/14 Special Election,f,234,59349.00,disputed,"LA City Ethics open data (2026-09-24): the committee of Ruby De Vera, a 2005 LA City Council District 14 candidate; Francis De Leon Sanchez is a Bell Gardens council member. Linked by audit-socrata-committees.ts by a surname substring match (the name it matched then is not recorded); no LA City race is in Bell Gardens."
01e6c1f5-6755-48ae-8022-d44f1b14c601,e086df00-1e48-4882-9594-82f4e9ee273c,Francis De Leon Sanchez,1349181,candidate_committee,Ana Grande for City Council 2013,"Grande, Ana",City Council Member - District 13,2013 City and LAUSD Elections,f,87,18706.00,disputed,"LA City Ethics open data (2026-09-24): the committee of Ana Grande, a 2013 LA City Council District 13 candidate; Francis De Leon Sanchez is a Bell Gardens council member. Linked by audit-socrata-committees.ts by a surname substring match (the name it matched then is not recorded); no LA City race is in Bell Gardens."
5fb4cec1-7e55-4122-abd9-e351f670808a,e086df00-1e48-4882-9594-82f4e9ee273c,Francis De Leon Sanchez,1353001,candidate_committee,Committee to Elect Frederick Sutton to City Council 2013,"Sutton, Frederick",City Council Member - District 11,2013 City and LAUSD Elections,f,192,90012.90,disputed,"LA City Ethics open data (2026-09-24): the committee of Frederick Sutton, a 2013 LA City Council District 11 candidate; Francis De Leon Sanchez is a Bell Gardens council member. Linked by audit-socrata-committees.ts by a surname substring match (the name it matched then is not recorded); no LA City race is in Bell Gardens."
42b47fc4-e99e-4047-a995-656036354324,e086df00-1e48-4882-9594-82f4e9ee273c,Francis De Leon Sanchez,1355801,candidate_committee,Richard Valdez for Council 2013,"Valdez, Richard",City Council Member - District 6,2013 CD 6 Special Election,f,29,6117.99,disputed,"LA City Ethics open data (2026-09-24): the committee of Richard Valdez, a 2013 LA City Council District 6 candidate; Francis De Leon Sanchez is a Bell Gardens council member. Linked by audit-socrata-committees.ts by a surname substring match (the name it matched then is not recorded); no LA City race is in Bell Gardens."
c042ce29-91e4-4773-9b18-f54d6d5f4d01,e086df00-1e48-4882-9594-82f4e9ee273c,Francis De Leon Sanchez,1362709,candidate_committee,Delpit for City Council 2015,"Delpit, Leonard",City Council Member - District 8,2015 City and LAUSD Elections,f,12,825.00,disputed,"LA City Ethics open data (2026-09-24): the committee of Leonard Delpit, a 2015 LA City Council District 8 candidate; Francis De Leon Sanchez is a Bell Gardens council member. Linked by audit-socrata-committees.ts by a surname substring match (the name it matched then is not recorded); no LA City race is in Bell Gardens."
fc203862-8ff8-46dc-826f-66b5cf02c8a4,e086df00-1e48-4882-9594-82f4e9ee273c,Francis De Leon Sanchez,1413452,ie_committee,American Federation of Teachers Solidarity Committee,,,2024 City and LAUSD Elections,f,32,628192.98,disputed,"LA City Ethics open data (2026-09-24): a general purpose committee (American Federation of Teachers); its expenditures (local id 22527) fund Karen Bass for LA Mayor 2022, Malia Cohen for Controller and LAUSD board candidates, never a Bell Gardens race; Francis De Leon Sanchez is a Bell Gardens council member. Linked by audit-socrata-committees.ts by a surname substring match (the name it matched then is not recorded); no LA City race is in Bell Gardens."
4ab0e68d-59c4-4af6-a8c4-246caaa0bf81,e086df00-1e48-4882-9594-82f4e9ee273c,Francis De Leon Sanchez,1415916,candidate_committee,Kevin de Leon for City Council 2020,"de Leon, Kevin",City Council Member - District 14,2020 City and LAUSD Elections,f,1641,902153.33,disputed,"LA City Ethics open data (2026-09-24): the committee of Kevin de Leon, a 2020 LA City Council District 14 candidate; Francis De Leon Sanchez is a Bell Gardens council member. Linked by audit-socrata-committees.ts by a surname substring match (the name it matched then is not recorded); no LA City race is in Bell Gardens."
ce681431-a55e-4a85-8905-8f2aef7a572a,e086df00-1e48-4882-9594-82f4e9ee273c,Francis De Leon Sanchez,1463138,candidate_committee,Kevin de Leon for City Council 2024,"de Leon, Kevin",City Council Member - District 14,2024 City and LAUSD Elections,f,677,535618.43,disputed,"LA City Ethics open data (2026-09-24): the committee of Kevin de Leon, a 2024 LA City Council District 14 candidate; Francis De Leon Sanchez is a Bell Gardens council member. Linked by audit-socrata-committees.ts by a surname substring match (the name it matched then is not recorded); no LA City race is in Bell Gardens."
40aafa3a-c1ce-47ad-a9ff-7b00cc72c916,e086df00-1e48-4882-9594-82f4e9ee273c,Francis De Leon Sanchez,1474094,ie_committee,The Mexican & Asian American Leadership PAC To Support De Leon for City Council 2024,,,2024 City and LAUSD Elections,f,7,11450.30,disputed,LA City Ethics open data (2026-09-24): a committee primarily formed to support Kevin de Leon for LA City Council District 14 in 2024; Francis De Leon Sanchez is a Bell Gardens council member. Linked by audit-socrata-committees.ts by a surname substring match (the name it matched then is not recorded); no LA City race is in Bell Gardens.
32cf2ea4-fe14-49b5-af19-4477e8dedd9b,0c4c3fd1-2298-4915-b2de-e12a2e50989c,Lee W. Tsao,1313452,candidate_committee,Nick Patsaouras '09,"Patsaouras, Nick",City Controller,2009 City and LAUSD Elections,f,298,223088.95,disputed,"LA City Ethics open data (2026-09-24): the committee of Nick Patsaouras, a 2009 LA City Controller candidate; Lee W. Tsao is an LA County Superior Court judge. Linked by audit-socrata-committees.ts because the surname ""Tsao"" is a substring of ""Patsaouras""."
3b11524f-a39f-429e-9bd9-3f87af172d91,f2a863a9-ce21-453a-9d2b-fc7282307eb0,Robert Gin,1384070,candidate_committee,Johnny Higginson for City Council 2017,"Higginson , John",City Council Member - District 7,2017 City and LAUSD Elections,f,86,14038.77,disputed,"LA City Ethics open data (2026-09-24): the committee of John Higginson, a 2017 LA City Council District 7 candidate; Robert Gin is an Alhambra Unified board member. Linked by audit-socrata-committees.ts because the surname ""Gin"" is a substring of ""Higginson""."
08c174fc-eff1-4ec4-9695-189df440d80b,f0db9057-2ad9-411b-8673-764123fa5466,Susan Ser,1293077,candidate_committee,Serrano for City Council,"Serrano, Robert",City Council Member - District 10,2007 City Election,f,12,3370.00,disputed,"LA City Ethics open data (2026-09-24): the committee of Robert Serrano, a 2007 LA City Council District 10 candidate; Susan Ser is an LA County Superior Court judge. Linked by audit-socrata-committees.ts because the surname ""Ser"" is a substring of ""Serrano""."
1fa4ceac-43e3-4e8d-9d06-635922083509,f0db9057-2ad9-411b-8673-764123fa5466,Susan Ser,1278506,candidate_committee,Serrano for City Council District 10,"Serrano, Robert",City Council Member - District 10,2005 CD10/14 Special Election,f,29,11387.74,disputed,"LA City Ethics open data (2026-09-24): the committee of Robert Serrano, a 2005 LA City Council District 10 candidate; Susan Ser is an LA County Superior Court judge. Linked by audit-socrata-committees.ts because the surname ""Ser"" is a substring of ""Serrano""."
8cd23ec4-db2c-4930-a772-509ec69d40fb,f0db9057-2ad9-411b-8673-764123fa5466,Susan Ser,1463856,candidate_committee,Serena Oberstein for L.A. City Council 2024,"Oberstein, Serena",City Council Member - District 12,2024 City and LAUSD Elections,f,554,334024.97,disputed,"LA City Ethics open data (2026-09-24): the committee of Serena Oberstein, a 2024 LA City Council District 12 candidate; Susan Ser is an LA County Superior Court judge. Linked by audit-socrata-committees.ts because the surname ""Ser"" is a substring of ""Serena""."
701d0ec3-f349-4c42-81f1-11fd7d8880f2,447ef220-cb9e-4ade-aba8-9dea87ed9931,Victor M. Gordo,1340232,candidate_committee,Gordon Teuber for Council 2011,"Teuber, Gordon",City Council Member - District 15,2011 CD 15 Special Election,f,216,155281.55,disputed,"LA City Ethics open data (2026-09-24): the committee of Gordon Teuber, a 2011 LA City Council District 15 candidate; Victor M. Gordo is the Mayor of Pasadena. Linked by audit-socrata-committees.ts because the surname ""Gordo"" is a substring of ""Gordon""."
3a78e830-889a-458d-80a9-4b5cc6abf8ee,4bc0840f-a922-4d10-88ee-ef0f6c883af5,Vincent Yu,1353382,candidate_committee,Yuval Kremer for Council 2013,"Kremer, Yuval",City Council Member - District 5,2013 City and LAUSD Elections,f,4,700.00,disputed,"LA City Ethics open data (2026-09-24): the committee of Yuval Kremer, a 2013 LA City Council District 5 candidate; Vincent Yu is a Temple City council member. Linked by audit-socrata-committees.ts because the surname ""Yu"" is a substring of ""Yuval""."
86f85b35-a916-47e0-9ceb-452483c6c705,7922b910-9586-4ced-8f71-3daa9f2595c3,Bruce Silverstein,1348687,candidate_committee,Scott Silverstein for City Council 2013,"Silverstein, Scott",City Council Member - District 3,2013 City and LAUSD Elections,t,17,3500.00,disputed,"LA City Ethics open data (2026-09-24): the committee of Scott Silverstein, a 2013 LA City Council District 3 candidate; Bruce Silverstein is a Malibu council member. Linked by audit-socrata-committees.ts because the surname matches: a different person."
9dac1cdf-f877-4a43-97cc-34f74bc1bf87,7922b910-9586-4ced-8f71-3daa9f2595c3,Bruce Silverstein,1442077,candidate_committee,Scott Silverstein for City Council 2022,"Silverstein, Scott",City Council Member - District 3,2022 City and LAUSD Elections,t,74,18982.83,disputed,"LA City Ethics open data (2026-09-24): the committee of Scott Silverstein, a 2022 LA City Council District 3 candidate; Bruce Silverstein is a Malibu council member. Linked by audit-socrata-committees.ts because the surname matches: a different person."
c6457b68-5a63-40c0-bf5b-5790128cb2be,49492962-6351-400a-9ea2-53a8f045d77b,Gail Ruderman Feuer,1341335,candidate_committee,Mike Feuer for City Attorney 2013,"Feuer, Michael",City Attorney,2013 City and LAUSD Elections,t,2183,1301921.99,disputed,"LA City Ethics open data (2026-09-24): the committee of Michael Feuer, a 2013 LA City Attorney candidate; Gail Ruderman Feuer is a 2nd District Court of Appeal justice. Linked by audit-socrata-committees.ts because the surname matches: a different person."
98b8fc13-eada-4bfe-8d83-6fb0edff6316,29a8c85b-2572-463c-8034-8986615d7717,Heather Hutt,1458184,candidate_committee,Heather Hutt for City Council 2024,"Hutt, Heather",City Council Member - District 10,2024 City and LAUSD Elections,t,572,270511.00,kept confirmed,cand_name matches the person and the seat
6a9b10de-4d27-4d0a-84cb-bc0c03264656,c2fa1611-f593-4be0-84dd-1c0e3754cef4,Kelli M. Evans,1307513,candidate_committee,Evans 2009 Community People,"Evans, Mervin",Mayor,2009 City and LAUSD Elections,t,2,0.00,disputed,"LA City Ethics open data (2026-09-24): the committee of Mervin Evans, a 2009 LA City Mayor candidate; Kelli M. Evans is a California Supreme Court justice. Linked by audit-socrata-committees.ts because the surname matches: a different person."
da8c80e6-9bc5-41fb-9e8c-c7db049b5920,5cf02835-9024-4a00-80f7-bc2dcc3165df,Tim McOsker,1437071,candidate_committee,Tim McOsker for City Council 2022,"McOsker, Tim",City Council Member - District 15,2022 City and LAUSD Elections,t,1245,777776.72,kept confirmed,cand_name matches the person and the seat
5ba1e87d-c826-4cae-a2ed-be7a7e030974,5cf02835-9024-4a00-80f7-bc2dcc3165df,Tim McOsker,1339987,candidate_committee,Pat McOsker for City Council 2011,"McOsker, Pat",City Council Member - District 15,2011 CD 15 Special Election,t,426,268594.03,disputed,"LA City Ethics open data (2026-09-24): the committee of Pat McOsker, a 2011 LA City Council District 15 candidate; Tim McOsker holds LA City Council District 15 (the Tim McOsker for City Council 2022 link stays confirmed). Linked by audit-socrata-committees.ts because the surname matches: a different person."
6f8a37d1-0ca8-4e96-a901-09520b83f8cb,48f36a82-cb26-4701-ba08-5566533982cb,Tim Sandoval,1438309,candidate_committee,Danielle Sandoval for City Council 2022,"Sandoval, Danielle",City Council Member - District 15,2022 City and LAUSD Elections,t,165,71467.17,disputed,"LA City Ethics open data (2026-09-24): the committee of Danielle Sandoval, a 2022 LA City Council District 15 candidate; Tim Sandoval is the Mayor of Pomona. Linked by audit-socrata-committees.ts because the surname matches: a different person."
