state,corporation,seats,sample_title,suggested_class
ut,"Logan School District, Utah, US",5,School Board Member,single_member_generic_title_UT
ut,"Nebo School District, Utah, US",5,School Board Member,single_member_generic_title_UT
ut,"Park City School District, Utah, US",5,School Board Member,single_member_generic_title_UT
ut,"Murray School District, Utah, US",4,School Board Member,single_member_generic_title_UT
ca,"ABC Unified, California, US",7,Board Member,needs_human_review
ca,"Hacienda la Puente Unified, California, US",7,Board Member,needs_human_review
ca,"Pomona Unified, California, US",7,Board Member,needs_human_review
ca,"Sacramento City Unified School District, California, US",7,Board Member (Area 1),needs_human_review
ca,"San Francisco Unified School District, California, US",7,Commissioner,needs_human_review
ca,"Montebello Unified, California, US",6,Board Member,needs_human_review
ca,"Pasadena Unified, California, US",6,Board Member,needs_human_review
ca,"Santa Monica-Malibu Unified, California, US",6,Board Member,needs_human_review
ca,"Acton-Agua Dulce Unified, California, US",5,Board Member,needs_human_review
ca,"Antelope Valley Union High, California, US",5,Board Member,needs_human_review
ca,"Azusa Unified, California, US",5,Board Member,needs_human_review
ca,"Baldwin Park Unified, California, US",5,Board Member,needs_human_review
ca,"Bassett Unified, California, US",5,Board Member,needs_human_review
ca,"Bellflower Unified, California, US",5,Board Member,needs_human_review
ca,"Berkeley Unified School District, California, US",5,Director,needs_human_review
ca,"Beverly Hills Unified, California, US",5,Board Member,needs_human_review
ca,"Bonita Unified, California, US",5,Board Member,needs_human_review
ca,"Burbank Unified, California, US",5,Board Member,needs_human_review
ca,"Castaic Union, California, US",5,Board Member,needs_human_review
ca,"Charter Oak Unified, California, US",5,Board Member,needs_human_review
ca,"Claremont Unified, California, US",5,Board Member,needs_human_review
ca,"Compton Unified, California, US",5,Board Member,needs_human_review
ca,"Covina-Valley Unified, California, US",5,Board Member,needs_human_review
ca,"Culver City Unified, California, US",5,Board Member,needs_human_review
ca,"Downey Unified, California, US",5,Board Member,needs_human_review
ca,"Duarte Unified, California, US",5,Board Member,needs_human_review
ca,"East Whittier City Elementary, California, US",5,Board Member,needs_human_review
ca,"East Whittier City Elementary, California, US",5,Board Member,needs_human_review
ca,"El Monte City, California, US",5,Board Member,needs_human_review
ca,"El Monte Union High, California, US",5,Board Member,needs_human_review
ca,"El Rancho Unified, California, US",5,Board Member,needs_human_review
ca,"El Segundo Unified, California, US",5,Board Member,needs_human_review
ca,"Fremont Unified School District, California, US",5,Board Member (Area 1),needs_human_review
ca,"Garvey Elementary, California, US",5,Board Member,needs_human_review
ca,"Glendale Unified, California, US",5,Board Member,needs_human_review
ca,"Hawthorne Elementary, California, US",5,Board Member,needs_human_review
ca,"Hermosa Beach City Elementary, California, US",5,Board Member,needs_human_review
ca,"Inglewood Unified, California, US",5,Board Member,needs_human_review
ca,"Keppel Union Elementary, California, US",5,Board Member,needs_human_review
ca,"La Canada Unified, California, US",5,Board Member,needs_human_review
ca,"Lancaster Elementary, California, US",5,Board Member,needs_human_review
ca,"Las Virgenes Unified, California, US",5,Board Member,needs_human_review
ca,"Lawndale Elementary, California, US",5,Board Member,needs_human_review
ca,"Lennox, California, US",5,Board Member,needs_human_review
ca,"Little Lake City Elementary, California, US",5,Board Member,needs_human_review
ca,"Long Beach Unified, California, US",5,Board Member,needs_human_review
ca,"Los Nietos, California, US",5,Board Member,needs_human_review
ca,"Manhattan Beach Unified, California, US",5,Board Member,needs_human_review
ca,"Monrovia Unified, California, US",5,Board Member,needs_human_review
ca,"Mountain View Elementary, California, US",5,Board Member,needs_human_review
ca,"Newhall, California, US",5,Board Member,needs_human_review
ca,"Norwalk-La Mirada Unified, California, US",5,Board Member,needs_human_review
ca,"Palmdale Elementary, California, US",5,Board Member,needs_human_review
ca,"Palos Verdes Peninsula Unified, California, US",5,Board Member,needs_human_review
ca,"Paramount Unified, California, US",5,Board Member,needs_human_review
ca,"Redondo Beach Unified, California, US",5,Board Member,needs_human_review
ca,"Rowland Unified, California, US",5,Board Member,needs_human_review
ca,"San Gabriel Unified, California, US",5,Board Member,needs_human_review
ca,"San Marino Unified, California, US",5,Board Member,needs_human_review
ca,"South Pasadena Unified, California, US",5,Board Member,needs_human_review
ca,"South Whittier Elementary, California, US",5,Board Member,needs_human_review
ca,"Sulphur Springs Union, California, US",5,Board Member,needs_human_review
ca,"Torrance Unified, California, US",5,Board Member,needs_human_review
ca,"Valle Lindo Elementary, California, US",5,Board Member,needs_human_review
ca,"Walnut Valley Unified, California, US",5,Board Member,needs_human_review
ca,"West Covina Unified, California, US",5,Board Member,needs_human_review
ca,"Westside Union Elementary, California, US",5,Board Member,needs_human_review
ca,"Whittier Union High, California, US",5,Board Member,needs_human_review
ca,"Wiseburn Unified, California, US",5,Board Member,needs_human_review
ca,"Alhambra Unified, California, US",4,Board Member,needs_human_review
ca,"Arcadia Unified, California, US",4,Board Member,needs_human_review
ca,"Centinela Valley Union High, California, US",4,Board Member,needs_human_review
ca,"Eastside Union Elementary, California, US",4,Board Member,needs_human_review
ca,"Glendora Unified, California, US",4,Board Member,needs_human_review
ca,"Lynwood Unified, California, US",4,Board Member,needs_human_review
ca,"Rosemead Elementary, California, US",4,Board Member,needs_human_review
ca,"Saugus Union, California, US",4,Board Member,needs_human_review
ca,"Temple City Unified, California, US",4,Board Member,needs_human_review
ca,"William S. Hart Union High, California, US",4,Board Member,needs_human_review
ca,"Gorman Joint, California, US",3,Board Member,needs_human_review
ca,"Wilsona Elementary, California, US",3,Board Member,needs_human_review
ca,"Hughes-Elizabeth Lakes Union Elementary, California, US",2,Board Member,needs_human_review
in,"Richland-Bean Blossom Community School Corporation, Indiana, US",5,Richland-Bean Blossom School Board - At Large,at_large_or_mixed_review
ma,"Newton Public Schools, Massachusetts, US",9,Mayor (ex officio),at_large_or_mixed_review
ma,"Somerville Public Schools, Massachusetts, US",9,City Council President (ex officio),at_large_or_mixed_review
ma,"Boston Public Schools, Massachusetts, US",7,School Committee Chair,needs_human_review
ma,"Lynn Public Schools, Massachusetts, US",7,Mayor (ex officio),at_large_or_mixed_review
ma,"Medford Public Schools, Massachusetts, US",7,Mayor (ex officio),at_large_or_mixed_review
ma,"City of Cambridge, Massachusetts, US",6,School Committee Member,needs_human_review
me,"Bangor School Department, Maine, US",7,School Committee Member,needs_human_review
me,"Biddeford Public Schools, Maine, US",7,School Committee Member,needs_human_review
mo,"Springfield R-XII School District, Missouri, US",7,Board Member,needs_human_review
or,"Centennial School District 28J, Oregon, US",7,Board Member (Position 1),at_large_exclude
or,"David Douglas School District 40, Oregon, US",7,Board Member (Position 1),at_large_exclude
or,"Hillsboro School District 1J, Oregon, US",7,"Director, Position 1",at_large_exclude
or,"Reynolds School District 7, Oregon, US",7,Board Member (Position 1),at_large_exclude
or,"Forest Grove School District 15, Oregon, US",5,"Director, Position 1",at_large_exclude
or,"Parkrose School District 3, Oregon, US",5,Board Member (Position 1),at_large_exclude
or,"Riverdale School District 51J, Oregon, US",5,Board Member (Seat 1),needs_human_review
or,"Sherwood School District 88J, Oregon, US",5,"Board Chair/Director, Position 1",at_large_exclude
or,"Tigard-Tualatin School District 23J, Oregon, US",5,"Director, Position 1",at_large_exclude
tx,"Allen Independent School District, Texas, US",7,"Board Member, Place 1",at_large_exclude
tx,"Frisco Independent School District, Texas, US",7,"Board Member, Place 1",at_large_exclude
tx,"McKinney Independent School District, Texas, US",7,"Board Member, Place 1",at_large_exclude
tx,"Plano Independent School District, Texas, US",7,"Board Member, Place 1",at_large_exclude
tx,"Richardson Independent School District, Texas, US",7,"Board Member, District 1",mixed_review
va,"Alexandria City Public Schools, Virginia, US",9,School Board Chair,needs_human_review
va,"Falls Church City Public Schools, Virginia, US",7,School Board Chair,needs_human_review
