# Raul Ruiz CA-25 dedup: KEEP canonical 5238b298-6004-4bcc-94c2-ee43a9c2999e (ext -6000325, wired CA-25 incumbent); RETIRE active dup 05349fa0-8529-4738-8556-f386965e4cc8 (ext NULL, 1 office, 0 rc/stances/img) via is_active=false; eb9448bd-... already inactive. New external_id scheme: -(6010000+cd*100+seq), -601xxxx band verified empty/collision-free.
# CORRECTION (migration 1092): 2 rows flipped NEW->REUSE — accent/middle-initial defeated mig 1091's name-check. CA-38 Hilda Solis = existing Hilda L. Solis (683398, 32 stances); CA-41 Linda Sánchez = sitting CA-38 incumbent Linda T. Sanchez (-100037, 28 stances), redistricted per Prop 50. Dup records -6013801/-6014101 retired is_active=false. New-candidate count 38->36 (both reuse targets are stance-done + have headshots → out of stance/headshot scope).
cd,geo_id,existing_race_id,full_name,party_from_field,decision,target_politician_id,assign_external_id,is_incumbent,source_url
6,0606,17eaf24e-1ab0-4457-a786-787fbcd39157,Richard Pan,Democratic,NEW,,-6010601,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_6
6,0606,17eaf24e-1ab0-4457-a786-787fbcd39157,Kevin Kiley,Independent,REUSE,645a79be-ad06-461f-b2d6-3f811a0c48ee,,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_6
7,0607,143ffa3e-701f-46dc-ba19-f67c557b58eb,Doris Matsui,Democratic,REUSE,5be0c642-33b3-4ea4-8bb1-2eb25df2b4ef,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_7
7,0607,143ffa3e-701f-46dc-ba19-f67c557b58eb,Mai Vang,Democratic,REUSE,ff0dc6f0-f5c8-4266-b70a-3fcc183da5c7,,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_7
8,0608,3714f671-f75b-4f3f-981c-53df319f886c,John Garamendi,Democratic,REUSE,28eeeb86-5ec1-48dd-86a7-9cf6d7771949,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_8
8,0608,3714f671-f75b-4f3f-981c-53df319f886c,Rudy Recile,Republican,NEW,,-6010801,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_8
9,0609,f1f491b1-14b9-494b-b2fc-9955e9ee81c6,Josh Harder,Democratic,REUSE,3ab13c27-f66e-486f-b3d4-87ddb927c35f,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_9
9,0609,f1f491b1-14b9-494b-b2fc-9955e9ee81c6,John McBride,Republican,NEW,,-6010901,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_9
10,0610,63afb822-dc57-4d03-b616-e77ebc2b6080,Mark DeSaulnier,Democratic,REUSE,bc29096f-63ce-41f7-8d51-c4e6cfa87f8c,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_10
10,0610,63afb822-dc57-4d03-b616-e77ebc2b6080,Jeff Frese,Republican,NEW,,-6011001,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_10
11,0611,586d8394-217f-4321-ad9e-4da4634202d4,Connie Chan,Democratic,REUSE,f3f21e38-d8e6-41d2-9d74-0360a5f679b9,,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_11
11,0611,586d8394-217f-4321-ad9e-4da4634202d4,Scott Wiener,Democratic,REUSE,eb8b6aa3-a9d2-4792-8175-a105304da87f,,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_11
12,0612,0f99903c-9862-4ef9-b607-d760e8a87cf1,Lateefah Simon,Democratic,REUSE,39db6eee-ccf5-4901-90a0-1c2580731b0e,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_12
12,0612,0f99903c-9862-4ef9-b607-d760e8a87cf1,Jamie Joyce,Democratic,NEW,,-6011201,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_12
13,0613,3bff8b9f-03d4-4431-afb1-ec56a0f1c4d3,Adam Gray,Democratic,REUSE,1b473093-b86b-4b39-990b-19859d163080,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_13
13,0613,3bff8b9f-03d4-4431-afb1-ec56a0f1c4d3,Kevin Lincoln,Republican,NEW,,-6011301,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_13
14,0614,f6579e2c-0012-4e01-be52-f202e3aa25c2,Melissa Hernandez,Democratic,NEW,,-6011401,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_14
14,0614,f6579e2c-0012-4e01-be52-f202e3aa25c2,Aisha Wahab,Democratic,REUSE,bec15428-f2c6-45a2-9bf0-ae91e6fabe70,,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_14
15,0615,21a3ca1e-00a9-47c2-b756-889cd55a84cd,Kevin Mullin,Democratic,REUSE,9c880377-7e1f-4994-91b3-82d9cb15bbb4,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_15
15,0615,21a3ca1e-00a9-47c2-b756-889cd55a84cd,Charles Hoelter,Republican,NEW,,-6011501,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_15
16,0616,429ad566-e2c3-43f5-bab6-bfbab56bfb18,Sam Liccardo,Democratic,REUSE,7ceb0371-baba-4d05-9204-2852cc91dee0,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_16
16,0616,429ad566-e2c3-43f5-bab6-bfbab56bfb18,Peter Sundin Soulé,Republican,NEW,,-6011601,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_16
17,0617,d306c5b6-5203-4955-9657-edcc886320a3,Ro Khanna,Democratic,REUSE,07255876-bbe6-4f6a-8c68-75939d9b5128,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_17
17,0617,d306c5b6-5203-4955-9657-edcc886320a3,Ritesh Tandon,Republican,NEW,,-6011701,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_17
18,0618,ff4b7da5-25fa-4496-a5f0-decb024d0c2a,Zoe Lofgren,Democratic,REUSE,956281d7-e27e-43cc-84e9-244879ed5ecf,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_18
18,0618,ff4b7da5-25fa-4496-a5f0-decb024d0c2a,Shane Lewis,Republican,NEW,,-6011801,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_18
19,0619,e98beacf-6a5b-4039-b977-eb1c30d53c8d,Jimmy Panetta,Democratic,REUSE,29a4c8f8-67a4-45a1-b4e8-ea708523cf3f,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_19
19,0619,e98beacf-6a5b-4039-b977-eb1c30d53c8d,Peter Verbica,Republican,NEW,,-6011901,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_19
20,0620,8f40ae37-39c3-42cd-9bf8-851d6a967bac,Vince Fong,Republican,REUSE,e228243c-4d7c-4a61-87c9-2e3f7a9d6afd,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_20
20,0620,8f40ae37-39c3-42cd-9bf8-851d6a967bac,Sandra Van Scotter,Democratic,NEW,,-6012001,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_20
21,0621,1cbd9d96-519c-45e0-a0c2-3cab2b5894fe,Jim Costa,Democratic,REUSE,196e8502-0aab-49a8-a6a0-6626bf121f34,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_21
21,0621,1cbd9d96-519c-45e0-a0c2-3cab2b5894fe,Kyle Kirkland,Republican,NEW,,-6012101,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_21
22,0622,43105b49-ecdf-41ce-9309-38a0aef1b81d,David Valadao,Republican,REUSE,42bff283-c977-43f1-9d54-a06131dc5eac,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_22
22,0622,43105b49-ecdf-41ce-9309-38a0aef1b81d,Randy Villegas,Democratic,NEW,,-6012201,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_22
23,0623,7740b4c3-587b-4823-a530-8c229e20debd,Jay Obernolte,Republican,REUSE,18db5d61-6bce-4f55-ad45-bed01f329548,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_23
23,0623,7740b4c3-587b-4823-a530-8c229e20debd,Tessa Lynn Hodge,Democratic,NEW,,-6012301,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_23
24,0624,a7de60d2-605c-4db1-88cf-97b12eccf582,Salud Carbajal,Democratic,REUSE,565438e0-04f1-4d2d-87cf-44df42ac1173,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_24
24,0624,a7de60d2-605c-4db1-88cf-97b12eccf582,Bob Smith,Republican,NEW,,-6012401,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_24
25,0625,295705e5-3254-4d75-bdb3-bf19f46ba099,Raul Ruiz,Democratic,REUSE,5238b298-6004-4bcc-94c2-ee43a9c2999e,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_25
25,0625,295705e5-3254-4d75-bdb3-bf19f46ba099,Joe Males,Republican,REUSE,b6e6ecef-e4c6-4d2a-a0fc-f777706f7138,,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_25
26,0626,c116e2e6-9512-4462-8633-d2a1373161cb,Jacqui Irwin,Democratic,REUSE,97285c92-b664-4687-a1e4-6d88cf9c7fe4,,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_26
26,0626,c116e2e6-9512-4462-8633-d2a1373161cb,Sam Gallucci,Republican,NEW,,-6012601,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_26
27,0627,368aba08-e456-4b87-bd65-6d90e09a6d08,George Whitesides,Democratic,REUSE,c2f8656e-f73a-42ec-996e-87fceedf0389,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_27
27,0627,368aba08-e456-4b87-bd65-6d90e09a6d08,Jason Gibbs,Republican,REUSE,434cd9b0-ce80-42fd-b71d-f221349e33f5,,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_27
28,0628,61682c04-9730-4528-a50b-7ffed0044016,Judy Chu,Democratic,REUSE,d75dfa60-351b-4f0d-880a-45acf013c82a,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_28
28,0628,61682c04-9730-4528-a50b-7ffed0044016,April Verlato,Republican,REUSE,4d92b952-9cec-445e-8f09-239b82f16a88,,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_28
29,0629,40190b91-ec57-4da9-9955-1cb3b8b06486,Luz Rivas,Democratic,REUSE,a1fc524b-7c90-43c0-83a7-c76664293913,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_29
29,0629,40190b91-ec57-4da9-9955-1cb3b8b06486,Angélica María Dueñas,Democratic,NEW,,-6012901,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_29
30,0630,fc8ac036-1ab5-4012-aa67-16b334137509,Laura Friedman,Democratic,REUSE,e099da71-f9d9-445d-96d9-179952bd539c,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_30
30,0630,fc8ac036-1ab5-4012-aa67-16b334137509,Scott Meyers,Republican,REUSE,4bacdb84-7d0d-461b-a3b7-06709526ad03,,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_30
31,0631,19a88b8b-5260-4c7b-b9a5-5217fc306b67,Gil Cisneros,Democratic,REUSE,be2943b7-f634-42f4-8ab8-15db8138169f,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_31
31,0631,19a88b8b-5260-4c7b-b9a5-5217fc306b67,Eric Ching,Republican,REUSE,340c4a0a-e6cb-4e32-9a56-f5cbf951cbc4,,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_31
32,0632,dd326b64-5a46-4d71-b404-a9d9469cfbc5,Brad Sherman,Democratic,REUSE,96c77e2b-df35-4d56-a573-8bc0c15a142d,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_32
32,0632,dd326b64-5a46-4d71-b404-a9d9469cfbc5,Larry Thompson,Republican,REUSE,9d425434-b3b5-4825-afa3-01d508b41ae4,,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_32
33,0633,b88178d8-23ac-4ab9-a73c-0687534da38a,Pete Aguilar,Democratic,REUSE,822966a7-5f09-4151-ba43-630afbd676c2,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_33
33,0633,b88178d8-23ac-4ab9-a73c-0687534da38a,Stephanie Vargas,Republican,REUSE,7e65a839-45ea-49d5-a4db-3edc1e411a07,,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_33
34,0634,bed3e589-1f6d-4693-93af-5b05c9abc842,Jimmy Gomez,Democratic,REUSE,99d93781-7c5f-492c-b959-ee502ca05c29,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_34
34,0634,bed3e589-1f6d-4693-93af-5b05c9abc842,Angela Gonzales-Torres,Democratic,REUSE,7b99c301-222a-4ebf-8427-c7290685e245,,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_34
35,0635,ed452e1f-56aa-4a44-99a1-20fcf6bde43e,Norma Torres,Democratic,REUSE,e4d5cd69-0a54-48d6-9d8c-11da8f091cb6,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_35
35,0635,ed452e1f-56aa-4a44-99a1-20fcf6bde43e,Mike Cargile,Republican,REUSE,67cf09dd-89d7-48a2-9ae6-85a045e616c0,,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_35
36,0636,40e4571a-7492-4012-b244-70e2b185d15b,Ted Lieu,Democratic,REUSE,3a39c313-b994-447b-b3fd-592e4994769b,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_36
36,0636,40e4571a-7492-4012-b244-70e2b185d15b,Houston Brignano,Republican,REUSE,b7c00468-c2b4-4e48-876b-d218f3b53eac,,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_36
37,0637,232fac06-8757-45c6-9c1b-6b492ec79657,Sydney Kamlager-Dove,Democratic,REUSE,a2c6adc7-7689-49b9-964f-8f2aeb243a83,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_37
37,0637,232fac06-8757-45c6-9c1b-6b492ec79657,Samantha Mota,Democratic,REUSE,a3f12544-4d18-41da-a69e-9585219985d5,,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_37
38,0638,2910e7f6-11f2-4496-a651-056991895606,Hilda Solis,Democratic,REUSE,f1f3e6ca-5532-4f33-8ec2-64791b08f59b,,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_38
38,0638,2910e7f6-11f2-4496-a651-056991895606,Pedro Antonio Casas,Republican,NEW,,-6013802,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_38
39,0639,83f9b284-404b-4869-bb33-a61a27f073ba,Mark Takano,Democratic,REUSE,0af35a49-9908-474a-a3b6-f0f0ad1e85a0,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_39
39,0639,83f9b284-404b-4869-bb33-a61a27f073ba,Steve Manos,Republican,NEW,,-6013901,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_39
40,0640,ce3d2c4f-42b2-40bc-9e40-4f96ca1446bb,Ken Calvert,Republican,REUSE,97b8516d-37a6-46e5-8030-60ac927ced4f,,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_40
40,0640,ce3d2c4f-42b2-40bc-9e40-4f96ca1446bb,Young Kim,Republican,REUSE,504a0b06-6729-4fc5-93cd-7c43b1e153fe,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_40
41,0641,7ade7f08-0d2e-42e3-b7e4-ac2b5b8c58dd,Linda Sánchez,Democratic,REUSE,bb73793e-ad67-431a-bb03-663b765204d8,,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_41
41,0641,7ade7f08-0d2e-42e3-b7e4-ac2b5b8c58dd,Mitch Clemmons,Republican,NEW,,-6014102,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_41
42,0642,6113b008-3a56-49e1-8d22-9236af5e7a6d,Robert Garcia,Democratic,REUSE,28a5f098-7f90-4fa9-af7e-c034d49cb538,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_42
42,0642,6113b008-3a56-49e1-8d22-9236af5e7a6d,Brian Burley,Republican,NEW,,-6014201,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_42
43,0643,740e83a7-aba3-4c2c-8137-33502453503e,Maxine Waters,Democratic,REUSE,203ab943-324d-4478-9093-d827d5d9c7da,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_43
43,0643,740e83a7-aba3-4c2c-8137-33502453503e,Cristian Morales,Republican,NEW,,-6014301,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_43
44,0644,81365b4a-d1c9-4a4a-ad85-49d9e2640987,Nanette Barragán,Democratic,REUSE,5bd54ac0-c8b9-486c-844c-ecc4313e5de7,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_44
44,0644,81365b4a-d1c9-4a4a-ad85-49d9e2640987,Genevieve Angel,Republican,NEW,,-6014401,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_44
45,0645,69d64aab-bcdb-497f-9392-4e939efe7d95,Derek Tran,Democratic,REUSE,b7612f49-c914-4ea7-a6da-559d71f313c2,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_45
45,0645,69d64aab-bcdb-497f-9392-4e939efe7d95,Chuong Vo,Republican,NEW,,-6014501,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_45
46,0646,27130e86-b66f-4c50-9aa1-1a6e5b1887ec,Lou Correa,Democratic,REUSE,c06165d2-008c-4fe3-93cd-e31fbd6e377f,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_46
46,0646,27130e86-b66f-4c50-9aa1-1a6e5b1887ec,David Pan,Republican,NEW,,-6014601,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_46
47,0647,ccdca7a6-eb1c-4c20-8651-0c1ba6c30d6c,Dave Min,Democratic,REUSE,59b9f70a-b67d-4ff9-a99a-829442300178,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_47
47,0647,ccdca7a6-eb1c-4c20-8651-0c1ba6c30d6c,Jenny Le Roux,Republican,NEW,,-6014701,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_47
48,0648,9770ac95-8777-41a2-9006-937ba5e14ba3,Jim Desmond,Republican,NEW,,-6014801,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_48
48,0648,9770ac95-8777-41a2-9006-937ba5e14ba3,Marni von Wilpert,Democratic,REUSE,c3f1fad4-46cd-4f2f-8723-d7a3f99dca65,,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_48
49,0649,92e327ec-a49e-4e85-8516-6778e6712efb,Mike Levin,Democratic,REUSE,821be1ee-ba55-4f47-9e5f-7a39f8514271,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_49
49,0649,92e327ec-a49e-4e85-8516-6778e6712efb,Armen Kurdian,Republican,NEW,,-6014901,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_49
50,0650,613e48d5-86f9-4a82-811b-f9d1c3b091bd,Scott Peters,Democratic,REUSE,3a9072fc-cb5c-4435-ad77-86562481830f,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_50
50,0650,613e48d5-86f9-4a82-811b-f9d1c3b091bd,Steve Cohen,Republican,REUSE,7b2966fb-0b21-4db1-a3ad-f7f2cc69a4bb,,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_50
51,0651,70c0bbe6-ae6e-462e-bfbf-741c34810fe0,Sara Jacobs,Democratic,REUSE,51e4c723-299f-46a6-b1b2-f75386ee64f0,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_51
51,0651,70c0bbe6-ae6e-462e-bfbf-741c34810fe0,Richardo Cabrera,Republican,NEW,,-6015101,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_51
52,0652,959c4e27-ef9b-4dea-be87-a5ff8d42bb8f,Juan Vargas,Democratic,REUSE,afa3cab9-4caf-4df3-a9ce-f739cc12b89d,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_52
52,0652,959c4e27-ef9b-4dea-be87-a5ff8d42bb8f,Jeff Belle,Republican,NEW,,-6015201,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_52
