full_name,politician_id,is_linked,photo_source,cdn_url,stub_photo_url
"Joseph Hickman",3bf35f73-452e-4879-bff4-1bba4e515d8e,linked,none,,
"Judith A. Sharp",d3977ab4-22b8-4ac3-a14f-565bc2969f1a,linked,cdn,https://kxsdzaojfaibhuzmclfq.supabase.co/storage/v1/object/public/politician_photos/d3977ab4-22b8-4ac3-a14f-565bc2969f1a/default.jpg,
"Julie M. Hays",,stub,none,,
"Kara Elaine Krothe",048cb4ba-9b07-42e6-b45d-f4dffad2a088,linked,cdn,https://kxsdzaojfaibhuzmclfq.supabase.co/storage/v1/object/public/politician_photos/048cb4ba-9b07-42e6-b45d-f4dffad2a088/default.jpg,
"Kat Reynolds",,stub,none,,
"Kate Wiltz",73855d5c-f1f3-4701-90af-997d26fbe0df,linked,cdn,https://kxsdzaojfaibhuzmclfq.supabase.co/storage/v1/object/public/politician_photos/73855d5c-f1f3-4701-90af-997d26fbe0df/default.jpg,
"Katrina W. Ladwig",8d4c84a6-d928-42c1-b9c6-6a1433a161da,linked,none,,
"Keil L. Roark",283b1fdd-3d89-4f82-a065-098324f2f967,linked,none,,
"Kenny L. Bryant",664899b9-9002-410b-b42a-40dbaf050d12,linked,none,,
"Leon Gordon",,stub,none,,
"Levi Combs",,stub,none,,
"Lilliana Young",1b5e218c-8fe0-48fe-b7af-52a2fbf1b0fc,linked,none,,
"Marv Ulmet",,stub,none,,
"Mary VanDeventer",be355b0e-79a9-4af2-9926-d5bee7ae2515,linked,none,,
"Matha Hawk",,stub,none,,
"Matt Pierce",72dd5219-490f-48bb-986e-183a6098d602,linked,cdn,https://kxsdzaojfaibhuzmclfq.supabase.co/storage/v1/object/public/politician_photos/72dd5219-490f-48bb-986e-183a6098d602/default.jpg,
"Michelle Bright",c096fd15-2656-4e1c-bf86-beb506d472d7,linked,none,,
"Mike Moore",,stub,none,,
"Paul Strain",,stub,none,,
"Peggy Mayfield",f84421ea-eb49-44c3-a6a7-a3cfaf5dc745,linked,cdn,https://kxsdzaojfaibhuzmclfq.supabase.co/storage/v1/object/public/politician_photos/f84421ea-eb49-44c3-a6a7-a3cfaf5dc745/default.jpg,
"Peter James Iversen",10c70231-d5a0-48c3-ac29-1480b2eaa6db,linked,cdn,https://kxsdzaojfaibhuzmclfq.supabase.co/storage/v1/object/public/politician_photos/10c70231-d5a0-48c3-ac29-1480b2eaa6db/default.jpg,
"R. Shannon Reed",,stub,none,,
"Rachael Himsel",,stub,none,,
"Rita Barrow",a41df72a-b1ee-43b6-8b41-02b4966503db,linked,none,,
"Roger L. Taylor",4e020b4f-662b-4f9e-adc1-6635311f6b6b,linked,none,,
"Ronald H. Hutson",b407f620-d412-46b4-939a-d0967f8f80d2,linked,none,,
"Ruben Marte",b8d4f904-23c8-4baa-8426-fbc44aafdf88,linked,cdn,https://kxsdzaojfaibhuzmclfq.supabase.co/storage/v1/object/public/politician_photos/b8d4f904-23c8-4baa-8426-fbc44aafdf88/default.jpg,
"Scott Smith",4e663791-4b3a-4df3-8cd1-aff5a133d100,linked,none,,
"Sean P. Hall",c2e83228-1f15-4fb6-a1a2-8b11714afe4c,linked,none,,
"Sharon A. Green",,stub,none,,
"Steven A. Hinds",ca5f69c1-5fd3-4a27-8e58-f78b0a2d3d2d,linked,none,,
"Steven E. Webb",,stub,none,,
"Susan Hingle",,stub,none,,
"Susan Luther",,stub,none,,
"Susie Hamilton",09ae2145-53d0-4def-a32b-0d18d020aed5,linked,none,,
"Tanner Dale Branham",,stub,none,,
"Thelma Kelley Jeffries",909d124c-63e0-4887-9987-15b78383d406,linked,none,,
"Theresa Oatman",3a65723a-7531-4712-8a7f-e4233a5aadfb,linked,cdn,https://kxsdzaojfaibhuzmclfq.supabase.co/storage/v1/object/public/politician_photos/3a65723a-7531-4712-8a7f-e4233a5aadfb/default.webp,
"Tim Peck",a9233775-b8af-423e-aea6-734c2855e5ac,linked,none,,
"Traves Conyer",,stub,none,,
"Tree Martin Lucas",,stub,none,,
"Trent Deckard",db4e6911-9dbb-430e-831c-08be094fd637,linked,cdn,https://kxsdzaojfaibhuzmclfq.supabase.co/storage/v1/object/public/politician_photos/db4e6911-9dbb-430e-831c-08be094fd637/default.jpg,
"Ty Mungle",,stub,none,,
"Wendi Reynolds",d5c43411-143e-4a1c-a5d4-4ea346f638b5,linked,none,,
"William E. Smith III",,stub,none,,
