address_label,position_name,primary_party,candidate_name
Perry Township (SE),Perry Township Trustee,Democratic,Leon Gordon
Perry Township (SE),"State Representative, District 062",Democratic,Amy Huffman Oliver
Perry Township (SE),"State Representative, District 062",Republican,Dave Hall
Perry Township (SE),"United States Representative, Ninth District",Democratic,Brad A. Meyer
Perry Township (SE),"United States Representative, Ninth District",Democratic,James H. (Jim) Graham
Perry Township (SE),"United States Representative, Ninth District",Democratic,Keil L. Roark
Perry Township (SE),"United States Representative, Ninth District",Democratic,Tim Peck
Perry Township (SE),"United States Representative, Ninth District",Republican,Erin Houchin
Clear Creek Township,"Judge of the Monroe Circuit Court, 10th Judicial Circuit, No. 5",Democratic,Kara Elaine Krothe
Clear Creek Township,"Judge of the Monroe Circuit Court, 10th Judicial Circuit, No. 9",Democratic,Geoff Bradley
Clear Creek Township,Monroe County Assessor,Democratic,Bob Nyquist
Clear Creek Township,Monroe County Assessor,Democratic,Judith A. Sharp
Clear Creek Township,Monroe County Clerk,Democratic,Tree Martin Lucas
Clear Creek Township,Monroe County Clerk,Democratic,Tanner Dale Branham
Clear Creek Township,Monroe County Clerk,Democratic,Joe Davis
Clear Creek Township,Monroe County Clerk,Republican,Julie M. Hays
Clear Creek Township,Monroe County Commissioner District 1,Democratic,Trent Deckard
Clear Creek Township,Monroe County Commissioner District 1,Democratic,David G. Henry
Clear Creek Township,Monroe County Council District 3,Republican,Matha Hawk
Clear Creek Township,Monroe County Prosecuting Attorney,Democratic,Erika Oliphant
Clear Creek Township,Monroe County Prosecuting Attorney,Democratic,Benjamin T. Arrington
Clear Creek Township,Monroe County Recorder,Democratic,Amy Swain
Clear Creek Township,Monroe County Sheriff,Democratic,Ruben Marte
Clear Creek Township,Richland Township Board,Republican,David Willibey
Clear Creek Township,Richland Township Board,Republican,Traves Conyer
Clear Creek Township,Richland Township Board,Republican,Elaine Thomsen
Clear Creek Township,Richland Township Board,Republican,Jay Thrasher
Clear Creek Township,Richland Township Trustee,Republican,Dawn Marie Durnil
Clear Creek Township,"United States Representative, Ninth District",Democratic,Brad A. Meyer
Clear Creek Township,"United States Representative, Ninth District",Democratic,James H. (Jim) Graham
Clear Creek Township,"United States Representative, Ninth District",Democratic,Keil L. Roark
Clear Creek Township,"United States Representative, Ninth District",Democratic,Tim Peck
Clear Creek Township,"United States Representative, Ninth District",Republican,Erin Houchin
Richland Township (Rural),"Judge of the Monroe Circuit Court, 10th Judicial Circuit, No. 5",Democratic,Kara Elaine Krothe
Richland Township (Rural),"Judge of the Monroe Circuit Court, 10th Judicial Circuit, No. 9",Democratic,Geoff Bradley
Richland Township (Rural),Monroe County Assessor,Democratic,Judith A. Sharp
Richland Township (Rural),Monroe County Assessor,Democratic,Bob Nyquist
Richland Township (Rural),Monroe County Clerk,Democratic,Tree Martin Lucas
Richland Township (Rural),Monroe County Clerk,Democratic,Tanner Dale Branham
Richland Township (Rural),Monroe County Clerk,Democratic,Joe Davis
Richland Township (Rural),Monroe County Clerk,Republican,Julie M. Hays
Richland Township (Rural),Monroe County Commissioner District 1,Democratic,Trent Deckard
Richland Township (Rural),Monroe County Commissioner District 1,Democratic,David G. Henry
Richland Township (Rural),Monroe County Council District 3,Republican,Matha Hawk
Richland Township (Rural),Monroe County Prosecuting Attorney,Democratic,Erika Oliphant
Richland Township (Rural),Monroe County Prosecuting Attorney,Democratic,Benjamin T. Arrington
Richland Township (Rural),Monroe County Recorder,Democratic,Amy Swain
Richland Township (Rural),Monroe County Sheriff,Democratic,Ruben Marte
Richland Township (Rural),"State Representative, District 062",Democratic,Amy Huffman Oliver
Richland Township (Rural),"State Representative, District 062",Republican,Dave Hall
Richland Township (Rural),"United States Representative, Ninth District",Democratic,Tim Peck
Richland Township (Rural),"United States Representative, Ninth District",Democratic,James H. (Jim) Graham
Richland Township (Rural),"United States Representative, Ninth District",Democratic,Brad A. Meyer
Richland Township (Rural),"United States Representative, Ninth District",Democratic,Keil L. Roark
Richland Township (Rural),"United States Representative, Ninth District",Republican,Erin Houchin
Richland Township (Rural),Van Buren Township Board,Democratic,William E. Smith III
Richland Township (Rural),Van Buren Township Board,Republican,Theresa Oatman
Richland Township (Rural),Van Buren Township Board,Republican,John Wilson
Richland Township (Rural),Van Buren Township Trustee,Republican,Rita Barrow
IU Campus,Bloomington Township Board,Democratic,Dorothy Granger
IU Campus,Bloomington Township Board,Democratic,Elizabeth Sensenstein
IU Campus,Bloomington Township Board,Democratic,Barbara E. McKinney
IU Campus,Bloomington Township Trustee,Democratic,Efrat Rosser
IU Campus,"Judge of the Monroe Circuit Court, 10th Judicial Circuit, No. 5",Democratic,Kara Elaine Krothe
IU Campus,"Judge of the Monroe Circuit Court, 10th Judicial Circuit, No. 9",Democratic,Geoff Bradley
IU Campus,Monroe County Assessor,Democratic,Judith A. Sharp
IU Campus,Monroe County Assessor,Democratic,Bob Nyquist
IU Campus,Monroe County Clerk,Democratic,Tanner Dale Branham
IU Campus,Monroe County Clerk,Democratic,Joe Davis
IU Campus,Monroe County Clerk,Democratic,Tree Martin Lucas
IU Campus,Monroe County Clerk,Republican,Julie M. Hays
IU Campus,Monroe County Commissioner District 1,Democratic,David G. Henry
IU Campus,Monroe County Commissioner District 1,Democratic,Trent Deckard
IU Campus,Monroe County Council District 4,Democratic,Jennifer Crossley
IU Campus,Monroe County Prosecuting Attorney,Democratic,Erika Oliphant
IU Campus,Monroe County Prosecuting Attorney,Democratic,Benjamin T. Arrington
IU Campus,Monroe County Recorder,Democratic,Amy Swain
IU Campus,Monroe County Sheriff,Democratic,Ruben Marte
IU Campus,"State Representative, District 061",Democratic,Matt Pierce
IU Campus,"State Representative, District 061",Democratic,Lilliana Young
IU Campus,"United States Representative, Ninth District",Democratic,Tim Peck
IU Campus,"United States Representative, Ninth District",Democratic,Brad A. Meyer
IU Campus,"United States Representative, Ninth District",Democratic,James H. (Jim) Graham
IU Campus,"United States Representative, Ninth District",Democratic,Keil L. Roark
IU Campus,"United States Representative, Ninth District",Republican,Erin Houchin
Ellettsville,Ellettsville Town Council Ward 4,Republican,Andrew Henry
Ellettsville,Ellettsville Town Council Ward 5,Republican,Marv Ulmet
Ellettsville,"Judge of the Monroe Circuit Court, 10th Judicial Circuit, No. 5",Democratic,Kara Elaine Krothe
Ellettsville,"Judge of the Monroe Circuit Court, 10th Judicial Circuit, No. 9",Democratic,Geoff Bradley
Ellettsville,Monroe County Assessor,Democratic,Judith A. Sharp
Ellettsville,Monroe County Assessor,Democratic,Bob Nyquist
Ellettsville,Monroe County Clerk,Democratic,Tanner Dale Branham
Ellettsville,Monroe County Clerk,Democratic,Joe Davis
Ellettsville,Monroe County Clerk,Democratic,Tree Martin Lucas
Ellettsville,Monroe County Clerk,Republican,Julie M. Hays
Ellettsville,Monroe County Commissioner District 1,Democratic,David G. Henry
Ellettsville,Monroe County Commissioner District 1,Democratic,Trent Deckard
Ellettsville,Monroe County Council District 3,Republican,Matha Hawk
Ellettsville,Monroe County Prosecuting Attorney,Democratic,Erika Oliphant
Ellettsville,Monroe County Prosecuting Attorney,Democratic,Benjamin T. Arrington
Ellettsville,Monroe County Recorder,Democratic,Amy Swain
Ellettsville,Monroe County Sheriff,Democratic,Ruben Marte
Ellettsville,Richland Township Board,Republican,David Willibey
Ellettsville,Richland Township Board,Republican,Elaine Thomsen
Ellettsville,Richland Township Board,Republican,Jay Thrasher
Ellettsville,Richland Township Board,Republican,Traves Conyer
Ellettsville,Richland Township Trustee,Republican,Dawn Marie Durnil
Ellettsville,"United States Representative, Ninth District",Democratic,Keil L. Roark
Ellettsville,"United States Representative, Ninth District",Democratic,Tim Peck
Ellettsville,"United States Representative, Ninth District",Democratic,James H. (Jim) Graham
Ellettsville,"United States Representative, Ninth District",Democratic,Brad A. Meyer
Ellettsville,"United States Representative, Ninth District",Republican,Erin Houchin

UNLINKED_RACES,position_name,primary_party,candidate_count
