cd,geo_id,full_name,party_from_field,role,decision,assign_external_id,is_incumbent,source
2,2702,"Hugh McTavish",DFL,D,NEW,-270206,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
2,2702,"Christopher Mosel",DFL,D,NEW,-270207,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
3,2703,"Kelly Morrison",DFL,D,REUSE,-27003,true,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
3,2703,"Tyler Bass",R,R,NEW,-270301,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
3,2703,"Quentin Wittrock",R,R,NEW,-270302,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
4,2704,"Betty McCollum",DFL,D,REUSE,-27004,true,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
4,2704,"Gene Rechtzigel",R,R,NEW,-270401,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
4,2704,"Paul Wikstrom",R,R,NEW,-270402,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
4,2704,"Paul Xiong",R,R,NEW,-270403,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
4,2704,"Aswar Rahman",DFL,D,NEW,-270404,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
5,2705,"Ilhan Omar",DFL,D,REUSE,-27005,true,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
5,2705,"DeVelle L. Jackson",Independent,IND,NEW,-270501,false,"MN SoS candidate filing (candidates.sos.mn.gov, independent/minor-party filing); provisional pre-primary field, cull >= 2026-08-12"
5,2705,"Dalia Al-Aqidi",R,R,NEW,-270502,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
5,2705,"John Nagel",R,R,NEW,-270503,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
5,2705,"Angie Windhauser",R,R,NEW,-270504,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
5,2705,"Abbey Zieska",R,R,NEW,-270505,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
5,2705,"Julie Trang Le",DFL,D,NEW,-270506,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
5,2705,"Abena A. McKenzie",DFL,D,NEW,-270507,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
5,2705,"Latonya T. Reeves",DFL,D,NEW,-270508,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
5,2705,"Nate Schluter",DFL,D,NEW,-270509,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
6,2706,"Tom Emmer",R,R,REUSE,-27006,true,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
6,2706,"Chris Corey",R,R,NEW,-270601,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
6,2706,"Mike Foley",R,R,NEW,-270602,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
6,2706,"Doug Chapin",DFL,D,NEW,-270603,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
7,2707,"Michelle Fischbach",R,R,REUSE,-27007,true,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
7,2707,"Steve Carlson",DFL,D,NEW,-270701,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
7,2707,"Erik Osberg",DFL,D,NEW,-270702,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
8,2708,"Pete Stauber",R,R,REUSE,-27008,true,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
8,2708,"Anthony Hamilton",R,R,NEW,-270801,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
8,2708,"Luke Gulbranson",DFL,D,NEW,-270802,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
8,2708,"John Munter",DFL,D,NEW,-270803,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
8,2708,"Trina Swanson",DFL,D,NEW,-270804,false,"MN SoS candidate filing (candidates.sos.mn.gov, 2026 federal filings); provisional pre-primary field, cull >= 2026-08-12"
