full_name,politician_id,topic_key,value,reasoning
Jen Plumb,21786f7a-a6e5-4011-ac87-cecc01a10f9e,campaign-finance,,No verifiable evidence found of Jen Plumb making specific statements or votes on campaign finance reform. No grounded snippets available.
Jen Plumb,21786f7a-a6e5-4011-ac87-cecc01a10f9e,misinformation,,No verifiable evidence found of Jen Plumb making specific statements or votes on misinformation or algorithm regulation. No grounded snippets available.
Jen Plumb,21786f7a-a6e5-4011-ac87-cecc01a10f9e,redistricting,1,"Plumb voted Nay on SJR401 (Aug 2024) which sought to amend the Utah Constitution to limit citizens' power over ballot initiatives — a move Democrats characterized as a legislative power grab. Her consistent opposition to Republican efforts to restrict democratic processes reflects preference for independent redistricting. — best matches stance 1 (independent citizens' commissions with no elected officials involved)."
Jen Plumb,21786f7a-a6e5-4011-ac87-cecc01a10f9e,school-vouchers,1,"Plumb voted Nay on HB215 (Jan 2023), the Utah Fits All Scholarship Act which created the state's largest-ever school voucher program. Utah Senate Democrats, including Plumb, issued a formal statement: 'As Democrats, we oppose all efforts to divert taxpayer dollars away from our public school system, our educators, and children.' — best matches stance 1 (fully funding public schools and eliminating voucher programs that divert taxpayer money to private institutions)."
Jen Plumb,21786f7a-a6e5-4011-ac87-cecc01a10f9e,data-centers,2,"Utah Democrats in Plumb's caucus raised questions about whether nuclear power proposals for data centers would benefit residential ratepayers or primarily serve data center and AI interests. Utah passed SB132 (2025) requiring data centers to fund their own dedicated power generation, which Senate Democrats supported as protecting ratepayers. — best matches stance 2 (requiring data centers to fund their own dedicated power generation and barring utilities from passing costs to residential customers)."
Jen Plumb,21786f7a-a6e5-4011-ac87-cecc01a10f9e,homelessness,2,"Plumb is chief sponsor of SB121 (2025) creating a Property Loss Related to Homelessness Compensation Fund, and has expressed deep concern that Utah's planned homelessness facility could 'function less as a treatment facility than a prison or a warehouse' without significant new funding. She advocates decriminalizing public sleeping while investing in real services. — best matches stance 2 (decriminalizing public sleeping while investing in shelter capacity, outreach workers, and voluntary service connections)."
Jen Plumb,21786f7a-a6e5-4011-ac87-cecc01a10f9e,childcare,2,"Plumb's platform explicitly states she wants to 'build on existing legislation to make childcare more affordable' and identifies childcare as part of gender equity, calling for policies to make 'quality education accessible, affordable, and equitable.' As a physician and single mother she directly connects childcare affordability to workforce participation. — best matches stance 2 (significantly expanding subsidies and provider grants to make childcare affordable for low- and middle-income families)."
Jen Plumb,21786f7a-a6e5-4011-ac87-cecc01a10f9e,ai-regulation,,No verifiable evidence found of Jen Plumb making specific statements or voting on AI oversight legislation. No grounded snippets available.
Jen Plumb,21786f7a-a6e5-4011-ac87-cecc01a10f9e,immigration,2,"Plumb has opposed framing immigration as a public safety issue and opposed HB178 which would strip CHIP health coverage from immigrant children. She has not called for fully open borders but advocates letting most residents use public services regardless of legal status and keeping legal immigration open. — best matches stance 2 (keep legal immigration open and let most residents use public services regardless of legal status)."
Jen Plumb,21786f7a-a6e5-4011-ac87-cecc01a10f9e,deportation,2,"Utah Senate Democrats including Plumb voted against HB226 (2025), the deportation-facilitation bill that passed 21-8, with Democrats joining only two Republicans in opposition. Democratic Minority Leader Escamilla characterized the bill as a departure from Utah's welcoming immigration compact. Plumb's record shows consistent opposition to mass deportation measures while not calling for stopping all deportations. — best matches stance 2 (only deport people convicted of serious violent crimes)."
Jen Plumb,21786f7a-a6e5-4011-ac87-cecc01a10f9e,healthcare,2,"As a pediatric ER physician and member of the Senate Health and Human Services Committee, Plumb champions expanding healthcare access, stating 'It is imperative that we increase access to health care services and that each Utahn has access to affordable care.' She warned against ACA subsidy expiration, saying the effects are 'what we see on the faces of patients every shift.' — best matches stance 2 (make sure everyone has affordable coverage through a mix of public programs and regulated private insurance)."
Jen Plumb,21786f7a-a6e5-4011-ac87-cecc01a10f9e,taxes,2,"Plumb stated 'we don't see this as a time where less money available to support Utahns would be a good idea' opposing Republican income tax cuts, and questioned any proposal that would reduce public revenue without replacement funding. As a Democrat who prioritizes expanding public services including healthcare, education, and childcare, she supports maintaining or modestly raising tax burdens on higher earners. — best matches stance 2 (moderately raise taxes on wealthy people and large companies to fund existing services)."
