cd,geo_id,full_name,party_from_field,role,decision,assign_external_id,is_incumbent,source
5,2605,"Christian Vukasovich",D,D,NEW,-260501,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
5,2605,"James Bronke",G,G,NEW,-260502,false,"Declared indep/Green (politics1.com/mi.htm + Ballotpedia); provisional — MI filing deadline 2026-07-16"
6,2606,"Debbie Dingell",D,D,REUSE,-26006,true,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
6,2606,"Heather Smiley",R,R,NEW,-260601,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
6,2606,"Clyde Shabazz",G,G,NEW,-260602,false,"Declared indep/Green (politics1.com/mi.htm + Ballotpedia); provisional — MI filing deadline 2026-07-16"
7,2607,"Tom Barrett",R,R,REUSE,-26007,true,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
7,2607,"Bridget Brink",D,D,NEW,-260701,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
7,2607,"William Lawrence",D,D,NEW,-260702,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
7,2607,"Matt Maasdam",D,D,NEW,-260703,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
7,2607,"Muhammad Salman Rais",D,D,NEW,-260704,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
7,2607,"Alexandra Prieditis",I,I,NEW,-260705,false,"Declared indep/Green (politics1.com/mi.htm + Ballotpedia); provisional — MI filing deadline 2026-07-16"
8,2608,"Kristen McDonald Rivet",D,D,REUSE,-26008,true,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
8,2608,"Amir Hassan",R,R,NEW,-260801,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
8,2608,"Al Lemmo",R,R,NEW,-260802,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
8,2608,"Thomas J. Smith",R,R,NEW,-260803,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
9,2609,"Lisa C. McClain",R,R,REUSE,-26009,true,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
9,2609,"Ray Pooley",D,D,NEW,-260901,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
9,2609,"Jasen Cartwright",I,I,NEW,-260902,false,"Declared indep/Green (politics1.com/mi.htm + Ballotpedia); provisional — MI filing deadline 2026-07-16"
9,2609,"Fernando Valdez",I,I,NEW,-260903,false,"Declared indep/Green (politics1.com/mi.htm + Ballotpedia); provisional — MI filing deadline 2026-07-16"
10,2610,"John James",R,R,REUSE-NO-ROW,-26010,true,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
10,2610,"Eric Chung",D,D,NEW,-261001,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
10,2610,"Tim Greimel",D,D,NEW,-261002,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
10,2610,"Christina Bertrand Hines",D,D,NEW,-261003,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
10,2610,"Michael Bouchard",R,R,NEW,-261004,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
10,2610,"Steffan Demetropoulos",R,R,NEW,-261005,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
10,2610,"Justin Kirk",R,R,NEW,-261006,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
10,2610,"Robert Lulgjuraj",R,R,NEW,-261007,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
11,2611,"Haley M. Stevens",D,D,REUSE-NO-ROW,-26011,true,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
11,2611,"Stu Baker",D,D,NEW,-261101,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
11,2611,"Aisha Farooqi",D,D,NEW,-261102,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
11,2611,"Jeremy Moss",D,D,NEW,-261103,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
11,2611,"Michelle Mary Murphy",D,D,NEW,-261104,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
11,2611,"John Paul Torres",D,D,NEW,-261105,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
11,2611,"Don Ufford",D,D,NEW,-261106,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
11,2611,"Ethan Baker",R,R,NEW,-261107,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
11,2611,"Tony J. Prieto",R,R,NEW,-261108,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
12,2612,"Rashida Tlaib",D,D,REUSE,-26012,true,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
12,2612,"Allen Downer",D,D,NEW,-261201,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
12,2612,"Shanelle Jackson",D,D,NEW,-261202,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
12,2612,"Byron H. Nolen",D,D,NEW,-261203,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
12,2612,"James D. Hooper",R,R,NEW,-261204,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
13,2613,"Shri Thanedar",D,D,REUSE,-26013,true,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
13,2613,"John Goci",D,D,NEW,-261301,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
13,2613,"Donavan McKinney",D,D,NEW,-261302,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
13,2613,"Mary Waters",D,D,NEW,-261303,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
13,2613,"Martell D. Bivings",R,R,NEW,-261304,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
13,2613,"Raphiel King",R,R,NEW,-261305,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
13,2613,"T.P. Nykoriak",R,R,NEW,-261306,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
13,2613,"Maurice Morton",I,I,NEW,-261307,false,"Declared indep/Green (politics1.com/mi.htm + Ballotpedia); provisional — MI filing deadline 2026-07-16"
